TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Florida State,None,None,0,0
19:44,Florida State,PJ Savoy,Three Point Jumper,0,3
19:27,Clemson,Shelton Mitchell,Layup,2,3
19:12,Florida State,PJ Savoy,Missed Jumper,2,3
19:12,Clemson,Clemson,Defensive Rebound,2,3
18:43,Clemson,Shelton Mitchell,Missed Three Point Jumper,2,3
18:43,Florida State,PJ Savoy,Defensive Rebound,2,3
18:39,Clemson,David Skara,Foul,2,3
18:27,Florida State,M.J. Walker,Missed Jumper,2,3
18:27,Clemson,Marcquise Reed,Defensive Rebound,2,3
18:16,Clemson,Aamir Simms,Jumper,4,3
18:02,Florida State,Terance Mann,Three Point Jumper,4,6
17:39,Clemson,Aamir Simms,Missed Three Point Jumper,4,6
17:39,Florida State,M.J. Walker,Defensive Rebound,4,6
17:23,Florida State,Terance Mann,Missed Jumper,4,6
17:23,Clemson,Elijah Thomas,Defensive Rebound,4,6
17:16,Clemson,John Newman III,Missed Three Point Jumper,4,6
17:16,Florida State,PJ Savoy,Defensive Rebound,4,6
17:02,Clemson,John Newman III,Foul,4,6
17:02,Florida State,M.J. Walker,Missed Free Throw,4,6
17:02,Florida State,None,Team Rebound,4,6
17:02,Florida State,M.J. Walker,Free Throw,4,7
16:34,Clemson,Shelton Mitchell,Jumper,6,7
16:30,Florida State,Christ Koumadje,Turnover,6,7
16:19,Clemson,Elijah Thomas,Turnover,6,7
15:53,Florida State,PJ Savoy,Missed Three Point Jumper,6,7
15:53,Clemson,Marcquise Reed,Defensive Rebound,6,7
15:37,Clemson,Aamir Simms,Three Point Jumper,9,7
15:15,Florida State,PJ Savoy,Missed Jumper,9,7
15:15,Clemson,Aamir Simms,Defensive Rebound,9,7
15:03,Florida State,Christ Koumadje,Foul,9,7
15:03,Florida State,None,None,9,7
14:55,Clemson,Aamir Simms,Missed Jumper,9,7
14:55,Florida State,Florida State,Defensive Rebound,9,7
14:39,Florida State,Mfiondu Kabengele,Dunk,9,9
14:24,Florida State,M.J. Walker,Foul,9,9
14:17,Clemson,Aamir Simms,Three Point Jumper,12,9
14:05,Florida State,Trent Forrest,Missed Jumper,12,9
