TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,American,Mark Gasperini,Layup,2,0
19:26,Boston University,Max Mahoney,Layup,2,2
19:00,American,Sam Iorio,Turnover,2,2
18:59,Boston University,Max Mahoney,Steal,2,2
18:52,Boston University,Max Mahoney,Missed Layup,2,2
18:52,Boston University,Sukhmail Mathon,Offensive Rebound,2,2
18:39,Boston University,Sukhmail Mathon,Missed Layup,2,2
18:39,American,Stacy Beckton Jr.,Block,2,2
18:37,Boston University,Boston University,Offensive Rebound,2,2
18:24,Boston University,Sukhmail Mathon,Missed Layup,2,2
18:24,Boston University,Max Mahoney,Offensive Rebound,2,2
18:20,Boston University,None,None,2,4
17:52,American,Sam Iorio,Three Point Jumper,5,4
17:43,Boston University,Tyler Scanlon,Turnover,5,4
17:21,Boston University,Alex Vilarino,Foul,5,4
17:11,American,Sam Iorio,Turnover,5,4
17:10,Boston University,Alex Vilarino,Steal,5,4
17:06,Boston University,Javante McCoy,Missed Three Point Jumper,5,4
17:06,American,Larry Motuzis,Defensive Rebound,5,4
16:51,American,Mark Gasperini,Turnover,5,4
16:49,Boston University,Tyler Scanlon,Steal,5,4
16:35,Boston University,Tyler Scanlon,Missed Three Point Jumper,5,4
16:35,American,Sa'eed Nelson,Defensive Rebound,5,4
16:26,American,Mark Gasperini,Layup,7,4
16:04,Boston University,Sukhmail Mathon,Turnover,7,4
16:04,American,Mark Gasperini,Steal,7,4
15:43,American,Josh Alexander,Layup,9,4
15:27,Boston University,Alex Vilarino,Missed Jumper,9,4
15:27,American,Sa'eed Nelson,Block,9,4
15:25,Boston University,Max Mahoney,Offensive Rebound,9,4
15:20,Boston University,Javante McCoy,Layup,9,6
15:18,Boston University,None,None,9,6
15:08,American,Stacy Beckton Jr.,Three Point Jumper,12,6
14:49,American,Josh Alexander,Foul,12,6
14:49,Boston University,Jordan Guest,Missed Free Throw,12,6
14:49,Boston University,None,Team Rebound,12,6
14:49,Boston University,Jordan Guest,Free Throw,12,7
14:39,American,Sam Iorio,Missed Three Point Jumper,12,7
14:39,American,Sa'eed Nelson,Offensive Rebound,12,7
14:17,American,Stacy Beckton Jr.,Missed Jumper,12,7
14:17,Boston University,Jack Hemphill,Defensive Rebound,12,7
14:06,Boston University,Jordan Guest,Missed Three Point Jumper,12,7
14:06,Boston University,Tyler Scanlon,Offensive Rebound,12,7
