TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,Dayton,Jalen Crutcher,Missed Three Point Jumper,0,0
19:38,George Mason,Jordan Miller,Defensive Rebound,0,0
19:21,George Mason,Jarred Reuter,Turnover,0,0
19:21,Dayton,Josh Cunningham,Steal,0,0
19:00,Dayton,Ryan Mikesell,Layup,0,2
18:31,George Mason,Javon Greene,Missed Three Point Jumper,0,2
18:26,Dayton,Jalen Crutcher,Defensive Rebound,0,2
18:22,Dayton,Josh Cunningham,Layup,0,4
18:05,George Mason,Justin Kier,Jumper,2,4
17:50,Dayton,Josh Cunningham,Layup,2,6
17:34,George Mason,Jarred Reuter,Jumper,4,6
17:22,Dayton,Jalen Crutcher,Turnover,4,6
17:19,George Mason,Jarred Reuter,Turnover,4,6
17:19,Dayton,Jalen Crutcher,Steal,4,6
17:13,Dayton,Jordan Davis,Missed Three Point Jumper,4,6
17:09,George Mason,Jordan Miller,Defensive Rebound,4,6
16:55,George Mason,Jarred Reuter,Missed Jumper,4,6
16:50,Dayton,Josh Cunningham,Defensive Rebound,4,6
16:41,Dayton,Ryan Mikesell,Layup,4,8
16:18,George Mason,Justin Kier,Layup,6,8
16:07,Dayton,Ryan Mikesell,Layup,6,10
15:53,George Mason,Otis Livingston II,Missed Jumper,6,10
15:48,George Mason,Jarred Reuter,Offensive Rebound,6,10
15:47,George Mason,Jarred Reuter,Jumper,8,10
15:33,Dayton,Josh Cunningham,Three Point Jumper,8,13
15:08,George Mason,Javon Greene,Layup,10,13
14:53,Dayton,Josh Cunningham,Layup,10,15
14:39,George Mason,Justin Kier,Missed Three Point Jumper,10,15
14:34,Dayton,Josh Cunningham,Defensive Rebound,10,15
14:18,George Mason,Jordan Miller,Foul,10,15
14:18,Dayton,None,None,10,15
14:18,Dayton,Ryan Mikesell,Missed Free Throw,10,15
14:18,Dayton,None,Team Rebound,10,15
14:18,Dayton,Ryan Mikesell,Free Throw,10,16
13:59,George Mason,Javon Greene,Missed Three Point Jumper,10,16
