TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Valparaiso,Derrik Smits,Turnover,0,0
19:45,Indiana State,Emondre Rickman,Steal,0,0
19:40,Indiana State,Christian Williams,Layup,0,2
19:19,Valparaiso,Daniel Sackey,Missed Jumper,0,2
19:14,Indiana State,Emondre Rickman,Defensive Rebound,0,2
19:06,Indiana State,Emondre Rickman,Layup,0,4
18:52,Valparaiso,Markus Golder,Missed Three Point Jumper,0,4
18:47,Valparaiso,Daniel Sackey,Offensive Rebound,0,4
18:14,Indiana State,Emondre Rickman,Layup,2,6
17:50,Indiana State,Emondre Rickman,Foul,2,6
17:50,Valparaiso,Derrik Smits,Free Throw,3,6
17:50,Valparaiso,Derrik Smits,Free Throw,4,6
17:23,Indiana State,Allante Holston,Missed Jumper,4,6
17:20,Indiana State,Indiana State,Offensive Rebound,4,6
17:18,Indiana State,Bronson Kessinger,Layup,4,8
16:47,Valparaiso,Derrik Smits,Layup,6,8
16:29,Indiana State,Christian Williams,Turnover,6,8
16:29,Valparaiso,John Kiser,Steal,6,8
16:26,Indiana State,Allante Holston,Foul,6,8
16:26,Valparaiso,Markus Golder,Free Throw,7,8
16:26,Valparaiso,Markus Golder,Free Throw,8,8
15:58,Indiana State,Tyreke Key,Three Point Jumper,8,11
15:28,Valparaiso,Markus Golder,Foul,8,11
15:28,Valparaiso,Markus Golder,Turnover,8,11
15:28,Indiana State,None,None,8,11
15:22,Indiana State,Tyreke Key,Missed Layup,8,11
15:19,Valparaiso,Markus Golder,Defensive Rebound,8,11
15:13,Valparaiso,Javon Freeman,Missed Three Point Jumper,8,11
15:08,Indiana State,Jordan Barnes,Defensive Rebound,8,11
15:04,Indiana State,Tyreke Key,Missed Three Point Jumper,8,11
15:00,Indiana State,Allante Holston,Offensive Rebound,8,11
14:53,Indiana State,Cooper Neese,Missed Three Point Jumper,8,11
14:49,Valparaiso,Jaume Sorolla,Defensive Rebound,8,11
14:31,Valparaiso,John Kiser,Jumper,10,11
14:05,Indiana State,Jordan Barnes,Missed Three Point Jumper,10,11
14:02,Valparaiso,Deion Lavender,Defensive Rebound,10,11
13:52,Valparaiso,Jaume Sorolla,Foul,10,11
13:52,Valparaiso,Jaume Sorolla,Turnover,10,11
13:31,Indiana State,Cooper Neese,Jumper,10,13
13:02,Valparaiso,Markus Golder,Missed Jumper,10,13
12:59,Indiana State,Emondre Rickman,Defensive Rebound,10,13
