TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:21,Bryant,Adam Grant,Missed Jumper,2,0
19:21,Central Connecticut,Deion Bute,Block,2,0
19:17,Central Connecticut,Tyler Kohl,Defensive Rebound,2,0
19:13,Central Connecticut,Tyler Kohl,Turnover,2,0
18:50,Bryant,SaBastian Townes,Layup,2,2
18:28,Central Connecticut,Jamir Coleman,Missed Jumper,2,2
18:24,Central Connecticut,Tyson Batiste,Offensive Rebound,2,2
18:02,Central Connecticut,Deion Bute,Turnover,2,2
18:02,Bryant,SaBastian Townes,Steal,2,2
17:35,Bryant,Byron Hawkins,Missed Jumper,2,2
17:32,Central Connecticut,Jamir Coleman,Defensive Rebound,2,2
17:25,Central Connecticut,Tyson Batiste,Turnover,2,2
17:06,Bryant,SaBastian Townes,Three Point Jumper,2,5
16:44,Central Connecticut,Tyler Kohl,Missed Jumper,2,5
16:39,Bryant,Taylor McHugh,Defensive Rebound,2,5
16:15,Bryant,Byron Hawkins,Missed Three Point Jumper,2,5
16:11,Central Connecticut,Jamir Coleman,Defensive Rebound,2,5
15:59,Central Connecticut,Ian Krishnan,Missed Three Point Jumper,2,5
15:56,Bryant,Juan Cardenas,Defensive Rebound,2,5
15:37,Bryant,Byron Hawkins,Foul,2,5
15:37,Bryant,Byron Hawkins,Turnover,2,5
15:37,Bryant,None,None,2,5
15:23,Central Connecticut,Tyler Kohl,Missed Layup,2,5
15:20,Bryant,SaBastian Townes,Defensive Rebound,2,5
14:51,Bryant,Bryant ,Turnover,2,5
14:34,Central Connecticut,Tyler Kohl,Layup,4,5
14:09,Bryant,SaBastian Townes,Jumper,4,7
13:50,Central Connecticut,Jamir Coleman,Jumper,6,7
13:28,Bryant,Juan Cardenas,Foul,6,7
13:28,Bryant,Juan Cardenas,Turnover,6,7
13:12,Central Connecticut,Ian Krishnan,Missed Jumper,6,7
13:09,Central Connecticut,Tyler Kohl,Offensive Rebound,6,7
13:08,Central Connecticut,Tyler Kohl,Layup,8,7
12:57,Bryant,SaBastian Townes,Foul,8,7
12:57,Bryant,SaBastian Townes,Turnover,8,7
12:41,Central Connecticut,Deion Bute,Missed Layup,8,7
12:38,Central Connecticut,Tyson Batiste,Offensive Rebound,8,7
12:37,Central Connecticut,Tyson Batiste,Missed Layup,8,7
12:35,Bryant,Patrick Harding,Defensive Rebound,8,7
12:14,Bryant,Byron Hawkins,Jumper,8,9
11:56,Central Connecticut,Tyler Kohl,Missed Layup,8,9
11:54,Bryant,Bryant,Defensive Rebound,8,9
11:33,Bryant,SaBastian Townes,Missed Layup,8,9
11:33,Central Connecticut,Deion Bute,Block,8,9
11:28,Central Connecticut,Thai Segwai,Defensive Rebound,8,9
11:24,Central Connecticut,Deion Bute,Layup,10,9
11:05,Bryant,Joe Kasperzyk,Layup,10,11
10:46,Central Connecticut,Tyler Kohl,Turnover,10,11
10:31,Bryant,Joe Kasperzyk,Layup,10,13
10:03,Central Connecticut,Tyler Kohl,Missed Jumper,10,13
10:01,Bryant,Juan Cardenas,Defensive Rebound,10,13
10:01,Central Connecticut,Kashaun Hicks,Foul,10,13
9:38,Bryant,Adam Grant,Missed Three Point Jumper,10,13
9:36,Bryant,Juan Cardenas,Offensive Rebound,10,13
9:30,Bryant,Joe Kasperzyk,Missed Layup,10,13
9:27,Central Connecticut,Kashaun Hicks,Defensive Rebound,10,13
9:14,Central Connecticut,Kashaun Hicks,Layup,12,13
8:56,Bryant,Taylor McHugh,Three Point Jumper,12,16
8:36,Central Connecticut,Kashaun Hicks,Three Point Jumper,15,16
8:11,Bryant,Joe Kasperzyk,Missed Layup,15,16
8:08,Central Connecticut,Karrington Wallace,Defensive Rebound,15,16
8:04,Central Connecticut,Tyler Kohl,Missed Three Point Jumper,15,16
8:00,Bryant,Taylor McHugh,Defensive Rebound,15,16
7:42,Bryant,Taylor McHugh,Missed Three Point Jumper,15,16
7:39,Central Connecticut,Karrington Wallace,Defensive Rebound,15,16
7:35,Central Connecticut,Ian Krishnan,Missed Three Point Jumper,15,16
7:31,Bryant,Juan Cardenas,Defensive Rebound,15,16
7:06,Bryant,Juan Cardenas,Missed Three Point Jumper,15,16
7:04,Central Connecticut,Tyler Kohl,Defensive Rebound,15,16
6:56,Central Connecticut,Thai Segwai,Missed Layup,15,16
6:54,Bryant,Patrick Harding,Defensive Rebound,15,16
6:47,Bryant,Juan Cardenas,Missed Three Point Jumper,15,16
6:44,Bryant,Taylor McHugh,Offensive Rebound,15,16
6:27,Bryant,Patrick Harding,Missed Jumper,15,16
6:24,Central Connecticut,Kashaun Hicks,Defensive Rebound,15,16
6:13,Bryant,Adam Grant,Foul,15,16
6:13,Bryant,None,None,15,16
5:59,Central Connecticut,Kashaun Hicks,Missed Three Point Jumper,15,16
5:59,Central Connecticut,Deion Bute,Offensive Rebound,15,16
5:59,Bryant,Nino Hernandez,Foul,15,16
5:59,Central Connecticut,Deion Bute,Free Throw,16,16
5:59,Central Connecticut,Deion Bute,Free Throw,17,16
5:40,Central Connecticut,Kashaun Hicks,Foul,17,16
5:40,Bryant,Joe Kasperzyk,Free Throw,17,17
5:40,Bryant,Joe Kasperzyk,Free Throw,17,18
5:18,Central Connecticut,Kashaun Hicks,Layup,19,18
5:01,Central Connecticut,Deion Bute,Foul,19,18
4:49,Bryant,Byron Hawkins,Three Point Jumper,19,21
4:17,Central Connecticut,Tyler Kohl,Missed Jumper,19,21
4:14,Central Connecticut,Deion Bute,Offensive Rebound,19,21
4:13,Central Connecticut,Deion Bute,Layup,21,21
3:58,Bryant,Byron Hawkins,Three Point Jumper,21,24
3:41,Central Connecticut,Tyler Kohl,Missed Jumper,21,24
3:38,Bryant,Byron Hawkins,Defensive Rebound,21,24
3:35,Bryant,Joe Kasperzyk,Missed Dunk,21,24
3:32,Central Connecticut,Kashaun Hicks,Defensive Rebound,21,24
3:28,Central Connecticut,Kashaun Hicks,Three Point Jumper,24,24
3:25,Central Connecticut,Tyler Kohl,Foul,24,24
3:25,Bryant,Taylor McHugh,Foul,24,24
3:24,Bryant,None,None,24,24
3:05,Bryant,Byron Hawkins,Missed Jumper,24,24
3:05,Central Connecticut,Kashaun Hicks,Defensive Rebound,24,24
3:05,Central Connecticut,Tyson Batiste,Foul,24,24
3:05,Central Connecticut,Tyson Batiste,Turnover,24,24
2:52,Bryant,Adam Grant,Three Point Jumper,24,27
2:32,Central Connecticut,Kashaun Hicks,Jumper,26,27
2:13,Bryant,Adam Grant,Missed Three Point Jumper,26,27
2:10,Central Connecticut,Deion Bute,Defensive Rebound,26,27
2:02,Central Connecticut,Jamir Coleman,Missed Three Point Jumper,26,27
1:59,Central Connecticut,Deion Bute,Offensive Rebound,26,27
1:58,Central Connecticut,Deion Bute,Layup,28,27
1:31,Bryant,SaBastian Townes,Missed Layup,28,27
1:29,Bryant,SaBastian Townes,Offensive Rebound,28,27
1:28,Bryant,SaBastian Townes,Missed Layup,28,27
1:26,Central Connecticut,Deion Bute,Defensive Rebound,28,27
1:15,Central Connecticut,Tyler Kohl,Layup,30,27
1:07,Bryant,None,None,30,27
0:53,Bryant,Joe Kasperzyk,Missed Three Point Jumper,30,27
0:50,Central Connecticut,Tyler Kohl,Defensive Rebound,30,27
0:46,Central Connecticut,Jamir Coleman,Missed Layup,30,27
0:44,Bryant,SaBastian Townes,Defensive Rebound,30,27
0:44,Central Connecticut,Harrison Kay,Foul,30,27
0:20,Bryant,Joe Kasperzyk,Turnover,30,27
0:20,Central Connecticut,None,None,30,27
0:01,Central Connecticut,Tyler Kohl,Missed Jumper,30,27
0:01,Bryant,Bryant,Defensive Rebound,30,27
0:00,Bryant,None,None,30,27
19:48,Bryant,Juan Cardenas,Jumper,30,29
19:28,Bryant,SaBastian Townes,Foul,30,29
19:28,Central Connecticut,Deion Bute,Free Throw,31,29
19:28,Central Connecticut,Deion Bute,Missed Free Throw,31,29
19:26,Bryant,SaBastian Townes,Defensive Rebound,31,29
19:12,Bryant,SaBastian Townes,Three Point Jumper,31,32
19:11,Central Connecticut,Deion Bute,Foul,31,32
19:11,Bryant,SaBastian Townes,Free Throw,31,33
18:48,Central Connecticut,Ian Krishnan,Three Point Jumper,34,33
18:35,Bryant,Byron Hawkins,Missed Three Point Jumper,34,33
18:32,Central Connecticut,Deion Bute,Defensive Rebound,34,33
18:28,Central Connecticut,Deion Bute,Turnover,34,33
18:28,Bryant,Juan Cardenas,Steal,34,33
18:21,Bryant,Adam Grant,Missed Layup,34,33
