TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Abilene Christian,Jalone Friday,Missed Jumper,0,0
19:38,Central Arkansas,Hayden Koval,Defensive Rebound,0,0
19:23,Central Arkansas,Eddy Kayouloud,Missed Layup,0,0
19:23,Abilene Christian,B.J. Maxwell,Block,0,0
19:22,Abilene Christian,Jalone Friday,Defensive Rebound,0,0
19:09,Abilene Christian,Jalone Friday,Missed Jumper,0,0
19:09,Central Arkansas,Khaleem Bennett,Defensive Rebound,0,0
18:49,Central Arkansas,Khaleem Bennett,Turnover,0,0
18:48,Abilene Christian,B.J. Maxwell,Steal,0,0
18:46,Abilene Christian,Jaylen Franklin,Layup,0,2
18:17,Central Arkansas,Hayden Koval,Jumper,2,2
17:58,Abilene Christian,Jalone Friday,Missed Jumper,2,2
17:58,Central Arkansas,Eddy Kayouloud,Defensive Rebound,2,2
17:51,Central Arkansas,DeAndre Jones,Jumper,4,2
17:30,Abilene Christian,B.J. Maxwell,Missed Three Point Jumper,4,2
17:30,Abilene Christian,Jaren Lewis,Offensive Rebound,4,2
17:26,Abilene Christian,None,None,4,4
17:09,Central Arkansas,Eddy Kayouloud,Missed Three Point Jumper,4,4
17:09,Abilene Christian,Jaylen Franklin,Defensive Rebound,4,4
17:03,Abilene Christian,Jaylen Franklin,Turnover,4,4
16:58,Central Arkansas,Eddy Kayouloud,Steal,4,4
16:48,Abilene Christian,Hayden Farquhar,Foul,4,4
16:48,Central Arkansas,Hayden Koval,Free Throw,5,4
16:48,Central Arkansas,Hayden Koval,Free Throw,6,4
16:31,Central Arkansas,Hayden Koval,Foul,6,4
16:31,Abilene Christian,Jaren Lewis,Free Throw,6,5
16:31,Abilene Christian,Jaren Lewis,Free Throw,6,6
16:12,Central Arkansas,Thatch Unruh,Turnover,6,6
15:52,Abilene Christian,Hayden Farquhar,Jumper,6,8
15:33,Central Arkansas,DeAndre Jones,Missed Three Point Jumper,6,8
15:33,Central Arkansas,Khaleem Bennett,Offensive Rebound,6,8
15:29,Central Arkansas,Khaleem Bennett,Missed Jumper,6,8
15:29,Abilene Christian,B.J. Maxwell,Block,6,8
15:28,Abilene Christian,Hayden Farquhar,Defensive Rebound,6,8
15:23,Abilene Christian,B.J. Maxwell,Layup,6,10
15:09,Abilene Christian,Payten Ricks,Foul,6,10
15:09,Abilene Christian,None,None,6,10
14:57,Central Arkansas,Khaleem Bennett,Missed Jumper,6,10
14:57,Central Arkansas,Khaleem Bennett,Offensive Rebound,6,10
14:54,Central Arkansas,Khaleem Bennett,Missed Jumper,6,10
14:54,Abilene Christian,Hayden Farquhar,Block,6,10
14:53,Central Arkansas,Matthew Mondesir,Offensive Rebound,6,10
14:42,Central Arkansas,Khaleem Bennett,Missed Jumper,6,10
14:42,Abilene Christian,Abilene Christian,Defensive Rebound,6,10
14:18,Abilene Christian,Damien Daniels,Missed Three Point Jumper,6,10
14:18,Central Arkansas,Central Arkansas,Defensive Rebound,6,10
13:51,Central Arkansas,Matthew Mondesir,Missed Three Point Jumper,6,10
13:51,Abilene Christian,Damien Daniels,Defensive Rebound,6,10
13:40,Central Arkansas,Matthew Mondesir,Foul,6,10
13:36,Abilene Christian,Hayden Farquhar,Missed Three Point Jumper,6,10
13:36,Central Arkansas,Thatch Unruh,Defensive Rebound,6,10
13:25,Central Arkansas,DeAndre Jones,Jumper,8,10
