TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,NC State,None,None,0,0
19:34,NC State,Wyatt Walker,Turnover,0,0
19:06,Clemson,Aamir Simms,Missed Three Point Jumper,0,0
19:06,NC State,Braxton Beverly,Defensive Rebound,0,0
18:56,NC State,Braxton Beverly,Missed Jumper,0,0
18:56,Clemson,David Skara,Block,0,0
18:56,NC State,Torin Dorn,Offensive Rebound,0,0
18:42,NC State,Torin Dorn,Jumper,0,2
18:20,Clemson,Elijah Thomas,Missed Jumper,0,2
18:20,NC State,C.J. Bryce,Defensive Rebound,0,2
18:09,NC State,C.J. Bryce,Missed Jumper,0,2
18:09,Clemson,Marcquise Reed,Defensive Rebound,0,2
17:59,Clemson,Marcquise Reed,Missed Jumper,0,2
17:59,NC State,Torin Dorn,Defensive Rebound,0,2
17:46,NC State,Wyatt Walker,Missed Layup,0,2
17:46,Clemson,Elijah Thomas,Defensive Rebound,0,2
17:36,Clemson,Elijah Thomas,Layup,2,2
17:21,NC State,Torin Dorn,Missed Three Point Jumper,2,2
17:21,Clemson,Elijah Thomas,Defensive Rebound,2,2
17:10,Clemson,Marcquise Reed,Turnover,2,2
16:54,NC State,Torin Dorn,Layup,2,4
16:34,Clemson,Elijah Thomas,Missed Layup,2,4
16:34,Clemson,David Skara,Offensive Rebound,2,4
16:34,Clemson,None,None,2,4
16:34,NC State,C.J. Bryce,Defensive Rebound,2,4
16:22,NC State,Braxton Beverly,Missed Three Point Jumper,2,4
16:22,Clemson,Marcquise Reed,Defensive Rebound,2,4
16:16,Clemson,Shelton Mitchell,Layup,4,4
16:01,NC State,DJ Funderburk,Missed Three Point Jumper,4,4
16:01,Clemson,David Skara,Defensive Rebound,4,4
15:39,NC State,DJ Funderburk,Foul,4,4
15:39,NC State,None,None,4,4
15:39,Clemson,Marcquise Reed,Free Throw,5,4
15:39,Clemson,Marcquise Reed,Free Throw,6,4
15:12,NC State,DJ Funderburk,Missed Layup,6,4
15:12,Clemson,Elijah Thomas,Block,6,4
15:12,Clemson,Elijah Thomas,Defensive Rebound,6,4
15:01,Clemson,Elijah Thomas,Layup,8,4
14:42,NC State,C.J. Bryce,Three Point Jumper,8,7
14:25,Clemson,None,None,8,7
14:10,Clemson,Marcquise Reed,Jumper,10,7
13:43,NC State,C.J. Bryce,Turnover,10,7
13:43,Clemson,John Newman III,Steal,10,7
13:28,Clemson,John Newman III,Dunk,12,7
13:14,NC State,DJ Funderburk,Jumper,12,9
12:52,Clemson,John Newman III,Turnover,12,9
12:32,NC State,Devon Daniels,Jumper,12,11
12:06,NC State,Devon Daniels,Foul,12,11
11:57,Clemson,Clyde Trapp,Jumper,14,11
11:36,NC State,Braxton Beverly,Layup,14,13
11:09,Clemson,Shelton Mitchell,Jumper,16,13
10:55,NC State,Jericole Hellems,Missed Three Point Jumper,16,13
10:55,Clemson,David Skara,Defensive Rebound,16,13
10:35,Clemson,David Skara,Missed Three Point Jumper,16,13
10:35,Clemson,David Skara,Offensive Rebound,16,13
10:26,Clemson,Elijah Thomas,Foul,16,13
10:26,NC State,None,None,16,13
10:26,Clemson,Elijah Thomas,Turnover,16,13
10:26,NC State,None,None,16,13
10:18,NC State,Braxton Beverly,Missed Layup,16,13
10:18,NC State,Braxton Beverly,Offensive Rebound,16,13
10:12,NC State,Braxton Beverly,Missed Layup,16,13
10:12,NC State,Jericole Hellems,Offensive Rebound,16,13
10:02,NC State,Jericole Hellems,Layup,16,15
9:54,Clemson,Aamir Simms,Missed Three Point Jumper,16,15
9:54,NC State,Devon Daniels,Defensive Rebound,16,15
9:36,NC State,Devon Daniels,Jumper,16,17
9:23,Clemson,Shelton Mitchell,Missed Jumper,16,17
9:23,NC State,C.J. Bryce,Defensive Rebound,16,17
9:14,NC State,Jericole Hellems,Missed Three Point Jumper,16,17
9:14,NC State,Wyatt Walker,Offensive Rebound,16,17
9:08,NC State,C.J. Bryce,Layup,16,19
8:35,NC State,Jericole Hellems,Foul,16,19
8:35,Clemson,Aamir Simms,Missed Free Throw,16,19
8:35,Clemson,None,Team Rebound,16,19
8:35,Clemson,Aamir Simms,Free Throw,17,19
8:17,NC State,C.J. Bryce,Jumper,17,21
7:55,Clemson,Shelton Mitchell,Turnover,17,21
7:55,NC State,None,None,17,21
7:40,NC State,Braxton Beverly,Missed Three Point Jumper,17,21
7:40,Clemson,Marcquise Reed,Defensive Rebound,17,21
7:28,NC State,Eric Lockett,Foul,17,21
7:28,Clemson,Shelton Mitchell,Free Throw,18,21
7:28,Clemson,Shelton Mitchell,Free Throw,19,21
7:12,NC State,Braxton Beverly,Turnover,19,21
7:12,Clemson,Aamir Simms,Steal,19,21
7:00,Clemson,Marcquise Reed,Missed Three Point Jumper,19,21
7:00,NC State,C.J. Bryce,Defensive Rebound,19,21
6:51,NC State,C.J. Bryce,Turnover,19,21
6:51,Clemson,Marcquise Reed,Steal,19,21
6:43,Clemson,Aamir Simms,Turnover,19,21
6:28,NC State,DJ Funderburk,Missed Three Point Jumper,19,21
6:28,Clemson,Shelton Mitchell,Defensive Rebound,19,21
6:18,Clemson,Elijah Thomas,Missed Dunk,19,21
6:18,NC State,Eric Lockett,Defensive Rebound,19,21
6:13,Clemson,Aamir Simms,Foul,19,21
6:13,NC State,Eric Lockett,Free Throw,19,22
6:13,NC State,Eric Lockett,Free Throw,19,23
5:47,Clemson,Elijah Thomas,Turnover,19,23
5:38,NC State,C.J. Bryce,Missed Jumper,19,23
5:38,Clemson,Aamir Simms,Defensive Rebound,19,23
5:27,Clemson,Marcquise Reed,Missed Jumper,19,23
5:27,NC State,Eric Lockett,Defensive Rebound,19,23
5:06,NC State,Markell Johnson,Missed Three Point Jumper,19,23
5:06,Clemson,Aamir Simms,Defensive Rebound,19,23
4:37,Clemson,David Skara,Foul,19,23
4:37,Clemson,David Skara,Turnover,19,23
4:17,NC State,Markell Johnson,Layup,19,25
3:55,Clemson,Clyde Trapp,Turnover,19,25
3:55,NC State,DJ Funderburk,Steal,19,25
3:55,Clemson,Elijah Thomas,Foul,19,25
3:55,NC State,None,None,19,25
3:33,NC State,DJ Funderburk,Missed Layup,19,25
3:33,Clemson,David Skara,Defensive Rebound,19,25
3:16,NC State,Markell Johnson,Foul,19,25
3:16,Clemson,Marcquise Reed,Free Throw,20,25
3:16,Clemson,Marcquise Reed,Free Throw,21,25
3:00,NC State,Markell Johnson,Turnover,21,25
3:00,Clemson,Clyde Trapp,Steal,21,25
2:55,Clemson,Shelton Mitchell,Layup,23,25
2:30,NC State,Devon Daniels,Jumper,23,27
2:19,NC State,Torin Dorn,Foul,23,27
2:16,Clemson,Marcquise Reed,Missed Jumper,23,27
2:16,NC State,C.J. Bryce,Defensive Rebound,23,27
2:03,NC State,Torin Dorn,Missed Jumper,23,27
2:03,Clemson,Clyde Trapp,Defensive Rebound,23,27
1:34,NC State,DJ Funderburk,Foul,23,27
1:34,Clemson,Aamir Simms,Missed Free Throw,23,27
1:34,Clemson,None,Team Rebound,23,27
1:34,Clemson,Aamir Simms,Free Throw,24,27
1:13,NC State,Jericole Hellems,Turnover,24,27
1:13,Clemson,Marcquise Reed,Steal,24,27
1:13,NC State,Jericole Hellems,Foul,24,27
1:13,Clemson,Marcquise Reed,Missed Free Throw,24,27
1:13,NC State,Devon Daniels,Defensive Rebound,24,27
1:03,NC State,Devon Daniels,Missed Three Point Jumper,24,27
1:03,Clemson,John Newman III,Defensive Rebound,24,27
0:34,Clemson,Clyde Trapp,Turnover,24,27
0:34,NC State,Braxton Beverly,Steal,24,27
0:28,NC State,C.J. Bryce,Three Point Jumper,24,30
0:01,Clemson,Marcquise Reed,Missed Jumper,24,30
0:01,NC State,C.J. Bryce,Defensive Rebound,24,30
0:00,NC State,None,None,24,30
20:00,Clemson,None,None,24,30
19:50,Clemson,Marcquise Reed,Missed Jumper,24,30
19:50,Clemson,Aamir Simms,Offensive Rebound,24,30
19:36,Clemson,Aamir Simms,Layup,26,30
19:29,NC State,Braxton Beverly,Missed Three Point Jumper,26,30
19:29,NC State,Wyatt Walker,Offensive Rebound,26,30
19:08,NC State,Eric Lockett,Turnover,26,30
19:08,Clemson,David Skara,Steal,26,30
18:57,Clemson,Marcquise Reed,Missed Jumper,26,30
18:57,NC State,Braxton Beverly,Defensive Rebound,26,30
18:48,NC State,Torin Dorn,Jumper,26,32
18:19,Clemson,Elijah Thomas,Foul,26,32
18:19,Clemson,Elijah Thomas,Turnover,26,32
18:04,NC State,Wyatt Walker,Foul,26,32
18:04,NC State,Wyatt Walker,Turnover,26,32
17:46,Clemson,Shelton Mitchell,Missed Layup,26,32
17:46,NC State,Eric Lockett,Defensive Rebound,26,32
17:34,NC State,Eric Lockett,Three Point Jumper,26,35
17:08,NC State,Braxton Beverly,Foul,26,35
17:08,Clemson,Marcquise Reed,Free Throw,27,35
17:08,Clemson,Marcquise Reed,Free Throw,28,35
16:54,Clemson,Marcquise Reed,Foul,28,35
16:47,NC State,Torin Dorn,Missed Jumper,28,35
16:47,Clemson,Clyde Trapp,Defensive Rebound,28,35
16:34,Clemson,David Skara,Missed Jumper,28,35
16:34,NC State,Braxton Beverly,Defensive Rebound,28,35
16:27,NC State,Braxton Beverly,Layup,28,37
16:22,NC State,Eric Lockett,Foul,28,37
15:59,Clemson,David Skara,Layup,30,37
15:28,NC State,Wyatt Walker,Foul,30,37
15:28,NC State,Wyatt Walker,Turnover,30,37
15:28,NC State,None,None,30,37
15:18,Clemson,Javan White,Layup,32,37
14:58,Clemson,David Skara,Foul,32,37
14:45,Clemson,Javan White,Foul,32,37
14:27,Clemson,Marcquise Reed,Foul,32,37
14:27,NC State,DJ Funderburk,Free Throw,32,38
14:27,NC State,DJ Funderburk,Free Throw,32,39
14:20,Clemson,Clyde Trapp,Dunk,34,39
14:00,NC State,DJ Funderburk,Turnover,34,39
13:42,Clemson,Clyde Trapp,Turnover,34,39
13:30,Clemson,Clyde Trapp,Foul,34,39
13:20,NC State,Torin Dorn,Missed Three Point Jumper,34,39
13:20,Clemson,Marcquise Reed,Defensive Rebound,34,39
13:11,NC State,DJ Funderburk,Foul,34,39
13:01,Clemson,Marcquise Reed,Missed Jumper,34,39
13:01,NC State,Devon Daniels,Defensive Rebound,34,39
12:48,Clemson,Javan White,Foul,34,39
12:48,NC State,C.J. Bryce,Free Throw,34,40
12:48,NC State,C.J. Bryce,Free Throw,34,41
12:24,Clemson,Elijah Thomas,Layup,36,41
12:07,NC State,Markell Johnson,Jumper,36,43
11:53,Clemson,John Newman III,Jumper,38,43
11:37,NC State,C.J. Bryce,Three Point Jumper,38,46
11:01,Clemson,Elijah Thomas,Layup,40,46
11:01,NC State,Wyatt Walker,Foul,40,46
11:01,NC State,None,None,40,46
11:01,Clemson,Elijah Thomas,Free Throw,41,46
10:44,NC State,Markell Johnson,Three Point Jumper,41,49
10:32,Clemson,Marcquise Reed,Jumper,43,49
