TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,Bryant,Adam Grant,Layup,0,2
19:16,Bryant,SaBastian Townes,Foul,0,2
19:09,Fairleigh Dickinson,Darnell Edge,Missed Jumper,0,2
19:05,Fairleigh Dickinson,Mike Holloway Jr.,Offensive Rebound,0,2
19:03,Fairleigh Dickinson,Mike Holloway Jr.,Missed Layup,0,2
18:58,Fairleigh Dickinson,Kaleb Bishop,Offensive Rebound,0,2
18:58,Fairleigh Dickinson,Kaleb Bishop,Layup,2,2
18:44,Bryant,Adam Grant,Missed Jumper,2,2
18:40,Fairleigh Dickinson,Xzavier Malone-Key,Defensive Rebound,2,2
18:27,Fairleigh Dickinson,Kaleb Bishop,Missed Layup,2,2
18:24,Bryant,Taylor McHugh,Defensive Rebound,2,2
18:04,Bryant,Byron Hawkins,Layup,2,4
17:36,Bryant,Juan Cardenas,Foul,2,4
17:36,Fairleigh Dickinson,Kaleb Bishop,Free Throw,3,4
17:36,Fairleigh Dickinson,Kaleb Bishop,Free Throw,4,4
17:14,Bryant,Byron Hawkins,Missed Three Point Jumper,4,4
17:11,Fairleigh Dickinson,Xzavier Malone-Key,Defensive Rebound,4,4
17:06,Bryant,Byron Hawkins,Foul,4,4
16:57,Fairleigh Dickinson,Xzavier Malone-Key,Layup,6,4
16:31,Bryant,SaBastian Townes,Turnover,6,4
16:31,Fairleigh Dickinson,Kaleb Bishop,Steal,6,4
16:25,Bryant,SaBastian Townes,Foul,6,4
16:18,Fairleigh Dickinson,Darnell Edge,Turnover,6,4
16:18,Bryant,Patrick Harding,Steal,6,4
16:01,Bryant,Juan Cardenas,Three Point Jumper,6,7
15:40,Bryant,Patrick Harding,Foul,6,7
15:40,Bryant,None,None,6,7
15:40,Fairleigh Dickinson,Mike Holloway Jr.,Missed Free Throw,6,7
15:40,Fairleigh Dickinson,None,Team Rebound,6,7
15:40,Fairleigh Dickinson,Mike Holloway Jr.,Free Throw,7,7
15:24,Fairleigh Dickinson,Brandon Powell,Foul,7,7
15:24,Bryant,Patrick Harding,Missed Free Throw,7,7
15:24,Bryant,None,Team Rebound,7,7
15:24,Bryant,Patrick Harding,Free Throw,7,8
15:01,Fairleigh Dickinson,Brandon Powell,Three Point Jumper,10,8
14:35,Fairleigh Dickinson,Jahlil Jenkins,Foul,10,8
14:35,Fairleigh Dickinson,Brandon Powell,Foul,10,8
14:24,Bryant,Joe Kasperzyk,Missed Layup,10,8
14:24,Fairleigh Dickinson,Elyjah Williams,Block,10,8
14:24,Bryant,Bryant,Offensive Rebound,10,8
14:18,Bryant,Byron Hawkins,Missed Three Point Jumper,10,8
14:16,Fairleigh Dickinson,Darnell Edge,Defensive Rebound,10,8
13:51,Fairleigh Dickinson,Darnell Edge,Turnover,10,8
13:51,Bryant,Joe Kasperzyk,Steal,10,8
13:47,Bryant,Joe Kasperzyk,Missed Dunk,10,8
