TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:31,Northwestern State,Malik Metoyer,Missed Three Point Jumper,0,0
19:31,SE Louisiana,Brandon Gonzalez,Defensive Rebound,0,0
19:05,SE Louisiana,Moses Greenwood,Jumper,2,0
18:44,Northwestern State,LaTerrance Reed,Missed Three Point Jumper,2,0
18:44,SE Louisiana,Brandon Gonzalez,Defensive Rebound,2,0
18:33,SE Louisiana,Tyron Brewer,Missed Layup,2,0
18:33,Northwestern State,Ishmael Lane,Defensive Rebound,2,0
18:13,Northwestern State,Ishmael Lane,Missed Jumper,2,0
18:13,SE Louisiana,Moses Greenwood,Defensive Rebound,2,0
18:07,SE Louisiana,Brandon Gonzalez,Three Point Jumper,5,0
17:46,Northwestern State,Brian White,Three Point Jumper,5,3
17:25,SE Louisiana,Moses Greenwood,Jumper,7,3
17:05,SE Louisiana,Moses Greenwood,Foul,7,3
17:05,Northwestern State,Malik Metoyer,Free Throw,7,4
17:05,Northwestern State,Malik Metoyer,Free Throw,7,5
16:51,SE Louisiana,Brandon Gonzalez,Three Point Jumper,10,5
16:30,Northwestern State,Brian White,Missed Jumper,10,5
16:30,SE Louisiana,Brandon Gonzalez,Defensive Rebound,10,5
16:12,SE Louisiana,Moses Greenwood,Missed Three Point Jumper,10,5
16:12,Northwestern State,Ishmael Lane,Defensive Rebound,10,5
16:09,SE Louisiana,Marlain Veal,Foul,10,5
15:40,Northwestern State,DeAndre Love,Missed Three Point Jumper,10,5
15:40,SE Louisiana,Tyron Brewer,Defensive Rebound,10,5
15:33,SE Louisiana,Marlain Veal,Turnover,10,5
15:33,Northwestern State,None,None,10,5
15:12,Northwestern State,DeAndre Love,Turnover,10,5
14:55,SE Louisiana,Moses Greenwood,Missed Layup,10,5
14:55,Northwestern State,DeAndre Love,Block,10,5
14:53,SE Louisiana,Marlain Veal,Offensive Rebound,10,5
14:51,SE Louisiana,Marlain Veal,Layup,12,5
14:32,Northwestern State,LaTerrance Reed,Three Point Jumper,12,8
14:05,SE Louisiana,Brandon Gonzalez,Turnover,12,8
14:03,Northwestern State,LaTerrance Reed,Steal,12,8
14:00,Northwestern State,LaTerrance Reed,Missed Jumper,12,8
14:00,SE Louisiana,Tyron Brewer,Defensive Rebound,12,8
13:53,SE Louisiana,Marlain Veal,Three Point Jumper,15,8
13:48,Northwestern State,None,None,15,8
13:20,Northwestern State,Larry Owens,Turnover,15,8
13:19,SE Louisiana,Marlain Veal,Steal,15,8
13:15,SE Louisiana,Tyron Brewer,Turnover,15,8
13:14,Northwestern State,John Norvel,Steal,15,8
12:55,Northwestern State,Jacob Guest,Missed Three Point Jumper,15,8
12:55,SE Louisiana,Von Julien,Defensive Rebound,15,8
12:49,Northwestern State,C.J. Jones,Foul,15,8
12:49,SE Louisiana,Tyron Brewer,Free Throw,16,8
12:49,SE Louisiana,Tyron Brewer,Free Throw,17,8
12:42,Northwestern State,John Norvel,Three Point Jumper,17,11
12:22,SE Louisiana,Tyron Brewer,Missed Jumper,17,11
12:22,Northwestern State,Larry Owens,Defensive Rebound,17,11
11:57,Northwestern State,Darian Dixon,Layup,17,13
11:57,SE Louisiana,Moses Greenwood,Foul,17,13
11:57,Northwestern State,None,None,17,13
11:57,Northwestern State,Darian Dixon,Free Throw,17,14
11:40,Northwestern State,Larry Owens,Foul,17,14
11:40,SE Louisiana,Marlain Veal,Missed Three Point Jumper,17,14
11:40,Northwestern State,Larry Owens,Defensive Rebound,17,14
11:30,Northwestern State,Jacob Guest,Missed Jumper,17,14
11:30,SE Louisiana,SE Louisiana,Defensive Rebound,17,14
10:58,SE Louisiana,Brandon Gonzalez,Missed Three Point Jumper,17,14
10:58,Northwestern State,Darian Dixon,Defensive Rebound,17,14
10:45,Northwestern State,Jacob Guest,Missed Three Point Jumper,17,14
10:45,Northwestern State,Larry Owens,Offensive Rebound,17,14
10:39,Northwestern State,C.J. Jones,Missed Three Point Jumper,17,14
10:39,Northwestern State,Darian Dixon,Offensive Rebound,17,14
10:18,SE Louisiana,Moses Greenwood,Foul,17,14
10:18,Northwestern State,Darian Dixon,Free Throw,17,15
10:18,Northwestern State,Darian Dixon,Missed Free Throw,17,15
10:18,SE Louisiana,Pape Diop,Defensive Rebound,17,15
10:10,SE Louisiana,Pape Diop,Missed Layup,17,15
10:10,Northwestern State,Jacob Guest,Defensive Rebound,17,15
9:52,Northwestern State,Jacob Guest,Missed Three Point Jumper,17,15
9:52,SE Louisiana,Pape Diop,Defensive Rebound,17,15
9:28,SE Louisiana,Maxwell Starwood,Missed Jumper,17,15
9:28,Northwestern State,John Norvel,Defensive Rebound,17,15
9:18,Northwestern State,Larry Owens,Missed Jumper,17,15
9:18,SE Louisiana,Maxwell Starwood,Defensive Rebound,17,15
9:14,Northwestern State,Larry Owens,Foul,17,15
8:56,SE Louisiana,Jeremiah Saunders,Missed Three Point Jumper,17,15
8:56,Northwestern State,Ishmael Lane,Defensive Rebound,17,15
8:29,Northwestern State,Ishmael Lane,Turnover,17,15
8:27,SE Louisiana,Jeremiah Saunders,Steal,17,15
8:25,SE Louisiana,Kajon Brown,Turnover,17,15
8:05,Northwestern State,Ishmael Lane,Missed Layup,17,15
8:05,SE Louisiana,Pape Diop,Defensive Rebound,17,15
7:56,Northwestern State,Ishmael Lane,Foul,17,15
7:56,Northwestern State,None,None,17,15
7:56,SE Louisiana,Marlain Veal,Free Throw,18,15
7:56,SE Louisiana,Marlain Veal,Free Throw,19,15
7:48,Northwestern State,Brian White,Three Point Jumper,19,18
7:32,SE Louisiana,Jeremiah Saunders,Turnover,19,18
7:31,Northwestern State,Brian White,Steal,19,18
7:22,Northwestern State,LaTerrance Reed,Missed Three Point Jumper,19,18
7:22,SE Louisiana,Pape Diop,Defensive Rebound,19,18
7:09,SE Louisiana,Marlain Veal,Missed Jumper,19,18
7:09,Northwestern State,Ishmael Lane,Defensive Rebound,19,18
7:03,SE Louisiana,Pape Diop,Foul,19,18
7:03,Northwestern State,Ishmael Lane,Free Throw,19,19
7:03,Northwestern State,Ishmael Lane,Missed Free Throw,19,19
7:03,SE Louisiana,Tyron Brewer,Defensive Rebound,19,19
6:42,SE Louisiana,Marlain Veal,Layup,21,19
6:30,Northwestern State,Ishmael Lane,Turnover,21,19
6:29,SE Louisiana,Marlain Veal,Steal,21,19
6:25,Northwestern State,Malik Metoyer,Foul,21,19
6:25,SE Louisiana,Tyron Brewer,Missed Free Throw,21,19
6:25,SE Louisiana,None,Team Rebound,21,19
6:25,SE Louisiana,Tyron Brewer,Free Throw,22,19
6:04,Northwestern State,Brian White,Missed Layup,22,19
6:04,SE Louisiana,Maxwell Starwood,Block,22,19
6:02,SE Louisiana,Brandon Gonzalez,Defensive Rebound,22,19
6:00,SE Louisiana,Brandon Gonzalez,Turnover,22,19
5:39,Northwestern State,Malik Metoyer,Turnover,22,19
5:37,SE Louisiana,Brandon Gonzalez,Steal,22,19
5:33,SE Louisiana,Marlain Veal,Turnover,22,19
5:32,Northwestern State,Vonte Ott,Steal,22,19
5:26,Northwestern State,LaTerrance Reed,Missed Jumper,22,19
5:26,Northwestern State,Brian White,Offensive Rebound,22,19
5:07,Northwestern State,Ishmael Lane,Jumper,22,21
5:07,SE Louisiana,Maxwell Starwood,Foul,22,21
5:07,Northwestern State,Ishmael Lane,Missed Free Throw,22,21
5:07,SE Louisiana,Brandon Gonzalez,Defensive Rebound,22,21
4:58,SE Louisiana,Brandon Gonzalez,Missed Layup,22,21
4:58,SE Louisiana,Marlain Veal,Offensive Rebound,22,21
4:54,Northwestern State,Malik Metoyer,Foul,22,21
4:54,SE Louisiana,Marlain Veal,Free Throw,23,21
4:54,SE Louisiana,Marlain Veal,Free Throw,24,21
4:33,Northwestern State,Vonte Ott,Missed Three Point Jumper,24,21
4:33,SE Louisiana,SE Louisiana,Defensive Rebound,24,21
4:15,SE Louisiana,Brandon Gonzalez,Three Point Jumper,27,21
3:51,Northwestern State,Ishmael Lane,Jumper,27,23
3:34,SE Louisiana,Marlain Veal,Jumper,29,23
3:14,Northwestern State,Darian Dixon,Missed Layup,29,23
3:14,SE Louisiana,Tyron Brewer,Block,29,23
3:12,SE Louisiana,Brandon Gonzalez,Defensive Rebound,29,23
2:52,SE Louisiana,Tyron Brewer,Layup,31,23
2:35,SE Louisiana,Pape Diop,Foul,31,23
2:35,Northwestern State,None,None,31,23
2:35,Northwestern State,Ishmael Lane,Free Throw,31,24
2:35,Northwestern State,Ishmael Lane,Missed Free Throw,31,24
2:35,SE Louisiana,Brandon Gonzalez,Defensive Rebound,31,24
2:23,SE Louisiana,Marlain Veal,Missed Layup,31,24
