TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Syracuse,None,None,0,0
19:32,Syracuse,Tyus Battle,Missed Three Point Jumper,0,0
19:32,Virginia Tech,Virginia Tech,Defensive Rebound,0,0
19:13,Virginia Tech,Nickeil Alexander-Walker,Turnover,0,0
18:50,Syracuse,Elijah Hughes,Foul,0,0
18:50,Syracuse,Elijah Hughes,Turnover,0,0
18:40,Virginia Tech,Kerry Blackshear Jr.,Missed Jumper,0,0
18:40,Virginia Tech,Ahmed Hill,Offensive Rebound,0,0
18:24,Virginia Tech,Wabissa Bede,Missed Three Point Jumper,0,0
18:24,Syracuse,Oshae Brissett,Defensive Rebound,0,0
17:52,Syracuse,Paschal Chukwu,Missed Layup,0,0
17:52,Virginia Tech,Virginia Tech,Defensive Rebound,0,0
17:37,Virginia Tech,Justin Robinson,Three Point Jumper,0,3
17:06,Syracuse,Oshae Brissett,Three Point Jumper,3,3
16:36,Virginia Tech,Ahmed Hill,Three Point Jumper,3,6
16:11,Syracuse,Elijah Hughes,Missed Three Point Jumper,3,6
16:11,Virginia Tech,Kerry Blackshear Jr.,Defensive Rebound,3,6
16:03,Virginia Tech,Ahmed Hill,Missed Three Point Jumper,3,6
16:03,Syracuse,Elijah Hughes,Defensive Rebound,3,6
15:53,Syracuse,Paschal Chukwu,Foul,3,6
15:53,Syracuse,Paschal Chukwu,Turnover,3,6
15:53,Virginia Tech,None,None,3,6
15:19,Virginia Tech,Ty Outlaw,Three Point Jumper,3,9
15:06,Syracuse,Frank Howard,Three Point Jumper,6,9
14:42,Virginia Tech,Nickeil Alexander-Walker,Turnover,6,9
14:24,Virginia Tech,None,None,6,9
14:24,Syracuse,Elijah Hughes,Turnover,6,9
14:24,Virginia Tech,Wabissa Bede,Steal,6,9
14:04,Virginia Tech,Justin Robinson,Three Point Jumper,6,12
13:38,Syracuse,Elijah Hughes,Three Point Jumper,9,12
13:20,Virginia Tech,Nickeil Alexander-Walker,Missed Three Point Jumper,9,12
13:20,Virginia Tech,Virginia Tech,Offensive Rebound,9,12
13:02,Virginia Tech,Justin Robinson,Missed Three Point Jumper,9,12
13:02,Syracuse,Syracuse,Defensive Rebound,9,12
12:48,Syracuse,Elijah Hughes,Missed Three Point Jumper,9,12
12:48,Virginia Tech,Kerry Blackshear Jr.,Defensive Rebound,9,12
12:27,Virginia Tech,Kerry Blackshear Jr.,Layup,9,14
12:06,Syracuse,Frank Howard,Missed Three Point Jumper,9,14
12:06,Virginia Tech,Kerry Blackshear Jr.,Defensive Rebound,9,14
12:03,Virginia Tech,Kerry Blackshear Jr.,Turnover,9,14
12:03,Syracuse,Frank Howard,Steal,9,14
12:01,Virginia Tech,Kerry Blackshear Jr.,Foul,9,14
11:59,Syracuse,Oshae Brissett,Missed Layup,9,14
11:59,Syracuse,Paschal Chukwu,Offensive Rebound,9,14
11:52,Syracuse,Oshae Brissett,Layup,11,14
11:31,Syracuse,Paschal Chukwu,Foul,11,14
11:31,Virginia Tech,None,None,11,14
11:31,Virginia Tech,Nickeil Alexander-Walker,Free Throw,11,15
11:31,Virginia Tech,Nickeil Alexander-Walker,Free Throw,11,16
11:11,Syracuse,Frank Howard,Turnover,11,16
10:54,Virginia Tech,Isaiah Wilkins,Layup,11,18
10:30,Syracuse,Elijah Hughes,Missed Jumper,11,18
10:30,Virginia Tech,Ahmed Hill,Defensive Rebound,11,18
10:16,Syracuse,Marek Dolezaj,Foul,11,18
10:16,Virginia Tech,Justin Robinson,Free Throw,11,19
10:16,Virginia Tech,Justin Robinson,Missed Free Throw,11,19
10:16,Syracuse,Oshae Brissett,Defensive Rebound,11,19
10:08,Syracuse,Elijah Hughes,Turnover,11,19
9:56,Virginia Tech,Ahmed Hill,Missed Three Point Jumper,11,19
9:56,Syracuse,Syracuse,Defensive Rebound,11,19
9:29,Syracuse,Tyus Battle,Turnover,11,19
9:18,Virginia Tech,Justin Robinson,Three Point Jumper,11,22
8:55,Syracuse,Tyus Battle,Three Point Jumper,14,22
8:35,Virginia Tech,Justin Robinson,Three Point Jumper,14,25
8:21,Syracuse,Tyus Battle,Turnover,14,25
8:16,Virginia Tech,Ahmed Hill,Layup,14,27
8:15,Syracuse,None,None,14,27
8:15,Virginia Tech,None,None,14,27
7:58,Syracuse,Oshae Brissett,Missed Three Point Jumper,14,27
7:58,Syracuse,Frank Howard,Offensive Rebound,14,27
7:40,Syracuse,Oshae Brissett,Missed Jumper,14,27
7:40,Syracuse,Oshae Brissett,Offensive Rebound,14,27
7:35,Syracuse,Oshae Brissett,Dunk,16,27
7:14,Virginia Tech,Isaiah Wilkins,Turnover,16,27
7:14,Syracuse,Frank Howard,Steal,16,27
6:40,Syracuse,Frank Howard,Missed Three Point Jumper,16,27
6:40,Virginia Tech,Virginia Tech,Defensive Rebound,16,27
6:22,Virginia Tech,Nickeil Alexander-Walker,Missed Three Point Jumper,16,27
6:22,Syracuse,Jalen Carey,Defensive Rebound,16,27
6:02,Syracuse,Oshae Brissett,Missed Layup,16,27
6:02,Virginia Tech,Kerry Blackshear Jr.,Defensive Rebound,16,27
5:53,Syracuse,Elijah Hughes,Foul,16,27
5:53,Virginia Tech,Justin Robinson,Free Throw,16,28
5:53,Virginia Tech,Justin Robinson,Free Throw,16,29
5:22,Syracuse,Elijah Hughes,Missed Three Point Jumper,16,29
