TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Tennessee Tech,Micaiah Henry,Foul,0,0
19:47,Eastern Kentucky,Dujuanta Weaver,Missed Three Point Jumper,0,0
19:47,Tennessee Tech,Malik Martin,Defensive Rebound,0,0
19:16,Tennessee Tech,Courtney Alexander II,Dunk,2,0
19:01,Eastern Kentucky,Houston King,Missed Three Point Jumper,2,0
19:01,Tennessee Tech,Jr. Clay,Defensive Rebound,2,0
18:37,Tennessee Tech,Jr. Clay,Missed Jumper,2,0
18:37,Eastern Kentucky,Dujuanta Weaver,Defensive Rebound,2,0
18:29,Eastern Kentucky,Kelvin Robinson,Jumper,2,2
18:14,Tennessee Tech,Micaiah Henry,Turnover,2,2
18:14,Eastern Kentucky,Dujuanta Weaver,Missed Three Point Jumper,2,2
18:14,Tennessee Tech,Courtney Alexander II,Defensive Rebound,2,2
18:14,Tennessee Tech,Jr. Clay,Three Point Jumper,5,2
18:14,Eastern Kentucky,Nick Mayo,Missed Jumper,5,2
18:14,Tennessee Tech,Malik Martin,Defensive Rebound,5,2
18:14,Tennessee Tech,Jr. Clay,Three Point Jumper,8,2
16:38,Tennessee Tech,Malik Martin,Foul,8,2
16:38,Eastern Kentucky,Nick Mayo,Free Throw,8,3
16:38,Eastern Kentucky,Nick Mayo,Free Throw,8,4
16:27,Tennessee Tech,Hunter Vick,Missed Layup,8,4
16:27,Eastern Kentucky,Nick Mayo,Block,8,4
16:25,Eastern Kentucky,Lachlan Anderson,Defensive Rebound,8,4
16:12,Eastern Kentucky,Nick Mayo,Missed Jumper,8,4
16:12,Tennessee Tech,Courtney Alexander II,Defensive Rebound,8,4
15:50,Tennessee Tech,Micaiah Henry,Missed Jumper,8,4
15:50,Eastern Kentucky,Cameron Carmical,Defensive Rebound,8,4
15:42,Eastern Kentucky,Peyton Broughton,Missed Three Point Jumper,8,4
15:42,Tennessee Tech,Malik Martin,Defensive Rebound,8,4
15:20,Tennessee Tech,Micaiah Henry,Layup,10,4
15:02,Eastern Kentucky,Peyton Broughton,Layup,10,6
14:49,Eastern Kentucky,None,None,10,6
14:46,Tennessee Tech,Hunter Vick,Missed Layup,10,6
14:46,Eastern Kentucky,Nick Mayo,Defensive Rebound,10,6
14:32,Eastern Kentucky,Peyton Broughton,Three Point Jumper,10,9
14:26,Eastern Kentucky,Peyton Broughton,Foul,10,9
14:08,Tennessee Tech,Johnnie Vassar,Turnover,10,9
14:07,Eastern Kentucky,Kelvin Robinson,Steal,10,9
14:05,Eastern Kentucky,Kelvin Robinson,Dunk,10,11
13:51,Tennessee Tech,Garrett Golday,Three Point Jumper,13,11
13:36,Eastern Kentucky,Jomaru Brown,Jumper,13,13
13:25,Eastern Kentucky,Peyton Broughton,Foul,13,13
13:05,Tennessee Tech,Johnnie Vassar,Missed Jumper,13,13
13:05,Eastern Kentucky,Nick Mayo,Defensive Rebound,13,13
12:47,Eastern Kentucky,Nick Mayo,Turnover,13,13
12:38,Eastern Kentucky,Tre King,Foul,13,13
12:38,Tennessee Tech,Tennessee Tech ,Turnover,13,13
12:29,Eastern Kentucky,Houston King,Layup,13,15
12:18,Tennessee Tech,None,None,13,15
12:18,Eastern Kentucky,None,None,13,15
12:10,Tennessee Tech,Micaiah Henry,Turnover,13,15
12:09,Eastern Kentucky,Kelvin Robinson,Steal,13,15
12:02,Eastern Kentucky,Kelvin Robinson,Foul,13,15
11:49,Tennessee Tech,Corey Tillery,Missed Three Point Jumper,13,15
11:49,Eastern Kentucky,Nick Mayo,Defensive Rebound,13,15
11:37,Tennessee Tech,Micaiah Henry,Foul,13,15
11:37,Eastern Kentucky,Houston King,Free Throw,13,16
11:37,Eastern Kentucky,Houston King,Free Throw,13,17
11:36,Tennessee Tech,Courtney Alexander II,Turnover,13,17
11:32,Tennessee Tech,Hunter Vick,Foul,13,17
11:19,Eastern Kentucky,Nick Mayo,Turnover,13,17
11:19,Tennessee Tech,Courtney Alexander II,Steal,13,17
11:19,Eastern Kentucky,Dujuanta Weaver,Foul,13,17
11:11,Tennessee Tech,Malik Martin,Missed Three Point Jumper,13,17
11:11,Eastern Kentucky,Kelvin Robinson,Defensive Rebound,13,17
11:03,Eastern Kentucky,Kelvin Robinson,Turnover,13,17
10:48,Tennessee Tech,Malik Martin,Turnover,13,17
10:47,Eastern Kentucky,Kelvin Robinson,Steal,13,17
10:42,Eastern Kentucky,Houston King,Missed Layup,13,17
10:42,Tennessee Tech,Malik Martin,Defensive Rebound,13,17
10:36,Tennessee Tech,Hunter Vick,Three Point Jumper,16,17
10:14,Eastern Kentucky,Nick Mayo,Missed Jumper,16,17
10:14,Tennessee Tech,Jr. Clay,Defensive Rebound,16,17
10:06,Tennessee Tech,Corey Tillery,Three Point Jumper,19,17
9:40,Eastern Kentucky,Nick Mayo,Turnover,19,17
9:40,Tennessee Tech,Courtney Alexander II,Steal,19,17
9:38,Tennessee Tech,Jr. Clay,Turnover,19,17
9:30,Eastern Kentucky,Jomaru Brown,Missed Jumper,19,17
9:30,Tennessee Tech,Courtney Alexander II,Defensive Rebound,19,17
9:16,Tennessee Tech,Corey Tillery,Turnover,19,17
9:09,Eastern Kentucky,Cameron Carmical,Missed Layup,19,17
9:09,Tennessee Tech,Jr. Clay,Defensive Rebound,19,17
9:03,Eastern Kentucky,Cameron Carmical,Foul,19,17
8:56,Tennessee Tech,None,None,19,17
8:54,Tennessee Tech,Malik Martin,Jumper,21,17
8:54,Eastern Kentucky,Tre King,Foul,21,17
8:54,Tennessee Tech,Malik Martin,Free Throw,22,17
8:36,Tennessee Tech,Courtney Alexander II,Foul,22,17
8:36,Eastern Kentucky,Jomaru Brown,Free Throw,22,18
8:36,Eastern Kentucky,Jomaru Brown,Free Throw,22,19
8:27,Tennessee Tech,Corey Tillery,Missed Three Point Jumper,22,19
8:27,Eastern Kentucky,Nick Mayo,Defensive Rebound,22,19
8:18,Eastern Kentucky,Peyton Broughton,Layup,22,21
7:49,Eastern Kentucky,Cameron Carmical,Foul,22,21
7:49,Eastern Kentucky,None,None,22,21
7:49,Tennessee Tech,Jr. Clay,Free Throw,23,21
7:49,Tennessee Tech,Jr. Clay,Missed Free Throw,23,21
7:49,Eastern Kentucky,Lachlan Anderson,Defensive Rebound,23,21
7:41,Tennessee Tech,Garrett Golday,Foul,23,21
7:39,Eastern Kentucky,Nick Mayo,Layup,23,23
7:34,Tennessee Tech,Garrett Golday,Dunk,25,23
7:09,Eastern Kentucky,Lachlan Anderson,Missed Three Point Jumper,25,23
7:09,Tennessee Tech,Jared Sherfield,Defensive Rebound,25,23
7:07,Eastern Kentucky,Nick Mayo,Foul,25,23
7:07,Tennessee Tech,Jared Sherfield,Missed Free Throw,25,23
7:07,Eastern Kentucky,Lachlan Anderson,Defensive Rebound,25,23
6:57,Eastern Kentucky,Kelvin Robinson,Missed Jumper,25,23
6:57,Eastern Kentucky,Kelvin Robinson,Offensive Rebound,25,23
6:55,Eastern Kentucky,None,None,25,23
6:55,Tennessee Tech,Hunter Vick,Defensive Rebound,25,23
6:38,Tennessee Tech,Hunter Vick,Turnover,25,23
6:37,Eastern Kentucky,Kelvin Robinson,Steal,25,23
6:34,Eastern Kentucky,Kelvin Robinson,Turnover,25,23
6:33,Tennessee Tech,Corey Tillery,Steal,25,23
6:31,Tennessee Tech,Jared Sherfield,Dunk,27,23
6:15,Eastern Kentucky,Nick Mayo,Missed Jumper,27,23
6:15,Tennessee Tech,Jr. Clay,Defensive Rebound,27,23
5:57,Tennessee Tech,Jr. Clay,Turnover,27,23
5:56,Eastern Kentucky,Nick Mayo,Steal,27,23
5:50,Eastern Kentucky,Kelvin Robinson,Foul,27,23
5:50,Eastern Kentucky,Kelvin Robinson,Turnover,27,23
5:41,Tennessee Tech,Corey Tillery,Three Point Jumper,30,23
5:30,Eastern Kentucky,Nick Mayo,Jumper,30,25
5:30,Tennessee Tech,Garrett Golday,Foul,30,25
5:30,Eastern Kentucky,Nick Mayo,Free Throw,30,26
5:19,Tennessee Tech,Micaiah Henry,Jumper,32,26
5:05,Eastern Kentucky,Nick Mayo,Three Point Jumper,32,29
4:47,Tennessee Tech,Malik Martin,Layup,34,29
4:30,Tennessee Tech,Micaiah Henry,Foul,34,29
4:30,Eastern Kentucky,Nick Mayo,Free Throw,34,30
4:30,Eastern Kentucky,Nick Mayo,Free Throw,34,31
4:27,Tennessee Tech,Malik Martin,Missed Three Point Jumper,34,31
4:27,Eastern Kentucky,Houston King,Defensive Rebound,34,31
4:10,Eastern Kentucky,Dujuanta Weaver,Three Point Jumper,34,34
3:52,Tennessee Tech,Malik Martin,Jumper,36,34
3:35,Eastern Kentucky,Houston King,Turnover,36,34
3:33,Tennessee Tech,Courtney Alexander II,Steal,36,34
3:32,Tennessee Tech,Courtney Alexander II,Dunk,38,34
3:14,Eastern Kentucky,Nick Mayo,Missed Three Point Jumper,38,34
3:14,Tennessee Tech,Malik Martin,Defensive Rebound,38,34
3:09,Eastern Kentucky,Houston King,Foul,38,34
3:09,Eastern Kentucky,None,None,38,34
3:09,Tennessee Tech,Malik Martin,Missed Free Throw,38,34
3:09,Tennessee Tech,None,Team Rebound,38,34
3:09,Tennessee Tech,Malik Martin,Missed Free Throw,38,34
3:09,Eastern Kentucky,Nick Mayo,Defensive Rebound,38,34
3:04,Eastern Kentucky,Dujuanta Weaver,Missed Three Point Jumper,38,34
3:04,Eastern Kentucky,Nick Mayo,Offensive Rebound,38,34
3:00,Eastern Kentucky,Dujuanta Weaver,Missed Three Point Jumper,38,34
3:00,Tennessee Tech,Courtney Alexander II,Defensive Rebound,38,34
2:36,Tennessee Tech,Jr. Clay,Jumper,40,34
2:21,Eastern Kentucky,Nick Mayo,Jumper,40,36
2:10,Tennessee Tech,Courtney Alexander II,Turnover,40,36
2:07,Eastern Kentucky,Dujuanta Weaver,Steal,40,36
2:04,Eastern Kentucky,Lachlan Anderson,Turnover,40,36
2:03,Tennessee Tech,Jr. Clay,Steal,40,36
1:55,Tennessee Tech,Courtney Alexander II,Turnover,40,36
1:54,Eastern Kentucky,Lachlan Anderson,Steal,40,36
1:48,Eastern Kentucky,Nick Mayo,Dunk,40,38
1:26,Tennessee Tech,Corey Tillery,Missed Three Point Jumper,40,38
1:26,Tennessee Tech,Jr. Clay,Offensive Rebound,40,38
1:23,Tennessee Tech,None,None,42,38
1:04,Eastern Kentucky,Kelvin Robinson,Three Point Jumper,42,41
0:30,Tennessee Tech,Malik Martin,Turnover,42,41
0:29,Eastern Kentucky,Kelvin Robinson,Steal,42,41
0:27,Tennessee Tech,Corey Tillery,Foul,42,41
0:27,Eastern Kentucky,Jomaru Brown,Free Throw,42,42
0:27,Eastern Kentucky,Jomaru Brown,Free Throw,42,43
0:06,Tennessee Tech,Malik Martin,Missed Three Point Jumper,42,43
0:06,Eastern Kentucky,Houston King,Defensive Rebound,42,43
0:00,Eastern Kentucky,None,None,42,43
19:52,Tennessee Tech,Micaiah Henry,Foul,42,43
19:52,Eastern Kentucky,Nick Mayo,Free Throw,42,44
19:52,Eastern Kentucky,Nick Mayo,Free Throw,42,45
19:28,Tennessee Tech,Hunter Vick,Turnover,42,45
19:27,Eastern Kentucky,Houston King,Steal,42,45
19:24,Eastern Kentucky,Houston King,Three Point Jumper,42,48
19:11,Tennessee Tech,Hunter Vick,Three Point Jumper,45,48
19:04,Tennessee Tech,Courtney Alexander II,Foul,45,48
19:04,Eastern Kentucky,Nick Mayo,Free Throw,45,49
19:04,Eastern Kentucky,Nick Mayo,Missed Free Throw,45,49
19:04,Tennessee Tech,Courtney Alexander II,Defensive Rebound,45,49
18:48,Tennessee Tech,Malik Martin,Missed Jumper,45,49
18:48,Eastern Kentucky,Nick Mayo,Defensive Rebound,45,49
18:40,Eastern Kentucky,Tre King,Missed Jumper,45,49
18:40,Tennessee Tech,Malik Martin,Defensive Rebound,45,49
18:14,Tennessee Tech,Courtney Alexander II,Missed Layup,45,49
18:14,Eastern Kentucky,Dujuanta Weaver,Defensive Rebound,45,49
18:10,Tennessee Tech,Malik Martin,Foul,45,49
17:57,Eastern Kentucky,Nick Mayo,Turnover,45,49
17:56,Tennessee Tech,Courtney Alexander II,Steal,45,49
17:53,Tennessee Tech,Hunter Vick,Missed Jumper,45,49
17:53,Eastern Kentucky,Tre King,Defensive Rebound,45,49
17:45,Eastern Kentucky,Houston King,Three Point Jumper,45,52
17:10,Eastern Kentucky,Tre King,Foul,45,52
17:10,Tennessee Tech,Courtney Alexander II,Missed Free Throw,45,52
17:10,Tennessee Tech,None,Team Rebound,45,52
17:10,Tennessee Tech,Courtney Alexander II,Missed Free Throw,45,52
17:10,Eastern Kentucky,Lachlan Anderson,Defensive Rebound,45,52
16:55,Eastern Kentucky,Nick Mayo,Missed Jumper,45,52
16:55,Tennessee Tech,Hunter Vick,Defensive Rebound,45,52
16:43,Tennessee Tech,Courtney Alexander II,Missed Jumper,45,52
16:43,Tennessee Tech,Courtney Alexander II,Offensive Rebound,45,52
16:39,Eastern Kentucky,Kelvin Robinson,Foul,45,52
16:39,Tennessee Tech,Courtney Alexander II,Missed Free Throw,45,52
16:39,Tennessee Tech,None,Team Rebound,45,52
16:39,Tennessee Tech,Courtney Alexander II,Free Throw,46,52
16:14,Tennessee Tech,Micaiah Henry,Missed Jumper,46,52
16:14,Tennessee Tech,Micaiah Henry,Offensive Rebound,46,52
16:08,Tennessee Tech,Micaiah Henry,Missed Layup,46,52
16:08,Eastern Kentucky,Kelvin Robinson,Defensive Rebound,46,52
15:59,Eastern Kentucky,Cameron Carmical,Foul,46,52
15:59,Eastern Kentucky,None,None,46,52
15:59,Tennessee Tech,Garrett Golday,Free Throw,47,52
15:59,Tennessee Tech,Garrett Golday,Missed Free Throw,47,52
15:59,Eastern Kentucky,Nick Mayo,Defensive Rebound,47,52
15:59,Eastern Kentucky,Nick Mayo,Turnover,47,52
15:59,Tennessee Tech,Garrett Golday,Steal,47,52
15:59,Tennessee Tech,Garrett Golday,Missed Three Point Jumper,47,52
15:59,Eastern Kentucky,Lachlan Anderson,Defensive Rebound,47,52
15:28,Tennessee Tech,Garrett Golday,Foul,47,52
15:26,Eastern Kentucky,Lachlan Anderson,Missed Three Point Jumper,47,52
15:26,Tennessee Tech,Jared Sherfield,Defensive Rebound,47,52
15:07,Eastern Kentucky,Lachlan Anderson,Foul,47,52
15:07,Tennessee Tech,Jared Sherfield,Free Throw,48,52
15:07,Tennessee Tech,Jared Sherfield,Free Throw,49,52
14:57,Eastern Kentucky,Jomaru Brown,Jumper,49,54
14:41,Tennessee Tech,Corey Tillery,Jumper,51,54
14:29,Tennessee Tech,Garrett Golday,Foul,51,54
14:21,Tennessee Tech,Hunter Vick,Foul,51,54
14:21,Eastern Kentucky,Lachlan Anderson,Free Throw,51,55
14:21,Eastern Kentucky,Lachlan Anderson,Free Throw,51,56
14:07,Tennessee Tech,Malik Martin,Dunk,53,56
13:47,Eastern Kentucky,Nick Mayo,Missed Jumper,53,56
13:47,Eastern Kentucky,Lachlan Anderson,Offensive Rebound,53,56
13:45,Eastern Kentucky,None,None,53,58
13:40,Eastern Kentucky,Jomaru Brown,Foul,53,58
13:29,Tennessee Tech,Malik Martin,Dunk,55,58
13:11,Eastern Kentucky,Houston King,Turnover,55,58
13:10,Tennessee Tech,Hunter Vick,Steal,55,58
12:53,Tennessee Tech,Jr. Clay,Missed Three Point Jumper,55,58
12:53,Eastern Kentucky,Kelvin Robinson,Defensive Rebound,55,58
12:41,Eastern Kentucky,Nick Mayo,Missed Layup,55,58
12:41,Tennessee Tech,Malik Martin,Defensive Rebound,55,58
12:36,Tennessee Tech,Malik Martin,Dunk,57,58
12:19,Tennessee Tech,Jared Sherfield,Foul,57,58
12:19,Eastern Kentucky,Nick Mayo,Free Throw,57,59
12:19,Eastern Kentucky,Nick Mayo,Missed Free Throw,57,59
12:19,Tennessee Tech,Jr. Clay,Defensive Rebound,57,59
12:19,Eastern Kentucky,Houston King,Foul,57,59
11:59,Tennessee Tech,Malik Martin,Jumper,59,59
11:46,Eastern Kentucky,Kelvin Robinson,Turnover,59,59
11:46,Eastern Kentucky,None,None,59,59
11:26,Tennessee Tech,Malik Martin,Turnover,59,59
11:09,Eastern Kentucky,Tre King,Missed Jumper,59,59
11:09,Tennessee Tech,Tennessee Tech,Defensive Rebound,59,59
10:59,Tennessee Tech,Hunter Vick,Missed Jumper,59,59
10:59,Eastern Kentucky,Dujuanta Weaver,Defensive Rebound,59,59
10:52,Eastern Kentucky,Nick Mayo,Jumper,59,61
10:35,Tennessee Tech,Corey Tillery,Three Point Jumper,62,61
10:18,Eastern Kentucky,Nick Mayo,Missed Jumper,62,61
10:18,Eastern Kentucky,Tre King,Offensive Rebound,62,61
10:15,Eastern Kentucky,None,None,62,61
10:15,Eastern Kentucky,Tre King,Offensive Rebound,62,61
10:12,Eastern Kentucky,None,None,62,63
9:59,Tennessee Tech,Malik Martin,Missed Jumper,62,63
9:59,Tennessee Tech,Jr. Clay,Offensive Rebound,62,63
9:55,Tennessee Tech,None,None,62,63
9:55,Eastern Kentucky,Tre King,Defensive Rebound,62,63
9:52,Eastern Kentucky,Tre King,Turnover,62,63
9:52,Tennessee Tech,Courtney Alexander II,Steal,62,63
9:46,Tennessee Tech,Malik Martin,Dunk,64,63
9:29,Eastern Kentucky,Nick Mayo,Three Point Jumper,64,66
9:26,Eastern Kentucky,None,None,64,66
9:26,Eastern Kentucky,None,None,64,66
9:15,Tennessee Tech,Jr. Clay,Turnover,64,66
9:14,Eastern Kentucky,Tre King,Steal,64,66
9:05,Tennessee Tech,Jr. Clay,Foul,64,66
9:05,Eastern Kentucky,Nick Mayo,Free Throw,64,67
9:05,Eastern Kentucky,Nick Mayo,Free Throw,64,68
8:42,Tennessee Tech,Jared Sherfield,Turnover,64,68
8:41,Eastern Kentucky,Kelvin Robinson,Steal,64,68
8:38,Eastern Kentucky,Kelvin Robinson,Layup,64,70
8:12,Eastern Kentucky,Tre King,Foul,64,70
8:12,Tennessee Tech,Jr. Clay,Missed Free Throw,64,70
8:12,Eastern Kentucky,Nick Mayo,Defensive Rebound,64,70
8:07,Eastern Kentucky,Nick Mayo,Missed Three Point Jumper,64,70
8:07,Tennessee Tech,Malik Martin,Defensive Rebound,64,70
7:50,Tennessee Tech,Courtney Alexander II,Missed Jumper,64,70
7:50,Tennessee Tech,Tennessee Tech,Offensive Rebound,64,70
7:49,Eastern Kentucky,None,None,64,70
7:45,Tennessee Tech,Jr. Clay,Layup,66,70
7:34,Eastern Kentucky,Kelvin Robinson,Jumper,66,72
6:54,Tennessee Tech,Malik Martin,Turnover,66,72
6:42,Eastern Kentucky,Jomaru Brown,Missed Jumper,66,72
6:42,Tennessee Tech,Jr. Clay,Defensive Rebound,66,72
6:34,Tennessee Tech,Malik Martin,Missed Jumper,66,72
6:34,Tennessee Tech,Tennessee Tech,Offensive Rebound,66,72
6:19,Eastern Kentucky,Houston King,Foul,66,72
6:19,Tennessee Tech,Courtney Alexander II,Free Throw,67,72
6:19,Tennessee Tech,Courtney Alexander II,Free Throw,68,72
6:18,Tennessee Tech,Jr. Clay,Foul,68,72
6:18,Eastern Kentucky,Kelvin Robinson,Free Throw,68,73
6:18,Eastern Kentucky,Kelvin Robinson,Free Throw,68,74
6:18,Tennessee Tech,Tennessee Tech ,Turnover,68,74
6:16,Eastern Kentucky,Nick Mayo,Jumper,68,76
5:54,Eastern Kentucky,Jomaru Brown,Foul,68,76
5:54,Tennessee Tech,Hunter Vick,Free Throw,69,76
5:54,Tennessee Tech,Hunter Vick,Free Throw,70,76
5:39,Eastern Kentucky,Nick Mayo,Missed Jumper,70,76
5:39,Tennessee Tech,Courtney Alexander II,Defensive Rebound,70,76
5:33,Tennessee Tech,Courtney Alexander II,Layup,72,76
5:33,Eastern Kentucky,Dujuanta Weaver,Foul,72,76
5:33,Tennessee Tech,Courtney Alexander II,Free Throw,73,76
5:17,Eastern Kentucky,Houston King,Three Point Jumper,73,79
4:55,Tennessee Tech,Jr. Clay,Layup,75,79
4:46,Tennessee Tech,Courtney Alexander II,Foul,75,79
4:46,Eastern Kentucky,Kelvin Robinson,Free Throw,75,80
4:46,Eastern Kentucky,Kelvin Robinson,Free Throw,75,81
4:27,Tennessee Tech,Jr. Clay,Layup,77,81
4:26,Eastern Kentucky,Cameron Carmical,Foul,77,81
4:26,Tennessee Tech,Jr. Clay,Free Throw,78,81
4:03,Eastern Kentucky,Cameron Carmical,Turnover,78,81
4:01,Tennessee Tech,Courtney Alexander II,Steal,78,81
3:56,Tennessee Tech,Corey Tillery,Three Point Jumper,81,81
3:56,Eastern Kentucky,Houston King,Foul,81,81
3:56,Eastern Kentucky,None,None,81,81
3:56,Tennessee Tech,Corey Tillery,Free Throw,82,81
3:33,Eastern Kentucky,Tre King,Turnover,82,81
3:32,Tennessee Tech,Jr. Clay,Steal,82,81
3:29,Tennessee Tech,Jr. Clay,Turnover,82,81
3:29,Eastern Kentucky,Kelvin Robinson,Steal,82,81
3:29,Tennessee Tech,Jr. Clay,Foul,82,81
3:29,Eastern Kentucky,Kelvin Robinson,Free Throw,82,82
3:29,Eastern Kentucky,Kelvin Robinson,Free Throw,82,83
3:15,Tennessee Tech,Jr. Clay,Three Point Jumper,85,83
3:03,Eastern Kentucky,Houston King,Missed Jumper,85,83
3:03,Tennessee Tech,Corey Tillery,Defensive Rebound,85,83
2:43,Tennessee Tech,Hunter Vick,Missed Three Point Jumper,85,83
2:43,Tennessee Tech,Hunter Vick,Offensive Rebound,85,83
2:27,Tennessee Tech,Corey Tillery,Three Point Jumper,88,83
2:15,Eastern Kentucky,Houston King,Missed Three Point Jumper,88,83
2:15,Tennessee Tech,Courtney Alexander II,Defensive Rebound,88,83
1:58,Tennessee Tech,Corey Tillery,Missed Three Point Jumper,88,83
1:58,Eastern Kentucky,Tre King,Defensive Rebound,88,83
