TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:32,New Hampshire,Chris Lester,Turnover,0,0
19:30,UMBC,K.J. Jackson,Steal,0,0
19:03,UMBC,Arkel Lamar,Jumper,2,0
18:46,New Hampshire,Elijah Jordan,Turnover,2,0
18:46,UMBC,R.J. Eytle-Rock,Steal,2,0
18:42,UMBC,K.J. Jackson,Three Point Jumper,5,0
18:42,New Hampshire,None,None,5,0
18:17,New Hampshire,Jordan Reed,Jumper,5,2
17:46,UMBC,R.J. Eytle-Rock,Missed Layup,5,2
17:46,New Hampshire,David Watkins,Defensive Rebound,5,2
17:37,New Hampshire,David Watkins,Missed Three Point Jumper,5,2
17:37,UMBC,Arkel Lamar,Defensive Rebound,5,2
17:26,UMBC,Joe Sherburne,Missed Jumper,5,2
17:26,New Hampshire,Elijah Jordan,Defensive Rebound,5,2
17:20,New Hampshire,David Watkins,Turnover,5,2
17:08,New Hampshire,Josh Hopkins,Foul,5,2
16:59,UMBC,Joe Sherburne,Jumper,7,2
16:34,New Hampshire,David Watkins,Missed Jumper,7,2
16:34,UMBC,Joe Sherburne,Defensive Rebound,7,2
16:25,UMBC,Arkel Lamar,Missed Three Point Jumper,7,2
16:25,New Hampshire,Elijah Jordan,Defensive Rebound,7,2
16:06,New Hampshire,Jordan Reed,Jumper,7,4
15:49,UMBC,K.J. Jackson,Three Point Jumper,10,4
15:23,New Hampshire,David Watkins,Missed Jumper,10,4
15:23,UMBC,Brandon Horvath,Defensive Rebound,10,4
15:16,UMBC,Brandon Horvath,Missed Three Point Jumper,10,4
15:16,New Hampshire,New Hampshire,Defensive Rebound,10,4
15:11,New Hampshire,None,None,10,4
15:03,New Hampshire,Elijah Jordan,Three Point Jumper,10,7
14:45,UMBC,Joe Sherburne,Turnover,10,7
14:26,New Hampshire,Jordan Reed,Missed Layup,10,7
14:26,UMBC,K.J. Jackson,Defensive Rebound,10,7
14:21,UMBC,Jose Placer,Turnover,10,7
