TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,Utah,Jayce Johnson,Turnover,0,0
19:42,California,Darius McNeill,Steal,0,0
19:12,California,Matt Bradley,Missed Jumper,0,0
19:08,Utah,Jayce Johnson,Defensive Rebound,0,0
18:57,Utah,Sedrick Barefield,Missed Three Point Jumper,0,0
18:53,California,Andre Kelly,Defensive Rebound,0,0
18:39,California,Paris Austin,Jumper,0,2
18:21,Utah,Parker Van Dyke,Missed Three Point Jumper,0,2
18:17,California,Matt Bradley,Defensive Rebound,0,2
17:57,California,Matt Bradley,Three Point Jumper,0,5
17:44,Utah,Riley Battin,Three Point Jumper,3,5
17:35,California,Darius McNeill,Missed Three Point Jumper,3,5
17:32,Utah,Timmy Allen,Defensive Rebound,3,5
17:29,Utah,Timmy Allen,Foul,3,5
17:29,Utah,Timmy Allen,Turnover,3,5
17:18,California,Matt Bradley,Missed Three Point Jumper,3,5
17:14,Utah,Sedrick Barefield,Defensive Rebound,3,5
17:09,California,Darius McNeill,Foul,3,5
17:05,Utah,Sedrick Barefield,Missed Three Point Jumper,3,5
17:04,Utah,Utah,Offensive Rebound,3,5
17:04,California,Matt Bradley,Foul,3,5
16:53,Utah,Riley Battin,Three Point Jumper,6,5
16:42,California,Justice Sueing,Jumper,6,7
16:42,Utah,Sedrick Barefield,Foul,6,7
16:42,California,Justice Sueing,Missed Free Throw,6,7
16:40,Utah,Jayce Johnson,Defensive Rebound,6,7
16:23,Utah,Timmy Allen,Missed Layup,6,7
16:17,Utah,Jayce Johnson,Offensive Rebound,6,7
16:17,Utah,Jayce Johnson,Layup,8,7
16:00,California,Paris Austin,Missed Jumper,8,7
15:57,Utah,Timmy Allen,Defensive Rebound,8,7
15:50,Utah,Sedrick Barefield,Three Point Jumper,11,7
15:31,California,Paris Austin,Missed Jumper,11,7
15:27,Utah,Riley Battin,Defensive Rebound,11,7
15:19,Utah,Sedrick Barefield,Three Point Jumper,14,7
14:57,California,Andre Kelly,Foul,14,7
14:57,California,Andre Kelly,Turnover,14,7
14:57,California,None,None,14,7
14:36,Utah,Jayce Johnson,Missed Layup,14,7
14:35,Utah,Jayce Johnson,Foul,14,7
14:34,California,Andre Kelly,Defensive Rebound,14,7
14:17,California,Andre Kelly,Jumper,14,9
14:09,Utah,Sedrick Barefield,Three Point Jumper,17,9
13:49,California,Justice Sueing,Jumper,17,11
13:39,Utah,Sedrick Barefield,Missed Three Point Jumper,17,11
13:35,California,Matt Bradley,Defensive Rebound,17,11
13:29,California,Andre Kelly,Layup,17,13
12:56,Utah,Donnie Tillman,Missed Three Point Jumper,17,13
12:56,California,Matt Bradley,Block,17,13
12:56,Utah,Sedrick Barefield,Offensive Rebound,17,13
12:56,Utah,Utah ,Turnover,17,13
12:36,California,Darius McNeill,Layup,17,15
12:31,Utah,Both Gach,Turnover,17,15
12:19,California,Juhwan Harris-Dyson,Foul,17,15
12:19,California,Juhwan Harris-Dyson,Turnover,17,15
12:01,California,Juhwan Harris-Dyson,Foul,17,15
11:54,Utah,Donnie Tillman,Missed Three Point Jumper,17,15
11:49,Utah,Both Gach,Offensive Rebound,17,15
11:45,Utah,Timmy Allen,Jumper,19,15
11:24,California,Justice Sueing,Missed Three Point Jumper,19,15
11:20,Utah,Timmy Allen,Defensive Rebound,19,15
10:56,Utah,Both Gach,Missed Three Point Jumper,19,15
10:51,California,Connor Vanover,Defensive Rebound,19,15
10:48,California,Connor Vanover,Missed Three Point Jumper,19,15
10:45,Utah,Novak Topalovic,Defensive Rebound,19,15
10:39,Utah,Timmy Allen,Three Point Jumper,22,15
10:04,California,Darius McNeill,Three Point Jumper,22,18
10:02,Utah,Sedrick Barefield,Layup,24,18
9:52,California,Connor Vanover,Jumper,24,20
9:30,Utah,Novak Topalovic,Missed Layup,24,20
9:30,California,Connor Vanover,Block,24,20
9:24,California,Juhwan Harris-Dyson,Defensive Rebound,24,20
9:20,California,Darius McNeill,Missed Three Point Jumper,24,20
9:18,Utah,Novak Topalovic,Defensive Rebound,24,20
9:00,Utah,Sedrick Barefield,Missed Jumper,24,20
8:56,California,Justice Sueing,Defensive Rebound,24,20
8:50,Utah,Novak Topalovic,Foul,24,20
8:50,California,None,None,24,20
8:50,California,Juhwan Harris-Dyson,Free Throw,24,21
8:50,California,Juhwan Harris-Dyson,Missed Free Throw,24,21
8:48,Utah,Timmy Allen,Defensive Rebound,24,21
8:35,Utah,Parker Van Dyke,Three Point Jumper,27,21
8:16,California,Connor Vanover,Missed Jumper,27,21
8:12,Utah,Jayce Johnson,Defensive Rebound,27,21
7:59,Utah,Both Gach,Layup,29,21
7:47,California,Paris Austin,Turnover,29,21
7:47,Utah,Jayce Johnson,Steal,29,21
7:41,Utah,Donnie Tillman,Foul,29,21
7:41,Utah,Donnie Tillman,Turnover,29,21
7:41,California,None,None,29,21
7:14,California,Matt Bradley,Missed Jumper,29,21
7:13,California,Grant Anticevich,Offensive Rebound,29,21
7:11,California,Paris Austin,Turnover,29,21
7:11,Utah,Parker Van Dyke,Steal,29,21
7:10,Utah,Parker Van Dyke,Turnover,29,21
6:55,California,Paris Austin,Missed Three Point Jumper,29,21
6:52,Utah,Timmy Allen,Defensive Rebound,29,21
6:44,Utah,Parker Van Dyke,Three Point Jumper,32,21
6:36,California,None,None,32,21
6:16,California,Jacobi Gordon,Missed Three Point Jumper,32,21
6:13,Utah,Jayce Johnson,Defensive Rebound,32,21
6:03,Utah,Timmy Allen,Jumper,34,21
6:03,California,Justice Sueing,Foul,34,21
6:03,Utah,Timmy Allen,Free Throw,35,21
5:38,California,Justice Sueing,Three Point Jumper,35,24
5:19,Utah,Both Gach,Three Point Jumper,38,24
5:03,California,Matt Bradley,Three Point Jumper,38,27
4:33,Utah,Both Gach,Three Point Jumper,41,27
4:07,California,Matt Bradley,Missed Jumper,41,27
4:02,California,Justice Sueing,Offensive Rebound,41,27
4:02,California,Justice Sueing,Layup,41,29
3:51,Utah,Riley Battin,Foul,41,29
3:51,Utah,Riley Battin,Turnover,41,29
3:51,California,None,None,41,29
3:37,California,Andre Kelly,Dunk,41,31
3:20,Utah,Both Gach,Layup,43,31
3:11,California,Darius McNeill,Missed Three Point Jumper,43,31
3:11,California,Justice Sueing,Offensive Rebound,43,31
3:11,Utah,Jayce Johnson,Foul,43,31
3:10,California,Justice Sueing,Free Throw,43,32
3:10,California,Justice Sueing,Free Throw,43,33
2:42,Utah,Riley Battin,Missed Three Point Jumper,43,33
2:38,California,Justice Sueing,Defensive Rebound,43,33
2:32,California,Justice Sueing,Three Point Jumper,43,36
2:27,Utah,Sedrick Barefield,Turnover,43,36
2:06,California,Matt Bradley,Missed Layup,43,36
2:02,California,Matt Bradley,Offensive Rebound,43,36
2:02,California,Matt Bradley,Missed Layup,43,36
2:00,Utah,Both Gach,Defensive Rebound,43,36
1:54,Utah,Both Gach,Three Point Jumper,46,36
1:33,California,Darius McNeill,Missed Layup,46,36
1:29,Utah,Donnie Tillman,Defensive Rebound,46,36
1:22,Utah,Donnie Tillman,Missed Three Point Jumper,46,36
1:18,California,Andre Kelly,Defensive Rebound,46,36
0:59,California,Matt Bradley,Three Point Jumper,46,39
0:42,Utah,Both Gach,Missed Three Point Jumper,46,39
0:37,California,Justice Sueing,Defensive Rebound,46,39
0:24,California,Darius McNeill,Three Point Jumper,46,42
0:13,Utah,None,None,46,42
0:03,Utah,Sedrick Barefield,Turnover,46,42
0:00,California,Paris Austin,Missed Layup,46,42
0:00,Utah,Utah,Defensive Rebound,46,42
0:00,California,None,None,46,42
19:43,Utah,Sedrick Barefield,Turnover,46,42
19:43,California,Justice Sueing,Steal,46,42
19:41,Utah,Parker Van Dyke,Foul,46,42
19:31,California,Andre Kelly,Missed Layup,46,42
19:28,Utah,Jayce Johnson,Defensive Rebound,46,42
19:15,Utah,Jayce Johnson,Layup,48,42
19:02,California,Justice Sueing,Missed Jumper,48,42
19:02,California,California,Offensive Rebound,48,42
19:02,Utah,Timmy Allen,Foul,48,42
18:48,California,Andre Kelly,Layup,48,44
18:29,Utah,Jayce Johnson,Turnover,48,44
18:29,California,Justice Sueing,Steal,48,44
18:24,California,Justice Sueing,Missed Layup,48,44
18:23,California,Justice Sueing,Foul,48,44
18:22,Utah,Sedrick Barefield,Defensive Rebound,48,44
17:57,Utah,Sedrick Barefield,Three Point Jumper,51,44
17:35,California,Paris Austin,Missed Jumper,51,44
17:31,Utah,Riley Battin,Defensive Rebound,51,44
17:18,Utah,Sedrick Barefield,Missed Three Point Jumper,51,44
17:14,Utah,Sedrick Barefield,Offensive Rebound,51,44
17:03,Utah,Riley Battin,Foul,51,44
17:03,Utah,Riley Battin,Turnover,51,44
16:46,California,Justice Sueing,Missed Jumper,51,44
16:42,Utah,Timmy Allen,Defensive Rebound,51,44
16:37,Utah,Timmy Allen,Missed Layup,51,44
16:32,Utah,Jayce Johnson,Offensive Rebound,51,44
16:32,Utah,Jayce Johnson,Layup,53,44
16:15,California,Paris Austin,Missed Jumper,53,44
16:12,Utah,Timmy Allen,Defensive Rebound,53,44
16:05,Utah,Sedrick Barefield,Layup,55,44
15:58,California,None,None,55,44
15:44,California,Matt Bradley,Turnover,55,44
15:32,Utah,Sedrick Barefield,Three Point Jumper,58,44
15:16,California,Darius McNeill,Jumper,58,46
14:40,Utah,Parker Van Dyke,Missed Three Point Jumper,58,46
14:37,California,Andre Kelly,Defensive Rebound,58,46
14:20,California,Matt Bradley,Missed Jumper,58,46
14:12,Utah,Riley Battin,Defensive Rebound,58,46
14:08,Utah,Sedrick Barefield,Missed Layup,58,46
14:05,California,Justice Sueing,Defensive Rebound,58,46
13:47,California,Darius McNeill,Jumper,58,48
13:28,Utah,Riley Battin,Foul,58,48
13:28,Utah,Riley Battin,Turnover,58,48
13:11,California,Darius McNeill,Missed Three Point Jumper,58,48
13:08,Utah,Timmy Allen,Defensive Rebound,58,48
12:52,California,Andre Kelly,Foul,58,48
12:41,Utah,Timmy Allen,Layup,60,48
12:20,California,Matt Bradley,Missed Jumper,60,48
12:16,Utah,Timmy Allen,Defensive Rebound,60,48
12:11,Utah,Both Gach,Missed Three Point Jumper,60,48
12:07,Utah,Donnie Tillman,Offensive Rebound,60,48
12:05,Utah,Sedrick Barefield,Missed Three Point Jumper,60,48
12:01,California,Matt Bradley,Defensive Rebound,60,48
11:57,California,Justice Sueing,Three Point Jumper,60,51
11:56,Utah,None,None,60,51
11:43,Utah,Donnie Tillman,Missed Three Point Jumper,60,51
11:39,California,Paris Austin,Defensive Rebound,60,51
11:15,California,Darius McNeill,Missed Three Point Jumper,60,51
11:11,Utah,Novak Topalovic,Defensive Rebound,60,51
10:16,California,Juhwan Harris-Dyson,Missed Jumper,62,51
10:13,Utah,Donnie Tillman,Defensive Rebound,62,51
9:45,Utah,Both Gach,Jumper,64,51
9:22,California,Justice Sueing,Missed Three Point Jumper,64,51
9:18,Utah,Timmy Allen,Defensive Rebound,64,51
9:01,Utah,Sedrick Barefield,Missed Layup,64,51
9:01,California,Andre Kelly,Block,64,51
8:54,California,Juhwan Harris-Dyson,Defensive Rebound,64,51
8:53,California,Juhwan Harris-Dyson,Layup,64,53
8:40,California,Juhwan Harris-Dyson,Foul,64,53
8:38,California,Paris Austin,Foul,64,53
8:34,Utah,Jayce Johnson,Turnover,64,53
8:34,California,Justice Sueing,Steal,64,53
8:32,Utah,Donnie Tillman,Foul,64,53
8:32,California,Juhwan Harris-Dyson,Missed Free Throw,64,53
8:32,California,None,Team Rebound,64,53
8:32,California,Juhwan Harris-Dyson,Free Throw,64,54
8:27,Utah,Both Gach,Turnover,64,54
8:27,California,Matt Bradley,Steal,64,54
8:21,California,Justice Sueing,Layup,64,56
8:08,Utah,Jayce Johnson,Layup,66,56
8:08,California,Grant Anticevich,Foul,66,56
8:06,Utah,Jayce Johnson,Missed Free Throw,66,56
8:06,California,Justice Sueing,Defensive Rebound,66,56
7:49,Utah,Both Gach,Foul,66,56
7:49,California,None,None,66,56
7:33,California,Grant Anticevich,Jumper,66,58
7:07,Utah,Timmy Allen,Layup,68,58
6:46,California,Matt Bradley,Missed Three Point Jumper,68,58
6:38,Utah,Sedrick Barefield,Defensive Rebound,68,58
6:13,Utah,Sedrick Barefield,Jumper,70,58
5:43,California,Paris Austin,Turnover,70,58
5:18,Utah,Timmy Allen,Jumper,72,58
5:18,California,Matt Bradley,Foul,72,58
5:18,Utah,Timmy Allen,Missed Free Throw,72,58
