TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,Marist,Brian Parker,Layup,2,0
19:16,Rider,Frederick Scott,Missed Three Point Jumper,2,0
19:13,Rider,Rider,Offensive Rebound,2,0
19:03,Rider,Stevie Jordan,Three Point Jumper,2,3
18:40,Marist,Isaiah Lamb,Missed Three Point Jumper,2,3
18:33,Rider,Tyere Marshall,Defensive Rebound,2,3
18:24,Rider,Frederick Scott,Missed Three Point Jumper,2,3
18:19,Marist,David Knudsen,Defensive Rebound,2,3
18:10,Marist,Brian Parker,Three Point Jumper,5,3
17:57,Marist,Tobias Sjoberg,Foul,5,3
17:55,Marist,David Knudsen,Foul,5,3
17:44,Rider,Dimencio Vaughn,Missed Three Point Jumper,5,3
17:40,Rider,Frederick Scott,Offensive Rebound,5,3
17:28,Rider,Dimencio Vaughn,Three Point Jumper,5,6
17:12,Marist,Brian Parker,Turnover,5,6
17:12,Rider,Stevie Jordan,Steal,5,6
17:12,Rider,Anthony Durham,Foul,5,6
17:12,Rider,Anthony Durham,Turnover,5,6
17:04,Marist,Darius Hines,Missed Jumper,5,6
16:52,Marist,Tobias Sjoberg,Offensive Rebound,5,6
16:52,Marist,Tobias Sjoberg,Missed Layup,5,6
16:50,Rider,Frederick Scott,Defensive Rebound,5,6
16:48,Rider,Frederick Scott,Three Point Jumper,5,9
16:09,Marist,Brian Parker,Missed Three Point Jumper,5,9
16:06,Rider,Frederick Scott,Defensive Rebound,5,9
15:59,Rider,Stevie Jordan,Missed Layup,5,9
15:55,Rider,Tyere Marshall,Offensive Rebound,5,9
15:54,Rider,Tyere Marshall,Missed Layup,5,9
15:50,Marist,David Knudsen,Defensive Rebound,5,9
15:30,Marist,Darius Hines,Missed Layup,5,9
15:30,Rider,Stevie Jordan,Block,5,9
15:20,Marist,David Knudsen,Offensive Rebound,5,9
15:17,Marist,David Knudsen,Jumper,7,9
15:11,Marist,Tobias Sjoberg,Foul,7,9
15:11,Rider,None,None,7,9
15:11,Rider,Dimencio Vaughn,Free Throw,7,10
15:11,Rider,Dimencio Vaughn,Free Throw,7,11
15:04,Rider,Anthony Durham,Foul,7,11
14:46,Marist,Brian Parker,Missed Jumper,7,11
14:39,Rider,Frederick Scott,Defensive Rebound,7,11
14:36,Marist,Isaiah Lamb,Foul,7,11
14:36,Rider,Frederick Scott,Free Throw,7,12
14:36,Rider,Frederick Scott,Free Throw,7,13
14:23,Marist,Isaiah Lamb,Missed Three Point Jumper,7,13
14:20,Rider,Dimencio Vaughn,Defensive Rebound,7,13
14:16,Rider,Dimencio Vaughn,Missed Three Point Jumper,7,13
14:16,Rider,Dimencio Vaughn,Offensive Rebound,7,13
14:13,Marist,Darius Hines,Foul,7,13
14:13,Rider,Frederick Scott,Free Throw,7,14
14:13,Rider,Frederick Scott,Free Throw,7,15
13:58,Marist,Ryan Funk,Three Point Jumper,10,15
13:45,Rider,Frederick Scott,Missed Three Point Jumper,10,15
13:41,Marist,Brian Parker,Defensive Rebound,10,15
13:34,Marist,Brian Parker,Jumper,12,15
13:14,Rider,Dimencio Vaughn,Foul,12,15
13:14,Rider,Dimencio Vaughn,Turnover,12,15
13:04,Marist,Aleksandar Dozic,Missed Jumper,12,15
13:04,Marist,None,Team Rebound,12,15
13:01,Rider,Dimencio Vaughn,Foul,12,15
13:01,Marist,Matthew Herasme,Free Throw,13,15
13:01,Marist,Matthew Herasme,Missed Free Throw,13,15
13:01,Rider,Frederick Scott,Defensive Rebound,13,15
12:37,Marist,Austin Williams,Foul,13,15
12:37,Rider,Kimar Williams,Missed Free Throw,13,15
12:37,Rider,None,Team Rebound,13,15
12:35,Rider,Kimar Williams,Missed Free Throw,13,15
12:34,Marist,Marist,Defensive Rebound,13,15
12:24,Marist,Aleksandar Dozic,Missed Three Point Jumper,13,15
12:19,Marist,Matthew Herasme,Offensive Rebound,13,15
12:17,Marist,Matthew Herasme,Turnover,13,15
12:17,Rider,Frederick Scott,Steal,13,15
12:09,Rider,Devine Eke,Missed Three Point Jumper,13,15
12:04,Marist,David Knudsen,Defensive Rebound,13,15
11:49,Marist,Ryan Funk,Dunk,15,15
