TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Alabama,None,None,0,0
19:36,Alabama,Dazon Ingram,Missed Jumper,0,0
19:36,Alabama,Donta Hall,Offensive Rebound,0,0
19:31,Alabama,Donta Hall,Layup,0,2
19:03,Mississippi State,Nick Weatherspoon,Jumper,2,2
18:54,Alabama,Donta Hall,Layup,2,4
18:33,Mississippi State,Aric Holman,Missed Jumper,2,4
18:33,Alabama,Tevin Mack,Defensive Rebound,2,4
18:21,Alabama,Tevin Mack,Missed Layup,2,4
18:21,Mississippi State,Abdul Ado,Block,2,4
18:21,Mississippi State,Nick Weatherspoon,Defensive Rebound,2,4
18:05,Mississippi State,Nick Weatherspoon,Jumper,4,4
17:48,Alabama,Donta Hall,Turnover,4,4
17:48,Mississippi State,Nick Weatherspoon,Steal,4,4
17:40,Mississippi State,Aric Holman,Jumper,6,4
17:30,Alabama,Kira Lewis Jr.,Turnover,6,4
17:30,Mississippi State,Quinndary Weatherspoon,Steal,6,4
17:06,Mississippi State,Aric Holman,Missed Jumper,6,4
17:06,Alabama,Kira Lewis Jr.,Defensive Rebound,6,4
16:57,Alabama,Kira Lewis Jr.,Layup,6,6
16:34,Mississippi State,Lamar Peters,Missed Layup,6,6
16:34,Alabama,Herbert Jones,Defensive Rebound,6,6
16:12,Alabama,Tevin Mack,Jumper,6,8
15:54,Mississippi State,Lamar Peters,Missed Layup,6,8
15:54,Alabama,Tevin Mack,Block,6,8
15:54,Alabama,Donta Hall,Defensive Rebound,6,8
15:41,Alabama,Herbert Jones,Missed Jumper,6,8
15:41,Mississippi State,Abdul Ado,Defensive Rebound,6,8
15:17,Mississippi State,Nick Weatherspoon,Missed Jumper,6,8
15:17,Alabama,Tevin Mack,Block,6,8
15:17,Mississippi State,Aric Holman,Offensive Rebound,6,8
15:17,Alabama,Donta Hall,Block,6,8
15:17,Alabama,Dazon Ingram,Defensive Rebound,6,8
15:17,Alabama,Dazon Ingram,Turnover,6,8
15:17,Mississippi State,Quinndary Weatherspoon,Steal,6,8
15:04,Alabama,Herbert Jones,Foul,6,8
15:04,Alabama,None,None,6,8
15:04,Mississippi State,Aric Holman,Missed Free Throw,6,8
15:04,Mississippi State,Aric Holman,Missed Free Throw,6,8
15:04,Alabama,Tevin Mack,Defensive Rebound,6,8
14:54,Alabama,Donta Hall,Jumper,6,10
14:34,Mississippi State,Nick Weatherspoon,Layup,8,10
14:17,Alabama,Kira Lewis Jr.,Turnover,8,10
14:17,Mississippi State,Quinndary Weatherspoon,Steal,8,10
