TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Grand Canyon,Trey Drechsel,Missed Jumper,0,0
19:42,Utah Valley,Isaiah White,Defensive Rebound,0,0
19:25,Utah Valley,Isaiah White,Missed Layup,0,0
19:20,Grand Canyon,Oscar Frayer,Defensive Rebound,0,0
19:10,Grand Canyon,Matt Jackson,Layup,0,2
18:51,Grand Canyon,Oscar Frayer,Foul,0,2
18:32,Utah Valley,Conner Toolson,Three Point Jumper,3,2
18:12,Grand Canyon,Alessandro Lever,Layup,3,4
18:01,Utah Valley,Conner Toolson,Turnover,3,4
18:01,Grand Canyon,Damari Milstead,Steal,3,4
17:55,Grand Canyon,Damari Milstead,Layup,3,6
17:36,Utah Valley,Conner Toolson,Layup,5,6
17:11,Grand Canyon,Matt Jackson,Dunk,5,8
17:01,Utah Valley,Ben Nakwaasah,Missed Layup,5,8
17:01,Grand Canyon,Damari Milstead,Block,5,8
16:54,Grand Canyon,Alessandro Lever,Defensive Rebound,5,8
16:49,Grand Canyon,Damari Milstead,Turnover,5,8
16:41,Utah Valley,Baylee Steele,Layup,7,8
16:22,Grand Canyon,Damari Milstead,Turnover,7,8
16:22,Utah Valley,TJ Washington,Steal,7,8
16:17,Grand Canyon,Trey Drechsel,Foul,7,8
16:17,Utah Valley,TJ Washington,Free Throw,8,8
16:17,Utah Valley,TJ Washington,Free Throw,9,8
16:09,Grand Canyon,Oscar Frayer,Missed Three Point Jumper,9,8
16:04,Grand Canyon,Matt Jackson,Offensive Rebound,9,8
16:01,Grand Canyon,Oscar Frayer,Three Point Jumper,9,11
15:44,Utah Valley,Isaiah White,Turnover,9,11
15:44,Grand Canyon,Matt Jackson,Steal,9,11
15:24,Grand Canyon,Alessandro Lever,Missed Three Point Jumper,9,11
15:17,Grand Canyon,Trey Drechsel,Offensive Rebound,9,11
15:13,Grand Canyon,Trey Drechsel,Layup,9,13
15:02,Utah Valley,Isaiah White,Turnover,9,13
15:02,Grand Canyon,None,None,9,13
14:42,Grand Canyon,Matt Jackson,Missed Three Point Jumper,9,13
14:34,Utah Valley,Jake Toolson,Defensive Rebound,9,13
14:27,Utah Valley,TJ Washington,Foul,9,13
