TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,Utah Valley,Ben Nakwaasah,Turnover,0,0
19:42,California Baptist,Milan Acquaah,Steal,0,0
19:16,California Baptist,Jordan Heading,Missed Jumper,0,0
19:13,Utah Valley,Jake Toolson,Defensive Rebound,0,0
18:52,Utah Valley,Ben Nakwaasah,Missed Three Point Jumper,0,0
18:48,California Baptist,Milan Acquaah,Defensive Rebound,0,0
18:45,California Baptist,Jeremy Smith,Layup,2,0
18:23,Utah Valley,Jake Toolson,Jumper,2,2
18:01,California Baptist,Milan Acquaah,Missed Jumper,2,2
17:59,California Baptist,Milan Acquaah,Offensive Rebound,2,2
17:59,Utah Valley,Ben Nakwaasah,Foul,2,2
17:59,California Baptist,Milan Acquaah,Free Throw,3,2
17:59,California Baptist,Milan Acquaah,Free Throw,4,2
17:48,Utah Valley,Conner Toolson,Turnover,4,2
17:48,California Baptist,De'jon Davis,Steal,4,2
17:37,California Baptist,Jeremy Smith,Jumper,6,2
17:17,Utah Valley,Jake Toolson,Three Point Jumper,6,5
16:58,California Baptist,De'jon Davis,Foul,6,5
16:58,California Baptist,De'jon Davis,Turnover,6,5
16:26,California Baptist,Jordan Heading,Missed Jumper,6,7
16:23,Utah Valley,Baylee Steele,Defensive Rebound,6,7
16:02,Utah Valley,Baylee Steele,Layup,6,9
15:35,California Baptist,Mikey Henn,Foul,6,9
15:35,California Baptist,Mikey Henn,Turnover,6,9
15:35,Utah Valley,None,None,6,9
15:13,Utah Valley,Wyatt Lowell,Missed Three Point Jumper,6,9
15:10,California Baptist,Milan Acquaah,Defensive Rebound,6,9
15:04,Utah Valley,Richard Harward,Foul,6,9
15:04,California Baptist,Zach Pirog,Missed Free Throw,6,9
15:04,California Baptist,None,Team Rebound,6,9
15:04,California Baptist,Zach Pirog,Free Throw,7,9
14:54,Utah Valley,Jake Toolson,Foul,7,9
14:54,Utah Valley,Jake Toolson,Turnover,7,9
14:24,California Baptist,Milan Acquaah,Missed Jumper,7,9
14:21,Utah Valley,TJ Washington,Defensive Rebound,7,9
14:15,Utah Valley,Conner Toolson,Missed Three Point Jumper,7,9
14:12,California Baptist,Zach Pirog,Defensive Rebound,7,9
14:09,California Baptist,Milan Acquaah,Missed Layup,7,9
14:08,California Baptist,De'jon Davis,Offensive Rebound,7,9
13:58,California Baptist,Milan Acquaah,Missed Jumper,7,9
13:55,Utah Valley,Hayden Schenck,Defensive Rebound,7,9
13:37,California Baptist,Mikey Henn,Defensive Rebound,7,9
13:12,California Baptist,Ty Rowell,Missed Three Point Jumper,7,9
13:09,Utah Valley,Isaiah White,Defensive Rebound,7,9
13:08,Utah Valley,Isaiah White,Turnover,7,9
13:08,California Baptist,Milan Acquaah,Steal,7,9
13:01,California Baptist,Zach Pirog,Dunk,9,9
12:40,Utah Valley,Richard Harward,Layup,9,11
12:40,California Baptist,Milan Acquaah,Foul,9,11
12:40,Utah Valley,Richard Harward,Free Throw,9,12
12:29,California Baptist,Glenn Morison,Layup,11,12
12:10,Utah Valley,Hayden Schenck,Missed Jumper,11,12
12:07,Utah Valley,Isaiah White,Offensive Rebound,11,12
12:07,California Baptist,Glenn Morison,Foul,11,12
12:07,Utah Valley,Isaiah White,Missed Free Throw,11,12
12:07,Utah Valley,None,Team Rebound,11,12
12:07,Utah Valley,Isaiah White,Free Throw,11,13
11:57,Utah Valley,TJ Washington,Foul,11,13
11:57,Utah Valley,None,None,11,13
11:40,California Baptist,Jordan Heading,Turnover,11,13
11:40,Utah Valley,Conner Toolson,Steal,11,13
11:33,Utah Valley,Conner Toolson,Missed Layup,11,13
11:29,California Baptist,De'jon Davis,Defensive Rebound,11,13
11:23,California Baptist,Zach Pirog,Dunk,13,13
10:55,Utah Valley,Conner Toolson,Missed Three Point Jumper,13,13
10:52,California Baptist,Ty Rowell,Defensive Rebound,13,13
10:32,Utah Valley,Ben Nakwaasah,Foul,13,13
10:25,California Baptist,Milan Acquaah,Missed Jumper,13,13
10:22,Utah Valley,TJ Washington,Defensive Rebound,13,13
10:15,Utah Valley,Jake Toolson,Three Point Jumper,13,16
9:58,California Baptist,Zach Pirog,Layup,15,16
9:38,Utah Valley,Baylee Steele,Jumper,15,18
9:35,California Baptist,None,None,15,18
9:14,California Baptist,Mikey Henn,Missed Three Point Jumper,15,18
9:12,Utah Valley,Baylee Steele,Defensive Rebound,15,18
8:47,Utah Valley,Isaiah White,Three Point Jumper,15,21
8:15,California Baptist,Milan Acquaah,Missed Three Point Jumper,15,21
8:13,Utah Valley,Hayden Schenck,Defensive Rebound,15,21
7:53,Utah Valley,Jake Toolson,Three Point Jumper,15,24
7:16,California Baptist,Milan Acquaah,Missed Three Point Jumper,15,24
7:14,Utah Valley,Baylee Steele,Defensive Rebound,15,24
7:00,Utah Valley,Isaiah White,Three Point Jumper,15,27
6:40,Utah Valley,Isaiah White,Foul,15,27
6:40,Utah Valley,None,None,15,27
6:40,California Baptist,Glenn Morison,Missed Free Throw,15,27
6:40,California Baptist,None,Team Rebound,15,27
6:40,California Baptist,Glenn Morison,Free Throw,16,27
6:28,Utah Valley,Jake Toolson,Three Point Jumper,16,30
6:10,California Baptist,De'jon Davis,Turnover,16,30
5:51,Utah Valley,TJ Washington,Three Point Jumper,16,33
5:36,California Baptist,Milan Acquaah,Turnover,16,33
5:36,Utah Valley,TJ Washington,Steal,16,33
5:08,Utah Valley,Richard Harward,Missed Layup,16,33
5:06,California Baptist,De'jon Davis,Defensive Rebound,16,33
4:53,California Baptist,Glenn Morison,Dunk,18,33
4:32,Utah Valley,TJ Washington,Missed Layup,18,33
4:31,Utah Valley,Utah Valley,Offensive Rebound,18,33
4:13,Utah Valley,Hayden Schenck,Turnover,18,33
4:13,California Baptist,De'jon Davis,Steal,18,33
4:05,California Baptist,Ty Rowell,Turnover,18,33
4:05,Utah Valley,Hayden Schenck,Steal,18,33
3:48,California Baptist,De'jon Davis,Foul,18,33
3:48,Utah Valley,None,None,18,33
3:48,Utah Valley,Wyatt Lowell,Free Throw,18,34
3:48,Utah Valley,Wyatt Lowell,Free Throw,18,35
3:37,California Baptist,Milan Acquaah,Missed Jumper,18,35
3:33,Utah Valley,Wyatt Lowell,Defensive Rebound,18,35
3:06,Utah Valley,Wyatt Lowell,Missed Three Point Jumper,18,35
3:03,California Baptist,Jordan Heading,Defensive Rebound,18,35
2:54,California Baptist,Mikey Henn,Missed Layup,18,35
2:52,Utah Valley,Wyatt Lowell,Defensive Rebound,18,35
2:34,Utah Valley,Baylee Steele,Missed Layup,18,35
2:31,California Baptist,Zach Pirog,Defensive Rebound,18,35
2:09,California Baptist,Mikey Henn,Missed Jumper,18,35
2:06,Utah Valley,Baylee Steele,Defensive Rebound,18,35
1:46,Utah Valley,Isaiah White,Missed Jumper,18,35
1:44,California Baptist,Milan Acquaah,Defensive Rebound,18,35
1:29,California Baptist,Milan Acquaah,Turnover,18,35
1:29,Utah Valley,Wyatt Lowell,Steal,18,35
1:19,Utah Valley,None,None,18,35
1:03,Utah Valley,TJ Washington,Layup,18,37
0:42,California Baptist,Jordan Heading,Foul,18,37
0:42,California Baptist,Jordan Heading,Turnover,18,37
0:17,Utah Valley,Jake Toolson,Missed Three Point Jumper,18,37
0:15,California Baptist,Jordan Heading,Defensive Rebound,18,37
0:01,California Baptist,Milan Acquaah,Missed Three Point Jumper,18,37
0:01,Utah Valley,Isaiah White,Defensive Rebound,18,37
0:00,Utah Valley,None,None,18,37
