TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,Jacksonville,Dave Bell,Turnover,0,0
19:46,Stetson,Abayomi Iyiola,Steal,0,0
19:23,Stetson,Kenny Aninye,Jumper,2,0
18:55,Jacksonville,JD Notae,Three Point Jumper,2,3
18:40,Stetson,Leo Goodman,Jumper,4,3
18:25,Jacksonville,JD Notae,Missed Three Point Jumper,4,3
18:19,Jacksonville,None,Team Rebound,4,3
18:14,Jacksonville,Dave Bell,Turnover,4,3
18:02,Stetson,Jahlil Rawley,Turnover,4,3
17:41,Jacksonville,JD Notae,Jumper,4,5
17:13,Stetson,Jahlil Rawley,Missed Jumper,4,5
17:08,Jacksonville,Tyreese Davis,Defensive Rebound,4,5
17:03,Jacksonville,Aamahne Santos,Missed Three Point Jumper,4,5
16:59,Jacksonville,Jace Hogan,Offensive Rebound,4,5
16:45,Jacksonville,Dave Bell,Dunk,4,7
16:32,Stetson,Kenny Aninye,Layup,6,7
16:17,Jacksonville,JD Notae,Three Point Jumper,6,10
15:56,Stetson,Keith Matthews,Missed Three Point Jumper,6,10
15:52,Jacksonville,Jace Hogan,Defensive Rebound,6,10
15:48,Jacksonville,JD Notae,Missed Three Point Jumper,6,10
15:44,Jacksonville,Jace Hogan,Offensive Rebound,6,10
15:43,Jacksonville,Jace Hogan,Turnover,6,10
15:43,Stetson,Kenny Aninye,Steal,6,10
15:29,Stetson,Leo Goodman,Three Point Jumper,9,10
15:07,Jacksonville,JD Notae,Missed Three Point Jumper,9,10
15:04,Stetson,Jahlil Rawley,Defensive Rebound,9,10
15:00,Stetson,Leo Goodman,Three Point Jumper,12,10
14:36,Jacksonville,JD Notae,Missed Layup,12,10
14:31,Stetson,Abayomi Iyiola,Defensive Rebound,12,10
14:25,Stetson,Abayomi Iyiola,Layup,14,10
14:22,Jacksonville,None,None,14,10
14:07,Jacksonville,Tanner Rubio,Three Point Jumper,14,13
13:59,Stetson,Jahlil Rawley,Turnover,14,13
13:59,Jacksonville,Tanner Rubio,Steal,14,13
13:44,Stetson,Abayomi Iyiola,Foul,14,13
13:44,Jacksonville,Bryce Workman,Free Throw,14,14
13:44,Jacksonville,Bryce Workman,Free Throw,14,15
13:30,Stetson,Keith Matthews,Turnover,14,15
13:12,Jacksonville,Tyreese Davis,Three Point Jumper,14,18
