TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Delaware,Eric Carter,Turnover,0,0
19:29,Elon,Steven Santa Ana,Missed Layup,0,0
19:29,Delaware,Kevin Anderson,Block,0,0
19:28,Elon,Elon,Offensive Rebound,0,0
19:18,Elon,Nathan Priddy,Missed Jumper,0,0
19:18,Delaware,Eric Carter,Defensive Rebound,0,0
19:05,Delaware,Eric Carter,Layup,2,0
18:48,Elon,Steven Santa Ana,Missed Three Point Jumper,2,0
18:48,Delaware,Ithiel Horton,Defensive Rebound,2,0
18:35,Delaware,Ryan Allen,Missed Three Point Jumper,2,0
18:35,Elon,Steven Santa Ana,Defensive Rebound,2,0
18:23,Elon,Tyler Seibring,Jumper,2,2
18:00,Delaware,Ithiel Horton,Missed Jumper,2,2
18:00,Elon,Steven Santa Ana,Defensive Rebound,2,2
17:48,Elon,Chuck Hannah,Missed Three Point Jumper,2,2
17:48,Delaware,Ithiel Horton,Defensive Rebound,2,2
17:27,Delaware,Kevin Anderson,Missed Three Point Jumper,2,2
17:27,Elon,Chuck Hannah,Defensive Rebound,2,2
17:12,Elon,Steven Santa Ana,Missed Three Point Jumper,2,2
17:12,Delaware,Eric Carter,Defensive Rebound,2,2
16:54,Delaware,Darian Bryant,Missed Three Point Jumper,2,2
16:54,Elon,Kris Wooten,Defensive Rebound,2,2
16:39,Delaware,Kevin Anderson,Foul,2,2
16:29,Elon,Steven Santa Ana,Missed Layup,2,2
16:29,Delaware,Collin Goss,Block,2,2
16:25,Elon,Chuck Hannah,Offensive Rebound,2,2
16:19,Elon,None,None,2,4
16:06,Delaware,Collin Goss,Turnover,2,4
16:03,Elon,Steven Santa Ana,Steal,2,4
15:59,Elon,Tyler Seibring,Jumper,2,6
15:37,Delaware,Ryan Allen,Missed Layup,2,6
15:37,Elon,Chuck Hannah,Defensive Rebound,2,6
15:20,Elon,Nathan Priddy,Missed Jumper,2,6
15:20,Delaware,Collin Goss,Defensive Rebound,2,6
14:57,Delaware,Darian Bryant,Missed Layup,2,6
14:57,Elon,Nathan Priddy,Defensive Rebound,2,6
14:50,Elon,Kris Wooten,Three Point Jumper,2,9
14:48,Delaware,None,None,2,9
14:48,Elon,None,None,2,9
14:29,Delaware,Matt Veretto,Foul,2,9
14:29,Delaware,Matt Veretto,Turnover,2,9
14:06,Elon,Kris Wooten,Jumper,2,11
13:47,Delaware,Ryan Allen,Missed Layup,2,11
13:47,Delaware,Delaware,Offensive Rebound,2,11
13:44,Elon,Steven Santa Ana,Foul,2,11
13:44,Delaware,Ryan Allen,Free Throw,3,11
13:44,Delaware,Ryan Allen,Missed Free Throw,3,11
13:44,Delaware,None,Team Rebound,3,11
13:44,Delaware,Ryan Allen,Free Throw,4,11
13:33,Elon,Kris Wooten,Missed Three Point Jumper,4,11
13:33,Delaware,Kevin Anderson,Defensive Rebound,4,11
13:24,Delaware,Kevin Anderson,Missed Layup,4,11
13:24,Elon,Federico Poser,Defensive Rebound,4,11
13:16,Elon,Nathan Priddy,Three Point Jumper,4,14
12:52,Delaware,Eric Carter,Missed Layup,4,14
12:52,Delaware,Matt Veretto,Offensive Rebound,4,14
12:43,Delaware,Eric Carter,Layup,6,14
12:31,Elon,Nathan Priddy,Turnover,6,14
12:29,Delaware,Ithiel Horton,Steal,6,14
12:28,Delaware,Ryan Allen,Layup,8,14
12:28,Elon,Nathan Priddy,Foul,8,14
12:28,Delaware,Ryan Allen,Free Throw,9,14
12:11,Elon,Federico Poser,Turnover,9,14
11:57,Elon,Simon Wright,Foul,9,14
11:57,Elon,None,None,9,14
11:39,Delaware,Matt Veretto,Three Point Jumper,12,14
11:21,Elon,Kris Wooten,Missed Three Point Jumper,12,14
11:21,Delaware,Eric Carter,Defensive Rebound,12,14
10:58,Delaware,Matt Veretto,Missed Three Point Jumper,12,14
10:58,Elon,Kris Wooten,Defensive Rebound,12,14
10:48,Elon,Tyler Seibring,Missed Three Point Jumper,12,14
10:48,Delaware,Matt Veretto,Defensive Rebound,12,14
10:23,Delaware,Eric Carter,Missed Layup,12,14
10:23,Elon,Kris Wooten,Defensive Rebound,12,14
10:15,Elon,Andy Pack,Missed Three Point Jumper,12,14
10:15,Elon,Kris Wooten,Offensive Rebound,12,14
10:09,Elon,Kris Wooten,Three Point Jumper,12,17
9:43,Delaware,Eric Carter,Turnover,12,17
9:41,Elon,Sheldon Eberhardt,Steal,12,17
9:38,Delaware,Ryan Johnson,Foul,12,17
9:38,Elon,Sheldon Eberhardt,Free Throw,12,18
9:38,Elon,Sheldon Eberhardt,Free Throw,12,19
9:22,Delaware,Kevin Anderson,Missed Layup,12,19
9:22,Elon,Sheldon Eberhardt,Defensive Rebound,12,19
9:14,Elon,Tyler Seibring,Missed Three Point Jumper,12,19
9:14,Delaware,Kevin Anderson,Defensive Rebound,12,19
9:01,Delaware,Ryan Allen,Missed Jumper,12,19
9:01,Elon,Tyler Seibring,Defensive Rebound,12,19
8:27,Elon,Elon ,Turnover,12,19
8:05,Delaware,Eric Carter,Layup,14,19
7:47,Elon,Chuck Hannah,Turnover,14,19
7:47,Elon,None,None,14,19
7:26,Delaware,Ryan Johnson,Missed Layup,14,19
7:26,Delaware,Eric Carter,Offensive Rebound,14,19
7:20,Delaware,Eric Carter,Layup,16,19
7:03,Elon,Steven Santa Ana,Missed Three Point Jumper,16,19
7:03,Delaware,Eric Carter,Defensive Rebound,16,19
6:52,Delaware,Ryan Allen,Turnover,16,19
6:50,Elon,Steven Santa Ana,Steal,16,19
6:41,Delaware,Ryan Allen,Foul,16,19
6:29,Elon,Nathan Priddy,Missed Three Point Jumper,16,19
6:29,Elon,Tyler Seibring,Offensive Rebound,16,19
6:16,Elon,Sheldon Eberhardt,Three Point Jumper,16,22
5:54,Delaware,Ithiel Horton,Missed Three Point Jumper,16,22
5:54,Elon,Tyler Seibring,Defensive Rebound,16,22
5:34,Elon,Nathan Priddy,Missed Three Point Jumper,16,22
5:34,Elon,Tyler Seibring,Offensive Rebound,16,22
5:27,Elon,Steven Santa Ana,Foul,16,22
5:27,Elon,Steven Santa Ana,Turnover,16,22
5:05,Delaware,Darian Bryant,Jumper,18,22
4:53,Elon,Tyler Seibring,Jumper,18,24
4:33,Elon,Federico Poser,Foul,18,24
4:14,Delaware,Ithiel Horton,Three Point Jumper,21,24
3:49,Elon,None,None,21,24
3:49,Elon,None,None,21,24
3:29,Elon,Sheldon Eberhardt,Missed Three Point Jumper,21,24
3:29,Elon,Nathan Priddy,Offensive Rebound,21,24
3:27,Elon,Kris Wooten,Layup,21,26
3:10,Delaware,Kevin Anderson,Three Point Jumper,24,26
2:51,Delaware,Ryan Johnson,Foul,24,26
2:42,Elon,Tyler Seibring,Three Point Jumper,24,29
2:24,Delaware,Matt Veretto,Layup,26,29
1:55,Elon,Kris Wooten,Missed Jumper,26,29
1:55,Delaware,Kevin Anderson,Defensive Rebound,26,29
1:44,Delaware,Matt Veretto,Dunk,28,29
1:42,Elon,None,None,28,29
1:19,Elon,Nathan Priddy,Turnover,28,29
1:10,Delaware,Matt Veretto,Missed Three Point Jumper,28,29
1:10,Elon,Andy Pack,Defensive Rebound,28,29
0:48,Delaware,Darian Bryant,Foul,28,29
0:48,Elon,Tyler Seibring,Free Throw,28,30
0:48,Elon,Tyler Seibring,Free Throw,28,31
0:38,Elon,Andy Pack,Foul,28,31
0:38,Delaware,Ryan Allen,Missed Free Throw,28,31
0:38,Delaware,None,Team Rebound,28,31
0:38,Delaware,Ryan Allen,Missed Free Throw,28,31
0:38,Elon,Tyler Seibring,Defensive Rebound,28,31
0:13,Elon,Sheldon Eberhardt,Missed Three Point Jumper,28,31
0:13,Delaware,Eric Carter,Defensive Rebound,28,31
0:03,Delaware,Ithiel Horton,Layup,30,31
