TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,Ball State,Trey Moses,Layup,2,0
19:17,Toledo,Luke Knapke,Turnover,2,0
19:17,Ball State,Trey Moses,Steal,2,0
19:04,Ball State,Tayler Persons,Missed Three Point Jumper,2,0
19:00,Toledo,Willie Jackson,Defensive Rebound,2,0
18:52,Toledo,Marreon Jackson,Turnover,2,0
18:32,Ball State,K.J. Walton,Missed Jumper,2,0
18:32,Toledo,Willie Jackson,Block,2,0
18:20,Toledo,Willie Jackson,Defensive Rebound,2,0
18:20,Toledo,Toledo ,Turnover,2,0
18:06,Ball State,K.J. Walton,Missed Layup,2,0
18:02,Ball State,K.J. Walton,Offensive Rebound,2,0
17:57,Ball State,Tahjai Teague,Three Point Jumper,5,0
17:32,Toledo,Marreon Jackson,Missed Three Point Jumper,5,0
17:27,Ball State,Kyle Mallers,Defensive Rebound,5,0
17:25,Ball State,Tayler Persons,Layup,7,0
17:09,Toledo,Luke Knapke,Missed Jumper,7,0
17:06,Ball State,Kyle Mallers,Defensive Rebound,7,0
16:58,Ball State,Kyle Mallers,Missed Three Point Jumper,7,0
16:53,Toledo,Marreon Jackson,Defensive Rebound,7,0
16:47,Toledo,Marreon Jackson,Missed Three Point Jumper,7,0
16:42,Toledo,Luke Knapke,Offensive Rebound,7,0
16:40,Toledo,Nate Navigato,Missed Three Point Jumper,7,0
16:36,Ball State,Tayler Persons,Defensive Rebound,7,0
16:31,Ball State,K.J. Walton,Layup,9,0
16:12,Toledo,Nate Navigato,Missed Layup,9,0
16:09,Ball State,Kyle Mallers,Defensive Rebound,9,0
16:00,Toledo,None,None,9,0
16:00,Toledo,None,None,9,0
15:56,Ball State,Tahjai Teague,Turnover,9,0
15:32,Toledo,Chris Darrington,Turnover,9,0
15:32,Ball State,Tahjai Teague,Steal,9,0
15:18,Ball State,Tahjai Teague,Turnover,9,0
15:18,Toledo,Chris Darrington,Steal,9,0
15:09,Toledo,Chris Darrington,Missed Layup,9,0
15:01,Toledo,Willie Jackson,Offensive Rebound,9,0
15:01,Toledo,Willie Jackson,Layup,9,2
14:59,Toledo,Chris Darrington,Foul,9,2
14:59,Ball State,Trey Moses,Free Throw,10,2
14:59,Ball State,Trey Moses,Free Throw,11,2
14:47,Toledo,Willie Jackson,Missed Three Point Jumper,11,2
14:40,Ball State,Tayler Persons,Defensive Rebound,11,2
14:37,Ball State,Zach Gunn,Missed Three Point Jumper,11,2
14:32,Toledo,Chris Darrington,Defensive Rebound,11,2
14:30,Toledo,Chris Darrington,Missed Layup,11,2
14:30,Ball State,Zach Gunn,Block,11,2
14:27,Toledo,Willie Jackson,Offensive Rebound,11,2
14:27,Toledo,Willie Jackson,Missed Layup,11,2
14:27,Toledo,AJ Edu,Offensive Rebound,11,2
14:27,Ball State,Trey Moses,Foul,11,2
14:27,Toledo,AJ Edu,Missed Free Throw,11,2
14:27,Toledo,None,Team Rebound,11,2
14:27,Toledo,AJ Edu,Free Throw,11,3
14:11,Ball State,Trey Moses,Layup,13,3
14:00,Ball State,Tayler Persons,Foul,13,3
13:48,Toledo,Chris Darrington,Missed Jumper,13,3
13:45,Ball State,K.J. Walton,Defensive Rebound,13,3
13:42,Ball State,K.J. Walton,Missed Layup,13,3
13:42,Toledo,AJ Edu,Block,13,3
13:32,Toledo,Nate Navigato,Defensive Rebound,13,3
13:26,Toledo,AJ Edu,Jumper,13,5
13:17,Ball State,Trey Moses,Foul,13,5
13:17,Ball State,Trey Moses,Turnover,13,5
13:02,Toledo,Chris Darrington,Jumper,13,7
12:39,Ball State,K.J. Walton,Missed Jumper,13,7
12:35,Toledo,AJ Edu,Defensive Rebound,13,7
12:29,Toledo,Spencer Littleson,Missed Three Point Jumper,13,7
12:25,Toledo,AJ Edu,Offensive Rebound,13,7
12:23,Toledo,AJ Edu,Missed Layup,13,7
12:19,Ball State,Kyle Mallers,Defensive Rebound,13,7
12:15,Ball State,K.J. Walton,Layup,15,7
11:56,Toledo,Dylan Alderson,Missed Layup,15,7
11:51,Ball State,Tahjai Teague,Defensive Rebound,15,7
11:45,Ball State,Tayler Persons,Missed Jumper,15,7
11:41,Toledo,AJ Edu,Defensive Rebound,15,7
11:32,Toledo,Chris Darrington,Layup,15,9
11:09,Ball State,K.J. Walton,Missed Jumper,15,9
11:05,Toledo,Spencer Littleson,Defensive Rebound,15,9
10:57,Toledo,None,None,15,9
10:57,Toledo,None,None,15,9
10:42,Toledo,Nate Navigato,Jumper,15,11
10:14,Ball State,Tahjai Teague,Jumper,17,11
9:47,Toledo,Luke Knapke,Missed Layup,17,11
9:42,Toledo,Luke Knapke,Offensive Rebound,17,11
9:41,Toledo,Luke Knapke,Layup,17,13
9:36,Ball State,Austin Nehls,Foul,17,13
9:36,Toledo,Luke Knapke,Free Throw,17,14
9:25,Ball State,K.J. Walton,Missed Jumper,17,14
9:21,Toledo,Marreon Jackson,Defensive Rebound,17,14
9:15,Toledo,Luke Knapke,Missed Three Point Jumper,17,14
9:11,Ball State,Tahjai Teague,Defensive Rebound,17,14
8:58,Ball State,Tahjai Teague,Jumper,19,14
8:38,Toledo,Spencer Littleson,Missed Three Point Jumper,19,14
8:33,Ball State,Austin Nehls,Defensive Rebound,19,14
8:31,Ball State,K.J. Walton,Layup,21,14
8:31,Toledo,Jaelan Sanford,Foul,21,14
8:31,Ball State,K.J. Walton,Free Throw,22,14
8:24,Toledo,Luke Knapke,Jumper,22,16
8:08,Ball State,Josh Thompson,Missed Three Point Jumper,22,16
8:04,Toledo,Marreon Jackson,Defensive Rebound,22,16
7:58,Toledo,Nate Navigato,Missed Three Point Jumper,22,16
7:56,Toledo,None,None,22,16
7:56,Toledo,Luke Knapke,Offensive Rebound,22,16
7:56,Ball State,Zach Gunn,Foul,22,16
7:56,Toledo,None,None,22,16
7:54,Toledo,Jaelan Sanford,Missed Jumper,22,16
7:50,Ball State,Josh Thompson,Defensive Rebound,22,16
7:45,Ball State,Zach Gunn,Missed Layup,22,16
7:45,Toledo,Luke Knapke,Block,22,16
7:37,Toledo,Luke Knapke,Defensive Rebound,22,16
7:36,Toledo,Willie Jackson,Missed Layup,22,16
7:32,Toledo,Toledo,Offensive Rebound,22,16
7:17,Toledo,Jaelan Sanford,Missed Jumper,22,16
7:14,Ball State,Zach Gunn,Defensive Rebound,22,16
7:01,Ball State,Kyle Mallers,Jumper,24,16
6:41,Toledo,Luke Knapke,Turnover,24,16
6:14,Ball State,Tahjai Teague,Three Point Jumper,27,16
5:58,Toledo,Willie Jackson,Turnover,27,16
5:40,Ball State,Tahjai Teague,Missed Layup,27,16
5:36,Toledo,Marreon Jackson,Defensive Rebound,27,16
5:27,Toledo,Marreon Jackson,Three Point Jumper,27,19
5:01,Ball State,Tayler Persons,Jumper,29,19
4:59,Ball State,None,None,29,19
4:48,Toledo,Marreon Jackson,Three Point Jumper,29,22
4:38,Ball State,Tayler Persons,Layup,31,22
4:19,Toledo,Willie Jackson,Foul,31,22
4:19,Toledo,Willie Jackson,Turnover,31,22
3:59,Ball State,Trey Moses,Turnover,31,22
3:56,Toledo,None,None,31,22
3:56,Toledo,None,None,31,22
3:56,Toledo,Chris Darrington,Missed Jumper,31,22
