TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,Louisiana,Marcus Stroman,Missed Three Point Jumper,0,0
19:37,Louisiana,Jeremy Hayes,Offensive Rebound,0,0
19:19,Louisiana,JaKeenan Gant,Missed Layup,0,0
19:19,Little Rock,Markquis Nowell,Defensive Rebound,0,0
19:07,Little Rock,Rayjon Tucker,Three Point Jumper,3,0
18:38,Louisiana,Marcus Stroman,Foul,3,0
18:38,Louisiana,Marcus Stroman,Turnover,3,0
18:25,Little Rock,Nikola Maric,Turnover,3,0
18:22,Louisiana,JaKeenan Gant,Steal,3,0
18:19,Little Rock,Horace Wyatt Jr.,Foul,3,0
18:19,Louisiana,Marcus Stroman,Free Throw,3,1
18:19,Louisiana,Marcus Stroman,Free Throw,3,2
18:03,Little Rock,Kamani Johnson,Turnover,3,2
17:46,Louisiana,Justin Miller,Missed Layup,3,2
17:46,Little Rock,Nikola Maric,Block,3,2
17:46,Louisiana,Louisiana,Offensive Rebound,3,2
17:45,Louisiana,JaKeenan Gant,Layup,3,4
17:32,Little Rock,Nikola Maric,Three Point Jumper,6,4
17:17,Little Rock,Markquis Nowell,Foul,6,4
17:15,Louisiana,JaKeenan Gant,Missed Jumper,6,4
17:15,Little Rock,Horace Wyatt Jr.,Defensive Rebound,6,4
17:00,Little Rock,Nikola Maric,Missed Layup,6,4
17:00,Louisiana,Jeremy Hayes,Block,6,4
17:00,Little Rock,Little Rock,Offensive Rebound,6,4
16:50,Little Rock,Kamani Johnson,Foul,6,4
16:50,Little Rock,Kamani Johnson,Turnover,6,4
16:29,Little Rock,Kamani Johnson,Foul,6,4
16:23,Louisiana,Trajan Wesley,Turnover,6,4
16:05,Louisiana,Jeremy Hayes,Foul,6,4
15:51,Little Rock,Horace Wyatt Jr.,Missed Jumper,6,4
15:51,Little Rock,Rayjon Tucker,Offensive Rebound,6,4
15:47,Little Rock,Rayjon Tucker,Layup,8,4
15:35,Louisiana,Marcus Stroman,Layup,8,6
15:14,Louisiana,None,None,8,6
14:59,Little Rock,Markquis Nowell,Turnover,8,6
14:53,Louisiana,Trajan Wesley,Turnover,8,6
14:53,Little Rock,Rayjon Tucker,Steal,8,6
14:39,Little Rock,Markquis Nowell,Missed Jumper,8,6
14:39,Louisiana,Jeremy Hayes,Defensive Rebound,8,6
14:31,Louisiana,Jeremy Hayes,Layup,8,8
14:31,Little Rock,Horace Wyatt Jr.,Foul,8,8
14:31,Louisiana,Jeremy Hayes,Free Throw,8,9
14:10,Little Rock,Rayjon Tucker,Missed Three Point Jumper,8,9
14:10,Little Rock,Markquis Nowell,Offensive Rebound,8,9
14:06,Little Rock,Markquis Nowell,Turnover,8,9
13:51,Louisiana,JaKeenan Gant,Layup,8,11
13:37,Little Rock,Markquis Nowell,Missed Layup,8,11
13:37,Louisiana,P.J. Hardy,Defensive Rebound,8,11
13:27,Louisiana,Marcus Stroman,Missed Layup,8,11
13:27,Louisiana,JaKeenan Gant,Offensive Rebound,8,11
13:25,Little Rock,Kris Bankston,Foul,8,11
13:25,Louisiana,JaKeenan Gant,Free Throw,8,12
13:25,Louisiana,JaKeenan Gant,Free Throw,8,13
13:09,Louisiana,Justin Miller,Foul,8,13
13:09,Little Rock,Kris Bankston,Missed Free Throw,8,13
13:09,Little Rock,None,Team Rebound,8,13
13:09,Little Rock,Kris Bankston,Missed Free Throw,8,13
13:09,Louisiana,JaKeenan Gant,Defensive Rebound,8,13
12:54,Louisiana,P.J. Hardy,Missed Three Point Jumper,8,13
12:54,Little Rock,Rayjon Tucker,Defensive Rebound,8,13
12:46,Louisiana,Marcus Stroman,Foul,8,13
12:36,Little Rock,Ryan Pippins,Missed Three Point Jumper,8,13
12:36,Louisiana,JaKeenan Gant,Defensive Rebound,8,13
12:28,Louisiana,JaKeenan Gant,Missed Jumper,8,13
12:28,Little Rock,Ryan Pippins,Defensive Rebound,8,13
12:21,Little Rock,Deondre Burns,Turnover,8,13
12:08,Louisiana,Cedric Russell,Three Point Jumper,8,16
11:47,Little Rock,Markquis Nowell,Missed Layup,8,16
11:47,Louisiana,Jeremy Hayes,Defensive Rebound,8,16
11:26,Louisiana,Cedric Russell,Missed Three Point Jumper,8,16
11:26,Louisiana,JaKeenan Gant,Offensive Rebound,8,16
11:21,Louisiana,Jeremy Hayes,Missed Three Point Jumper,8,16
11:21,Louisiana,None,Team Rebound,8,16
11:19,Louisiana,None,None,8,16
11:19,Little Rock,Kris Bankston,Foul,8,16
11:19,Louisiana,JaKeenan Gant,Free Throw,8,17
11:19,Louisiana,JaKeenan Gant,Free Throw,8,18
10:57,Little Rock,Markquis Nowell,Three Point Jumper,11,18
10:40,Louisiana,Cedric Russell,Turnover,11,18
10:22,Louisiana,Jerekius Davis,Foul,11,18
10:22,Little Rock,Deondre Burns,Missed Free Throw,11,18
10:22,Little Rock,None,Team Rebound,11,18
