TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,Detroit Mercy,Derrien King,Missed Jumper,0,0
19:36,Northern Kentucky,Zaynah Robinson,Defensive Rebound,0,0
19:21,Northern Kentucky,Tyler Sharpe,Turnover,0,0
19:21,Detroit Mercy,Derrien King,Steal,0,0
19:10,Detroit Mercy,Antoine Davis,Jumper,0,2
18:47,Northern Kentucky,Zaynah Robinson,Jumper,2,2
18:23,Northern Kentucky,Zaynah Robinson,Foul,2,2
18:08,Detroit Mercy,Antoine Davis,Jumper,2,4
17:49,Northern Kentucky,Drew McDonald,Missed Jumper,2,4
17:49,Detroit Mercy,Chris Brandon,Block,2,4
17:49,Detroit Mercy,Derrien King,Defensive Rebound,2,4
17:34,Detroit Mercy,Derrien King,Jumper,2,6
17:31,Detroit Mercy,Gerald Blackshear Jr.,Foul,2,6
17:22,Northern Kentucky,Tyler Sharpe,Missed Three Point Jumper,2,6
17:18,Northern Kentucky,Drew McDonald,Offensive Rebound,2,6
17:09,Northern Kentucky,Drew McDonald,Layup,4,6
16:41,Detroit Mercy,Josh McFolley,Turnover,4,6
16:23,Detroit Mercy,Derrien King,Foul,4,6
16:19,Northern Kentucky,Dantez Walton,Missed Jumper,4,6
16:15,Detroit Mercy,Chris Brandon,Defensive Rebound,4,6
16:15,Detroit Mercy,Josh McFolley,Missed Layup,4,6
16:15,Northern Kentucky,Jalen Tate,Block,4,6
16:15,Detroit Mercy,Detroit Mercy,Offensive Rebound,4,6
16:10,Detroit Mercy,Gerald Blackshear Jr.,Missed Layup,4,6
16:06,Northern Kentucky,Jalen Tate,Defensive Rebound,4,6
15:38,Detroit Mercy,Antoine Davis,Missed Three Point Jumper,6,6
15:36,Detroit Mercy,Antoine Davis,Offensive Rebound,6,6
15:34,Northern Kentucky,Jalen Tate,Foul,6,6
15:34,Detroit Mercy,None,None,6,6
15:26,Detroit Mercy,Antoine Davis,Layup,6,8
15:07,Northern Kentucky,Jalen Tate,Turnover,6,8
15:07,Detroit Mercy,Josh McFolley,Steal,6,8
14:42,Detroit Mercy,Josh McFolley,Missed Three Point Jumper,6,8
14:42,Detroit Mercy,Detroit Mercy,Offensive Rebound,6,8
14:31,Detroit Mercy,Willy Isiani,Missed Three Point Jumper,6,8
14:28,Northern Kentucky,Jalen Tate,Defensive Rebound,6,8
14:25,Northern Kentucky,Chris Vogt,Dunk,8,8
13:58,Detroit Mercy,Harrison Curry,Missed Jumper,8,8
13:58,Detroit Mercy,Detroit Mercy,Offensive Rebound,8,8
13:58,Northern Kentucky,Jalen Tate,Foul,8,8
13:49,Detroit Mercy,Antoine Davis,Three Point Jumper,8,11
13:29,Northern Kentucky,Tyler Sharpe,Three Point Jumper,11,11
13:16,Northern Kentucky,Tyler Sharpe,Foul,11,11
13:03,Detroit Mercy,Antoine Davis,Missed Three Point Jumper,11,11
13:03,Northern Kentucky,Northern Kentucky,Defensive Rebound,11,11
12:41,Northern Kentucky,Adrian Nelson,Dunk,13,11
12:08,Detroit Mercy,Derrien King,Missed Jumper,13,11
12:05,Northern Kentucky,Adrian Nelson,Defensive Rebound,13,11
11:48,Northern Kentucky,Tyler Sharpe,Missed Three Point Jumper,13,11
11:45,Detroit Mercy,Harrison Curry,Defensive Rebound,13,11
11:36,Detroit Mercy,Antoine Davis,Missed Layup,13,11
11:36,Northern Kentucky,Trevon Faulkner,Block,13,11
