TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Texas Tech,None,None,0,0
19:46,Texas Tech,Tariq Owens,Missed Three Point Jumper,0,0
19:46,Oklahoma,Miles Reynolds,Defensive Rebound,0,0
19:33,Oklahoma,Brady Manek,Missed Three Point Jumper,0,0
19:33,Texas Tech,Matt Mooney,Defensive Rebound,0,0
19:11,Texas Tech,Davide Moretti,Three Point Jumper,0,3
18:49,Oklahoma,Aaron Calixte,Missed Three Point Jumper,0,3
18:49,Texas Tech,Jarrett Culver,Defensive Rebound,0,3
18:27,Texas Tech,Davide Moretti,Three Point Jumper,0,6
18:12,Oklahoma,Aaron Calixte,Missed Layup,0,6
18:12,Texas Tech,Norense Odiase,Block,0,6
18:12,Texas Tech,Norense Odiase,Defensive Rebound,0,6
17:58,Texas Tech,Matt Mooney,Missed Three Point Jumper,0,6
17:58,Oklahoma,Oklahoma,Defensive Rebound,0,6
17:41,Oklahoma,Miles Reynolds,Missed Jumper,0,6
17:41,Texas Tech,Texas Tech,Defensive Rebound,0,6
17:23,Texas Tech,Norense Odiase,Dunk,0,8
17:07,Oklahoma,Kristian Doolittle,Jumper,2,8
17:07,Texas Tech,Norense Odiase,Foul,2,8
17:07,Oklahoma,Kristian Doolittle,Free Throw,3,8
17:00,Texas Tech,Kyler Edwards,Missed Layup,3,8
17:00,Oklahoma,Brady Manek,Defensive Rebound,3,8
16:49,Oklahoma,Kristian Doolittle,Missed Jumper,3,8
16:49,Texas Tech,Kyler Edwards,Block,3,8
16:49,Oklahoma,Brady Manek,Offensive Rebound,3,8
16:45,Oklahoma,Brady Manek,Missed Jumper,3,8
16:45,Oklahoma,Oklahoma,Offensive Rebound,3,8
16:43,Oklahoma,Christian James,Three Point Jumper,6,8
16:26,Texas Tech,Tariq Owens,Missed Jumper,6,8
16:26,Oklahoma,Christian James,Defensive Rebound,6,8
16:19,Texas Tech,Matt Mooney,Foul,6,8
16:14,Oklahoma,Kristian Doolittle,Turnover,6,8
15:46,Texas Tech,Deshawn Corprew,Missed Three Point Jumper,6,8
15:46,Oklahoma,Aaron Calixte,Defensive Rebound,6,8
15:38,Oklahoma,Brady Manek,Missed Three Point Jumper,6,8
15:38,Texas Tech,Deshawn Corprew,Defensive Rebound,6,8
15:12,Texas Tech,Davide Moretti,Turnover,6,8
15:12,Texas Tech,None,None,6,8
14:59,Oklahoma,Christian James,Three Point Jumper,9,8
14:19,Texas Tech,Jarrett Culver,Missed Layup,9,8
14:19,Texas Tech,None,Team Rebound,9,8
14:19,Texas Tech,Texas Tech ,Turnover,9,8
14:06,Oklahoma,Christian James,Missed Three Point Jumper,9,8
14:06,Oklahoma,Jamal Bieniemy,Offensive Rebound,9,8
13:55,Oklahoma,Jamal Bieniemy,Turnover,9,8
13:55,Texas Tech,Davide Moretti,Steal,9,8
13:39,Texas Tech,Jarrett Culver,Layup,9,10
13:17,Oklahoma,Kristian Doolittle,Jumper,11,10
13:06,Texas Tech,Jarrett Culver,Jumper,11,12
12:47,Oklahoma,Kristian Doolittle,Missed Jumper,11,12
12:47,Texas Tech,Jarrett Culver,Defensive Rebound,11,12
12:16,Texas Tech,Matt Mooney,Missed Three Point Jumper,11,12
12:16,Oklahoma,Jamuni McNeace,Defensive Rebound,11,12
12:05,Oklahoma,Rashard Odomes,Layup,13,12
11:43,Oklahoma,Jamuni McNeace,Foul,13,12
11:43,Texas Tech,None,None,13,12
11:43,Texas Tech,Matt Mooney,Free Throw,13,13
11:43,Texas Tech,Matt Mooney,Free Throw,13,14
11:31,Oklahoma,Jamal Bieniemy,Missed Jumper,13,14
11:31,Texas Tech,Davide Moretti,Defensive Rebound,13,14
11:02,Texas Tech,Deshawn Corprew,Layup,13,16
10:36,Oklahoma,Brady Manek,Missed Layup,13,16
10:36,Oklahoma,Brady Manek,Offensive Rebound,13,16
10:36,Texas Tech,Deshawn Corprew,Foul,13,16
10:35,Oklahoma,Aaron Calixte,Three Point Jumper,16,16
10:21,Texas Tech,Jarrett Culver,Jumper,16,18
9:59,Oklahoma,Rashard Odomes,Missed Layup,16,18
9:59,Texas Tech,Jarrett Culver,Defensive Rebound,16,18
9:47,Oklahoma,Rashard Odomes,Foul,16,18
9:34,Texas Tech,Matt Mooney,Three Point Jumper,16,21
9:08,Oklahoma,Brady Manek,Missed Jumper,16,21
9:08,Oklahoma,Rashard Odomes,Offensive Rebound,16,21
9:08,Oklahoma,None,None,18,21
8:40,Oklahoma,Jamal Bieniemy,Foul,18,21
8:38,Texas Tech,Kyler Edwards,Missed Jumper,18,21
8:38,Oklahoma,Kristian Doolittle,Defensive Rebound,18,21
8:32,Oklahoma,Aaron Calixte,Missed Three Point Jumper,18,21
8:32,Texas Tech,Texas Tech,Defensive Rebound,18,21
8:17,Texas Tech,Norense Odiase,Dunk,18,23
7:57,Texas Tech,Brandone Francis,Foul,18,23
7:57,Texas Tech,None,None,18,23
7:57,Oklahoma,Rashard Odomes,Free Throw,19,23
7:57,Oklahoma,Rashard Odomes,Free Throw,20,23
7:36,Texas Tech,Matt Mooney,Missed Jumper,20,23
7:36,Texas Tech,None,Team Rebound,20,23
7:31,Texas Tech,Norense Odiase,Foul,20,23
7:12,Oklahoma,Brady Manek,Layup,22,23
6:52,Texas Tech,Tariq Owens,Missed Three Point Jumper,22,23
6:52,Oklahoma,Miles Reynolds,Defensive Rebound,22,23
6:29,Oklahoma,None,None,22,23
6:26,Oklahoma,Brady Manek,Missed Three Point Jumper,22,23
6:26,Texas Tech,Tariq Owens,Defensive Rebound,22,23
6:15,Texas Tech,Jarrett Culver,Missed Three Point Jumper,22,23
6:15,Oklahoma,Kristian Doolittle,Defensive Rebound,22,23
5:57,Oklahoma,Kristian Doolittle,Jumper,24,23
5:44,Texas Tech,Matt Mooney,Turnover,24,23
5:44,Oklahoma,Kristian Doolittle,Steal,24,23
5:36,Oklahoma,Miles Reynolds,Layup,26,23
5:36,Texas Tech,Jarrett Culver,Foul,26,23
5:36,Oklahoma,Miles Reynolds,Free Throw,27,23
5:16,Texas Tech,Davide Moretti,Missed Three Point Jumper,27,23
5:16,Oklahoma,Kristian Doolittle,Defensive Rebound,27,23
4:53,Oklahoma,Miles Reynolds,Missed Three Point Jumper,27,23
4:53,Texas Tech,Jarrett Culver,Defensive Rebound,27,23
4:40,Oklahoma,Jamuni McNeace,Foul,27,23
4:40,Texas Tech,Jarrett Culver,Free Throw,27,24
4:40,Texas Tech,Jarrett Culver,Free Throw,27,25
4:35,Oklahoma,Christian James,Three Point Jumper,30,25
4:21,Texas Tech,Kyler Edwards,Missed Three Point Jumper,30,25
4:21,Oklahoma,Jamal Bieniemy,Defensive Rebound,30,25
4:06,Oklahoma,Matt Freeman,Missed Three Point Jumper,30,25
4:06,Oklahoma,Kristian Doolittle,Offensive Rebound,30,25
3:52,Oklahoma,Jamal Bieniemy,Missed Jumper,30,25
3:52,Oklahoma,Kristian Doolittle,Offensive Rebound,30,25
3:48,Oklahoma,Kristian Doolittle,Missed Jumper,30,25
3:48,Texas Tech,Tariq Owens,Defensive Rebound,30,25
3:43,Texas Tech,None,None,30,25
3:43,Texas Tech,None,None,30,25
3:22,Oklahoma,Miles Reynolds,Foul,30,25
3:21,Texas Tech,Jarrett Culver,Missed Three Point Jumper,30,25
