TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:48,Northwestern State,Dalin Williams,Missed Layup,0,0
19:48,Texas A&M-CC,Jashawn Talton,Defensive Rebound,0,0
19:45,Northwestern State,Dalin Williams,Foul,0,0
19:21,Texas A&M-CC,Jashawn Talton,Missed Jumper,0,0
19:21,Northwestern State,John Norvel,Defensive Rebound,0,0
18:54,Northwestern State,Ishmael Lane,Jumper,0,2
18:41,Texas A&M-CC,Kareem South,Missed Jumper,0,2
18:41,Northwestern State,Dalin Williams,Block,0,2
18:39,Northwestern State,LaTerrance Reed,Defensive Rebound,0,2
18:31,Northwestern State,LaTerrance Reed,Turnover,0,2
18:29,Texas A&M-CC,Jake Babic,Steal,0,2
18:22,Texas A&M-CC,Emmanuel Toney,Three Point Jumper,3,2
18:06,Northwestern State,LaTerrance Reed,Three Point Jumper,3,5
17:48,Texas A&M-CC,Jashawn Talton,Missed Jumper,3,5
17:48,Texas A&M-CC,Elijah Schmidt,Offensive Rebound,3,5
17:43,Texas A&M-CC,Emmanuel Toney,Missed Three Point Jumper,3,5
17:43,Texas A&M-CC,Elijah Schmidt,Offensive Rebound,3,5
17:39,Texas A&M-CC,Kareem South,Missed Jumper,3,5
17:39,Texas A&M-CC,Texas A&M-CC,Offensive Rebound,3,5
17:29,Texas A&M-CC,Emmanuel Toney,Turnover,3,5
17:27,Northwestern State,DeAndre Love,Steal,3,5
17:23,Texas A&M-CC,Jake Babic,Foul,3,5
17:06,Northwestern State,John Norvel,Missed Three Point Jumper,3,5
17:06,Texas A&M-CC,Elijah Schmidt,Defensive Rebound,3,5
16:56,Texas A&M-CC,Elijah Schmidt,Layup,5,5
16:56,Northwestern State,Darian Dixon,Foul,5,5
16:56,Texas A&M-CC,Elijah Schmidt,Missed Free Throw,5,5
16:56,Northwestern State,Ishmael Lane,Defensive Rebound,5,5
16:49,Northwestern State,John Norvel,Layup,5,7
16:42,Texas A&M-CC,Kareem South,Missed Jumper,5,7
16:42,Northwestern State,DeAndre Love,Defensive Rebound,5,7
16:35,Northwestern State,LaTerrance Reed,Turnover,5,7
16:13,Texas A&M-CC,Emmanuel Toney,Turnover,5,7
16:12,Northwestern State,DeAndre Love,Steal,5,7
16:10,Northwestern State,DeAndre Love,Dunk,5,9
16:07,Northwestern State,John Norvel,Foul,5,9
16:00,Texas A&M-CC,Emmanuel Toney,Turnover,5,9
15:58,Northwestern State,DeAndre Love,Steal,5,9
15:51,Northwestern State,Darian Dixon,Missed Dunk,5,9
15:51,Texas A&M-CC,Jashawn Talton,Block,5,9
15:49,Northwestern State,Darian Dixon,Offensive Rebound,5,9
15:47,Northwestern State,Darian Dixon,Missed Layup,5,9
15:47,Texas A&M-CC,Elijah Schmidt,Block,5,9
15:45,Northwestern State,Darian Dixon,Offensive Rebound,5,9
15:42,Texas A&M-CC,Kareem South,Foul,5,9
15:42,Northwestern State,None,None,5,9
15:24,Northwestern State,DeAndre Love,Turnover,5,9
15:22,Texas A&M-CC,Kareem South,Steal,5,9
15:13,Texas A&M-CC,Kareem South,Three Point Jumper,8,9
14:45,Northwestern State,Ishmael Lane,Missed Jumper,8,9
14:45,Northwestern State,DeAndre Love,Offensive Rebound,8,9
14:42,Northwestern State,DeAndre Love,Jumper,8,11
14:11,Texas A&M-CC,Tre Gray,Turnover,8,11
13:48,Northwestern State,Larry Owens,Turnover,8,11
13:47,Texas A&M-CC,Tre Gray,Steal,8,11
13:41,Texas A&M-CC,Emmanuel Toney,Layup,10,11
13:14,Northwestern State,Brandon Hutton,Jumper,10,13
13:03,Texas A&M-CC,Tre Gray,Jumper,12,13
12:32,Northwestern State,Larry Owens,Jumper,12,15
12:02,Texas A&M-CC,Kareem South,Missed Jumper,12,15
12:02,Texas A&M-CC,Texas A&M-CC,Offensive Rebound,12,15
11:56,Texas A&M-CC,Tre Gray,Turnover,12,15
11:56,Northwestern State,None,None,12,15
11:56,Texas A&M-CC,Elijah Schmidt,Foul,12,15
11:49,Northwestern State,Brian White,Missed Three Point Jumper,12,15
11:49,Texas A&M-CC,Kyle Brown,Defensive Rebound,12,15
11:34,Northwestern State,Malik Metoyer,Foul,12,15
11:30,Texas A&M-CC,Kareem South,Missed Layup,12,15
11:30,Texas A&M-CC,Kareem South,Offensive Rebound,12,15
11:19,Texas A&M-CC,Tre Gray,Turnover,12,15
10:48,Northwestern State,Brandon Hutton,Missed Jumper,12,15
10:48,Northwestern State,Northwestern State,Offensive Rebound,12,15
10:46,Texas A&M-CC,Tony Lewis,Foul,12,15
10:35,Northwestern State,Dalin Williams,Layup,12,17
10:03,Texas A&M-CC,Jashawn Talton,Turnover,12,17
9:38,Northwestern State,DeAndre Love,Missed Three Point Jumper,12,17
9:38,Northwestern State,Ishmael Lane,Offensive Rebound,12,17
9:33,Northwestern State,Ishmael Lane,Layup,12,19
9:07,Texas A&M-CC,Jashawn Talton,Missed Three Point Jumper,12,19
9:07,Texas A&M-CC,Emmanuel Toney,Offensive Rebound,12,19
9:02,Texas A&M-CC,Tony Lewis,Missed Jumper,12,19
9:02,Northwestern State,Ishmael Lane,Defensive Rebound,12,19
8:43,Northwestern State,Dalin Williams,Turnover,12,19
8:42,Texas A&M-CC,Jake Babic,Steal,12,19
8:35,Texas A&M-CC,Jake Babic,Missed Layup,12,19
8:35,Northwestern State,Ishmael Lane,Block,12,19
8:35,Texas A&M-CC,Texas A&M-CC,Offensive Rebound,12,19
8:14,Texas A&M-CC,Elijah Schmidt,Jumper,14,19
