TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:30,UMass,Carl Pierre,Jumper,2,0
18:58,Saint Louis,D.J. Foreman,Turnover,2,0
18:41,UMass,Keon Clergeot,Missed Layup,2,0
18:38,Saint Louis,Javon Bess,Defensive Rebound,2,0
18:34,Saint Louis,Jordan Goodwin,Missed Layup,2,0
18:34,Saint Louis,Hasahn French,Offensive Rebound,2,0
18:32,Saint Louis,Hasahn French,Missed Layup,2,0
18:32,UMass,Samba Diallo,Defensive Rebound,2,0
18:20,UMass,Samba Diallo,Turnover,2,0
18:20,Saint Louis,Jordan Goodwin,Steal,2,0
18:13,Saint Louis,D.J. Foreman,Turnover,2,0
17:54,UMass,Rashaan Holloway,Layup,4,0
17:40,Saint Louis,Javon Bess,Missed Jumper,4,0
17:37,Saint Louis,Hasahn French,Offensive Rebound,4,0
17:34,Saint Louis,Jordan Goodwin,Missed Three Point Jumper,4,0
17:31,UMass,Samba Diallo,Defensive Rebound,4,0
17:14,UMass,Rashaan Holloway,Layup,6,0
17:13,Saint Louis,None,None,6,0
16:56,Saint Louis,Hasahn French,Jumper,6,2
16:36,UMass,Carl Pierre,Layup,8,2
16:17,Saint Louis,Tramaine Isabell Jr.,Jumper,8,4
15:58,Saint Louis,Hasahn French,Foul,8,4
15:58,Saint Louis,None,None,8,4
15:47,UMass,Carl Pierre,Missed Three Point Jumper,8,4
15:44,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,8,4
15:38,Saint Louis,KC Hankton,Missed Three Point Jumper,8,4
15:35,UMass,Samba Diallo,Defensive Rebound,8,4
15:28,UMass,Samba Diallo,Turnover,8,4
15:28,Saint Louis,Javon Bess,Steal,8,4
15:24,Saint Louis,Tramaine Isabell Jr.,Foul,8,4
15:24,Saint Louis,Tramaine Isabell Jr.,Turnover,8,4
15:24,Saint Louis,Tramaine Isabell Jr.,Turnover,8,4
15:06,UMass,Carl Pierre,Missed Jumper,8,4
15:04,Saint Louis,D.J. Foreman,Defensive Rebound,8,4
15:04,UMass,Curtis Cobb,Foul,8,4
14:39,UMass,Djery Baptiste,Foul,8,4
14:39,Saint Louis,Javon Bess,Missed Three Point Jumper,8,4
14:39,UMass,Curtis Cobb,Defensive Rebound,8,4
14:19,UMass,Luwane Pipkins,Turnover,8,4
14:05,Saint Louis,Jordan Goodwin,Layup,8,6
13:42,UMass,Rashaan Holloway,Layup,10,6
13:31,Saint Louis,D.J. Foreman,Missed Jumper,10,6
13:31,UMass,Rashaan Holloway,Block,10,6
13:31,Saint Louis,Saint Louis,Offensive Rebound,10,6
13:28,UMass,Rashaan Holloway,Foul,10,6
13:28,Saint Louis,D.J. Foreman,Free Throw,10,7
13:28,Saint Louis,D.J. Foreman,Free Throw,10,8
13:12,UMass,Sy Chatman,Turnover,10,8
13:12,Saint Louis,Dion Wiley,Steal,10,8
13:06,Saint Louis,Dion Wiley,Missed Three Point Jumper,10,8
13:02,Saint Louis,Jordan Goodwin,Offensive Rebound,10,8
13:01,Saint Louis,Jordan Goodwin,Jumper,10,10
12:45,UMass,Luwane Pipkins,Missed Three Point Jumper,10,10
12:45,Saint Louis,D.J. Foreman,Defensive Rebound,10,10
12:43,UMass,Rashaan Holloway,Foul,10,10
12:43,Saint Louis,Hasahn French,Free Throw,10,11
12:43,Saint Louis,Hasahn French,Free Throw,10,12
12:39,Saint Louis,Demarius Jacobs,Turnover,10,12
12:39,UMass,Curtis Cobb,Steal,10,12
12:36,UMass,Sy Chatman,Turnover,10,12
12:06,Saint Louis,Dion Wiley,Missed Three Point Jumper,10,12
12:02,UMass,Samba Diallo,Defensive Rebound,10,12
11:45,Saint Louis,Fred Thatch Jr.,Foul,10,12
11:45,Saint Louis,None,None,10,12
11:30,UMass,Keon Clergeot,Missed Three Point Jumper,10,12
11:29,UMass,Samba Diallo,Foul,10,12
11:28,Saint Louis,D.J. Foreman,Defensive Rebound,10,12
11:07,Saint Louis,Javon Bess,Jumper,10,14
10:40,UMass,Sy Chatman,Three Point Jumper,13,14
10:10,UMass,Luwane Pipkins,Missed Jumper,13,16
10:07,Saint Louis,D.J. Foreman,Defensive Rebound,13,16
9:53,Saint Louis,Hasahn French,Missed Layup,13,16
9:50,UMass,Samba Diallo,Defensive Rebound,13,16
9:41,UMass,Curtis Cobb,Turnover,13,16
9:28,Saint Louis,Hasahn French,Layup,13,18
9:06,UMass,Samba Diallo,Layup,15,18
8:51,Saint Louis,Javon Bess,Three Point Jumper,15,21
8:40,UMass,Samba Diallo,Three Point Jumper,18,21
8:27,Saint Louis,Javon Bess,Missed Three Point Jumper,18,21
8:23,UMass,Keon Clergeot,Defensive Rebound,18,21
8:11,UMass,Samba Diallo,Missed Layup,18,21
8:08,Saint Louis,Hasahn French,Defensive Rebound,18,21
8:05,Saint Louis,Jordan Goodwin,Missed Three Point Jumper,18,21
7:59,Saint Louis,Tramaine Isabell Jr.,Offensive Rebound,18,21
7:42,Saint Louis,KC Hankton,Missed Jumper,18,21
7:38,UMass,Samba Diallo,Defensive Rebound,18,21
7:18,UMass,Keon Clergeot,Missed Layup,18,21
7:18,Saint Louis,Hasahn French,Block,18,21
7:14,Saint Louis,Jordan Goodwin,Defensive Rebound,18,21
7:12,Saint Louis,Tramaine Isabell Jr.,Missed Layup,18,21
7:12,UMass,Samba Diallo,Block,18,21
7:08,UMass,Carl Pierre,Defensive Rebound,18,21
7:04,Saint Louis,None,None,20,21
7:03,Saint Louis,None,None,20,21
7:03,Saint Louis,None,None,20,21
7:03,UMass,Keon Clergeot,Layup,20,21
7:03,Saint Louis,Jordan Goodwin,Foul,20,21
7:03,Saint Louis,None,None,20,21
7:03,UMass,Keon Clergeot,Missed Free Throw,20,21
7:03,Saint Louis,Javon Bess,Defensive Rebound,20,21
6:43,Saint Louis,Jordan Goodwin,Missed Layup,20,21
6:43,UMass,Djery Baptiste,Block,20,21
6:39,Saint Louis,Jordan Goodwin,Offensive Rebound,20,21
6:38,Saint Louis,Jordan Goodwin,Missed Layup,20,21
6:38,UMass,Djery Baptiste,Block,20,21
6:35,UMass,Unique McLean,Defensive Rebound,20,21
6:08,UMass,Samba Diallo,Layup,22,21
5:54,Saint Louis,Javon Bess,Missed Three Point Jumper,22,21
5:50,UMass,Djery Baptiste,Defensive Rebound,22,21
5:28,UMass,Carl Pierre,Missed Jumper,22,21
5:28,Saint Louis,Fred Thatch Jr.,Block,22,21
5:28,Saint Louis,Saint Louis,Defensive Rebound,22,21
5:13,Saint Louis,Javon Bess,Jumper,22,23
4:42,UMass,Luwane Pipkins,Missed Three Point Jumper,22,23
4:39,Saint Louis,Hasahn French,Defensive Rebound,22,23
4:27,Saint Louis,Tramaine Isabell Jr.,Missed Three Point Jumper,22,23
4:24,UMass,Samba Diallo,Defensive Rebound,22,23
4:21,UMass,Luwane Pipkins,Turnover,22,23
4:21,Saint Louis,Tramaine Isabell Jr.,Steal,22,23
4:11,Saint Louis,Jordan Goodwin,Missed Layup,22,23
4:09,Saint Louis,Tramaine Isabell Jr.,Offensive Rebound,22,23
4:09,Saint Louis,Tramaine Isabell Jr.,Missed Jumper,22,23
4:09,UMass,Samba Diallo,Defensive Rebound,22,23
4:07,UMass,Samba Diallo,Foul,22,23
4:07,UMass,Samba Diallo,Turnover,22,23
3:55,Saint Louis,Javon Bess,Missed Jumper,22,23
3:55,Saint Louis,Fred Thatch Jr.,Offensive Rebound,22,23
3:54,UMass,Sy Chatman,Foul,22,23
3:54,Saint Louis,None,None,22,23
3:54,Saint Louis,Fred Thatch Jr.,Missed Free Throw,22,23
3:54,UMass,Carl Pierre,Defensive Rebound,22,23
3:53,Saint Louis,None,None,22,23
3:53,Saint Louis,None,None,22,23
3:30,UMass,Luwane Pipkins,Missed Jumper,22,23
3:28,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,22,23
3:25,Saint Louis,Dion Wiley,Missed Three Point Jumper,22,23
3:22,Saint Louis,Fred Thatch Jr.,Offensive Rebound,22,23
3:19,UMass,Luwane Pipkins,Foul,22,23
3:19,Saint Louis,Hasahn French,Free Throw,22,24
3:19,Saint Louis,Hasahn French,Free Throw,22,25
2:58,Saint Louis,Javon Bess,Foul,22,25
2:42,UMass,Sy Chatman,Missed Three Point Jumper,22,25
2:42,Saint Louis,Fred Thatch Jr.,Block,22,25
2:42,UMass,Sy Chatman,Offensive Rebound,22,25
2:37,UMass,UMass ,Turnover,22,25
2:12,Saint Louis,Fred Thatch Jr.,Missed Three Point Jumper,22,25
2:09,Saint Louis,Javon Bess,Offensive Rebound,22,25
1:51,Saint Louis,Hasahn French,Layup,22,27
1:33,UMass,Luwane Pipkins,Layup,24,27
1:33,Saint Louis,Javon Bess,Foul,24,27
1:33,UMass,Luwane Pipkins,Free Throw,25,27
1:16,Saint Louis,Fred Thatch Jr.,Layup,25,29
0:57,Saint Louis,Hasahn French,Foul,25,29
0:57,UMass,Luwane Pipkins,Missed Free Throw,25,29
0:57,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,25,29
0:38,Saint Louis,Tramaine Isabell Jr.,Missed Three Point Jumper,25,29
0:36,Saint Louis,Saint Louis,Offensive Rebound,25,29
0:28,Saint Louis,Tramaine Isabell Jr.,Three Point Jumper,25,32
0:17,UMass,None,None,25,32
0:00,Saint Louis,None,None,25,32
19:49,UMass,Luwane Pipkins,Missed Three Point Jumper,25,32
19:44,Saint Louis,Javon Bess,Defensive Rebound,25,32
19:25,UMass,Rashaan Holloway,Foul,25,32
