TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:39,Fairfield,Neftali Alvarez,Missed Three Point Jumper,0,0
19:35,Marist,David Knudsen,Defensive Rebound,0,0
19:24,Marist,Darius Hines,Turnover,0,0
19:24,Fairfield,Neftali Alvarez,Steal,0,0
19:16,Fairfield,Jonathan Kasibabu,Layup,0,2
18:54,Marist,David Knudsen,Missed Three Point Jumper,0,2
18:50,Fairfield,Neftali Alvarez,Defensive Rebound,0,2
18:46,Fairfield,Thomas Nolan,Missed Three Point Jumper,0,2
18:43,Fairfield,Fairfield,Offensive Rebound,0,2
18:21,Fairfield,Taj Benning,Missed Three Point Jumper,0,2
18:17,Marist,Brian Parker,Defensive Rebound,0,2
18:05,Marist,Brian Parker,Missed Layup,0,2
18:02,Fairfield,Taj Benning,Defensive Rebound,0,2
17:55,Fairfield,Thomas Nolan,Missed Three Point Jumper,0,2
17:55,Marist,Marist,Defensive Rebound,0,2
17:33,Marist,David Knudsen,Layup,2,2
17:03,Fairfield,Taj Benning,Missed Jumper,2,2
16:59,Fairfield,Jonathan Kasibabu,Offensive Rebound,2,2
16:58,Fairfield,Jonathan Kasibabu,Missed Layup,2,2
16:55,Marist,David Knudsen,Defensive Rebound,2,2
16:52,Marist,Brian Parker,Turnover,2,2
16:52,Fairfield,Jonathan Kasibabu,Steal,2,2
16:45,Fairfield,Thomas Nolan,Foul,2,2
16:45,Fairfield,Thomas Nolan,Turnover,2,2
16:28,Fairfield,Taj Benning,Defensive Rebound,2,2
16:15,Fairfield,Matija Milin,Missed Layup,2,2
16:11,Marist,Aleksandar Dozic,Defensive Rebound,2,2
15:52,Marist,Aleksandar Dozic,Turnover,2,2
15:52,Fairfield,None,None,2,2
15:42,Fairfield,Matija Milin,Layup,2,4
15:16,Marist,David Knudsen,Missed Jumper,2,4
15:11,Marist,Isaiah Lamb,Offensive Rebound,2,4
15:10,Marist,Isaiah Lamb,Missed Layup,2,4
15:07,Marist,Isaiah Lamb,Offensive Rebound,2,4
14:46,Marist,Matthew Herasme,Turnover,2,4
14:46,Fairfield,Landon Taliaferro,Steal,2,4
14:17,Fairfield,Matija Milin,Layup,2,6
14:17,Marist,None,None,2,6
14:02,Marist,Luke Nedrow,Foul,2,6
14:02,Marist,Luke Nedrow,Turnover,2,6
13:43,Fairfield,Jonathan Kasibabu,Turnover,2,6
13:43,Marist,Matthew Herasme,Steal,2,6
13:37,Marist,Austin Williams,Turnover,2,6
13:21,Fairfield,Landon Taliaferro,Missed Three Point Jumper,2,6
13:17,Marist,Luke Nedrow,Defensive Rebound,2,6
13:09,Marist,Brian Parker,Jumper,4,6
12:51,Fairfield,Jonathan Kasibabu,Three Point Jumper,4,9
12:18,Marist,Matthew Herasme,Missed Three Point Jumper,4,9
12:15,Fairfield,Taj Benning,Defensive Rebound,4,9
12:03,Fairfield,Matija Milin,Layup,4,11
11:40,Marist,Brian Parker,Missed Jumper,4,11
11:36,Fairfield,Matija Milin,Defensive Rebound,4,11
11:32,Fairfield,Aidas Kavaliauskas,Turnover,4,11
11:32,Fairfield,None,None,4,11
11:03,Marist,Matthew Herasme,Missed Three Point Jumper,4,11
11:00,Fairfield,Taj Benning,Defensive Rebound,4,11
10:52,Fairfield,Matija Milin,Three Point Jumper,4,14
10:49,Marist,None,None,4,14
10:30,Fairfield,Taj Benning,Foul,4,14
10:20,Marist,Brian Parker,Turnover,4,14
10:20,Fairfield,Thomas Nolan,Steal,4,14
10:15,Fairfield,Jonathan Kasibabu,Jumper,4,16
9:57,Marist,Brian Parker,Layup,6,16
9:43,Fairfield,Taj Benning,Missed Layup,6,16
9:40,Marist,Aleksandar Dozic,Defensive Rebound,6,16
9:25,Fairfield,Aidas Kavaliauskas,Foul,6,16
9:23,Fairfield,Aidas Kavaliauskas,Foul,6,16
9:23,Marist,Brian Parker,Free Throw,7,16
9:23,Marist,Brian Parker,Missed Free Throw,7,16
9:23,Marist,Isaiah Lamb,Offensive Rebound,7,16
9:14,Fairfield,Jonathan Kasibabu,Foul,7,16
9:14,Marist,Brian Parker,Free Throw,8,16
9:14,Marist,Brian Parker,Free Throw,9,16
8:54,Fairfield,Jonathan Kasibabu,Layup,9,18
8:31,Marist,Isaiah Lamb,Missed Layup,9,18
8:27,Fairfield,Jonathan Kasibabu,Defensive Rebound,9,18
8:05,Marist,David Knudsen,Foul,9,18
7:57,Fairfield,Jonathan Kasibabu,Missed Layup,9,18
7:54,Marist,Tobias Sjoberg,Defensive Rebound,9,18
7:47,Marist,Darius Hines,Missed Layup,9,18
7:44,Fairfield,Taj Benning,Defensive Rebound,9,18
7:42,Fairfield,Taj Benning,Layup,9,20
7:21,Marist,Matthew Herasme,Missed Layup,9,20
7:20,Marist,Tobias Sjoberg,Offensive Rebound,9,20
7:20,Fairfield,Thomas Nolan,Foul,9,20
7:20,Fairfield,None,None,9,20
6:57,Marist,Austin Williams,Jumper,11,20
6:37,Fairfield,Jonathan Kasibabu,Layup,11,22
6:19,Marist,Brian Parker,Turnover,11,22
5:56,Fairfield,Matija Milin,Turnover,11,22
5:33,Fairfield,Neftali Alvarez,Foul,11,22
5:33,Marist,Austin Williams,Free Throw,12,22
5:32,Marist,Austin Williams,Missed Free Throw,12,22
5:30,Fairfield,Neftali Alvarez,Defensive Rebound,12,22
5:11,Fairfield,Jonathan Kasibabu,Missed Jumper,12,22
5:07,Marist,Isaiah Lamb,Defensive Rebound,12,22
4:57,Marist,Isaiah Lamb,Missed Three Point Jumper,12,22
