TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Lipscomb,None,None,0,0
19:44,Liberty,Lovell Cabbil Jr.,Foul,0,0
19:44,Lipscomb,Garrison Mathews,Missed Free Throw,0,0
19:44,Lipscomb,None,Team Rebound,0,0
19:44,Lipscomb,Garrison Mathews,Free Throw,0,1
19:24,Liberty,Lovell Cabbil Jr.,Missed Layup,0,1
19:24,Lipscomb,Michael Buckland,Block,0,1
19:24,Liberty,Scottie James,Offensive Rebound,0,1
19:13,Liberty,None,None,0,1
19:13,Liberty,Liberty ,Turnover,0,1
18:51,Lipscomb,Michael Buckland,Missed Three Point Jumper,0,1
18:51,Liberty,Scottie James,Defensive Rebound,0,1
18:28,Liberty,Scottie James,Layup,2,1
18:17,Liberty,Caleb Homesley,Foul,2,1
18:06,Lipscomb,Garrison Mathews,Missed Three Point Jumper,2,1
18:06,Liberty,Liberty,Defensive Rebound,2,1
17:44,Liberty,Keenan Gumbs,Missed Layup,2,1
17:44,Lipscomb,Rob Marberry,Defensive Rebound,2,1
17:29,Lipscomb,Eli Pepper,Layup,2,3
17:13,Liberty,Scottie James,Layup,4,3
17:13,Lipscomb,Michael Buckland,Foul,4,3
17:13,Liberty,Scottie James,Free Throw,5,3
17:01,Lipscomb,Rob Marberry,Layup,5,5
16:31,Liberty,Scottie James,Layup,7,5
16:20,Lipscomb,Kenny Cooper,Missed Three Point Jumper,7,5
16:20,Liberty,Scottie James,Defensive Rebound,7,5
15:53,Liberty,Darius McGhee,Missed Three Point Jumper,7,5
15:53,Lipscomb,Kenny Cooper,Defensive Rebound,7,5
15:27,Lipscomb,Michael Buckland,Missed Jumper,7,5
15:27,Liberty,Darius McGhee,Defensive Rebound,7,5
15:08,Liberty,Elijah Cuffee,Foul,7,5
15:08,Liberty,Elijah Cuffee,Turnover,7,5
15:08,Lipscomb,None,None,7,5
14:56,Lipscomb,Garrison Mathews,Three Point Jumper,7,8
14:25,Liberty,Caleb Homesley,Missed Three Point Jumper,7,8
14:25,Lipscomb,Kenny Cooper,Defensive Rebound,7,8
14:09,Lipscomb,Ahsan Asadullah,Jumper,7,10
13:47,Liberty,Myo Baxter-Bell,Layup,9,10
13:36,Lipscomb,Kenny Cooper,Missed Jumper,9,10
13:36,Lipscomb,Ahsan Asadullah,Offensive Rebound,9,10
13:36,Lipscomb,None,None,9,10
13:36,Lipscomb,Ahsan Asadullah,Offensive Rebound,9,10
