TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:40,Vermont,Stef Smith,Three Point Jumper,0,3
19:16,Binghamton,Sam Sessoms,Missed Three Point Jumper,0,3
19:16,Vermont,Stef Smith,Defensive Rebound,0,3
18:59,Vermont,Anthony Lamb,Jumper,0,5
18:42,Binghamton,Caleb Stewart,Turnover,0,5
18:41,Vermont,Anthony Lamb,Steal,0,5
18:19,Vermont,Ernie Duncan,Three Point Jumper,0,8
18:18,Binghamton,None,None,0,8
17:59,Binghamton,J.C. Show,Three Point Jumper,3,8
17:37,Vermont,Samuel Dingba,Missed Layup,3,8
17:37,Binghamton,Caleb Stewart,Defensive Rebound,3,8
17:18,Binghamton,Everson Davis,Turnover,3,8
17:18,Vermont,Samuel Dingba,Steal,3,8
16:59,Vermont,Anthony Lamb,Jumper,3,10
16:31,Binghamton,J.C. Show,Missed Three Point Jumper,3,10
16:31,Vermont,Ben Shungu,Defensive Rebound,3,10
16:14,Vermont,Stef Smith,Three Point Jumper,3,13
15:42,Binghamton,Sam Sessoms,Turnover,3,13
15:41,Vermont,Anthony Lamb,Steal,3,13
15:34,Vermont,Stef Smith,Missed Three Point Jumper,3,13
15:34,Binghamton,Everson Davis,Defensive Rebound,3,13
15:23,Binghamton,Chancellor Barnard,Layup,5,13
15:01,Vermont,Ernie Duncan,Missed Three Point Jumper,5,13
15:01,Vermont,Samuel Dingba,Offensive Rebound,5,13
14:57,Vermont,Samuel Dingba,Turnover,5,13
14:54,Binghamton,J.C. Show,Steal,5,13
14:49,Binghamton,Caleb Stewart,Missed Three Point Jumper,5,13
14:49,Vermont,Ernie Duncan,Defensive Rebound,5,13
14:23,Vermont,Ernie Duncan,Missed Three Point Jumper,5,13
14:23,Vermont,Ben Shungu,Offensive Rebound,5,13
14:16,Binghamton,Sam Sessoms,Foul,5,13
14:16,Vermont,None,None,5,13
14:02,Vermont,Everett Duncan,Missed Three Point Jumper,5,13
14:02,Binghamton,Chancellor Barnard,Defensive Rebound,5,13
13:55,Vermont,Ryan Davis,Foul,5,13
13:55,Binghamton,Chancellor Barnard,Free Throw,6,13
13:55,Binghamton,Chancellor Barnard,Free Throw,7,13
13:44,Vermont,Everett Duncan,Three Point Jumper,7,16
13:34,Vermont,Robin Duncan,Foul,7,16
13:21,Binghamton,Chancellor Barnard,Layup,9,16
13:04,Vermont,Stef Smith,Layup,9,18
12:48,Binghamton,Everson Davis,Jumper,11,18
12:19,Vermont,Anthony Lamb,Layup,11,20
12:01,Vermont,Everett Duncan,Foul,11,20
12:01,Binghamton,J.C. Show,Foul,11,20
12:01,Binghamton,J.C. Show,Turnover,11,20
11:42,Vermont,Ryan Davis,Missed Jumper,11,20
11:42,Binghamton,Everson Davis,Defensive Rebound,11,20
11:32,Binghamton,Sam Sessoms,Missed Three Point Jumper,11,20
11:32,Vermont,Ben Shungu,Defensive Rebound,11,20
11:32,Binghamton,Chancellor Barnard,Foul,11,20
11:32,Vermont,None,None,11,20
11:17,Vermont,Everett Duncan,Missed Three Point Jumper,11,20
11:17,Binghamton,Timmy Rose,Defensive Rebound,11,20
11:12,Binghamton,Richard Caldwell Jr.,Dunk,13,20
10:39,Vermont,Ernie Duncan,Jumper,13,22
10:18,Binghamton,Timmy Rose,Missed Jumper,13,22
10:18,Binghamton,Calistus Anyichie,Offensive Rebound,13,22
10:17,Binghamton,Calistus Anyichie,Layup,15,22
9:50,Vermont,Ben Shungu,Missed Jumper,15,22
9:50,Binghamton,Calistus Anyichie,Defensive Rebound,15,22
9:27,Binghamton,Caleb Stewart,Jumper,17,22
9:10,Binghamton,Calistus Anyichie,Foul,17,22
8:57,Vermont,Stef Smith,Three Point Jumper,17,25
8:44,Vermont,Ben Shungu,Foul,17,25
8:33,Binghamton,Caleb Stewart,Missed Three Point Jumper,17,25
8:33,Binghamton,J.C. Show,Offensive Rebound,17,25
8:30,Binghamton,Richard Caldwell Jr.,Missed Three Point Jumper,17,25
8:30,Vermont,Stef Smith,Defensive Rebound,17,25
