TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,St. Francis (PA),None,None,0,0
19:42,St. Francis (PA),Jamaal King,Three Point Jumper,0,3
19:16,Fairleigh Dickinson,Mike Holloway Jr.,Missed Three Point Jumper,0,3
19:16,St. Francis (PA),Isaiah Blackmon,Defensive Rebound,0,3
19:09,St. Francis (PA),Keith Braxton,Missed Three Point Jumper,0,3
19:09,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,0,3
18:59,Fairleigh Dickinson,Jahlil Jenkins,Missed Jumper,0,3
18:59,St. Francis (PA),Luidgy Laporal,Block,0,3
18:59,St. Francis (PA),St. Francis (PA),Defensive Rebound,0,3
18:44,St. Francis (PA),Randall Gaskins Jr.,Missed Layup,0,3
18:44,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,0,3
18:33,Fairleigh Dickinson,Mike Holloway Jr.,Turnover,0,3
18:14,Fairleigh Dickinson,Elyjah Williams,Foul,0,3
18:14,St. Francis (PA),Keith Braxton,Missed Free Throw,0,3
18:14,St. Francis (PA),None,Team Rebound,0,3
18:14,St. Francis (PA),Keith Braxton,Free Throw,0,4
17:56,Fairleigh Dickinson,Mike Holloway Jr.,Dunk,2,4
17:49,St. Francis (PA),Randall Gaskins Jr.,Jumper,2,6
17:20,Fairleigh Dickinson,Kaleb Bishop,Turnover,2,6
17:20,St. Francis (PA),Jamaal King,Steal,2,6
17:12,St. Francis (PA),Keith Braxton,Three Point Jumper,2,9
16:56,Fairleigh Dickinson,Darnell Edge,Missed Layup,2,9
16:56,St. Francis (PA),Luidgy Laporal,Defensive Rebound,2,9
16:44,St. Francis (PA),Luidgy Laporal,Layup,2,11
16:19,Fairleigh Dickinson,Elyjah Williams,Layup,4,11
15:57,St. Francis (PA),Jamaal King,Turnover,4,11
15:57,Fairleigh Dickinson,Jahlil Jenkins,Steal,4,11
15:49,Fairleigh Dickinson,Kaleb Bishop,Layup,6,11
15:22,St. Francis (PA),Luidgy Laporal,Missed Jumper,6,11
15:22,Fairleigh Dickinson,Mike Holloway Jr.,Block,6,11
15:22,Fairleigh Dickinson,Fairleigh Dickinson,Defensive Rebound,6,11
15:19,St. Francis (PA),Isaiah Blackmon,Foul,6,11
15:18,St. Francis (PA),None,None,6,11
14:56,Fairleigh Dickinson,Darnell Edge,Missed Jumper,6,11
14:56,St. Francis (PA),Keith Braxton,Defensive Rebound,6,11
14:41,St. Francis (PA),Randall Gaskins Jr.,Missed Three Point Jumper,6,11
14:41,St. Francis (PA),Isaiah Blackmon,Offensive Rebound,6,11
14:33,St. Francis (PA),Jamaal King,Missed Three Point Jumper,6,11
14:33,Fairleigh Dickinson,Jahlil Jenkins,Defensive Rebound,6,11
14:14,Fairleigh Dickinson,Kaleb Bishop,Three Point Jumper,9,11
13:52,St. Francis (PA),Isaiah Blackmon,Missed Three Point Jumper,9,11
13:52,Fairleigh Dickinson,Elyjah Williams,Defensive Rebound,9,11
13:27,St. Francis (PA),Luidgy Laporal,Foul,9,11
13:27,Fairleigh Dickinson,Mike Holloway Jr.,Free Throw,10,11
13:27,Fairleigh Dickinson,Mike Holloway Jr.,Free Throw,11,11
13:23,St. Francis (PA),Randall Gaskins Jr.,Turnover,11,11
13:23,Fairleigh Dickinson,Brandon Powell,Steal,11,11
13:17,Fairleigh Dickinson,Darnell Edge,Missed Three Point Jumper,11,11
13:17,St. Francis (PA),Keith Braxton,Defensive Rebound,11,11
12:51,St. Francis (PA),Keith Braxton,Missed Layup,11,11
12:51,St. Francis (PA),Mark Flagg,Offensive Rebound,11,11
12:51,St. Francis (PA),None,None,11,13
12:30,St. Francis (PA),Mark Flagg,Foul,11,13
12:15,Fairleigh Dickinson,Mike Holloway Jr.,Dunk,13,13
12:00,Fairleigh Dickinson,Darnell Edge,Foul,13,13
12:00,St. Francis (PA),None,None,13,13
12:00,St. Francis (PA),Mark Flagg,Missed Free Throw,13,13
12:00,St. Francis (PA),None,Team Rebound,13,13
12:00,St. Francis (PA),Mark Flagg,Missed Free Throw,13,13
12:00,Fairleigh Dickinson,Fairleigh Dickinson,Defensive Rebound,13,13
11:41,Fairleigh Dickinson,Darnell Edge,Layup,15,13
11:06,St. Francis (PA),St. Francis (PA) ,Turnover,15,13
10:49,Fairleigh Dickinson,Darnell Edge,Three Point Jumper,18,13
10:38,St. Francis (PA),Andre Wolford,Three Point Jumper,18,16
10:17,Fairleigh Dickinson,Elyjah Williams,Turnover,18,16
10:07,St. Francis (PA),Isaiah Blackmon,Turnover,18,16
9:55,Fairleigh Dickinson,Mike Holloway Jr.,Missed Layup,18,16
9:55,St. Francis (PA),Myles Thompson,Defensive Rebound,18,16
9:45,St. Francis (PA),Jamaal King,Layup,18,18
9:32,Fairleigh Dickinson,Kaleb Bishop,Layup,20,18
9:09,St. Francis (PA),Myles Thompson,Missed Jumper,20,18
9:09,Fairleigh Dickinson,Kaleb Bishop,Block,20,18
9:09,St. Francis (PA),St. Francis (PA),Offensive Rebound,20,18
9:02,St. Francis (PA),Keith Braxton,Missed Jumper,20,18
9:02,St. Francis (PA),Isaiah Blackmon,Offensive Rebound,20,18
8:54,St. Francis (PA),Isaiah Blackmon,Missed Layup,20,18
8:54,Fairleigh Dickinson,Fairleigh Dickinson,Defensive Rebound,20,18
8:32,Fairleigh Dickinson,Kaleb Bishop,Three Point Jumper,23,18
8:11,St. Francis (PA),Isaiah Blackmon,Three Point Jumper,23,21
8:05,Fairleigh Dickinson,None,None,23,21
7:46,Fairleigh Dickinson,Jahlil Jenkins,Missed Three Point Jumper,23,21
7:46,St. Francis (PA),Mark Flagg,Defensive Rebound,23,21
7:35,St. Francis (PA),Mark Flagg,Dunk,23,23
7:19,Fairleigh Dickinson,Kaleb Bishop,Missed Jumper,23,23
7:19,St. Francis (PA),Mark Flagg,Block,23,23
7:19,Fairleigh Dickinson,Fairleigh Dickinson,Offensive Rebound,23,23
7:13,Fairleigh Dickinson,Elyjah Williams,Dunk,25,23
6:54,St. Francis (PA),Isaiah Blackmon,Missed Jumper,25,23
6:54,Fairleigh Dickinson,Fairleigh Dickinson,Defensive Rebound,25,23
6:50,St. Francis (PA),Mark Flagg,Foul,25,23
6:28,Fairleigh Dickinson,Jahlil Jenkins,Three Point Jumper,28,23
6:05,St. Francis (PA),Isaiah Blackmon,Missed Layup,28,23
6:05,St. Francis (PA),Isaiah Blackmon,Offensive Rebound,28,23
6:05,St. Francis (PA),None,None,28,25
5:41,Fairleigh Dickinson,Elyjah Williams,Layup,30,25
5:25,St. Francis (PA),Jamaal King,Missed Jumper,30,25
5:25,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,30,25
5:16,St. Francis (PA),Jamaal King,Foul,30,25
5:06,Fairleigh Dickinson,Darnell Edge,Layup,32,25
4:35,St. Francis (PA),Keith Braxton,Layup,32,27
4:08,Fairleigh Dickinson,Elyjah Williams,Missed Layup,32,27
4:08,St. Francis (PA),Andre Wolford,Defensive Rebound,32,27
3:58,St. Francis (PA),Luidgy Laporal,Layup,32,29
3:33,Fairleigh Dickinson,Jahlil Jenkins,Jumper,34,29
3:04,Fairleigh Dickinson,Brandon Powell,Foul,34,29
3:04,St. Francis (PA),None,None,34,29
3:04,St. Francis (PA),Luidgy Laporal,Missed Free Throw,34,29
3:04,St. Francis (PA),None,Team Rebound,34,29
3:04,St. Francis (PA),Luidgy Laporal,Missed Free Throw,34,29
3:04,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,34,29
2:44,Fairleigh Dickinson,Mike Holloway Jr.,Turnover,34,29
2:44,St. Francis (PA),Isaiah Blackmon,Steal,34,29
2:37,St. Francis (PA),Isaiah Blackmon,Turnover,34,29
2:22,Fairleigh Dickinson,Mike Holloway Jr.,Layup,36,29
1:59,St. Francis (PA),Jamaal King,Jumper,36,31
1:59,Fairleigh Dickinson,Mike Holloway Jr.,Foul,36,31
1:59,Fairleigh Dickinson,Fairleigh Dickinson,Foul,36,31
1:59,St. Francis (PA),Isaiah Blackmon,Missed Free Throw,36,31
1:59,St. Francis (PA),None,Team Rebound,36,31
1:59,St. Francis (PA),Isaiah Blackmon,Missed Free Throw,36,31
1:59,St. Francis (PA),None,Team Rebound,36,31
1:59,St. Francis (PA),Jamaal King,Missed Free Throw,36,31
1:59,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,36,31
1:39,Fairleigh Dickinson,None,None,36,31
1:37,St. Francis (PA),None,None,36,31
1:34,Fairleigh Dickinson,Darnell Edge,Jumper,38,31
1:17,St. Francis (PA),Keith Braxton,Missed Three Point Jumper,38,31
1:17,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,38,31
1:04,Fairleigh Dickinson,Kaleb Bishop,Dunk,40,31
0:46,St. Francis (PA),Jamaal King,Missed Jumper,40,31
0:46,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,40,31
0:25,Fairleigh Dickinson,Jahlil Jenkins,Missed Layup,40,31
0:25,St. Francis (PA),Keith Braxton,Defensive Rebound,40,31
0:03,St. Francis (PA),Isaiah Blackmon,Missed Three Point Jumper,40,31
0:03,Fairleigh Dickinson,Fairleigh Dickinson,Defensive Rebound,40,31
0:00,St. Francis (PA),None,None,40,31
20:00,St. Francis (PA),None,None,40,31
19:32,St. Francis (PA),Isaiah Blackmon,Jumper,40,33
19:10,Fairleigh Dickinson,Darnell Edge,Layup,42,33
18:53,St. Francis (PA),Isaiah Blackmon,Missed Jumper,42,33
18:53,St. Francis (PA),Luidgy Laporal,Offensive Rebound,42,33
18:45,Fairleigh Dickinson,Mike Holloway Jr.,Foul,42,33
18:45,St. Francis (PA),Luidgy Laporal,Free Throw,42,34
18:45,St. Francis (PA),Luidgy Laporal,Missed Free Throw,42,34
18:45,St. Francis (PA),Keith Braxton,Offensive Rebound,42,34
18:35,Fairleigh Dickinson,Mike Holloway Jr.,Foul,42,34
18:29,St. Francis (PA),Jamaal King,Three Point Jumper,42,37
18:00,Fairleigh Dickinson,Jahlil Jenkins,Layup,44,37
17:37,St. Francis (PA),Jamaal King,Missed Jumper,44,37
17:37,St. Francis (PA),Luidgy Laporal,Offensive Rebound,44,37
17:34,Fairleigh Dickinson,Kaleb Bishop,Foul,44,37
17:34,St. Francis (PA),Luidgy Laporal,Missed Free Throw,44,37
17:34,St. Francis (PA),None,Team Rebound,44,37
17:34,St. Francis (PA),Luidgy Laporal,Free Throw,44,38
17:20,Fairleigh Dickinson,Darnell Edge,Missed Three Point Jumper,44,38
17:20,St. Francis (PA),Keith Braxton,Defensive Rebound,44,38
17:08,St. Francis (PA),Isaiah Blackmon,Missed Jumper,44,38
17:08,Fairleigh Dickinson,Elyjah Williams,Block,44,38
17:08,St. Francis (PA),St. Francis (PA),Offensive Rebound,44,38
17:02,St. Francis (PA),Randall Gaskins Jr.,Turnover,44,38
17:02,Fairleigh Dickinson,Jahlil Jenkins,Steal,44,38
16:57,Fairleigh Dickinson,Jahlil Jenkins,Layup,46,38
16:35,St. Francis (PA),Isaiah Blackmon,Three Point Jumper,46,41
16:04,Fairleigh Dickinson,Jahlil Jenkins,Missed Three Point Jumper,46,41
16:04,St. Francis (PA),St. Francis (PA),Defensive Rebound,46,41
15:57,St. Francis (PA),None,None,46,41
15:36,St. Francis (PA),Keith Braxton,Turnover,46,41
15:36,Fairleigh Dickinson,Darnell Edge,Steal,46,41
15:07,St. Francis (PA),Luidgy Laporal,Foul,46,41
15:07,Fairleigh Dickinson,Elyjah Williams,Missed Free Throw,46,41
15:07,Fairleigh Dickinson,None,Team Rebound,46,41
15:07,Fairleigh Dickinson,Elyjah Williams,Free Throw,47,41
14:46,St. Francis (PA),Andre Wolford,Missed Three Point Jumper,47,41
14:46,Fairleigh Dickinson,Elyjah Williams,Defensive Rebound,47,41
14:19,Fairleigh Dickinson,Darnell Edge,Three Point Jumper,50,41
13:50,St. Francis (PA),Andre Wolford,Three Point Jumper,50,44
13:28,Fairleigh Dickinson,Elyjah Williams,Layup,52,44
13:11,St. Francis (PA),Andre Wolford,Missed Three Point Jumper,52,44
13:11,St. Francis (PA),Keith Braxton,Offensive Rebound,52,44
13:04,Fairleigh Dickinson,Brandon Powell,Foul,52,44
13:04,St. Francis (PA),Jamaal King,Three Point Jumper,52,47
12:42,Fairleigh Dickinson,Kaleb Bishop,Three Point Jumper,55,47
12:38,Fairleigh Dickinson,None,None,55,47
12:35,St. Francis (PA),Isaiah Blackmon,Three Point Jumper,55,50
12:08,Fairleigh Dickinson,Elyjah Williams,Missed Jumper,55,50
12:08,Fairleigh Dickinson,Kaleb Bishop,Offensive Rebound,55,50
11:56,Fairleigh Dickinson,Elyjah Williams,Missed Three Point Jumper,55,50
11:56,St. Francis (PA),Keith Braxton,Defensive Rebound,55,50
11:50,St. Francis (PA),Keith Braxton,Foul,55,50
11:50,St. Francis (PA),Keith Braxton,Turnover,55,50
11:50,St. Francis (PA),None,None,55,50
11:36,Fairleigh Dickinson,Kaleb Bishop,Turnover,55,50
11:16,St. Francis (PA),Jamaal King,Missed Jumper,55,50
11:16,Fairleigh Dickinson,Elyjah Williams,Block,55,50
11:16,St. Francis (PA),Keith Braxton,Offensive Rebound,55,50
11:09,St. Francis (PA),Keith Braxton,Layup,55,52
10:43,Fairleigh Dickinson,Mike Holloway Jr.,Dunk,57,52
10:10,St. Francis (PA),Keith Braxton,Missed Layup,57,52
10:10,Fairleigh Dickinson,Elyjah Williams,Defensive Rebound,57,52
9:46,St. Francis (PA),Andre Wolford,Foul,57,52
9:46,Fairleigh Dickinson,Darnell Edge,Free Throw,58,52
9:46,Fairleigh Dickinson,Darnell Edge,Free Throw,59,52
9:46,Fairleigh Dickinson,Darnell Edge,Free Throw,60,52
