TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,George Mason,Justin Kier,Layup,0,2
19:18,George Washington,Maceo Jack,Three Point Jumper,3,2
19:07,George Mason,Otis Livingston II,Missed Jumper,3,2
19:07,George Washington,Justin Williams,Defensive Rebound,3,2
18:58,George Washington,Armel Potter,Three Point Jumper,6,2
18:27,George Washington,Maceo Jack,Foul,6,2
18:27,George Mason,Javon Greene,Free Throw,6,3
18:27,George Mason,Javon Greene,Free Throw,6,4
18:11,George Washington,Javier Langarica,Missed Layup,6,4
18:11,George Mason,Jordan Miller,Defensive Rebound,6,4
18:01,George Mason,Javon Greene,Missed Three Point Jumper,6,4
18:01,George Washington,Justin Williams,Defensive Rebound,6,4
17:42,George Washington,Justin Mazzulla,Turnover,6,4
17:41,George Mason,Justin Kier,Steal,6,4
17:40,George Mason,Justin Kier,Layup,6,6
17:17,George Washington,Justin Mazzulla,Missed Layup,6,6
17:17,George Mason,Greg Calixte,Defensive Rebound,6,6
17:06,George Mason,Greg Calixte,Missed Layup,6,6
17:06,George Washington,Javier Langarica,Defensive Rebound,6,6
16:45,George Washington,Javier Langarica,Jumper,8,6
16:11,George Mason,Justin Kier,Jumper,8,8
15:52,George Washington,Maceo Jack,Missed Three Point Jumper,8,8
15:52,George Mason,Jordan Miller,Defensive Rebound,8,8
15:42,George Mason,Otis Livingston II,Missed Layup,8,8
15:42,George Washington,Justin Mazzulla,Defensive Rebound,8,8
15:33,George Washington,Maceo Jack,Missed Three Point Jumper,8,8
15:33,George Mason,Justin Kier,Defensive Rebound,8,8
15:08,George Mason,Otis Livingston II,Three Point Jumper,8,11
14:49,George Washington,Armel Potter,Missed Three Point Jumper,8,11
14:49,George Mason,George Mason,Defensive Rebound,8,11
14:45,George Mason,None,None,8,11
14:12,George Mason,Otis Livingston II,Missed Three Point Jumper,8,11
14:12,George Washington,Maceo Jack,Defensive Rebound,8,11
13:57,George Washington,Justin Mazzulla,Missed Layup,8,11
13:57,George Mason,Jordan Miller,Block,8,11
13:55,George Washington,Justin Mazzulla,Offensive Rebound,8,11
13:53,George Washington,Maceo Jack,Layup,10,11
13:30,George Mason,Jarred Reuter,Turnover,10,11
13:27,George Washington,Justin Williams,Steal,10,11
13:09,George Washington,Maceo Jack,Missed Layup,10,11
13:09,George Mason,Jarred Reuter,Defensive Rebound,10,11
12:52,George Mason,Otis Livingston II,Three Point Jumper,10,14
12:31,George Washington,Terry Nolan Jr.,Missed Jumper,10,14
12:31,George Mason,Jarred Reuter,Defensive Rebound,10,14
12:08,George Mason,Jamal Hartwell II,Missed Jumper,10,14
12:08,George Washington,Justin Williams,Defensive Rebound,10,14
11:49,George Washington,Justin Mazzulla,Turnover,10,14
