TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Georgetown,None,None,0,0
19:49,Georgetown,James Akinjo,Jumper,2,0
19:37,Seton Hall,Myles Powell,Jumper,2,2
19:15,Georgetown,Mac McClung,Missed Three Point Jumper,2,2
19:15,Seton Hall,Michael Nzei,Defensive Rebound,2,2
18:59,Seton Hall,Myles Cale,Missed Layup,2,2
18:59,Seton Hall,Michael Nzei,Offensive Rebound,2,2
18:59,Seton Hall,None,None,2,4
18:42,Georgetown,Mac McClung,Layup,4,4
18:29,Seton Hall,Quincy McKnight,Turnover,4,4
18:29,Georgetown,Mac McClung,Steal,4,4
18:20,Georgetown,Jessie Govan,Jumper,6,4
17:52,Seton Hall,Myles Powell,Missed Three Point Jumper,6,4
17:52,Georgetown,Jessie Govan,Defensive Rebound,6,4
17:40,Georgetown,James Akinjo,Layup,8,4
17:33,Georgetown,James Akinjo,Foul,8,4
17:30,Georgetown,Jessie Govan,Foul,8,4
17:30,Seton Hall,Michael Nzei,Free Throw,8,5
17:30,Seton Hall,Michael Nzei,Missed Free Throw,8,5
17:30,Georgetown,Jessie Govan,Defensive Rebound,8,5
17:12,Georgetown,James Akinjo,Turnover,8,5
17:12,Seton Hall,Michael Nzei,Steal,8,5
17:03,Seton Hall,Myles Cale,Three Point Jumper,8,8
16:55,Georgetown,Josh LeBlanc,Turnover,8,8
16:55,Seton Hall,Myles Powell,Steal,8,8
16:51,Seton Hall,Myles Powell,Dunk,8,10
16:44,Seton Hall,Quincy McKnight,Foul,8,10
16:30,Georgetown,Mac McClung,Turnover,8,10
16:30,Seton Hall,Myles Cale,Steal,8,10
16:11,Seton Hall,Sandro Mamukelashvili,Layup,8,12
16:10,Georgetown,None,None,8,12
16:01,Seton Hall,Quincy McKnight,Foul,8,12
15:46,Georgetown,Josh LeBlanc,Dunk,10,12
15:26,Seton Hall,Myles Powell,Layup,10,14
15:16,Georgetown,Mac McClung,Turnover,10,14
15:14,Seton Hall,Myles Cale,Three Point Jumper,10,17
14:40,Georgetown,Jagan Mosely,Layup,12,17
14:22,Seton Hall,Myles Cale,Missed Three Point Jumper,12,17
14:22,Seton Hall,Anthony Nelson,Offensive Rebound,12,17
14:14,Seton Hall,Michael Nzei,Missed Layup,12,17
14:14,Georgetown,Jessie Govan,Defensive Rebound,12,17
13:59,Georgetown,Josh LeBlanc,Missed Jumper,12,17
13:59,Seton Hall,Michael Nzei,Defensive Rebound,12,17
13:47,Georgetown,Jessie Govan,Foul,12,17
13:43,Seton Hall,Myles Powell,Missed Jumper,12,17
13:43,Georgetown,Georgetown,Defensive Rebound,12,17
13:23,Georgetown,Trey Mourning,Missed Three Point Jumper,12,17
13:23,Seton Hall,Michael Nzei,Defensive Rebound,12,17
13:15,Seton Hall,Jared Rhoden,Dunk,12,19
13:02,Georgetown,James Akinjo,Missed Layup,12,19
13:02,Seton Hall,Michael Nzei,Defensive Rebound,12,19
12:36,Seton Hall,Myles Powell,Three Point Jumper,12,22
12:13,Seton Hall,Romaro Gill,Foul,12,22
12:11,Seton Hall,Jared Rhoden,Foul,12,22
12:11,Georgetown,Jamorko Pickett,Missed Free Throw,12,22
12:11,Georgetown,None,Team Rebound,12,22
12:11,Georgetown,Jamorko Pickett,Free Throw,13,22
11:57,Seton Hall,Romaro Gill,Missed Layup,13,22
11:57,Georgetown,Jamorko Pickett,Defensive Rebound,13,22
11:44,Georgetown,Trey Mourning,Missed Jumper,13,22
11:44,Seton Hall,Seton Hall,Defensive Rebound,13,22
11:36,Seton Hall,None,None,13,22
11:26,Seton Hall,Sandro Mamukelashvili,Turnover,13,22
11:26,Georgetown,Kaleb Johnson,Steal,13,22
11:20,Georgetown,Greg Malinowski,Missed Three Point Jumper,13,22
11:20,Seton Hall,Sandro Mamukelashvili,Defensive Rebound,13,22
11:01,Seton Hall,Myles Cale,Missed Three Point Jumper,13,22
11:01,Georgetown,Kaleb Johnson,Defensive Rebound,13,22
10:54,Georgetown,Greg Malinowski,Missed Layup,13,22
10:54,Seton Hall,Myles Cale,Defensive Rebound,13,22
10:47,Georgetown,Kaleb Johnson,Foul,13,22
10:47,Seton Hall,Myles Powell,Free Throw,13,23
10:47,Seton Hall,Myles Powell,Free Throw,13,24
10:24,Georgetown,Mac McClung,Missed Three Point Jumper,13,24
10:24,Georgetown,Kaleb Johnson,Offensive Rebound,13,24
10:09,Georgetown,Jagan Mosely,Layup,15,24
