TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Iowa,None,None,0,0
19:51,Iowa,Tyler Cook,Missed Jumper,0,0
19:51,Illinois,Giorgi Bezhanishvili,Defensive Rebound,0,0
19:20,Illinois,Aaron Jordan,Missed Jumper,0,0
19:20,Iowa,Tyler Cook,Block,0,0
19:20,Illinois,Illinois,Offensive Rebound,0,0
19:18,Illinois,Illinois ,Turnover,0,0
19:01,Iowa,Joe Wieskamp,Three Point Jumper,0,3
18:50,Illinois,Trent Frazier,Missed Three Point Jumper,0,3
18:50,Iowa,Isaiah Moss,Defensive Rebound,0,3
18:46,Illinois,Aaron Jordan,Foul,0,3
18:28,Iowa,Isaiah Moss,Jumper,0,5
17:51,Illinois,Illinois ,Turnover,0,5
17:40,Iowa,Isaiah Moss,Missed Layup,0,5
17:40,Illinois,Giorgi Bezhanishvili,Block,0,5
17:40,Iowa,Tyler Cook,Offensive Rebound,0,5
17:40,Iowa,None,None,0,7
17:12,Illinois,Trent Frazier,Turnover,0,7
17:12,Iowa,Joe Wieskamp,Steal,0,7
16:57,Iowa,Jordan Bohannon,Turnover,0,7
16:57,Illinois,Ayo Dosunmu,Steal,0,7
16:52,Illinois,Giorgi Bezhanishvili,Dunk,2,7
16:35,Iowa,Luka Garza,Missed Layup,2,7
16:35,Illinois,Da'Monte Williams,Defensive Rebound,2,7
16:24,Illinois,Trent Frazier,Turnover,2,7
16:09,Iowa,Joe Wieskamp,Layup,2,9
16:09,Illinois,Aaron Jordan,Foul,2,9
16:09,Iowa,Joe Wieskamp,Free Throw,2,10
15:54,Illinois,Tevian Jones,Three Point Jumper,5,10
15:41,Illinois,Tevian Jones,Foul,5,10
15:41,Iowa,None,None,5,10
15:40,Iowa,None,None,5,10
15:33,Iowa,Jordan Bohannon,Missed Three Point Jumper,5,10
15:33,Iowa,Nicholas Baer,Offensive Rebound,5,10
15:33,Iowa,Nicholas Baer,Missed Layup,5,10
15:33,Illinois,Da'Monte Williams,Defensive Rebound,5,10
15:33,Iowa,Tyler Cook,Foul,5,10
15:08,Illinois,Da'Monte Williams,Three Point Jumper,8,10
14:47,Iowa,Nicholas Baer,Missed Three Point Jumper,8,10
14:47,Illinois,Ayo Dosunmu,Defensive Rebound,8,10
14:34,Illinois,Ayo Dosunmu,Layup,10,10
14:05,Iowa,Connor McCaffery,Turnover,10,10
14:05,Illinois,Adonis De La Rosa,Steal,10,10
13:57,Illinois,Tevian Jones,Three Point Jumper,13,10
13:45,Iowa,Nicholas Baer,Three Point Jumper,13,13
13:22,Illinois,Alan Griffin,Turnover,13,13
13:22,Iowa,Jordan Bohannon,Steal,13,13
13:16,Iowa,Jordan Bohannon,Three Point Jumper,13,16
12:39,Illinois,Andres Feliz,Foul,13,16
12:39,Illinois,Andres Feliz,Turnover,13,16
12:25,Iowa,Nicholas Baer,Missed Jumper,13,16
12:25,Iowa,Nicholas Baer,Offensive Rebound,13,16
12:11,Iowa,Nicholas Baer,Three Point Jumper,13,19
11:53,Illinois,Trent Frazier,Missed Three Point Jumper,13,19
11:53,Iowa,Isaiah Moss,Defensive Rebound,13,19
11:31,Iowa,Isaiah Moss,Jumper,13,21
11:02,Illinois,Giorgi Bezhanishvili,Layup,15,21
10:46,Iowa,Luka Garza,Layup,15,23
10:35,Illinois,Kipper Nichols,Jumper,17,23
10:22,Iowa,Maishe Dailey,Three Point Jumper,17,26
9:50,Illinois,Trent Frazier,Three Point Jumper,20,26
9:34,Iowa,Luka Garza,Missed Jumper,20,26
9:34,Illinois,Da'Monte Williams,Defensive Rebound,20,26
9:12,Illinois,Giorgi Bezhanishvili,Missed Layup,20,26
9:12,Iowa,Luka Garza,Defensive Rebound,20,26
8:53,Iowa,Isaiah Moss,Turnover,20,26
8:53,Illinois,Da'Monte Williams,Steal,20,26
8:48,Iowa,Connor McCaffery,Foul,20,26
8:48,Iowa,None,None,20,26
8:48,Illinois,Andres Feliz,Foul,20,26
8:48,Illinois,Andres Feliz,Foul,20,26
8:48,Illinois,Giorgi Bezhanishvili,Missed Free Throw,20,26
8:48,Illinois,None,Team Rebound,20,26
8:48,Illinois,Giorgi Bezhanishvili,Missed Free Throw,20,26
8:48,Illinois,None,Team Rebound,20,26
8:48,Iowa,Jordan Bohannon,Free Throw,20,27
8:48,Iowa,Jordan Bohannon,Free Throw,20,28
8:22,Iowa,Ryan Kriener,Jumper,20,30
8:10,Illinois,Ayo Dosunmu,Missed Three Point Jumper,20,30
8:10,Iowa,Joe Wieskamp,Defensive Rebound,20,30
8:00,Iowa,Joe Wieskamp,Missed Three Point Jumper,20,30
8:00,Illinois,Trent Frazier,Defensive Rebound,20,30
7:46,Illinois,Aaron Jordan,Three Point Jumper,23,30
7:35,Iowa,Joe Wieskamp,Missed Three Point Jumper,23,30
7:31,Illinois,Giorgi Bezhanishvili,Defensive Rebound,23,30
7:21,Illinois,Trent Frazier,Missed Three Point Jumper,23,30
7:21,Iowa,Joe Wieskamp,Defensive Rebound,23,30
7:02,Iowa,Ryan Kriener,Missed Three Point Jumper,23,30
7:02,Illinois,Illinois,Defensive Rebound,23,30
6:57,Iowa,None,None,23,30
6:56,Iowa,Isaiah Moss,Foul,23,30
6:56,Iowa,None,None,23,30
6:27,Illinois,Da'Monte Williams,Missed Layup,23,30
6:27,Illinois,Giorgi Bezhanishvili,Offensive Rebound,23,30
6:23,Illinois,Giorgi Bezhanishvili,Layup,25,30
5:49,Iowa,Iowa ,Turnover,25,30
5:37,Illinois,Ayo Dosunmu,Turnover,25,30
5:23,Iowa,Isaiah Moss,Missed Jumper,25,30
5:23,Illinois,Da'Monte Williams,Defensive Rebound,25,30
4:56,Illinois,Ayo Dosunmu,Jumper,27,30
4:44,Iowa,Jordan Bohannon,Turnover,27,30
4:44,Illinois,Ayo Dosunmu,Steal,27,30
4:40,Illinois,Ayo Dosunmu,Layup,29,30
4:38,Iowa,None,None,29,30
4:23,Iowa,Tyler Cook,Turnover,29,30
4:23,Illinois,Trent Frazier,Steal,29,30
4:09,Illinois,Tevian Jones,Missed Three Point Jumper,29,30
4:09,Iowa,Iowa,Defensive Rebound,29,30
4:06,Illinois,Adonis De La Rosa,Foul,29,30
3:50,Iowa,Tyler Cook,Missed Jumper,29,30
3:50,Illinois,Adonis De La Rosa,Defensive Rebound,29,30
3:31,Illinois,None,None,29,30
3:31,Iowa,None,None,29,30
3:20,Illinois,Trent Frazier,Missed Jumper,29,30
3:20,Iowa,Tyler Cook,Defensive Rebound,29,30
3:12,Iowa,Jordan Bohannon,Three Point Jumper,29,33
2:48,Illinois,Trent Frazier,Turnover,29,33
2:34,Illinois,Kipper Nichols,Foul,29,33
2:34,Iowa,Tyler Cook,Free Throw,29,34
2:34,Iowa,Tyler Cook,Free Throw,29,35
2:10,Illinois,Da'Monte Williams,Missed Three Point Jumper,29,35
2:10,Iowa,None,Team Rebound,29,35
1:43,Iowa,Isaiah Moss,Missed Three Point Jumper,29,35
1:43,Iowa,Joe Wieskamp,Offensive Rebound,29,35
