TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,Rhode Island,Cyril Langevine,Layup,0,2
19:07,La Salle,Pookie Powell,Turnover,0,2
18:44,Rhode Island,Fatts Russell,Jumper,0,4
18:14,La Salle,Traci Carter,Missed Three Point Jumper,0,4
18:14,Rhode Island,Jermaine Harris,Defensive Rebound,0,4
18:04,Rhode Island,Fatts Russell,Missed Three Point Jumper,0,4
18:04,La Salle,Pookie Powell,Defensive Rebound,0,4
17:53,La Salle,Pookie Powell,Missed Layup,0,4
17:53,Rhode Island,Jeff Dowtin,Block,0,4
17:50,Rhode Island,Jeff Dowtin,Defensive Rebound,0,4
17:39,La Salle,Jared Kimbrough,Foul,0,4
17:39,Rhode Island,Cyril Langevine,Free Throw,0,5
17:39,Rhode Island,Cyril Langevine,Free Throw,0,6
17:30,La Salle,Saul Phiri,Layup,2,6
17:16,Rhode Island,Tyrese Martin,Missed Three Point Jumper,2,6
17:16,Rhode Island,Jeff Dowtin,Offensive Rebound,2,6
17:08,Rhode Island,Jeff Dowtin,Missed Jumper,2,6
17:08,La Salle,Traci Carter,Defensive Rebound,2,6
16:56,Rhode Island,Fatts Russell,Foul,2,6
16:37,La Salle,Ed Croswell,Layup,4,6
16:20,Rhode Island,Cyril Langevine,Layup,4,8
16:18,Rhode Island,Cyril Langevine,Foul,4,8
16:18,Rhode Island,Cyril Langevine,Foul,4,8
16:18,La Salle,Pookie Powell,Free Throw,5,8
16:18,La Salle,Pookie Powell,Free Throw,6,8
15:59,La Salle,Traci Carter,Turnover,6,8
15:59,Rhode Island,None,None,6,8
15:33,Rhode Island,Jeff Dowtin,Jumper,6,10
15:33,La Salle,Saul Phiri,Foul,6,10
15:33,Rhode Island,Jeff Dowtin,Free Throw,6,11
15:18,La Salle,Saul Phiri,Missed Three Point Jumper,6,11
15:18,Rhode Island,Rhode Island,Defensive Rebound,6,11
14:52,Rhode Island,Jermaine Harris,Missed Jumper,6,11
14:52,Rhode Island,Tyrese Martin,Offensive Rebound,6,11
14:48,Rhode Island,Tyrese Martin,Layup,6,13
14:27,La Salle,Traci Carter,Three Point Jumper,9,13
14:08,Rhode Island,Jermaine Harris,Foul,9,13
14:08,Rhode Island,Jermaine Harris,Turnover,9,13
13:57,La Salle,Jared Kimbrough,Layup,11,13
13:29,Rhode Island,Fatts Russell,Missed Three Point Jumper,11,13
13:29,La Salle,Ed Croswell,Defensive Rebound,11,13
13:29,Rhode Island,Ryan Preston,Foul,11,13
13:11,La Salle,Ed Croswell,Missed Layup,11,13
13:11,La Salle,Ed Croswell,Offensive Rebound,11,13
13:09,La Salle,Ed Croswell,Missed Layup,11,13
13:09,Rhode Island,Cyril Langevine,Defensive Rebound,11,13
13:02,Rhode Island,Jeff Dowtin,Missed Layup,11,13
13:02,La Salle,Isiah Deas,Defensive Rebound,11,13
12:52,Rhode Island,Cyril Langevine,Layup,11,15
12:30,La Salle,Pookie Powell,Missed Three Point Jumper,11,15
12:30,Rhode Island,Ryan Preston,Defensive Rebound,11,15
12:26,La Salle,Ed Croswell,Foul,11,15
12:26,Rhode Island,Cyril Langevine,Missed Free Throw,11,15
12:26,Rhode Island,None,Team Rebound,11,15
12:26,Rhode Island,Cyril Langevine,Free Throw,11,16
12:04,La Salle,Traci Carter,Missed Jumper,11,16
12:04,Rhode Island,Cyril Langevine,Defensive Rebound,11,16
11:53,Rhode Island,Christion Thompson,Missed Jumper,11,16
11:53,La Salle,Isiah Deas,Defensive Rebound,11,16
11:42,La Salle,Isiah Deas,Missed Three Point Jumper,11,16
11:42,Rhode Island,Fatts Russell,Defensive Rebound,11,16
11:21,Rhode Island,Fatts Russell,Missed Layup,11,16
11:21,La Salle,Jared Kimbrough,Defensive Rebound,11,16
10:50,Rhode Island,Omar Silverio,Foul,11,16
10:50,Rhode Island,None,None,11,16
10:50,La Salle,Isiah Deas,Free Throw,12,16
10:50,La Salle,Isiah Deas,Free Throw,13,16
10:19,Rhode Island,Cyril Langevine,Turnover,13,16
10:18,La Salle,Traci Carter,Steal,13,16
10:11,Rhode Island,Christion Thompson,Foul,13,16
10:11,La Salle,David Beatty,Free Throw,14,16
10:11,La Salle,David Beatty,Free Throw,15,16
9:53,La Salle,David Beatty,Foul,15,16
9:53,Rhode Island,Cyril Langevine,Free Throw,15,17
9:53,Rhode Island,Cyril Langevine,Free Throw,15,18
9:28,La Salle,Isiah Deas,Turnover,15,18
9:27,Rhode Island,Jeff Dowtin,Steal,15,18
9:21,Rhode Island,Cyril Langevine,Dunk,15,20
9:01,La Salle,David Beatty,Three Point Jumper,18,20
8:45,Rhode Island,Cyril Langevine,Layup,18,22
8:24,La Salle,Traci Carter,Turnover,18,22
8:08,Rhode Island,Jeff Dowtin,Three Point Jumper,18,25
7:50,La Salle,Saul Phiri,Missed Three Point Jumper,18,25
7:50,Rhode Island,Jeff Dowtin,Defensive Rebound,18,25
7:39,Rhode Island,Christion Thompson,Layup,18,27
7:37,La Salle,None,None,18,27
7:37,Rhode Island,None,None,18,27
7:07,La Salle,Jared Kimbrough,Missed Jumper,18,27
7:07,La Salle,Miles Brookins,Offensive Rebound,18,27
7:03,La Salle,Miles Brookins,Missed Layup,18,27
7:03,Rhode Island,Ryan Preston,Block,18,27
7:03,La Salle,La Salle,Offensive Rebound,18,27
6:48,La Salle,Miles Brookins,Foul,18,27
6:48,La Salle,Miles Brookins,Turnover,18,27
6:24,Rhode Island,Fatts Russell,Missed Layup,18,27
6:24,La Salle,Jared Kimbrough,Defensive Rebound,18,27
6:05,La Salle,David Beatty,Missed Three Point Jumper,18,27
6:05,Rhode Island,Ryan Preston,Defensive Rebound,18,27
5:55,La Salle,David Beatty,Foul,18,27
5:55,Rhode Island,Cyril Langevine,Missed Free Throw,18,27
5:55,Rhode Island,None,Team Rebound,18,27
5:55,Rhode Island,Cyril Langevine,Missed Free Throw,18,27
5:55,La Salle,Ed Croswell,Defensive Rebound,18,27
5:36,La Salle,Pookie Powell,Missed Three Point Jumper,18,27
5:36,Rhode Island,Dana Tate,Defensive Rebound,18,27
5:26,Rhode Island,Fatts Russell,Missed Three Point Jumper,18,27
5:26,La Salle,Saul Phiri,Defensive Rebound,18,27
5:17,La Salle,Saul Phiri,Missed Three Point Jumper,18,27
5:17,Rhode Island,Cyril Langevine,Defensive Rebound,18,27
5:08,Rhode Island,None,None,18,27
4:48,Rhode Island,Dana Tate,Missed Three Point Jumper,18,27
