TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,Montana State,Keljin Blevins,Three Point Jumper,3,0
19:24,Eastern Washington,Jesse Hunt,Three Point Jumper,3,3
18:57,Montana State,Keljin Blevins,Layup,5,3
18:37,Eastern Washington,Mason Peatling,Missed Layup,5,3
18:37,Eastern Washington,Mason Peatling,Offensive Rebound,5,3
18:30,Eastern Washington,Mason Peatling,Missed Layup,5,3
18:30,Eastern Washington,Mason Peatling,Offensive Rebound,5,3
18:28,Eastern Washington,Mason Peatling,Missed Layup,5,3
18:28,Eastern Washington,Mason Peatling,Offensive Rebound,5,3
18:26,Eastern Washington,Mason Peatling,Dunk,5,5
18:14,Montana State,Tyler Hall,Missed Jumper,5,5
18:14,Montana State,Devin Kirby,Offensive Rebound,5,5
18:09,Montana State,Devin Kirby,Missed Layup,5,5
18:09,Eastern Washington,Jesse Hunt,Defensive Rebound,5,5
18:08,Eastern Washington,Kim Aiken Jr.,Foul,5,5
18:08,Montana State,Devin Kirby,Free Throw,6,5
18:08,Montana State,Devin Kirby,Free Throw,7,5
17:42,Eastern Washington,Mason Peatling,Three Point Jumper,7,8
17:30,Montana State,Keljin Blevins,Missed Three Point Jumper,7,8
17:30,Eastern Washington,Tyler Kidd,Defensive Rebound,7,8
17:22,Eastern Washington,Tyler Kidd,Missed Layup,7,8
17:22,Montana State,Tyler Hall,Defensive Rebound,7,8
17:15,Montana State,Devin Kirby,Turnover,7,8
16:55,Eastern Washington,Jesse Hunt,Missed Jumper,7,8
16:55,Eastern Washington,Kim Aiken Jr.,Offensive Rebound,7,8
16:42,Eastern Washington,Jesse Hunt,Layup,7,10
16:32,Montana State,Tyler Hall,Three Point Jumper,10,10
16:15,Eastern Washington,Kim Aiken Jr.,Layup,10,12
15:54,Eastern Washington,Tyler Kidd,Foul,10,12
15:54,Eastern Washington,None,None,10,12
15:50,Montana State,Tyler Hall,Three Point Jumper,13,12
15:49,Eastern Washington,Kim Aiken Jr.,Foul,13,12
15:49,Montana State,Tyler Hall,Free Throw,14,12
15:42,Montana State,Lassi Nikkarinen,Foul,14,12
15:21,Eastern Washington,Jesse Hunt,Layup,14,14
14:57,Eastern Washington,Jack Perry,Foul,14,14
14:57,Montana State,Tyler Hall,Free Throw,15,14
14:57,Montana State,Tyler Hall,Free Throw,16,14
14:34,Eastern Washington,Mason Peatling,Layup,16,16
14:15,Montana State,Zeke Quinlan,Missed Layup,16,16
14:15,Montana State,Zeke Quinlan,Offensive Rebound,16,16
14:12,Montana State,Zeke Quinlan,Turnover,16,16
14:12,Eastern Washington,Jesse Hunt,Steal,16,16
14:01,Eastern Washington,Jack Perry,Missed Three Point Jumper,16,16
14:01,Montana State,Zeke Quinlan,Defensive Rebound,16,16
13:36,Montana State,Tyler Hall,Three Point Jumper,19,16
13:23,Eastern Washington,Ty Gibson,Missed Three Point Jumper,19,16
13:23,Eastern Washington,Mason Peatling,Offensive Rebound,19,16
13:20,Montana State,Sam Neumann,Foul,19,16
13:03,Eastern Washington,Tyler Kidd,Three Point Jumper,19,19
12:41,Montana State,Russell Daniels,Turnover,19,19
12:40,Eastern Washington,Ty Gibson,Steal,19,19
12:35,Montana State,Lassi Nikkarinen,Foul,19,19
12:30,Eastern Washington,Tanner Groves,Missed Jumper,19,19
12:30,Montana State,Sam Neumann,Block,19,19
