TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Maryland,None,None,0,0
19:34,Maryland,Darryl Morsell,Missed Jumper,0,0
19:34,Nebraska,Isaiah Roby,Defensive Rebound,0,0
19:10,Nebraska,Isaiah Roby,Missed Three Point Jumper,0,0
19:10,Maryland,Jalen Smith,Defensive Rebound,0,0
18:57,Maryland,Jalen Smith,Missed Three Point Jumper,0,0
18:57,Nebraska,James Palmer Jr.,Defensive Rebound,0,0
18:43,Nebraska,Isaiah Roby,Missed Jumper,0,0
18:43,Nebraska,Tanner Borchardt,Offensive Rebound,0,0
18:37,Nebraska,Tanner Borchardt,Missed Layup,0,0
18:37,Maryland,Bruno Fernando,Block,0,0
18:37,Maryland,Anthony Cowan Jr.,Defensive Rebound,0,0
18:23,Maryland,Bruno Fernando,Turnover,0,0
18:23,Nebraska,Thorir Thorbjarnarson,Steal,0,0
18:16,Maryland,Anthony Cowan Jr.,Foul,0,0
18:16,Nebraska,Thorir Thorbjarnarson,Free Throw,1,0
18:16,Nebraska,Thorir Thorbjarnarson,Free Throw,2,0
17:56,Maryland,Jalen Smith,Turnover,2,0
17:56,Nebraska,Thorir Thorbjarnarson,Steal,2,0
17:56,Nebraska,None,None,2,0
17:42,Nebraska,Isaiah Roby,Missed Jumper,2,0
17:42,Maryland,Bruno Fernando,Defensive Rebound,2,0
17:21,Maryland,Darryl Morsell,Three Point Jumper,2,3
16:58,Nebraska,Thorir Thorbjarnarson,Missed Three Point Jumper,2,3
16:58,Maryland,Bruno Fernando,Defensive Rebound,2,3
16:32,Maryland,Jalen Smith,Jumper,2,5
16:10,Nebraska,Isaiah Roby,Missed Layup,2,5
16:10,Maryland,Bruno Fernando,Block,2,5
16:10,Maryland,Bruno Fernando,Defensive Rebound,2,5
16:04,Maryland,Darryl Morsell,Missed Three Point Jumper,2,5
16:04,Nebraska,James Palmer Jr.,Defensive Rebound,2,5
15:49,Nebraska,Glynn Watson Jr.,Three Point Jumper,5,5
15:19,Maryland,Darryl Morsell,Missed Layup,5,5
15:19,Nebraska,Isaiah Roby,Block,5,5
15:19,Maryland,Maryland,Offensive Rebound,5,5
15:19,Maryland,None,None,5,5
15:16,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,5,5
15:16,Maryland,Jalen Smith,Offensive Rebound,5,5
15:10,Maryland,Jalen Smith,Missed Layup,5,5
15:10,Nebraska,Isaiah Roby,Block,5,5
15:10,Nebraska,Tanner Borchardt,Defensive Rebound,5,5
14:44,Nebraska,Thorir Thorbjarnarson,Missed Three Point Jumper,5,5
14:44,Maryland,Maryland,Defensive Rebound,5,5
14:20,Maryland,Aaron Wiggins,Missed Three Point Jumper,5,5
14:20,Nebraska,Glynn Watson Jr.,Defensive Rebound,5,5
14:12,Nebraska,Glynn Watson Jr.,Missed Layup,5,5
14:12,Maryland,Bruno Fernando,Defensive Rebound,5,5
14:03,Maryland,Aaron Wiggins,Missed Layup,5,5
14:03,Nebraska,Tanner Borchardt,Block,5,5
14:03,Nebraska,Tanner Borchardt,Defensive Rebound,5,5
13:45,Nebraska,Glynn Watson Jr.,Jumper,7,5
13:23,Maryland,Aaron Wiggins,Three Point Jumper,7,8
12:54,Nebraska,James Palmer Jr.,Layup,9,8
12:30,Maryland,Jalen Smith,Layup,9,10
12:13,Maryland,Darryl Morsell,Foul,9,10
12:13,Nebraska,James Palmer Jr.,Free Throw,10,10
12:13,Nebraska,James Palmer Jr.,Free Throw,11,10
12:00,Maryland,Ivan Bender,Turnover,11,10
12:00,Maryland,None,None,11,10
11:54,Nebraska,Johnny Trueblood,Three Point Jumper,14,10
11:26,Maryland,Aaron Wiggins,Missed Jumper,14,10
11:26,Maryland,None,Team Rebound,14,10
11:23,Nebraska,Brady Heiman,Foul,14,10
11:06,Nebraska,Isaiah Roby,Foul,14,10
10:51,Maryland,Ivan Bender,Turnover,14,10
10:51,Nebraska,James Palmer Jr.,Steal,14,10
10:27,Nebraska,Glynn Watson Jr.,Missed Jumper,14,10
10:27,Maryland,Bruno Fernando,Defensive Rebound,14,10
10:22,Nebraska,Glynn Watson Jr.,Foul,14,10
10:01,Maryland,Jalen Smith,Missed Three Point Jumper,14,10
10:01,Nebraska,James Palmer Jr.,Defensive Rebound,14,10
9:42,Nebraska,Isaiah Roby,Missed Three Point Jumper,14,10
9:42,Maryland,Anthony Cowan Jr.,Defensive Rebound,14,10
9:34,Maryland,Anthony Cowan Jr.,Turnover,14,10
9:34,Nebraska,Glynn Watson Jr.,Steal,14,10
9:21,Nebraska,Glynn Watson Jr.,Turnover,14,10
9:21,Maryland,Aaron Wiggins,Steal,14,10
9:17,Maryland,Aaron Wiggins,Dunk,14,12
9:14,Maryland,Anthony Cowan Jr.,Foul,14,12
8:59,Nebraska,Tanner Borchardt,Turnover,14,12
8:59,Maryland,Darryl Morsell,Steal,14,12
8:31,Maryland,Bruno Fernando,Missed Jumper,14,12
8:31,Nebraska,James Palmer Jr.,Defensive Rebound,14,12
8:00,Nebraska,Isaiah Roby,Missed Jumper,14,12
8:00,Maryland,Eric Ayala,Defensive Rebound,14,12
7:51,Nebraska,Tanner Borchardt,Foul,14,12
7:51,Maryland,None,None,14,12
7:51,Maryland,Eric Ayala,Free Throw,14,13
7:51,Maryland,Eric Ayala,Free Throw,14,14
7:29,Nebraska,Isaiah Roby,Dunk,16,14
7:05,Maryland,Jalen Smith,Missed Three Point Jumper,16,14
7:05,Nebraska,Isaiah Roby,Defensive Rebound,16,14
6:40,Nebraska,Glynn Watson Jr.,Turnover,16,14
6:40,Maryland,Ricky Lindo Jr.,Steal,16,14
6:38,Nebraska,Isaiah Roby,Foul,16,14
6:23,Maryland,Serrel Smith Jr.,Missed Jumper,16,14
6:23,Nebraska,Isaiah Roby,Defensive Rebound,16,14
6:11,Nebraska,James Palmer Jr.,Jumper,18,14
6:11,Maryland,Aaron Wiggins,Foul,18,14
6:11,Nebraska,James Palmer Jr.,Free Throw,19,14
5:53,Maryland,Bruno Fernando,Missed Jumper,19,14
5:53,Nebraska,Glynn Watson Jr.,Defensive Rebound,19,14
5:33,Maryland,Ricky Lindo Jr.,Foul,19,14
5:33,Nebraska,James Palmer Jr.,Free Throw,20,14
5:33,Nebraska,James Palmer Jr.,Missed Free Throw,20,14
5:33,Maryland,Ricky Lindo Jr.,Defensive Rebound,20,14
5:12,Nebraska,Thorir Thorbjarnarson,Foul,20,14
4:58,Maryland,Jalen Smith,Dunk,20,16
4:56,Nebraska,None,None,20,16
4:40,Nebraska,James Palmer Jr.,Three Point Jumper,23,16
4:16,Maryland,Serrel Smith Jr.,Missed Layup,23,16
4:16,Nebraska,Thorir Thorbjarnarson,Defensive Rebound,23,16
3:52,Maryland,Ricky Lindo Jr.,Foul,23,16
3:52,Maryland,None,None,23,16
