TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Washington,None,None,0,0
19:42,Washington,Jaylen Nowell,Jumper,0,2
19:16,USC,Shaqquan Aaron,Missed Layup,0,2
19:16,Washington,Matisse Thybulle,Defensive Rebound,0,2
19:07,Washington,David Crisp,Missed Three Point Jumper,0,2
19:07,USC,Shaqquan Aaron,Defensive Rebound,0,2
18:55,USC,Elijah Weaver,Turnover,0,2
18:55,Washington,Matisse Thybulle,Steal,0,2
18:35,Washington,Matisse Thybulle,Missed Three Point Jumper,0,2
18:35,Washington,Jaylen Nowell,Offensive Rebound,0,2
18:32,Washington,Jaylen Nowell,Missed Layup,0,2
18:32,USC,Nick Rakocevic,Block,0,2
18:32,USC,Nick Rakocevic,Defensive Rebound,0,2
18:26,USC,Elijah Weaver,Turnover,0,2
18:16,Washington,Hameir Wright,Turnover,0,2
18:16,USC,Nick Rakocevic,Steal,0,2
18:10,Washington,Hameir Wright,Foul,0,2
18:10,USC,Shaqquan Aaron,Missed Free Throw,0,2
18:10,USC,None,Team Rebound,0,2
18:10,USC,Shaqquan Aaron,Free Throw,1,2
17:57,Washington,Hameir Wright,Three Point Jumper,1,5
17:33,USC,Jonah Mathews,Missed Three Point Jumper,1,5
17:33,Washington,Noah Dickerson,Defensive Rebound,1,5
17:12,Washington,Hameir Wright,Three Point Jumper,1,8
17:07,USC,None,None,1,8
16:50,Washington,David Crisp,Foul,1,8
16:36,USC,Shaqquan Aaron,Missed Three Point Jumper,1,8
16:36,Washington,Noah Dickerson,Defensive Rebound,1,8
16:33,USC,Bennie Boatwright,Foul,1,8
16:18,Washington,Hameir Wright,Turnover,1,8
16:18,USC,Derryck Thornton,Steal,1,8
16:11,USC,Jonah Mathews,Three Point Jumper,4,8
15:47,Washington,Jaylen Nowell,Three Point Jumper,4,11
15:29,USC,Kevin Porter Jr.,Foul,4,11
15:29,USC,Kevin Porter Jr.,Turnover,4,11
15:29,Washington,None,None,4,11
15:20,Washington,David Crisp,Three Point Jumper,4,14
14:58,USC,Nick Rakocevic,Layup,6,14
14:37,Washington,Noah Dickerson,Turnover,6,14
14:37,USC,Bennie Boatwright,Steal,6,14
14:29,USC,Jonah Mathews,Jumper,8,14
14:05,Washington,Nahziah Carter,Missed Three Point Jumper,8,14
14:05,USC,Bennie Boatwright,Defensive Rebound,8,14
13:55,USC,Kevin Porter Jr.,Three Point Jumper,11,14
13:28,Washington,David Crisp,Three Point Jumper,11,17
13:01,USC,Nick Rakocevic,Layup,13,17
13:01,Washington,Hameir Wright,Foul,13,17
13:01,USC,Nick Rakocevic,Free Throw,14,17
12:43,Washington,Dominic Green,Missed Three Point Jumper,14,17
12:43,Washington,Noah Dickerson,Offensive Rebound,14,17
12:39,Washington,Noah Dickerson,Dunk,14,19
12:19,USC,Bennie Boatwright,Jumper,16,19
12:18,USC,Derryck Thornton,Foul,16,19
12:18,USC,Derryck Thornton,Foul,16,19
12:18,Washington,Jaylen Nowell,Free Throw,16,20
12:18,Washington,Jaylen Nowell,Free Throw,16,21
12:03,Washington,Noah Dickerson,Missed Layup,16,21
12:03,USC,Nick Rakocevic,Defensive Rebound,16,21
11:47,USC,Jonah Mathews,Missed Jumper,16,21
11:47,USC,Nick Rakocevic,Offensive Rebound,16,21
11:42,USC,Nick Rakocevic,Layup,18,21
11:23,Washington,Matisse Thybulle,Missed Jumper,18,21
11:23,USC,Kevin Porter Jr.,Defensive Rebound,18,21
11:06,Washington,None,None,18,21
