TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:48,Norfolk State,Alex Long,Missed Jumper,0,0
19:48,Howard,Akuwovo Ogheneyole,Defensive Rebound,0,0
19:38,Howard,RJ Cole,Missed Jumper,0,0
19:38,Howard,Zion Cousins,Offensive Rebound,0,0
19:35,Howard,Zion Cousins,Layup,2,0
19:13,Norfolk State,Alex Long,Missed Jumper,2,0
19:13,Howard,RJ Cole,Defensive Rebound,2,0
19:00,Howard,Akuwovo Ogheneyole,Turnover,2,0
18:49,Norfolk State,Nic Thomas,Turnover,2,0
18:47,Howard,Zion Cousins,Steal,2,0
18:40,Howard,Chad Lott,Three Point Jumper,5,0
18:15,Norfolk State,Jordan Butler,Dunk,5,2
17:53,Howard,RJ Cole,Turnover,5,2
17:51,Norfolk State,Jordan Butler,Steal,5,2
17:49,Norfolk State,Nic Thomas,Turnover,5,2
17:25,Howard,Chad Lott,Jumper,7,2
16:59,Norfolk State,Derrik Jamerson Jr.,Missed Jumper,7,2
16:59,Howard,Zion Cousins,Defensive Rebound,7,2
16:43,Howard,Charles Williams,Three Point Jumper,10,2
16:27,Norfolk State,Jordan Butler,Turnover,10,2
16:03,Howard,Chad Lott,Missed Layup,10,2
16:03,Norfolk State,Mastadi Pitt,Defensive Rebound,10,2
15:50,Norfolk State,Jordan Butler,Missed Jumper,10,2
15:50,Howard,Zion Cousins,Defensive Rebound,10,2
15:48,Norfolk State,Alex Long,Foul,10,2
15:48,Norfolk State,None,None,10,2
15:28,Howard,Chad Lott,Missed Jumper,10,2
15:28,Norfolk State,Mastadi Pitt,Defensive Rebound,10,2
15:18,Norfolk State,Mastadi Pitt,Missed Layup,10,2
15:18,Howard,Akuwovo Ogheneyole,Block,10,2
15:18,Norfolk State,Norfolk State,Offensive Rebound,10,2
15:16,Norfolk State,Nic Thomas,Missed Jumper,10,2
15:16,Howard,Charles Williams,Defensive Rebound,10,2
14:55,Howard,RJ Cole,Missed Jumper,10,2
14:55,Norfolk State,Jordan Butler,Defensive Rebound,10,2
14:49,Norfolk State,Jordan Butler,Turnover,10,2
14:36,Howard,Chad Lott,Turnover,10,2
14:28,Norfolk State,Mastadi Pitt,Jumper,10,4
14:03,Howard,Akuwovo Ogheneyole,Turnover,10,4
14:01,Norfolk State,Kyonze Chavis,Steal,10,4
13:48,Norfolk State,Steven Whitley,Missed Layup,10,4
13:48,Howard,Princewill Anosike,Block,10,4
13:46,Howard,Jalen Jones,Defensive Rebound,10,4
13:41,Howard,RJ Cole,Three Point Jumper,13,4
13:28,Howard,Princewill Anosike,Foul,13,4
13:26,Norfolk State,Jordan Butler,Missed Jumper,13,4
13:26,Howard,Princewill Anosike,Defensive Rebound,13,4
13:18,Howard,RJ Cole,Missed Layup,13,4
13:18,Norfolk State,Nic Thomas,Defensive Rebound,13,4
13:15,Norfolk State,Nic Thomas,Turnover,13,4
13:13,Howard,RJ Cole,Steal,13,4
13:04,Howard,Raymond Bethea Jr.,Missed Three Point Jumper,13,4
13:04,Norfolk State,Nic Thomas,Defensive Rebound,13,4
12:56,Norfolk State,Nic Thomas,Missed Layup,13,4
12:56,Norfolk State,Steven Whitley,Offensive Rebound,13,4
12:53,Norfolk State,None,None,13,6
12:38,Norfolk State,Kyonze Chavis,Foul,13,6
12:19,Howard,Raymond Bethea Jr.,Missed Three Point Jumper,13,6
12:19,Norfolk State,Steven Whitley,Defensive Rebound,13,6
12:10,Howard,Jalen Jones,Foul,13,6
11:50,Norfolk State,Steven Whitley,Missed Layup,13,6
11:50,Norfolk State,Steven Whitley,Offensive Rebound,13,6
11:42,Norfolk State,Nic Thomas,Three Point Jumper,13,9
11:27,Norfolk State,Nic Thomas,Foul,13,9
11:25,Norfolk State,None,None,13,9
11:17,Howard,Zion Cousins,Missed Jumper,13,9
11:17,Norfolk State,Nic Thomas,Defensive Rebound,13,9
11:08,Norfolk State,Steven Whitley,Missed Three Point Jumper,13,9
11:08,Howard,Zion Cousins,Defensive Rebound,13,9
10:59,Howard,Chad Lott,Missed Jumper,13,9
10:59,Norfolk State,Alex Long,Defensive Rebound,13,9
10:48,Norfolk State,Kyonze Chavis,Missed Three Point Jumper,13,9
10:48,Norfolk State,C.J. Kelly,Offensive Rebound,13,9
10:44,Norfolk State,C.J. Kelly,Layup,13,11
10:27,Norfolk State,Alex Long,Foul,13,11
10:16,Howard,Chad Lott,Turnover,13,11
10:14,Norfolk State,C.J. Kelly,Steal,13,11
10:11,Norfolk State,Steven Whitley,Layup,13,13
9:53,Howard,Akuwovo Ogheneyole,Missed Jumper,13,13
9:53,Norfolk State,Kyonze Chavis,Defensive Rebound,13,13
9:44,Norfolk State,Steven Whitley,Missed Three Point Jumper,13,13
9:44,Howard,Chad Lott,Defensive Rebound,13,13
9:37,Howard,Zion Cousins,Dunk,15,13
9:14,Norfolk State,Steven Whitley,Turnover,15,13
9:01,Howard,Zion Cousins,Missed Jumper,15,13
9:01,Norfolk State,Kyonze Chavis,Defensive Rebound,15,13
8:55,Norfolk State,Nic Thomas,Missed Three Point Jumper,15,13
8:55,Howard,RJ Cole,Defensive Rebound,15,13
8:40,Howard,RJ Cole,Missed Three Point Jumper,15,13
8:40,Norfolk State,Armani Branch,Defensive Rebound,15,13
8:13,Norfolk State,C.J. Kelly,Missed Three Point Jumper,15,13
8:13,Howard,Chad Lott,Defensive Rebound,15,13
8:01,Howard,Chad Lott,Missed Jumper,15,13
8:01,Norfolk State,Armani Branch,Defensive Rebound,15,13
7:54,Howard,RJ Cole,Foul,15,13
7:54,Norfolk State,None,None,15,13
7:44,Howard,Andre Toure,Foul,15,13
7:44,Norfolk State,Mastadi Pitt,Free Throw,15,14
7:44,Norfolk State,Mastadi Pitt,Missed Free Throw,15,14
7:44,Howard,Akuwovo Ogheneyole,Defensive Rebound,15,14
7:27,Norfolk State,Mastadi Pitt,Foul,15,14
7:27,Howard,RJ Cole,Missed Free Throw,15,14
7:27,Howard,Akuwovo Ogheneyole,Offensive Rebound,15,14
7:17,Howard,Akuwovo Ogheneyole,Missed Layup,15,14
7:17,Norfolk State,Jordan Butler,Defensive Rebound,15,14
7:05,Norfolk State,Derrik Jamerson Jr.,Three Point Jumper,15,17
