TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,UC Irvine,Robert Cartwright,Missed Layup,0,0
19:35,UC Irvine,UC Irvine,Offensive Rebound,0,0
19:23,UC Irvine,Evan Leonard,Turnover,0,0
19:05,Long Beach State,Deishuan Booker,Turnover,0,0
19:05,UC Irvine,Max Hazzard,Steal,0,0
18:49,UC Irvine,Tommy Rutherford,Turnover,0,0
18:49,Long Beach State,Mason Riggins,Steal,0,0
18:20,Long Beach State,Deishuan Booker,Jumper,2,0
17:47,UC Irvine,Jonathan Galloway,Jumper,2,2
17:20,Long Beach State,Deishuan Booker,Missed Jumper,2,2
17:16,Long Beach State,Drew Cobb,Offensive Rebound,2,2
17:13,Long Beach State,Deishuan Booker,Missed Jumper,2,2
17:09,UC Irvine,Max Hazzard,Defensive Rebound,2,2
17:07,Long Beach State,Bryan Alberts,Foul,2,2
17:07,UC Irvine,Evan Leonard,Free Throw,2,3
17:07,UC Irvine,Evan Leonard,Free Throw,2,4
16:41,Long Beach State,Jordan Roberts,Missed Jumper,2,4
16:37,UC Irvine,Tommy Rutherford,Defensive Rebound,2,4
16:27,UC Irvine,Max Hazzard,Layup,2,6
16:06,Long Beach State,Bryan Alberts,Missed Jumper,2,6
16:03,UC Irvine,Robert Cartwright,Defensive Rebound,2,6
15:56,UC Irvine,Max Hazzard,Missed Three Point Jumper,2,6
15:54,Long Beach State,Long Beach State,Defensive Rebound,2,6
15:54,UC Irvine,None,None,2,6
15:42,Long Beach State,Mason Riggins,Missed Layup,2,6
15:42,UC Irvine,Elston Jones,Block,2,6
15:38,Long Beach State,Drew Cobb,Offensive Rebound,2,6
15:32,Long Beach State,Deishuan Booker,Missed Jumper,2,6
15:29,UC Irvine,Max Hazzard,Defensive Rebound,2,6
15:11,Long Beach State,Jordan Roberts,Foul,2,6
15:01,UC Irvine,Elston Jones,Missed Jumper,2,6
14:58,Long Beach State,Mason Riggins,Defensive Rebound,2,6
14:34,Long Beach State,Deishuan Booker,Layup,4,6
14:04,Long Beach State,Drew Cobb,Foul,4,6
14:04,UC Irvine,Max Hazzard,Free Throw,4,7
14:04,UC Irvine,Max Hazzard,Free Throw,4,8
13:48,Long Beach State,Bryan Alberts,Jumper,6,8
13:25,UC Irvine,Spencer Rivers,Missed Jumper,6,8
13:21,Long Beach State,Temidayo Yussuf,Defensive Rebound,6,8
13:13,Long Beach State,KJ Byers,Three Point Jumper,9,8
13:12,UC Irvine,Collin Welp,Foul,9,8
13:12,Long Beach State,KJ Byers,Free Throw,10,8
