TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:50,Saint Joseph's,Lorenzo Edwards,Dunk,2,0
19:22,Davidson,Kellan Grady,Missed Jumper,2,0
19:22,Saint Joseph's,Jared Bynum,Defensive Rebound,2,0
18:55,Saint Joseph's,Charlie Brown Jr.,Missed Three Point Jumper,2,0
18:55,Davidson,KiShawn Pritchett,Defensive Rebound,2,0
18:34,Davidson,KiShawn Pritchett,Missed Layup,2,0
18:34,Saint Joseph's,Lorenzo Edwards,Defensive Rebound,2,0
18:14,Saint Joseph's,Lamarr Kimble,Missed Three Point Jumper,2,0
18:14,Davidson,Luka Brajkovic,Defensive Rebound,2,0
18:02,Davidson,KiShawn Pritchett,Layup,2,2
17:53,Saint Joseph's,Chris Clover,Missed Layup,2,2
17:53,Saint Joseph's,Lamarr Kimble,Offensive Rebound,2,2
17:51,Saint Joseph's,None,None,4,2
17:33,Davidson,Luka Brajkovic,Missed Jumper,4,2
17:33,Saint Joseph's,Charlie Brown Jr.,Defensive Rebound,4,2
17:11,Saint Joseph's,Lorenzo Edwards,Three Point Jumper,7,2
17:10,Davidson,Luka Brajkovic,Foul,7,2
17:10,Saint Joseph's,Lorenzo Edwards,Free Throw,8,2
16:52,Davidson,Luke Frampton,Missed Three Point Jumper,8,2
16:52,Saint Joseph's,Lorenzo Edwards,Defensive Rebound,8,2
16:41,Saint Joseph's,Lorenzo Edwards,Missed Three Point Jumper,8,2
16:41,Davidson,Jon Axel Gudmundsson,Defensive Rebound,8,2
16:25,Davidson,Luke Frampton,Missed Three Point Jumper,8,2
16:25,Saint Joseph's,Charlie Brown Jr.,Defensive Rebound,8,2
16:08,Davidson,Carter Collins,Foul,8,2
16:08,Saint Joseph's,Lamarr Kimble,Free Throw,9,2
16:08,Saint Joseph's,Lamarr Kimble,Missed Free Throw,9,2
16:08,Davidson,Dusan Kovacevic,Defensive Rebound,9,2
15:53,Davidson,Kellan Grady,Missed Layup,9,2
15:53,Saint Joseph's,Chris Clover,Block,9,2
15:53,Davidson,Davidson,Offensive Rebound,9,2
15:52,Davidson,None,None,9,2
15:39,Davidson,Jon Axel Gudmundsson,Missed Layup,9,2
15:39,Davidson,Dusan Kovacevic,Offensive Rebound,9,2
15:37,Davidson,None,None,9,4
15:18,Saint Joseph's,Charlie Brown Jr.,Missed Jumper,9,4
