TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Old Dominion,B.J. Stith,Missed Jumper,0,0
19:45,Old Dominion,Aaron Carver,Offensive Rebound,0,0
19:41,Old Dominion,Aaron Carver,Missed Layup,0,0
19:41,UAB,Makhtar Gueye,Block,0,0
19:39,UAB,Makhtar Gueye,Defensive Rebound,0,0
19:24,UAB,Jeremiah Bell,Missed Jumper,0,0
19:24,Old Dominion,Aaron Carver,Defensive Rebound,0,0
19:09,Old Dominion,Aaron Carver,Dunk,0,2
19:09,UAB,Lewis Sullivan,Foul,0,2
19:09,Old Dominion,Aaron Carver,Free Throw,0,3
18:48,UAB,Lewis Sullivan,Three Point Jumper,3,3
18:19,Old Dominion,Xavier Green,Jumper,3,5
17:53,UAB,Jeremiah Bell,Jumper,5,5
17:26,Old Dominion,Ahmad Caver,Missed Layup,5,5
17:26,Old Dominion,Elbert Robinson III,Offensive Rebound,5,5
17:25,UAB,Lewis Sullivan,Foul,5,5
17:15,Old Dominion,Xavier Green,Three Point Jumper,5,8
16:42,UAB,Jalen Perry,Jumper,7,8
16:22,UAB,Zack Bryant,Foul,7,8
16:06,Old Dominion,Ahmad Caver,Missed Three Point Jumper,7,8
16:06,UAB,Jalen Perry,Defensive Rebound,7,8
15:47,UAB,Jeremiah Bell,Turnover,7,8
15:47,Old Dominion,None,None,7,8
15:23,Old Dominion,Xavier Green,Jumper,7,10
15:00,UAB,Makhtar Gueye,Missed Three Point Jumper,7,10
15:00,Old Dominion,Dajour Dickens,Defensive Rebound,7,10
14:41,Old Dominion,B.J. Stith,Three Point Jumper,7,13
14:39,UAB,None,None,7,13
14:15,UAB,Zack Bryant,Jumper,9,13
13:58,Old Dominion,Dajour Dickens,Turnover,9,13
13:58,Old Dominion,Dajour Dickens,Foul,9,13
13:39,UAB,Tyreek Scott-Grayson,Missed Layup,9,13
13:39,UAB,Tyreek Scott-Grayson,Offensive Rebound,9,13
13:23,UAB,Zack Bryant,Jumper,11,13
13:11,Old Dominion,Ahmad Caver,Missed Layup,11,13
13:11,Old Dominion,Aaron Carver,Offensive Rebound,11,13
13:06,Old Dominion,B.J. Stith,Missed Jumper,11,13
13:06,UAB,UAB,Defensive Rebound,11,13
12:52,UAB,Zack Bryant,Layup,13,13
12:24,Old Dominion,Ahmad Caver,Turnover,13,13
12:10,UAB,Jeremiah Bell,Missed Jumper,13,13
12:10,Old Dominion,Aaron Carver,Defensive Rebound,13,13
11:55,UAB,Makhtar Gueye,Foul,13,13
11:55,Old Dominion,None,None,13,13
11:40,Old Dominion,Xavier Green,Jumper,13,15
11:19,UAB,Zack Bryant,Turnover,13,15
10:57,Old Dominion,Kalu Ezikpe,Dunk,13,17
10:35,UAB,Tyreek Scott-Grayson,Missed Layup,13,17
10:35,Old Dominion,Kalu Ezikpe,Block,13,17
10:35,UAB,UAB,Offensive Rebound,13,17
10:23,Old Dominion,Ahmad Caver,Foul,13,17
10:23,UAB,Zack Bryant,Missed Free Throw,13,17
10:23,UAB,None,Team Rebound,13,17
10:23,UAB,Zack Bryant,Missed Free Throw,13,17
10:23,Old Dominion,Xavier Green,Defensive Rebound,13,17
10:09,Old Dominion,Jason Wade,Layup,13,19
9:40,UAB,Jeremiah Bell,Jumper,15,19
9:06,Old Dominion,Jason Wade,Missed Jumper,15,19
9:06,Old Dominion,Jason Wade,Offensive Rebound,15,19
8:53,Old Dominion,Kalu Ezikpe,Layup,15,21
8:32,UAB,Tyreek Scott-Grayson,Missed Layup,15,21
8:32,UAB,UAB,Offensive Rebound,15,21
8:20,UAB,Jalen Perry,Jumper,17,21
7:51,Old Dominion,Jason Wade,Missed Three Point Jumper,17,21
7:51,UAB,Jeremiah Bell,Defensive Rebound,17,21
7:36,UAB,Zack Bryant,Layup,19,21
7:27,Old Dominion,Ahmad Caver,Missed Jumper,19,21
7:27,UAB,Makhtar Gueye,Defensive Rebound,19,21
7:09,Old Dominion,B.J. Stith,Foul,19,21
7:09,Old Dominion,None,None,19,21
6:54,UAB,Tavin Lovan,Turnover,19,21
6:53,Old Dominion,Jason Wade,Steal,19,21
6:45,Old Dominion,Ahmad Caver,Missed Three Point Jumper,19,21
6:45,UAB,Jalen Perry,Defensive Rebound,19,21
6:34,UAB,Makhtar Gueye,Missed Layup,19,21
6:34,Old Dominion,Dajour Dickens,Block,19,21
6:32,Old Dominion,Dajour Dickens,Defensive Rebound,19,21
6:18,Old Dominion,Dajour Dickens,Missed Jumper,19,21
6:18,Old Dominion,Dajour Dickens,Offensive Rebound,19,21
6:12,Old Dominion,Dajour Dickens,Turnover,19,21
6:11,UAB,Tavin Lovan,Steal,19,21
5:49,UAB,Makhtar Gueye,Layup,21,21
5:49,Old Dominion,Dajour Dickens,Foul,21,21
5:49,UAB,Makhtar Gueye,Free Throw,22,21
5:31,Old Dominion,Justice Kithcart,Missed Three Point Jumper,22,21
5:31,UAB,Tyreek Scott-Grayson,Defensive Rebound,22,21
5:16,UAB,Makhtar Gueye,Three Point Jumper,25,21
5:01,Old Dominion,Xavier Green,Missed Jumper,25,21
5:01,UAB,Jalen Perry,Defensive Rebound,25,21
4:31,UAB,Jalen Perry,Missed Three Point Jumper,25,21
4:31,Old Dominion,Ahmad Caver,Defensive Rebound,25,21
4:17,UAB,Zack Bryant,Foul,25,21
4:12,Old Dominion,Aaron Carver,Missed Layup,25,21
4:12,Old Dominion,Kalu Ezikpe,Offensive Rebound,25,21
4:09,Old Dominion,Kalu Ezikpe,Layup,25,23
3:39,UAB,Tyreek Scott-Grayson,Missed Jumper,25,23
3:39,Old Dominion,Aaron Carver,Defensive Rebound,25,23
3:36,UAB,Tavin Lovan,Foul,25,23
3:36,Old Dominion,None,None,25,23
3:17,Old Dominion,Ahmad Caver,Missed Jumper,25,23
3:17,Old Dominion,Kalu Ezikpe,Offensive Rebound,25,23
3:14,UAB,Tyreek Scott-Grayson,Foul,25,23
3:14,Old Dominion,Kalu Ezikpe,Free Throw,25,24
3:14,Old Dominion,Kalu Ezikpe,Missed Free Throw,25,24
3:14,UAB,Tyreek Scott-Grayson,Defensive Rebound,25,24
2:48,UAB,Makhtar Gueye,Missed Three Point Jumper,25,24
2:48,Old Dominion,Aaron Carver,Defensive Rebound,25,24
2:25,Old Dominion,Xavier Green,Jumper,25,26
2:00,UAB,Makhtar Gueye,Missed Three Point Jumper,25,26
2:00,Old Dominion,Ahmad Caver,Defensive Rebound,25,26
1:50,Old Dominion,Ahmad Caver,Turnover,25,26
1:22,UAB,Jalen Perry,Jumper,27,26
0:58,Old Dominion,B.J. Stith,Missed Jumper,27,26
0:58,Old Dominion,B.J. Stith,Offensive Rebound,27,26
0:54,Old Dominion,B.J. Stith,Layup,27,28
0:33,UAB,Jalen Perry,Jumper,29,28
0:03,Old Dominion,Aaron Carver,Missed Layup,29,28
0:03,UAB,Tavin Lovan,Block,29,28
0:03,Old Dominion,Old Dominion,Offensive Rebound,29,28
0:01,Old Dominion,None,None,29,28
0:00,Old Dominion,Xavier Green,Missed Jumper,29,28
0:00,UAB,Tyreek Scott-Grayson,Block,29,28
0:00,Old Dominion,None,Team Rebound,29,28
0:00,Old Dominion,None,None,29,28
19:48,UAB,Jalen Perry,Missed Three Point Jumper,29,28
19:48,Old Dominion,Xavier Green,Defensive Rebound,29,28
19:31,Old Dominion,B.J. Stith,Missed Jumper,29,28
19:31,UAB,Lewis Sullivan,Defensive Rebound,29,28
19:11,UAB,Lewis Sullivan,Missed Three Point Jumper,29,28
19:11,Old Dominion,Xavier Green,Defensive Rebound,29,28
18:57,Old Dominion,Xavier Green,Missed Jumper,29,28
18:57,UAB,Jeremiah Bell,Defensive Rebound,29,28
18:38,UAB,Zack Bryant,Jumper,31,28
18:14,Old Dominion,Aaron Carver,Turnover,31,28
18:11,UAB,Jalen Perry,Three Point Jumper,34,28
17:41,Old Dominion,B.J. Stith,Missed Jumper,34,28
17:41,UAB,Makhtar Gueye,Defensive Rebound,34,28
17:16,UAB,Lewis Sullivan,Missed Layup,34,28
17:16,Old Dominion,Elbert Robinson III,Block,34,28
17:16,UAB,UAB,Offensive Rebound,34,28
17:12,UAB,Zack Bryant,Missed Three Point Jumper,34,28
17:12,Old Dominion,Xavier Green,Defensive Rebound,34,28
16:59,Old Dominion,Ahmad Caver,Jumper,34,30
16:33,Old Dominion,Dajour Dickens,Foul,34,30
16:13,UAB,UAB ,Turnover,34,30
16:03,Old Dominion,Xavier Green,Jumper,34,32
15:40,UAB,Jeremiah Bell,Missed Layup,34,32
15:40,Old Dominion,Ahmad Caver,Defensive Rebound,34,32
15:32,Old Dominion,None,None,34,32
15:32,Old Dominion,B.J. Stith,Missed Layup,34,32
15:32,UAB,UAB,Defensive Rebound,34,32
15:32,Old Dominion,None,None,34,32
15:08,UAB,Makhtar Gueye,Missed Jumper,34,32
15:08,UAB,Lewis Sullivan,Offensive Rebound,34,32
14:46,UAB,Tyreek Scott-Grayson,Turnover,34,32
14:45,Old Dominion,B.J. Stith,Steal,34,32
14:44,UAB,Tyreek Scott-Grayson,Foul,34,32
14:44,Old Dominion,Ahmad Caver,Free Throw,34,33
14:44,Old Dominion,Ahmad Caver,Free Throw,34,34
14:24,Old Dominion,Dajour Dickens,Foul,34,34
14:19,UAB,Jalen Perry,Missed Three Point Jumper,34,34
14:19,Old Dominion,Ahmad Caver,Defensive Rebound,34,34
14:07,Old Dominion,Ahmad Caver,Jumper,34,36
13:47,UAB,Tyreek Scott-Grayson,Missed Three Point Jumper,34,36
13:47,UAB,Jalen Perry,Offensive Rebound,34,36
13:43,UAB,Jalen Perry,Three Point Jumper,37,36
13:22,Old Dominion,Xavier Green,Three Point Jumper,37,39
13:00,Old Dominion,Kalu Ezikpe,Foul,37,39
12:50,UAB,Makhtar Gueye,Turnover,37,39
12:37,Old Dominion,B.J. Stith,Turnover,37,39
12:36,UAB,Zack Bryant,Steal,37,39
12:34,UAB,Zack Bryant,Layup,39,39
12:09,Old Dominion,Ahmad Caver,Missed Three Point Jumper,39,39
12:09,UAB,Jalen Perry,Defensive Rebound,39,39
11:57,UAB,Jalen Perry,Turnover,39,39
11:57,Old Dominion,None,None,39,39
11:30,Old Dominion,Ahmad Caver,Missed Layup,39,39
11:30,UAB,Tavin Lovan,Defensive Rebound,39,39
11:14,UAB,Zack Bryant,Missed Jumper,39,39
11:14,Old Dominion,Aaron Carver,Defensive Rebound,39,39
11:03,Old Dominion,B.J. Stith,Missed Three Point Jumper,39,39
11:03,Old Dominion,Kalu Ezikpe,Offensive Rebound,39,39
10:54,Old Dominion,None,None,39,39
10:54,UAB,Lewis Sullivan,Defensive Rebound,39,39
