TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Michigan State,None,None,0,0
19:39,Michigan State,Kenny Goins,Three Point Jumper,0,3
19:06,Wisconsin,D'Mitrik Trice,Turnover,0,3
18:59,Michigan State,Matt McQuaid,Three Point Jumper,0,6
18:26,Wisconsin,Ethan Happ,Missed Jumper,0,6
18:26,Michigan State,Kenny Goins,Defensive Rebound,0,6
18:18,Michigan State,Kenny Goins,Turnover,0,6
18:07,Wisconsin,Ethan Happ,Missed Layup,0,6
18:07,Michigan State,Aaron Henry,Defensive Rebound,0,6
17:56,Michigan State,Aaron Henry,Missed Dunk,0,6
17:56,Wisconsin,Ethan Happ,Block,0,6
17:56,Michigan State,Michigan State,Offensive Rebound,0,6
17:47,Michigan State,Cassius Winston,Jumper,0,8
17:24,Wisconsin,Ethan Happ,Layup,2,8
17:06,Michigan State,Matt McQuaid,Turnover,2,8
17:06,Wisconsin,Ethan Happ,Steal,2,8
16:50,Wisconsin,D'Mitrik Trice,Missed Jumper,2,8
16:50,Michigan State,Aaron Henry,Defensive Rebound,2,8
16:40,Michigan State,Kenny Goins,Three Point Jumper,2,11
16:15,Wisconsin,Brad Davison,Jumper,4,11
15:58,Michigan State,Cassius Winston,Layup,4,13
15:38,Wisconsin,D'Mitrik Trice,Missed Three Point Jumper,4,13
15:38,Michigan State,Matt McQuaid,Defensive Rebound,4,13
15:28,Michigan State,Cassius Winston,Missed Three Point Jumper,4,13
15:28,Wisconsin,Nate Reuvers,Defensive Rebound,4,13
15:06,Wisconsin,Brad Davison,Missed Three Point Jumper,4,13
15:06,Michigan State,Kenny Goins,Defensive Rebound,4,13
14:59,Michigan State,Aaron Henry,Turnover,4,13
14:59,Wisconsin,Khalil Iverson,Steal,4,13
14:40,Wisconsin,Nate Reuvers,Missed Jumper,4,13
14:40,Michigan State,Aaron Henry,Defensive Rebound,4,13
14:30,Michigan State,Cassius Winston,Layup,4,15
14:29,Wisconsin,None,None,4,15
14:13,Wisconsin,Brad Davison,Missed Layup,4,15
14:13,Michigan State,Kenny Goins,Defensive Rebound,4,15
14:04,Michigan State,Kenny Goins,Three Point Jumper,4,18
13:37,Wisconsin,Charles Thomas IV,Missed Jumper,4,18
13:37,Michigan State,Nick Ward,Block,4,18
13:37,Wisconsin,Charles Thomas IV,Offensive Rebound,4,18
13:28,Wisconsin,Charles Thomas IV,Layup,6,18
13:13,Michigan State,Nick Ward,Jumper,6,20
12:47,Wisconsin,Kobe King,Layup,8,20
12:13,Michigan State,Nick Ward,Turnover,8,20
12:02,Wisconsin,Kobe King,Layup,10,20
11:47,Wisconsin,Brevin Pritzl,Foul,10,20
11:47,Michigan State,None,None,10,20
11:26,Michigan State,Cassius Winston,Missed Three Point Jumper,10,20
11:26,Wisconsin,Brevin Pritzl,Defensive Rebound,10,20
11:11,Wisconsin,Aleem Ford,Missed Three Point Jumper,10,20
11:11,Michigan State,Cassius Winston,Defensive Rebound,10,20
10:54,Michigan State,Aaron Henry,Three Point Jumper,10,23
10:31,Wisconsin,Nate Reuvers,Missed Jumper,10,23
10:31,Michigan State,Aaron Henry,Defensive Rebound,10,23
10:15,Michigan State,Nick Ward,Missed Jumper,10,23
10:15,Wisconsin,Aleem Ford,Defensive Rebound,10,23
10:02,Michigan State,Nick Ward,Foul,10,23
9:55,Wisconsin,Nate Reuvers,Missed Three Point Jumper,10,23
9:55,Michigan State,Aaron Henry,Defensive Rebound,10,23
9:28,Michigan State,Cassius Winston,Missed Three Point Jumper,10,23
9:28,Michigan State,Aaron Henry,Offensive Rebound,10,23
9:06,Michigan State,Aaron Henry,Foul,10,23
9:06,Michigan State,Aaron Henry,Turnover,10,23
8:59,Wisconsin,Kobe King,Missed Jumper,10,23
8:59,Michigan State,Xavier Tillman,Defensive Rebound,10,23
8:52,Michigan State,Xavier Tillman,Missed Layup,10,23
8:52,Wisconsin,Ethan Happ,Block,10,23
8:52,Wisconsin,Ethan Happ,Defensive Rebound,10,23
8:39,Wisconsin,Nate Reuvers,Missed Three Point Jumper,10,23
8:39,Michigan State,Aaron Henry,Defensive Rebound,10,23
8:16,Wisconsin,Nate Reuvers,Foul,10,23
8:16,Michigan State,Xavier Tillman,Missed Free Throw,10,23
8:16,Michigan State,None,Team Rebound,10,23
8:16,Michigan State,Xavier Tillman,Free Throw,10,24
7:59,Wisconsin,Charles Thomas IV,Missed Three Point Jumper,10,24
7:59,Michigan State,Kenny Goins,Defensive Rebound,10,24
7:43,Michigan State,Xavier Tillman,Layup,10,26
7:43,Wisconsin,Charles Thomas IV,Foul,10,26
7:43,Michigan State,None,None,10,26
7:43,Michigan State,Xavier Tillman,Free Throw,10,27
7:26,Wisconsin,Ethan Happ,Layup,12,27
6:54,Michigan State,Aaron Henry,Missed Jumper,12,27
6:54,Wisconsin,Khalil Iverson,Defensive Rebound,12,27
6:43,Wisconsin,D'Mitrik Trice,Missed Three Point Jumper,12,27
6:43,Michigan State,Foster Loyer,Defensive Rebound,12,27
6:35,Michigan State,Kenny Goins,Missed Three Point Jumper,12,27
6:35,Wisconsin,Brad Davison,Defensive Rebound,12,27
6:24,Wisconsin,Khalil Iverson,Turnover,12,27
6:24,Michigan State,Matt McQuaid,Steal,12,27
5:58,Michigan State,Matt McQuaid,Missed Jumper,12,27
5:58,Wisconsin,Ethan Happ,Defensive Rebound,12,27
5:48,Wisconsin,Ethan Happ,Jumper,14,27
5:29,Michigan State,Foster Loyer,Missed Three Point Jumper,14,27
5:29,Wisconsin,D'Mitrik Trice,Defensive Rebound,14,27
5:16,Michigan State,Aaron Henry,Foul,14,27
5:16,Wisconsin,Khalil Iverson,Missed Free Throw,14,27
5:16,Wisconsin,None,Team Rebound,14,27
5:16,Wisconsin,Khalil Iverson,Free Throw,15,27
5:04,Michigan State,Matt McQuaid,Missed Layup,15,27
5:04,Wisconsin,Ethan Happ,Block,15,27
5:04,Michigan State,Michigan State,Offensive Rebound,15,27
4:56,Michigan State,Cassius Winston,Jumper,15,29
4:32,Wisconsin,Kobe King,Three Point Jumper,18,29
4:12,Michigan State,Matt McQuaid,Turnover,18,29
4:12,Wisconsin,Ethan Happ,Steal,18,29
4:03,Wisconsin,Ethan Happ,Turnover,18,29
4:03,Michigan State,Nick Ward,Steal,18,29
3:51,Michigan State,Nick Ward,Foul,18,29
3:51,Michigan State,Nick Ward,Turnover,18,29
3:51,Michigan State,None,None,18,29
3:43,Wisconsin,Kobe King,Layup,20,29
3:35,Michigan State,Cassius Winston,Three Point Jumper,20,32
3:13,Wisconsin,Ethan Happ,Missed Layup,20,32
3:13,Michigan State,Kenny Goins,Defensive Rebound,20,32
3:04,Michigan State,Kyle Ahrens,Missed Layup,20,32
3:04,Wisconsin,Ethan Happ,Block,20,32
3:04,Michigan State,Kyle Ahrens,Offensive Rebound,20,32
