TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Fairleigh Dickinson,None,None,0,0
19:45,Fairleigh Dickinson,Kaleb Bishop,Turnover,0,0
19:45,Prairie View A&M,Gerard Andrus,Steal,0,0
19:20,Prairie View A&M,Gary Blackston,Jumper,0,2
18:58,Fairleigh Dickinson,Elyjah Williams,Three Point Jumper,3,2
18:34,Prairie View A&M,Gary Blackston,Missed Jumper,3,2
18:34,Fairleigh Dickinson,None,Team Rebound,3,2
18:14,Fairleigh Dickinson,Mike Holloway Jr.,Missed Layup,3,2
18:14,Prairie View A&M,Iwin Ellis,Defensive Rebound,3,2
17:53,Prairie View A&M,Devonte Patterson,Three Point Jumper,3,5
17:33,Fairleigh Dickinson,Darnell Edge,Three Point Jumper,6,5
17:11,Prairie View A&M,Dennis Jones,Missed Jumper,6,5
17:11,Prairie View A&M,Devonte Patterson,Offensive Rebound,6,5
17:11,Prairie View A&M,None,None,6,5
17:11,Fairleigh Dickinson,Mike Holloway Jr.,Defensive Rebound,6,5
17:01,Fairleigh Dickinson,Kaleb Bishop,Missed Three Point Jumper,6,5
17:01,Prairie View A&M,Devonte Patterson,Defensive Rebound,6,5
16:57,Fairleigh Dickinson,Elyjah Williams,Foul,6,5
16:49,Prairie View A&M,Devonte Patterson,Turnover,6,5
16:37,Fairleigh Dickinson,Mike Holloway Jr.,Missed Layup,6,5
16:37,Prairie View A&M,Gerard Andrus,Defensive Rebound,6,5
16:23,Prairie View A&M,Devonte Patterson,Turnover,6,5
16:05,Fairleigh Dickinson,Darnell Edge,Turnover,6,5
16:05,Prairie View A&M,Gerard Andrus,Steal,6,5
15:50,Prairie View A&M,Iwin Ellis,Missed Jumper,6,5
15:50,Fairleigh Dickinson,Mike Holloway Jr.,Defensive Rebound,6,5
15:31,Fairleigh Dickinson,Elyjah Williams,Turnover,6,5
15:26,Prairie View A&M,Dennis Jones,Missed Layup,6,5
15:26,Fairleigh Dickinson,Kaleb Bishop,Block,6,5
15:26,Fairleigh Dickinson,Jahlil Jenkins,Defensive Rebound,6,5
15:07,Fairleigh Dickinson,Darnell Edge,Missed Three Point Jumper,6,5
15:07,Fairleigh Dickinson,Mike Holloway Jr.,Offensive Rebound,6,5
14:53,Prairie View A&M,Dennis Jones,Foul,6,5
14:53,Prairie View A&M,None,None,6,5
14:35,Fairleigh Dickinson,Elyjah Williams,Missed Three Point Jumper,6,5
14:34,Fairleigh Dickinson,Fairleigh Dickinson,Offensive Rebound,6,5
14:33,Fairleigh Dickinson,Fairleigh Dickinson ,Turnover,6,5
14:08,Prairie View A&M,Gary Blackston,Three Point Jumper,6,8
13:48,Fairleigh Dickinson,Mike Holloway Jr.,Turnover,6,8
13:48,Prairie View A&M,Darius Williams,Steal,6,8
13:39,Prairie View A&M,Antione Lister,Missed Three Point Jumper,6,8
13:39,Prairie View A&M,Devonte Patterson,Offensive Rebound,6,8
13:39,Prairie View A&M,None,None,6,8
13:39,Fairleigh Dickinson,Jahlil Jenkins,Defensive Rebound,6,8
13:31,Prairie View A&M,Gary Blackston,Foul,6,8
13:21,Prairie View A&M,Taishaun Johnson,Foul,6,8
13:08,Fairleigh Dickinson,Brandon Powell,Turnover,6,8
13:08,Prairie View A&M,Antione Lister,Steal,6,8
13:04,Prairie View A&M,Gary Blackston,Missed Layup,6,8
13:04,Fairleigh Dickinson,Elyjah Williams,Block,6,8
13:04,Prairie View A&M,Prairie View A&M,Offensive Rebound,6,8
12:53,Prairie View A&M,Chancellor Ellis,Three Point Jumper,6,11
12:36,Fairleigh Dickinson,Jahlil Jenkins,Missed Jumper,6,11
12:36,Prairie View A&M,Gary Blackston,Defensive Rebound,6,11
12:27,Fairleigh Dickinson,Darnell Edge,Foul,6,11
12:16,Prairie View A&M,Gary Blackston,Jumper,6,13
11:48,Prairie View A&M,None,None,6,13
11:48,Prairie View A&M,Gary Blackston,Foul,6,13
11:44,Fairleigh Dickinson,Darnell Edge,Turnover,6,13
11:44,Prairie View A&M,Gerard Andrus,Steal,6,13
11:38,Prairie View A&M,Gerard Andrus,Missed Jumper,6,13
