TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Villanova,Eric Paschall,Jumper,0,2
19:21,Butler,Nate Fowler,Jumper,2,2
18:48,Villanova,Eric Paschall,Turnover,2,2
18:48,Butler,Nate Fowler,Steal,2,2
18:42,Butler,Kamar Baldwin,Missed Three Point Jumper,2,2
18:39,Villanova,Phil Booth,Defensive Rebound,2,2
18:28,Butler,Nate Fowler,Foul,2,2
18:25,Villanova,Phil Booth,Missed Jumper,2,2
18:21,Butler,Aaron Thompson,Defensive Rebound,2,2
18:17,Butler,Sean McDermott,Missed Three Point Jumper,2,2
18:14,Villanova,Jermaine Samuels,Defensive Rebound,2,2
17:58,Butler,Nate Fowler,Foul,2,2
17:58,Villanova,Jermaine Samuels,Missed Free Throw,2,2
17:58,Villanova,Villanova,Offensive Rebound,2,2
17:58,Villanova,Jermaine Samuels,Free Throw,2,3
17:32,Butler,Aaron Thompson,Layup,4,3
17:06,Villanova,Collin Gillespie,Missed Three Point Jumper,4,3
17:03,Villanova,Saddiq Bey,Offensive Rebound,4,3
17:01,Villanova,Eric Paschall,Missed Three Point Jumper,4,3
17:00,Butler,Butler,Defensive Rebound,4,3
16:42,Butler,Sean McDermott,Layup,6,3
16:20,Villanova,Jermaine Samuels,Missed Three Point Jumper,6,3
16:14,Villanova,Saddiq Bey,Offensive Rebound,6,3
16:00,Villanova,Eric Paschall,Missed Layup,6,3
15:59,Butler,Butler,Defensive Rebound,6,3
15:28,Butler,Butler ,Turnover,6,3
15:10,Villanova,Phil Booth,Missed Three Point Jumper,6,3
15:08,Butler,Butler,Defensive Rebound,6,3
15:00,Butler,Joey Brunk,Layup,8,3
14:39,Villanova,Phil Booth,Turnover,8,3
14:19,Butler,Aaron Thompson,Layup,10,3
13:51,Villanova,Dhamir Cosby-Roundtree,Layup,10,5
13:41,Butler,Aaron Thompson,Foul,10,5
13:41,Butler,Aaron Thompson,Turnover,10,5
13:20,Villanova,Phil Booth,Missed Jumper,10,5
13:16,Butler,Joey Brunk,Defensive Rebound,10,5
13:14,Butler,Jordan Tucker,Layup,12,5
13:14,Villanova,Phil Booth,Foul,12,5
13:14,Butler,Jordan Tucker,Missed Free Throw,12,5
13:13,Villanova,Dhamir Cosby-Roundtree,Defensive Rebound,12,5
13:01,Villanova,Collin Gillespie,Missed Three Point Jumper,12,5
12:59,Butler,Jordan Tucker,Defensive Rebound,12,5
12:45,Butler,Jordan Tucker,Missed Jumper,12,5
12:44,Villanova,Villanova,Defensive Rebound,12,5
12:18,Villanova,Dhamir Cosby-Roundtree,Missed Jumper,12,5
12:15,Butler,Christian David,Defensive Rebound,12,5
11:57,Butler,Kamar Baldwin,Missed Three Point Jumper,12,5
11:52,Villanova,Phil Booth,Defensive Rebound,12,5
11:49,Villanova,Eric Paschall,Three Point Jumper,12,8
11:19,Villanova,Eric Paschall,Foul,12,8
11:19,Butler,None,None,12,8
11:05,Butler,Aaron Thompson,Layup,14,8
10:35,Villanova,Jermaine Samuels,Missed Jumper,14,8
10:32,Butler,Henry Baddley,Defensive Rebound,14,8
10:21,Butler,Paul Jorgensen,Missed Three Point Jumper,14,8
10:18,Butler,Henry Baddley,Offensive Rebound,14,8
9:50,Butler,Paul Jorgensen,Jumper,16,8
9:28,Villanova,Saddiq Bey,Missed Three Point Jumper,16,8
9:27,Butler,Aaron Thompson,Defensive Rebound,16,8
9:27,Villanova,Collin Gillespie,Foul,16,8
9:09,Butler,Aaron Thompson,Missed Layup,16,8
9:03,Butler,Bryce Golden,Offensive Rebound,16,8
9:03,Butler,Bryce Golden,Missed Layup,16,8
9:02,Villanova,Eric Paschall,Defensive Rebound,16,8
8:47,Villanova,Saddiq Bey,Jumper,16,10
8:20,Butler,Henry Baddley,Three Point Jumper,19,10
7:46,Villanova,Phil Booth,Three Point Jumper,19,13
7:19,Butler,Bryce Golden,Missed Three Point Jumper,19,13
7:13,Villanova,Jermaine Samuels,Defensive Rebound,19,13
7:05,Villanova,Jermaine Samuels,Turnover,19,13
7:05,Butler,Henry Baddley,Steal,19,13
6:55,Butler,Paul Jorgensen,Missed Three Point Jumper,19,13
6:51,Villanova,Saddiq Bey,Defensive Rebound,19,13
6:46,Villanova,Phil Booth,Layup,19,15
6:17,Butler,Aaron Thompson,Missed Layup,19,15
6:17,Villanova,Dhamir Cosby-Roundtree,Block,19,15
6:15,Villanova,None,None,19,15
6:15,Butler,Henry Baddley,Free Throw,20,15
6:15,Butler,Aaron Thompson,Offensive Rebound,19,15
6:15,Villanova,Dhamir Cosby-Roundtree,Foul,19,15
6:15,Villanova,None,None,19,15
6:15,Butler,Henry Baddley,Free Throw,21,15
6:06,Villanova,Saddiq Bey,Dunk,21,17
5:46,Butler,Joey Brunk,Layup,23,17
5:22,Villanova,Saddiq Bey,Dunk,23,19
4:52,Butler,Jordan Tucker,Missed Layup,23,19
4:49,Villanova,Jermaine Samuels,Defensive Rebound,23,19
4:46,Villanova,Phil Booth,Missed Three Point Jumper,23,19
4:43,Villanova,Saddiq Bey,Offensive Rebound,23,19
4:34,Villanova,Phil Booth,Jumper,23,21
4:11,Butler,Sean McDermott,Foul,23,21
