TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,South Carolina,Tre Campbell,Foul,0,0
19:36,South Carolina,Tre Campbell,Turnover,0,0
19:10,Missouri,Jordan Geist,Missed Three Point Jumper,0,0
19:07,South Carolina,South Carolina,Offensive Rebound,0,0
18:51,South Carolina,Chris Silva,Missed Jumper,0,0
18:51,Missouri,Jeremiah Tilmon,Block,0,0
18:49,Missouri,Javon Pickett,Defensive Rebound,0,0
18:45,Missouri,Javon Pickett,Three Point Jumper,0,3
18:31,South Carolina,Chris Silva,Jumper,2,3
18:13,Missouri,Javon Pickett,Missed Three Point Jumper,2,3
18:13,Missouri,Jeremiah Tilmon,Offensive Rebound,2,3
18:09,Missouri,Jeremiah Tilmon,Layup,2,5
18:02,South Carolina,Chris Silva,Missed Three Point Jumper,2,5
18:02,Missouri,Missouri,Defensive Rebound,2,5
17:45,Missouri,Kevin Puryear,Missed Jumper,2,5
17:45,South Carolina,South Carolina,Defensive Rebound,2,5
17:43,Missouri,Jeremiah Tilmon,Foul,2,5
17:30,South Carolina,Felipe Haase,Missed Jumper,2,5
17:30,Missouri,Javon Pickett,Defensive Rebound,2,5
17:05,Missouri,Javon Pickett,Missed Jumper,2,5
17:05,South Carolina,Keyshawn Bryant,Defensive Rebound,2,5
16:59,South Carolina,Keyshawn Bryant,Dunk,4,5
16:47,Missouri,Xavier Pinson,Turnover,4,5
16:25,South Carolina,Keyshawn Bryant,Missed Jumper,4,5
16:25,Missouri,Jeremiah Tilmon,Defensive Rebound,4,5
16:09,South Carolina,Chris Silva,Foul,4,5
15:51,Missouri,Torrence Watson,Turnover,4,5
15:49,South Carolina,Hassani Gravett,Steal,4,5
15:44,South Carolina,Tre Campbell,Turnover,4,5
15:44,Missouri,None,None,4,5
15:26,Missouri,Javon Pickett,Jumper,4,7
15:15,South Carolina,Hassani Gravett,Missed Jumper,4,7
15:15,Missouri,Jordan Geist,Defensive Rebound,4,7
15:02,Missouri,Reed Nikko,Jumper,4,9
14:50,South Carolina,Maik Kotsar,Missed Jumper,4,9
14:50,South Carolina,Keyshawn Bryant,Offensive Rebound,4,9
14:46,South Carolina,Keyshawn Bryant,Layup,6,9
14:29,Missouri,Reed Nikko,Layup,6,11
14:12,South Carolina,Hassani Gravett,Three Point Jumper,9,11
13:50,Missouri,Jordan Geist,Missed Three Point Jumper,9,11
13:50,South Carolina,Maik Kotsar,Defensive Rebound,9,11
13:28,South Carolina,Maik Kotsar,Missed Jumper,9,11
13:28,Missouri,K.J. Santos,Defensive Rebound,9,11
12:58,Missouri,Torrence Watson,Three Point Jumper,9,14
12:44,South Carolina,Felipe Haase,Missed Three Point Jumper,9,14
12:44,Missouri,K.J. Santos,Defensive Rebound,9,14
12:38,Missouri,Jordan Geist,Foul,9,14
12:38,Missouri,Jordan Geist,Turnover,9,14
12:18,South Carolina,Chris Silva,Missed Jumper,9,14
12:18,South Carolina,Maik Kotsar,Offensive Rebound,9,14
12:09,South Carolina,Tre Campbell,Missed Three Point Jumper,9,14
12:09,South Carolina,South Carolina,Offensive Rebound,9,14
12:05,South Carolina,Chris Silva,Missed Jumper,9,14
12:05,Missouri,Xavier Pinson,Defensive Rebound,9,14
11:52,Missouri,Javon Pickett,Turnover,9,14
11:50,South Carolina,Chris Silva,Steal,9,14
11:47,South Carolina,Hassani Gravett,Missed Dunk,9,14
11:47,Missouri,Javon Pickett,Defensive Rebound,9,14
11:32,Missouri,Jeremiah Tilmon,Layup,9,16
11:32,South Carolina,Felipe Haase,Foul,9,16
11:32,Missouri,Jeremiah Tilmon,Missed Free Throw,9,16
11:32,South Carolina,Keyshawn Bryant,Defensive Rebound,9,16
11:11,South Carolina,Alanzo Frink,Missed Jumper,9,16
11:11,Missouri,Jeremiah Tilmon,Defensive Rebound,9,16
10:46,Missouri,Kevin Puryear,Turnover,9,16
10:44,South Carolina,Keyshawn Bryant,Steal,9,16
10:39,South Carolina,Hassani Gravett,Turnover,9,16
10:39,Missouri,Xavier Pinson,Steal,9,16
10:32,Missouri,Torrence Watson,Missed Three Point Jumper,9,16
10:32,Missouri,Kevin Puryear,Offensive Rebound,9,16
10:27,South Carolina,Chris Silva,Foul,9,16
10:27,Missouri,Kevin Puryear,Free Throw,9,17
10:27,Missouri,Kevin Puryear,Free Throw,9,18
10:02,South Carolina,Hassani Gravett,Missed Jumper,9,18
10:02,Missouri,Jeremiah Tilmon,Defensive Rebound,9,18
9:52,Missouri,Xavier Pinson,Turnover,9,18
9:52,South Carolina,Alanzo Frink,Steal,9,18
9:49,Missouri,Torrence Watson,Foul,9,18
9:34,South Carolina,Alanzo Frink,Missed Jumper,9,18
9:34,Missouri,Jeremiah Tilmon,Block,9,18
9:34,South Carolina,South Carolina,Offensive Rebound,9,18
9:29,South Carolina,Hassani Gravett,Layup,11,18
9:29,Missouri,K.J. Santos,Foul,11,18
9:29,South Carolina,Hassani Gravett,Free Throw,12,18
9:14,Missouri,Jordan Geist,Turnover,12,18
9:11,South Carolina,Alanzo Frink,Steal,12,18
8:56,South Carolina,Alanzo Frink,Layup,14,18
8:39,Missouri,K.J. Santos,Turnover,14,18
8:34,Missouri,K.J. Santos,Foul,14,18
8:34,South Carolina,Tre Campbell,Missed Free Throw,14,18
8:34,South Carolina,None,Team Rebound,14,18
8:34,South Carolina,Tre Campbell,Free Throw,15,18
8:11,Missouri,Jordan Geist,Missed Three Point Jumper,15,18
8:11,South Carolina,Maik Kotsar,Defensive Rebound,15,18
8:01,South Carolina,Alanzo Frink,Missed Jumper,15,18
8:01,Missouri,Reed Nikko,Defensive Rebound,15,18
7:41,Missouri,Javon Pickett,Missed Three Point Jumper,15,18
7:41,South Carolina,Keyshawn Bryant,Defensive Rebound,15,18
7:32,South Carolina,Keyshawn Bryant,Turnover,15,18
7:32,Missouri,None,None,15,18
7:18,Missouri,Javon Pickett,Missed Three Point Jumper,15,18
7:18,South Carolina,Keyshawn Bryant,Defensive Rebound,15,18
6:56,South Carolina,Maik Kotsar,Missed Layup,15,18
6:56,Missouri,Xavier Pinson,Defensive Rebound,15,18
6:26,Missouri,Javon Pickett,Missed Jumper,15,18
6:26,Missouri,Missouri,Offensive Rebound,15,18
6:07,Missouri,Jordan Geist,Jumper,15,20
5:48,South Carolina,Tre Campbell,Missed Jumper,15,20
5:48,Missouri,Jeremiah Tilmon,Defensive Rebound,15,20
5:37,Missouri,Kevin Puryear,Layup,15,22
5:21,South Carolina,Keyshawn Bryant,Jumper,17,22
4:45,Missouri,Jeremiah Tilmon,Missed Dunk,17,22
4:45,South Carolina,South Carolina,Defensive Rebound,17,22
4:25,South Carolina,Chris Silva,Jumper,19,22
4:02,Missouri,Xavier Pinson,Turnover,19,22
3:52,Missouri,Jeremiah Tilmon,Foul,19,22
3:52,Missouri,None,None,19,22
3:52,South Carolina,Chris Silva,Free Throw,20,22
3:52,South Carolina,Chris Silva,Free Throw,21,22
3:41,South Carolina,Tre Campbell,Foul,21,22
3:41,Missouri,Kevin Puryear,Free Throw,21,23
