TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Arizona State,None,None,0,0
19:45,Arizona State,Zylan Cheatham,Missed Layup,0,0
19:45,Arizona State,Romello White,Offensive Rebound,0,0
19:41,Arizona State,Romello White,Missed Jumper,0,0
19:41,St. John's,St. John's,Defensive Rebound,0,0
19:26,St. John's,Mustapha Heron,Missed Three Point Jumper,0,0
19:26,Arizona State,Rob Edwards,Defensive Rebound,0,0
18:56,Arizona State,Zylan Cheatham,Missed Jumper,0,0
18:56,St. John's,LJ Figueroa,Defensive Rebound,0,0
18:42,St. John's,LJ Figueroa,Missed Layup,0,0
18:42,Arizona State,Romello White,Defensive Rebound,0,0
18:33,Arizona State,Rob Edwards,Three Point Jumper,0,3
18:12,St. John's,Justin Simon,Missed Jumper,0,3
18:12,Arizona State,Rob Edwards,Defensive Rebound,0,3
18:00,Arizona State,Luguentz Dort,Layup,0,5
17:43,St. John's,LJ Figueroa,Missed Jumper,0,5
17:43,Arizona State,Rob Edwards,Defensive Rebound,0,5
17:38,Arizona State,Rob Edwards,Turnover,0,5
17:35,St. John's,Shamorie Ponds,Three Point Jumper,3,5
17:20,Arizona State,Remy Martin,Turnover,3,5
17:20,St. John's,Justin Simon,Steal,3,5
17:17,St. John's,Justin Simon,Layup,5,5
16:47,Arizona State,Zylan Cheatham,Jumper,5,7
16:47,St. John's,Justin Simon,Foul,5,7
16:47,Arizona State,Zylan Cheatham,Missed Free Throw,5,7
16:47,St. John's,LJ Figueroa,Defensive Rebound,5,7
16:36,St. John's,Marvin Clark II,Missed Three Point Jumper,5,7
16:36,Arizona State,Rob Edwards,Defensive Rebound,5,7
16:13,St. John's,Mustapha Heron,Foul,5,7
16:13,Arizona State,Zylan Cheatham,Free Throw,5,8
16:13,Arizona State,Zylan Cheatham,Missed Free Throw,5,8
16:13,St. John's,Marvin Clark II,Defensive Rebound,5,8
15:58,St. John's,Mustapha Heron,Missed Jumper,5,8
15:58,Arizona State,Romello White,Block,5,8
15:58,St. John's,St. John's,Offensive Rebound,5,8
15:58,Arizona State,None,None,5,8
15:48,St. John's,Shamorie Ponds,Three Point Jumper,8,8
15:27,Arizona State,Luguentz Dort,Three Point Jumper,8,11
15:08,St. John's,Shamorie Ponds,Missed Jumper,8,11
