TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Utah State,None,None,0,0
19:52,Utah State,Neemias Queta,Jumper,0,2
19:41,Washington,Jaylen Nowell,Missed Jumper,0,2
19:41,Washington,Noah Dickerson,Offensive Rebound,0,2
19:41,Utah State,Neemias Queta,Missed Layup,0,2
19:41,Washington,Hameir Wright,Defensive Rebound,0,2
19:28,Washington,Noah Dickerson,Missed Layup,0,2
19:28,Utah State,Quinn Taylor,Block,0,2
19:28,Utah State,Quinn Taylor,Defensive Rebound,0,2
19:14,Washington,Matisse Thybulle,Turnover,0,2
19:03,Utah State,Quinn Taylor,Turnover,0,2
18:49,Washington,Noah Dickerson,Turnover,0,2
18:39,Utah State,Brock Miller,Three Point Jumper,0,5
18:18,Washington,David Crisp,Three Point Jumper,3,5
17:58,Utah State,Quinn Taylor,Jumper,3,7
17:36,Utah State,Abel Porter,Foul,3,7
17:36,Washington,Jaylen Nowell,Free Throw,4,7
17:36,Washington,Jaylen Nowell,Free Throw,5,7
17:27,Utah State,Abel Porter,Turnover,5,7
17:13,Washington,David Crisp,Missed Layup,5,7
17:13,Utah State,Neemias Queta,Defensive Rebound,5,7
17:04,Utah State,Sam Merrill,Missed Jumper,5,7
17:04,Washington,Matisse Thybulle,Block,5,7
17:04,Utah State,Utah State,Offensive Rebound,5,7
16:47,Washington,Jaylen Nowell,Foul,5,7
16:37,Washington,David Crisp,Foul,5,7
16:37,Utah State,Brock Miller,Free Throw,5,8
16:37,Utah State,Brock Miller,Free Throw,5,9
16:18,Washington,David Crisp,Missed Three Point Jumper,5,9
16:18,Utah State,Sam Merrill,Defensive Rebound,5,9
15:54,Utah State,Quinn Taylor,Jumper,5,11
15:37,Washington,Hameir Wright,Three Point Jumper,8,11
15:14,Utah State,Brock Miller,Foul,8,11
15:14,Utah State,Brock Miller,Turnover,8,11
15:14,Utah State,None,None,8,11
14:53,Washington,Matisse Thybulle,Missed Three Point Jumper,8,11
14:53,Washington,David Crisp,Offensive Rebound,8,11
14:49,Washington,David Crisp,Jumper,10,11
14:14,Utah State,Sam Merrill,Foul,10,11
14:14,Utah State,Sam Merrill,Turnover,10,11
13:55,Washington,Matisse Thybulle,Turnover,10,11
13:47,Utah State,Sam Merrill,Turnover,10,11
13:47,Washington,Matisse Thybulle,Steal,10,11
13:40,Washington,Noah Dickerson,Layup,12,11
13:19,Utah State,Abel Porter,Missed Three Point Jumper,12,11
13:19,Washington,Matisse Thybulle,Block,12,11
13:19,Utah State,Utah State,Offensive Rebound,12,11
13:06,Utah State,Neemias Queta,Turnover,12,11
13:06,Washington,Noah Dickerson,Steal,12,11
12:56,Washington,Noah Dickerson,Layup,14,11
12:35,Utah State,Neemias Queta,Missed Layup,14,11
12:35,Washington,Nahziah Carter,Block,14,11
12:35,Utah State,Neemias Queta,Offensive Rebound,14,11
12:30,Utah State,Neemias Queta,Missed Jumper,14,11
12:30,Washington,Noah Dickerson,Defensive Rebound,14,11
12:30,Utah State,Dwayne Brown Jr.,Foul,14,11
12:07,Washington,Matisse Thybulle,Missed Jumper,14,11
12:07,Utah State,Brock Miller,Defensive Rebound,14,11
11:49,Utah State,Diogo Brito,Missed Jumper,14,11
11:49,Utah State,Justin Bean,Offensive Rebound,14,11
11:44,Utah State,Justin Bean,Layup,14,13
11:19,Washington,Matisse Thybulle,Turnover,14,13
11:19,Utah State,None,None,14,13
11:06,Utah State,Diogo Brito,Turnover,14,13
10:53,Washington,Dominic Green,Missed Three Point Jumper,14,13
10:53,Utah State,Justin Bean,Defensive Rebound,14,13
10:44,Utah State,Brock Miller,Missed Jumper,14,13
10:44,Utah State,Justin Bean,Offensive Rebound,14,13
10:40,Utah State,Justin Bean,Layup,14,15
10:13,Washington,Sam Timmins,Missed Layup,14,15
