TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Auburn,None,None,0,0
19:49,Auburn,Chuma Okeke,Missed Layup,0,0
19:49,Kansas,Ochai Agbaji,Defensive Rebound,0,0
19:34,Kansas,Dedric Lawson,Turnover,0,0
19:34,Auburn,Chuma Okeke,Steal,0,0
19:24,Auburn,Anfernee McLemore,Missed Three Point Jumper,0,0
19:24,Kansas,Kansas,Defensive Rebound,0,0
19:01,Kansas,David McCormack,Layup,0,2
18:44,Auburn,Anfernee McLemore,Dunk,2,2
18:11,Kansas,Dedric Lawson,Missed Jumper,2,2
18:11,Auburn,Anfernee McLemore,Defensive Rebound,2,2
18:05,Auburn,Malik Dunbar,Layup,4,2
17:40,Kansas,Quentin Grimes,Turnover,4,2
17:40,Auburn,Chuma Okeke,Steal,4,2
17:32,Auburn,Jared Harper,Three Point Jumper,7,2
17:12,Kansas,Ochai Agbaji,Missed Three Point Jumper,7,2
17:12,Auburn,Auburn,Defensive Rebound,7,2
17:00,Auburn,Anfernee McLemore,Missed Layup,7,2
17:00,Kansas,Dedric Lawson,Defensive Rebound,7,2
16:50,Kansas,David McCormack,Jumper,7,4
16:50,Auburn,Anfernee McLemore,Foul,7,4
16:50,Kansas,David McCormack,Free Throw,7,5
16:29,Auburn,Chuma Okeke,Jumper,9,5
16:07,Kansas,Marcus Garrett,Missed Jumper,9,5
16:07,Auburn,Horace Spencer,Defensive Rebound,9,5
16:00,Auburn,Bryce Brown,Three Point Jumper,12,5
15:58,Kansas,None,None,12,5
15:45,Kansas,Quentin Grimes,Turnover,12,5
15:45,Auburn,Horace Spencer,Steal,12,5
15:39,Auburn,Bryce Brown,Three Point Jumper,15,5
15:15,Auburn,Horace Spencer,Foul,15,5
15:15,Kansas,None,None,15,5
15:15,Auburn,Bryce Brown,Foul,15,5
15:03,Kansas,Marcus Garrett,Layup,15,7
14:45,Auburn,Chuma Okeke,Missed Jumper,15,7
14:45,Kansas,Dedric Lawson,Defensive Rebound,15,7
14:35,Kansas,Dedric Lawson,Missed Jumper,15,7
14:35,Auburn,Chuma Okeke,Block,15,7
14:35,Auburn,Samir Doughty,Defensive Rebound,15,7
14:30,Auburn,Jared Harper,Dunk,17,7
14:11,Kansas,Marcus Garrett,Layup,17,9
14:06,Auburn,Bryce Brown,Three Point Jumper,20,9
13:51,Kansas,Devon Dotson,Foul,20,9
13:51,Kansas,Devon Dotson,Turnover,20,9
13:29,Kansas,Dedric Lawson,Foul,20,9
13:28,Auburn,Jared Harper,Missed Three Point Jumper,20,9
13:28,Kansas,Devon Dotson,Defensive Rebound,20,9
13:16,Kansas,Dedric Lawson,Missed Jumper,20,9
13:16,Auburn,Austin Wiley,Defensive Rebound,20,9
13:09,Auburn,Bryce Brown,Three Point Jumper,23,9
13:04,Kansas,None,None,23,9
12:54,Kansas,K.J. Lawson,Missed Three Point Jumper,23,9
12:54,Auburn,Bryce Brown,Defensive Rebound,23,9
12:23,Auburn,Bryce Brown,Layup,25,9
12:13,Kansas,Devon Dotson,Layup,25,11
12:08,Auburn,Jared Harper,Three Point Jumper,28,11
11:53,Kansas,Quentin Grimes,Three Point Jumper,28,14
11:48,Auburn,None,None,28,14
11:33,Auburn,Samir Doughty,Missed Three Point Jumper,28,14
11:33,Auburn,Danjel Purifoy,Offensive Rebound,28,14
11:07,Auburn,Danjel Purifoy,Missed Layup,28,14
11:07,Kansas,Dedric Lawson,Defensive Rebound,28,14
10:53,Kansas,Devon Dotson,Missed Layup,28,14
10:53,Kansas,Devon Dotson,Offensive Rebound,28,14
10:51,Auburn,Samir Doughty,Foul,28,14
10:50,Auburn,Danjel Purifoy,Foul,28,14
10:50,Kansas,Quentin Grimes,Free Throw,28,15
10:50,Kansas,Quentin Grimes,Missed Free Throw,28,15
10:50,Auburn,Anfernee McLemore,Defensive Rebound,28,15
