TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Maryland,None,None,0,0
19:48,Maryland,Jalen Smith,Missed Three Point Jumper,0,0
19:48,LSU,Skylar Mays,Defensive Rebound,0,0
19:38,LSU,Tremont Waters,Missed Jumper,0,0
19:38,Maryland,Darryl Morsell,Block,0,0
19:38,Maryland,Bruno Fernando,Defensive Rebound,0,0
19:27,Maryland,Jalen Smith,Missed Three Point Jumper,0,0
19:27,LSU,None,Team Rebound,0,0
19:09,LSU,Naz Reid,Layup,0,2
18:49,Maryland,Bruno Fernando,Missed Jumper,0,2
18:49,LSU,Skylar Mays,Defensive Rebound,0,2
18:37,LSU,Naz Reid,Missed Three Point Jumper,0,2
18:37,Maryland,Jalen Smith,Defensive Rebound,0,2
18:26,LSU,Marlon Taylor,Foul,0,2
18:26,Maryland,Jalen Smith,Missed Free Throw,0,2
18:26,Maryland,None,Team Rebound,0,2
18:26,Maryland,Jalen Smith,Free Throw,1,2
18:16,LSU,Skylar Mays,Missed Jumper,1,2
18:16,Maryland,Eric Ayala,Defensive Rebound,1,2
18:02,Maryland,Jalen Smith,Missed Three Point Jumper,1,2
18:02,LSU,Kavell Bigby-Williams,Defensive Rebound,1,2
17:53,LSU,Tremont Waters,Layup,1,4
17:34,Maryland,Anthony Cowan Jr.,Three Point Jumper,4,4
17:12,LSU,Kavell Bigby-Williams,Missed Layup,4,4
17:12,Maryland,Jalen Smith,Block,4,4
17:12,LSU,None,Team Rebound,4,4
17:03,LSU,Darius Days,Three Point Jumper,4,7
16:34,Maryland,Jalen Smith,Layup,6,7
16:18,LSU,Tremont Waters,Missed Layup,6,7
16:18,LSU,Darius Days,Offensive Rebound,6,7
16:18,LSU,None,None,6,9
16:01,Maryland,Anthony Cowan Jr.,Turnover,6,9
16:01,LSU,Marlon Taylor,Steal,6,9
15:38,LSU,Marlon Taylor,Missed Three Point Jumper,6,9
15:38,Maryland,Bruno Fernando,Defensive Rebound,6,9
15:29,Maryland,Eric Ayala,Missed Layup,6,9
15:29,Maryland,Eric Ayala,Offensive Rebound,6,9
15:18,Maryland,Eric Ayala,Missed Three Point Jumper,6,9
15:18,Maryland,Darryl Morsell,Offensive Rebound,6,9
15:01,LSU,Naz Reid,Foul,6,9
15:01,LSU,None,None,6,9
15:01,Maryland,Jalen Smith,Free Throw,7,9
15:01,Maryland,Jalen Smith,Missed Free Throw,7,9
15:01,Maryland,Bruno Fernando,Offensive Rebound,7,9
15:00,Maryland,Bruno Fernando,Turnover,7,9
14:40,LSU,Kavell Bigby-Williams,Missed Jumper,7,9
14:40,Maryland,Jalen Smith,Block,7,9
14:40,Maryland,Bruno Fernando,Defensive Rebound,7,9
14:28,Maryland,Bruno Fernando,Turnover,7,9
14:20,LSU,Tremont Waters,Missed Three Point Jumper,7,9
14:20,Maryland,Bruno Fernando,Defensive Rebound,7,9
14:12,Maryland,Darryl Morsell,Missed Layup,7,9
14:12,LSU,Emmitt Williams,Block,7,9
14:12,Maryland,None,Team Rebound,7,9
