TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Stanford,None,None,0,0
19:53,Stanford,Cormac Ryan,Turnover,0,0
19:53,Washington,Jaylen Nowell,Steal,0,0
19:45,Washington,Matisse Thybulle,Turnover,0,0
19:26,Stanford,Cormac Ryan,Jumper,0,2
19:12,Washington,Noah Dickerson,Missed Jumper,0,2
19:12,Stanford,Josh Sharma,Block,0,2
19:12,Stanford,Josh Sharma,Defensive Rebound,0,2
19:02,Stanford,KZ Okpala,Missed Three Point Jumper,0,2
19:02,Washington,Washington,Defensive Rebound,0,2
18:44,Washington,Hameir Wright,Missed Layup,0,2
18:44,Washington,Jaylen Nowell,Offensive Rebound,0,2
18:38,Washington,Noah Dickerson,Turnover,0,2
18:38,Stanford,Josh Sharma,Steal,0,2
18:22,Stanford,Josh Sharma,Dunk,0,4
17:53,Washington,Noah Dickerson,Missed Jumper,0,4
17:53,Stanford,Oscar Da Silva,Defensive Rebound,0,4
17:38,Stanford,Josh Sharma,Turnover,0,4
17:38,Washington,Matisse Thybulle,Steal,0,4
17:29,Washington,Matisse Thybulle,Missed Layup,0,4
17:29,Stanford,Josh Sharma,Block,0,4
17:29,Stanford,Josh Sharma,Defensive Rebound,0,4
17:24,Stanford,Cormac Ryan,Turnover,0,4
16:55,Washington,David Crisp,Missed Jumper,0,4
16:55,Washington,Sam Timmins,Offensive Rebound,0,4
16:51,Washington,Sam Timmins,Layup,2,4
16:39,Washington,Matisse Thybulle,Foul,2,4
16:39,Stanford,KZ Okpala,Missed Free Throw,2,4
16:39,Stanford,None,Team Rebound,2,4
16:39,Stanford,KZ Okpala,Missed Free Throw,2,4
16:39,Washington,Sam Timmins,Defensive Rebound,2,4
16:24,Washington,Jaylen Nowell,Jumper,4,4
16:11,Stanford,KZ Okpala,Jumper,4,6
15:51,Stanford,Oscar Da Silva,Foul,4,6
15:51,Stanford,None,None,4,6
15:51,Washington,David Crisp,Missed Free Throw,4,6
15:51,Washington,None,Team Rebound,4,6
15:51,Washington,David Crisp,Free Throw,5,6
15:51,Washington,David Crisp,Missed Free Throw,5,6
15:51,Stanford,Josh Sharma,Defensive Rebound,5,6
15:25,Stanford,Oscar Da Silva,Missed Three Point Jumper,5,6
15:25,Stanford,Stanford,Offensive Rebound,5,6
15:25,Washington,Dominic Green,Foul,5,6
15:09,Stanford,Marcus Sheffield,Missed Three Point Jumper,5,6
15:09,Stanford,Oscar Da Silva,Offensive Rebound,5,6
15:05,Stanford,Oscar Da Silva,Layup,5,8
14:37,Washington,Matisse Thybulle,Missed Jumper,5,8
14:37,Stanford,Bryce Wills,Defensive Rebound,5,8
14:29,Washington,Nahziah Carter,Foul,5,8
14:29,Stanford,Jaiden Delaire,Free Throw,5,9
14:29,Stanford,Jaiden Delaire,Free Throw,5,10
14:08,Washington,Jaylen Nowell,Three Point Jumper,8,10
13:48,Stanford,Marcus Sheffield,Missed Three Point Jumper,8,10
13:48,Washington,Nahziah Carter,Defensive Rebound,8,10
13:29,Washington,Sam Timmins,Layup,10,10
13:13,Washington,Jaylen Nowell,Foul,10,10
13:13,Stanford,KZ Okpala,Free Throw,10,11
13:13,Stanford,KZ Okpala,Missed Free Throw,10,11
13:13,Stanford,Josh Sharma,Offensive Rebound,10,11
12:57,Stanford,Jaiden Delaire,Missed Jumper,10,11
12:57,Stanford,Stanford,Offensive Rebound,10,11
12:42,Stanford,Cormac Ryan,Missed Three Point Jumper,10,11
12:42,Washington,Noah Dickerson,Defensive Rebound,10,11
12:31,Washington,Matisse Thybulle,Layup,12,11
12:15,Stanford,KZ Okpala,Turnover,12,11
12:15,Stanford,KZ Okpala,Foul,12,11
12:04,Stanford,Cormac Ryan,Foul,12,11
11:55,Washington,Noah Dickerson,Jumper,14,11
11:34,Stanford,Jaiden Delaire,Missed Jumper,14,11
11:34,Washington,Matisse Thybulle,Defensive Rebound,14,11
11:26,Washington,Matisse Thybulle,Layup,16,11
11:00,Washington,Nahziah Carter,Foul,16,11
11:00,Stanford,None,None,16,11
10:56,Stanford,Isaac White,Turnover,16,11
10:43,Stanford,KZ Okpala,Foul,16,11
10:43,Washington,Nahziah Carter,Missed Free Throw,16,11
10:43,Washington,None,Team Rebound,16,11
10:43,Washington,Nahziah Carter,Missed Free Throw,16,11
10:43,Stanford,Oscar Da Silva,Defensive Rebound,16,11
10:27,Stanford,Isaac White,Missed Three Point Jumper,16,11
10:27,Washington,Washington,Defensive Rebound,16,11
10:10,Washington,Jaylen Nowell,Missed Jumper,16,11
10:10,Stanford,Stanford,Defensive Rebound,16,11
10:10,Washington,Noah Dickerson,Foul,16,11
9:56,Stanford,Josh Sharma,Missed Jumper,16,11
9:56,Washington,Hameir Wright,Defensive Rebound,16,11
9:49,Washington,Hameir Wright,Missed Three Point Jumper,16,11
9:49,Stanford,Bryce Wills,Defensive Rebound,16,11
9:37,Washington,Hameir Wright,Foul,16,11
9:37,Stanford,Oscar Da Silva,Free Throw,16,12
9:37,Stanford,Oscar Da Silva,Free Throw,16,13
9:24,Washington,Noah Dickerson,Missed Layup,16,13
9:24,Stanford,Oscar Da Silva,Block,16,13
9:24,Washington,Washington,Offensive Rebound,16,13
9:19,Washington,Noah Dickerson,Turnover,16,13
8:58,Stanford,Josh Sharma,Layup,16,15
8:40,Washington,Jaylen Nowell,Layup,18,15
8:17,Stanford,Bryce Wills,Missed Jumper,18,15
8:17,Stanford,Oscar Da Silva,Offensive Rebound,18,15
8:13,Stanford,Oscar Da Silva,Layup,18,17
8:03,Washington,Jaylen Nowell,Turnover,18,17
8:03,Stanford,Cormac Ryan,Steal,18,17
7:51,Washington,Jamal Bey,Foul,18,17
7:51,Stanford,None,None,18,17
7:51,Stanford,Oscar Da Silva,Missed Free Throw,18,17
7:51,Washington,Jaylen Nowell,Defensive Rebound,18,17
7:32,Washington,Matisse Thybulle,Missed Jumper,18,17
7:32,Washington,Matisse Thybulle,Offensive Rebound,18,17
7:32,Washington,None,None,18,17
7:32,Washington,Washington,Offensive Rebound,18,17
7:24,Washington,Jamal Bey,Missed Jumper,18,17
7:24,Stanford,Josh Sharma,Defensive Rebound,18,17
7:12,Stanford,Marcus Sheffield,Turnover,18,17
7:12,Washington,David Crisp,Steal,18,17
7:05,Washington,David Crisp,Missed Layup,18,17
7:05,Stanford,Josh Sharma,Defensive Rebound,18,17
6:49,Stanford,Oscar Da Silva,Turnover,18,17
6:27,Washington,David Crisp,Missed Three Point Jumper,18,17
6:27,Stanford,Stanford,Defensive Rebound,18,17
6:27,Stanford,Josh Sharma,Foul,18,17
6:27,Washington,Noah Dickerson,Free Throw,19,17
6:27,Washington,Noah Dickerson,Free Throw,20,17
6:24,Washington,Noah Dickerson,Missed Layup,20,17
6:24,Stanford,Josh Sharma,Defensive Rebound,20,17
6:22,Washington,Noah Dickerson,Foul,20,17
