TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Auburn,None,None,0,0
19:37,Auburn,Samir Doughty,Missed Three Point Jumper,0,0
19:37,Alabama,Donta Hall,Defensive Rebound,0,0
19:10,Alabama,Tevin Mack,Turnover,0,0
19:10,Auburn,Bryce Brown,Steal,0,0
18:47,Auburn,Chuma Okeke,Jumper,2,0
18:40,Alabama,Dazon Ingram,Layup,2,2
18:24,Auburn,Anfernee McLemore,Missed Three Point Jumper,2,2
18:24,Alabama,Dazon Ingram,Defensive Rebound,2,2
18:08,Alabama,Tevin Mack,Layup,2,4
17:55,Auburn,Samir Doughty,Turnover,2,4
17:55,Alabama,Kira Lewis Jr.,Steal,2,4
17:50,Alabama,Kira Lewis Jr.,Layup,2,6
17:31,Alabama,Dazon Ingram,Foul,2,6
17:29,Auburn,Chuma Okeke,Turnover,2,6
17:29,Alabama,John Petty,Steal,2,6
17:03,Alabama,John Petty,Three Point Jumper,2,9
16:40,Auburn,Bryce Brown,Missed Three Point Jumper,2,9
16:39,Alabama,Kira Lewis Jr.,Defensive Rebound,2,9
16:01,Alabama,Tevin Mack,Three Point Jumper,2,12
15:59,Auburn,Jared Harper,Three Point Jumper,5,12
15:50,Alabama,Tevin Mack,Missed Three Point Jumper,5,12
15:50,Auburn,Samir Doughty,Defensive Rebound,5,12
15:49,Auburn,Chuma Okeke,Layup,7,12
15:40,Alabama,Donta Hall,Missed Jumper,7,12
15:40,Auburn,Chuma Okeke,Defensive Rebound,7,12
15:22,Auburn,Bryce Brown,Missed Three Point Jumper,7,12
15:21,Alabama,Alabama,Defensive Rebound,7,12
15:20,Alabama,None,None,7,12
14:53,Alabama,Dazon Ingram,Layup,7,14
14:29,Alabama,John Petty,Foul,7,14
14:26,Auburn,Horace Spencer,Layup,9,14
13:55,Alabama,Tevin Mack,Missed Three Point Jumper,9,14
13:55,Auburn,Jared Harper,Defensive Rebound,9,14
13:39,Auburn,Malik Dunbar,Missed Jumper,9,14
13:39,Alabama,John Petty,Defensive Rebound,9,14
13:28,Alabama,Herbert Jones,Dunk,9,16
13:22,Auburn,Malik Dunbar,Missed Three Point Jumper,9,16
13:22,Auburn,Chuma Okeke,Offensive Rebound,9,16
13:16,Auburn,Bryce Brown,Missed Three Point Jumper,9,16
13:16,Alabama,John Petty,Defensive Rebound,9,16
13:01,Alabama,Kira Lewis Jr.,Three Point Jumper,9,19
12:39,Auburn,Bryce Brown,Missed Three Point Jumper,9,19
12:39,Alabama,Daniel Giddens,Defensive Rebound,9,19
12:30,Alabama,Dazon Ingram,Turnover,9,19
12:20,Auburn,Chuma Okeke,Turnover,9,19
11:57,Alabama,Herbert Jones,Missed Layup,9,19
11:57,Alabama,Daniel Giddens,Offensive Rebound,9,19
11:51,Alabama,Daniel Giddens,Missed Dunk,9,19
11:51,Alabama,John Petty,Offensive Rebound,9,19
11:51,Alabama,John Petty,Missed Dunk,9,19
11:51,Auburn,Auburn,Defensive Rebound,9,19
11:50,Alabama,None,None,9,19
11:26,Auburn,Bryce Brown,Turnover,9,19
11:26,Alabama,Herbert Jones,Steal,9,19
11:19,Alabama,John Petty,Missed Three Point Jumper,9,19
11:19,Alabama,Riley Norris,Offensive Rebound,9,19
10:54,Alabama,Daniel Giddens,Turnover,9,19
10:54,Auburn,Samir Doughty,Steal,9,19
10:48,Alabama,Daniel Giddens,Foul,9,19
10:37,Alabama,Herbert Jones,Foul,9,19
10:23,Auburn,Anfernee McLemore,Three Point Jumper,12,19
10:07,Auburn,J'Von McCormick,Foul,12,19
9:52,Alabama,John Petty,Missed Three Point Jumper,12,19
9:52,Auburn,Auburn,Defensive Rebound,12,19
9:31,Auburn,J'Von McCormick,Jumper,14,19
9:01,Alabama,Riley Norris,Jumper,14,21
8:48,Auburn,Anfernee McLemore,Missed Jumper,14,21
8:48,Alabama,Donta Hall,Defensive Rebound,14,21
8:27,Alabama,Donta Hall,Dunk,14,23
8:10,Auburn,Jared Harper,Missed Jumper,14,23
8:10,Alabama,Herbert Jones,Defensive Rebound,14,23
7:43,Alabama,John Petty,Turnover,14,23
7:43,Auburn,Jared Harper,Steal,14,23
7:38,Auburn,Samir Doughty,Missed Layup,14,23
7:38,Auburn,Samir Doughty,Offensive Rebound,14,23
7:31,Auburn,Samir Doughty,Missed Layup,14,23
7:31,Auburn,Samir Doughty,Offensive Rebound,14,23
7:29,Auburn,Samir Doughty,Layup,16,23
7:11,Alabama,Riley Norris,Missed Three Point Jumper,16,23
7:11,Alabama,John Petty,Offensive Rebound,16,23
7:04,Alabama,Riley Norris,Three Point Jumper,16,26
6:41,Auburn,Jared Harper,Turnover,16,26
6:41,Alabama,None,None,16,26
6:20,Auburn,Bryce Brown,Foul,16,26
6:20,Alabama,Dazon Ingram,Free Throw,16,27
6:20,Alabama,Dazon Ingram,Missed Free Throw,16,27
6:20,Auburn,Chuma Okeke,Defensive Rebound,16,27
6:13,Auburn,Bryce Brown,Missed Three Point Jumper,16,27
6:13,Auburn,Horace Spencer,Offensive Rebound,16,27
5:59,Auburn,Horace Spencer,Missed Jumper,16,27
5:59,Alabama,Donta Hall,Defensive Rebound,16,27
5:49,Alabama,Riley Norris,Missed Three Point Jumper,16,27
5:49,Auburn,Samir Doughty,Defensive Rebound,16,27
5:42,Auburn,Bryce Brown,Missed Three Point Jumper,16,27
5:42,Auburn,Chuma Okeke,Offensive Rebound,16,27
5:35,Auburn,Chuma Okeke,Missed Jumper,16,27
5:35,Alabama,Donta Hall,Defensive Rebound,16,27
5:25,Alabama,Tevin Mack,Jumper,16,29
5:18,Auburn,Samir Doughty,Foul,16,29
5:18,Alabama,Donta Hall,Foul,16,29
5:18,Auburn,Samir Doughty,Foul,16,29
5:18,Alabama,Donta Hall,Foul,16,29
5:11,Auburn,Bryce Brown,Three Point Jumper,19,29
4:51,Alabama,Kira Lewis Jr.,Missed Three Point Jumper,19,29
4:51,Auburn,Chuma Okeke,Defensive Rebound,19,29
4:41,Auburn,Horace Spencer,Missed Jumper,19,29
4:41,Alabama,Donta Hall,Defensive Rebound,19,29
