TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:49,Ohio State,Luther Muhammad,Foul,0,0
19:25,Northwestern,Vic Law,Jumper,0,2
18:52,Ohio State,Andre Wesson,Missed Three Point Jumper,0,2
18:51,Northwestern,Northwestern,Defensive Rebound,0,2
18:34,Northwestern,Dererk Pardon,Offensive Rebound,0,2
18:34,Northwestern,Dererk Pardon,Layup,0,4
18:17,Ohio State,Andre Wesson,Missed Layup,0,4
18:17,Northwestern,Miller Kopp,Block,0,4
18:15,Ohio State,Ohio State,Offensive Rebound,0,4
18:09,Ohio State,Keyshawn Woods,Missed Jumper,0,4
18:06,Northwestern,Ryan Taylor,Defensive Rebound,0,4
18:03,Northwestern,Miller Kopp,Missed Three Point Jumper,0,4
17:59,Ohio State,Keyshawn Woods,Defensive Rebound,0,4
17:42,Ohio State,Luther Muhammad,Missed Jumper,0,4
17:37,Ohio State,Ohio State,Offensive Rebound,0,4
17:29,Ohio State,Keyshawn Woods,Missed Jumper,0,4
17:26,Northwestern,Miller Kopp,Defensive Rebound,0,4
17:10,Northwestern,Ryan Taylor,Missed Jumper,0,4
17:07,Ohio State,Luther Muhammad,Defensive Rebound,0,4
16:46,Ohio State,Justin Ahrens,Missed Layup,0,4
16:43,Ohio State,Kyle Young,Offensive Rebound,0,4
16:42,Ohio State,Kyle Young,Missed Layup,0,4
16:39,Northwestern,Anthony Gaines,Defensive Rebound,0,4
16:38,Ohio State,Justin Ahrens,Foul,0,4
16:38,Northwestern,Anthony Gaines,Free Throw,0,5
16:38,Northwestern,Anthony Gaines,Free Throw,0,6
16:15,Northwestern,Ryan Taylor,Foul,0,6
16:15,Ohio State,Andre Wesson,Free Throw,1,6
16:15,Ohio State,Andre Wesson,Missed Free Throw,1,6
16:15,Ohio State,None,Team Rebound,1,6
16:15,Ohio State,Andre Wesson,Free Throw,2,6
15:51,Northwestern,Miller Kopp,Missed Jumper,2,6
15:51,Ohio State,Ohio State,Defensive Rebound,2,6
15:51,Northwestern,Dererk Pardon,Foul,2,6
15:51,Northwestern,None,None,2,6
15:45,Northwestern,Miller Kopp,Foul,2,6
15:39,Ohio State,Kyle Young,Turnover,2,6
15:39,Northwestern,Vic Law,Steal,2,6
15:35,Northwestern,Vic Law,Layup,2,8
15:12,Ohio State,Luther Muhammad,Turnover,2,8
14:48,Northwestern,Miller Kopp,Missed Three Point Jumper,2,8
14:46,Northwestern,Dererk Pardon,Offensive Rebound,2,8
14:32,Northwestern,Dererk Pardon,Missed Layup,2,8
14:29,Northwestern,Dererk Pardon,Offensive Rebound,2,8
14:29,Northwestern,Dererk Pardon,Turnover,2,8
14:29,Ohio State,Kyle Young,Steal,2,8
14:09,Ohio State,Justin Ahrens,Missed Three Point Jumper,2,8
14:08,Ohio State,Ohio State,Offensive Rebound,2,8
14:08,Northwestern,Barret Benson,Foul,2,8
13:53,Ohio State,Jaedon LeDee,Turnover,2,8
13:39,Northwestern,Barret Benson,Missed Dunk,2,8
13:38,Ohio State,Ohio State,Defensive Rebound,2,8
13:07,Ohio State,C.J. Jackson,Missed Jumper,2,8
13:06,Northwestern,Northwestern,Defensive Rebound,2,8
12:44,Northwestern,Anthony Gaines,Layup,2,10
12:44,Ohio State,Andre Wesson,Foul,2,10
12:30,Northwestern,Anthony Gaines,Foul,2,10
12:27,Ohio State,Duane Washington Jr.,Missed Three Point Jumper,2,10
12:25,Ohio State,Jaedon LeDee,Offensive Rebound,2,10
12:24,Ohio State,Jaedon LeDee,Missed Layup,2,10
12:22,Ohio State,Jaedon LeDee,Offensive Rebound,2,10
12:20,Ohio State,C.J. Jackson,Missed Three Point Jumper,2,10
12:16,Northwestern,Pete Nance,Defensive Rebound,2,10
12:12,Northwestern,Pete Nance,Turnover,2,10
11:54,Northwestern,None,None,2,10
11:46,Ohio State,Duane Washington Jr.,Missed Jumper,2,10
11:43,Ohio State,Andre Wesson,Offensive Rebound,2,10
11:28,Ohio State,Andre Wesson,Turnover,2,10
11:28,Northwestern,Ryan Greer,Steal,2,10
11:20,Ohio State,Duane Washington Jr.,Foul,2,10
11:20,Northwestern,Ryan Greer,Free Throw,2,11
11:20,Northwestern,Ryan Greer,Free Throw,2,12
11:09,Ohio State,C.J. Jackson,Layup,4,12
10:42,Ohio State,Justin Ahrens,Defensive Rebound,4,12
10:33,Ohio State,Kyle Young,Turnover,4,12
10:33,Northwestern,Dererk Pardon,Steal,4,12
10:28,Northwestern,Ryan Greer,Missed Layup,4,12
10:26,Ohio State,Justin Ahrens,Defensive Rebound,4,12
10:19,Ohio State,C.J. Jackson,Missed Three Point Jumper,4,12
10:16,Ohio State,Ohio State,Offensive Rebound,4,12
10:01,Northwestern,Ryan Taylor,Foul,4,12
10:01,Ohio State,Duane Washington Jr.,Free Throw,5,12
10:01,Ohio State,Duane Washington Jr.,Free Throw,6,12
9:33,Northwestern,A.J. Turner,Missed Three Point Jumper,6,12
9:30,Ohio State,Duane Washington Jr.,Defensive Rebound,6,12
9:18,Northwestern,Dererk Pardon,Foul,6,12
9:18,Ohio State,Keyshawn Woods,Free Throw,7,12
9:18,Ohio State,Keyshawn Woods,Missed Free Throw,7,12
9:18,Northwestern,Barret Benson,Defensive Rebound,7,12
8:49,Northwestern,Anthony Gaines,Missed Jumper,7,12
8:49,Ohio State,Kyle Young,Block,7,12
8:44,Northwestern,Anthony Gaines,Offensive Rebound,7,12
8:43,Northwestern,Anthony Gaines,Layup,7,14
8:29,Northwestern,Barret Benson,Foul,7,14
8:29,Ohio State,Kyle Young,Missed Free Throw,7,14
8:29,Northwestern,Barret Benson,Defensive Rebound,7,14
8:01,Northwestern,Anthony Gaines,Missed Layup,7,14
7:58,Ohio State,Keyshawn Woods,Defensive Rebound,7,14
7:54,Ohio State,Justin Ahrens,Three Point Jumper,10,14
7:34,Northwestern,A.J. Turner,Three Point Jumper,10,17
7:14,Ohio State,Kyle Young,Foul,10,17
7:14,Ohio State,Kyle Young,Turnover,10,17
7:14,Northwestern,None,None,10,17
7:02,Northwestern,Anthony Gaines,Missed Three Point Jumper,10,17
7:00,Ohio State,Justin Ahrens,Defensive Rebound,10,17
6:40,Ohio State,Luther Muhammad,Missed Three Point Jumper,10,17
6:37,Northwestern,Anthony Gaines,Defensive Rebound,10,17
6:33,Northwestern,Pete Nance,Missed Three Point Jumper,10,17
6:30,Ohio State,Justin Ahrens,Defensive Rebound,10,17
6:22,Ohio State,Justin Ahrens,Missed Jumper,10,17
6:19,Northwestern,Vic Law,Defensive Rebound,10,17
6:12,Northwestern,Vic Law,Layup,10,19
5:40,Ohio State,Andre Wesson,Missed Three Point Jumper,10,19
5:40,Northwestern,Northwestern,Defensive Rebound,10,19
5:27,Northwestern,Anthony Gaines,Foul,10,19
5:27,Northwestern,Anthony Gaines,Turnover,10,19
5:08,Ohio State,Ohio State,Offensive Rebound,10,19
4:58,Northwestern,Barret Benson,Block,10,19
4:54,Northwestern,Aaron Falzon,Defensive Rebound,10,19
4:36,Northwestern,Vic Law,Jumper,10,21
4:31,Ohio State,None,None,10,21
4:26,Northwestern,Miller Kopp,Foul,10,21
4:26,Ohio State,Keyshawn Woods,Missed Free Throw,10,21
4:26,Ohio State,None,Team Rebound,10,21
4:26,Ohio State,Keyshawn Woods,Free Throw,11,21
4:00,Northwestern,Barret Benson,Dunk,11,23
3:41,Ohio State,Keyshawn Woods,Jumper,13,23
3:30,Ohio State,Keyshawn Woods,Foul,13,23
3:30,Northwestern,None,None,13,23
3:26,Northwestern,Aaron Falzon,Missed Three Point Jumper,13,23
3:23,Ohio State,Ohio State,Defensive Rebound,13,23
3:08,Ohio State,Luther Muhammad,Missed Three Point Jumper,13,23
3:06,Northwestern,Aaron Falzon,Defensive Rebound,13,23
