TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:44,Wagner,Romone Saunders,Three Point Jumper,3,0
19:19,Fairleigh Dickinson,Kaleb Bishop,Turnover,3,0
18:54,Wagner,Tyrone Nesby IV,Missed Three Point Jumper,3,0
18:54,Wagner,Elijah Davis,Offensive Rebound,3,0
18:26,Wagner,Elijah Davis,Missed Three Point Jumper,3,0
18:26,Wagner,AJ Sumbry,Offensive Rebound,3,0
18:14,Wagner,Tyrone Nesby IV,Missed Three Point Jumper,3,0
18:14,Wagner,Elijah Davis,Offensive Rebound,3,0
18:02,Wagner,Elijah Davis,Missed Layup,3,0
18:02,Wagner,Romone Saunders,Offensive Rebound,3,0
17:32,Wagner,Romone Saunders,Missed Jumper,3,0
17:32,Fairleigh Dickinson,Elyjah Williams,Defensive Rebound,3,0
17:13,Fairleigh Dickinson,Jahlil Jenkins,Missed Three Point Jumper,3,0
17:13,Wagner,AJ Sumbry,Defensive Rebound,3,0
16:39,Fairleigh Dickinson,Elyjah Williams,Foul,3,0
16:22,Wagner,Tyrone Nesby IV,Missed Three Point Jumper,3,0
16:22,Wagner,AJ Sumbry,Offensive Rebound,3,0
16:15,Wagner,Elijah Davis,Three Point Jumper,6,0
15:57,Fairleigh Dickinson,Darnell Edge,Jumper,6,2
15:30,Wagner,Elijah Davis,Turnover,6,2
15:30,Fairleigh Dickinson,None,None,6,2
15:02,Fairleigh Dickinson,Darnell Edge,Three Point Jumper,6,5
14:33,Wagner,Elijah Davis,Missed Three Point Jumper,6,5
14:33,Wagner,Romone Saunders,Offensive Rebound,6,5
14:12,Wagner,Elijah Davis,Layup,8,5
13:44,Wagner,Romone Saunders,Foul,8,5
13:40,Fairleigh Dickinson,Brandon Powell,Missed Three Point Jumper,8,5
13:40,Fairleigh Dickinson,Elyjah Williams,Offensive Rebound,8,5
13:36,Fairleigh Dickinson,Elyjah Williams,Layup,8,7
13:13,Wagner,Tyler Plummer,Turnover,8,7
12:43,Fairleigh Dickinson,made Layup.,Layup,8,9
12:10,Wagner,Chase Freeman,Turnover,8,9
12:09,Fairleigh Dickinson,Jahlil Jenkins,Steal,8,9
12:07,Fairleigh Dickinson,Darnell Edge,Three Point Jumper,8,12
11:52,Wagner,Elijah Davis,Turnover,8,12
11:52,Fairleigh Dickinson,Darnell Edge,Steal,8,12
11:52,Fairleigh Dickinson,None,None,8,12
11:37,Wagner,Tyler Plummer,Foul,8,12
11:35,Fairleigh Dickinson,Darnell Edge,Missed Three Point Jumper,8,12
11:35,Wagner,Nigel Jackson,Defensive Rebound,8,12
11:04,Wagner,Elijah Davis,Layup,10,12
10:42,Fairleigh Dickinson,Brandon Powell,Missed Layup,10,12
10:42,Wagner,Devin Liggeons,Defensive Rebound,10,12
10:40,Wagner,Devin Liggeons,Turnover,10,12
10:24,Fairleigh Dickinson,Darnell Edge,Turnover,10,12
10:15,Wagner,Nigel Jackson,Missed Layup,10,12
10:15,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,10,12
10:08,Fairleigh Dickinson,Kaleb Bishop,Three Point Jumper,10,15
9:44,Wagner,Devin Liggeons,Missed Three Point Jumper,10,15
9:44,Fairleigh Dickinson,Darnell Edge,Defensive Rebound,10,15
9:42,Fairleigh Dickinson,Kaleb Bishop,Dunk,10,17
9:42,Wagner,None,None,10,17
9:39,Wagner,Romone Saunders,Turnover,10,17
9:38,Fairleigh Dickinson,Darnell Edge,Steal,10,17
9:22,Fairleigh Dickinson,Kaleb Bishop,Missed Three Point Jumper,10,17
9:22,Wagner,Romone Saunders,Defensive Rebound,10,17
8:57,Wagner,Chase Freeman,Turnover,10,17
8:56,Fairleigh Dickinson,Darnell Edge,Steal,10,17
8:53,Wagner,Chase Freeman,Foul,10,17
8:53,Fairleigh Dickinson,Jahlil Jenkins,Free Throw,10,18
8:53,Fairleigh Dickinson,Jahlil Jenkins,Free Throw,10,19
8:40,Fairleigh Dickinson,Kaleb Bishop,Foul,10,19
8:18,Wagner,Elijah Davis,Missed Layup,10,19
8:18,Fairleigh Dickinson,Elyjah Williams,Defensive Rebound,10,19
8:11,Fairleigh Dickinson,Jahlil Jenkins,Turnover,10,19
8:11,Wagner,Romone Saunders,Steal,10,19
7:42,Wagner,Romone Saunders,Turnover,10,19
7:40,Fairleigh Dickinson,Brandon Powell,Steal,10,19
7:37,Fairleigh Dickinson,Brandon Powell,Missed Layup,10,19
7:37,Fairleigh Dickinson,Fairleigh Dickinson,Offensive Rebound,10,19
7:36,Fairleigh Dickinson,None,None,10,19
7:18,Wagner,Tyrone Nesby IV,Foul,10,19
7:04,Fairleigh Dickinson,Brandon Powell,Three Point Jumper,10,22
6:35,Wagner,Romone Saunders,Missed Three Point Jumper,10,22
6:35,Wagner,AJ Sumbry,Offensive Rebound,10,22
6:31,Wagner,AJ Sumbry,Missed Jumper,10,22
6:31,Fairleigh Dickinson,Defensive Rebound.,Defensive Rebound,10,22
6:28,Wagner,Tyrone Nesby IV,Foul,10,22
6:18,Fairleigh Dickinson,Jahlil Jenkins,Layup,10,24
5:46,Wagner,Tyrone Nesby IV,Missed Three Point Jumper,10,24
5:46,Wagner,Tyler Plummer,Offensive Rebound,10,24
5:11,Wagner,Lonnie Rivera,Missed Jumper,10,24
5:11,Fairleigh Dickinson,Elyjah Williams,Defensive Rebound,10,24
4:59,Fairleigh Dickinson,Elyjah Williams,Three Point Jumper,10,27
4:57,Wagner,AJ Sumbry,Foul,10,27
4:57,Wagner,Wagner ,Turnover,10,27
4:45,Fairleigh Dickinson,Jahlil Jenkins,Missed Three Point Jumper,10,27
4:45,Fairleigh Dickinson,Elyjah Williams,Offensive Rebound,10,27
4:28,Fairleigh Dickinson,Kaleb Bishop,Missed Jumper,10,27
4:28,Wagner,Romone Saunders,Defensive Rebound,10,27
4:20,Wagner,Chase Freeman,Layup,12,27
4:18,Fairleigh Dickinson,None,None,12,27
4:18,Fairleigh Dickinson,None,None,12,27
3:50,Wagner,Romone Saunders,Foul,12,27
3:50,Fairleigh Dickinson,made Free Throw.,Free Throw,12,28
3:50,Fairleigh Dickinson,made Free Throw.,Free Throw,12,29
3:26,Wagner,AJ Sumbry,Layup,14,29
2:57,Wagner,Jeff Coulanges,Foul,14,29
2:57,Fairleigh Dickinson,Elyjah Williams,Free Throw,14,30
2:57,Fairleigh Dickinson,Elyjah Williams,Free Throw,14,31
2:46,Wagner,AJ Sumbry,Missed Layup,14,31
2:46,Wagner,Nigel Jackson,Offensive Rebound,14,31
2:44,Fairleigh Dickinson, ,Foul,14,31
2:30,Wagner,Nigel Jackson,Missed Three Point Jumper,14,31
2:30,Wagner,Romone Saunders,Offensive Rebound,14,31
2:24,Wagner,Romone Saunders,Missed Layup,14,31
2:24,Fairleigh Dickinson,Fairleigh Dickinson,Defensive Rebound,14,31
1:54,Fairleigh Dickinson,Elyjah Williams,Three Point Jumper,14,34
1:34,Wagner,Romone Saunders,Missed Jumper,14,34
1:34,Fairleigh Dickinson,Darnell Edge,Defensive Rebound,14,34
1:23,Fairleigh Dickinson,made Jumper. Assisted by Darnell Edge.,Jumper,14,36
1:10,Wagner,Nigel Jackson,Turnover,14,36
1:08,Fairleigh Dickinson,Darnell Edge,Steal,14,36
1:07,Fairleigh Dickinson,Darnell Edge,Layup,14,38
1:07,Wagner,Nigel Jackson,Foul,14,38
1:07,Fairleigh Dickinson,Darnell Edge,Free Throw,14,39
0:58,Wagner,Nigel Jackson,Missed Three Point Jumper,14,39
0:58,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,14,39
0:36,Wagner,Nigel Jackson,Foul,14,39
0:36,Fairleigh Dickinson,Elyjah Williams,Free Throw,14,40
0:36,Fairleigh Dickinson,Elyjah Williams,Free Throw,14,41
0:16,Wagner,Chase Freeman,Turnover,14,41
0:15,Fairleigh Dickinson,Darnell Edge,Steal,14,41
0:13,Fairleigh Dickinson,Darnell Edge,Jumper,14,43
0:00,Fairleigh Dickinson,None,None,14,43
19:54,Wagner,Elijah Davis,Three Point Jumper,17,43
19:29,Fairleigh Dickinson,Kaleb Bishop,Layup,17,45
19:18,Wagner,AJ Sumbry,Missed Dunk,17,45
19:18,Fairleigh Dickinson,Kaleb Bishop,Block,17,45
19:16,Wagner,Elijah Davis,Offensive Rebound,17,45
19:14,Wagner,Elijah Davis,Layup,19,45
18:45,Fairleigh Dickinson,Darnell Edge,Turnover,19,45
18:44,Wagner,AJ Sumbry,Steal,19,45
18:43,Wagner,AJ Sumbry,Turnover,19,45
18:42,Fairleigh Dickinson,Darnell Edge,Steal,19,45
18:41,Wagner,AJ Sumbry,Foul,19,45
18:41,Fairleigh Dickinson,made Free Throw.,Free Throw,19,46
18:41,Fairleigh Dickinson,made Free Throw.,Free Throw,19,47
18:27,Wagner,AJ Sumbry,Missed Layup,19,47
18:27,Fairleigh Dickinson,Kaleb Bishop,Block,19,47
18:27,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,19,47
17:59,Fairleigh Dickinson,Jahlil Jenkins,Missed Three Point Jumper,19,47
17:59,Fairleigh Dickinson,Offensive Rebound.,Offensive Rebound,19,47
17:29,Wagner,AJ Sumbry,Foul,19,47
17:20,Fairleigh Dickinson,Brandon Powell,Missed Three Point Jumper,19,47
17:20,Wagner,None,Team Rebound,19,47
17:11,Wagner,Tyrone Nesby IV,Missed Three Point Jumper,19,47
17:11,Fairleigh Dickinson,Jahlil Jenkins,Defensive Rebound,19,47
17:05,Fairleigh Dickinson,made Dunk. Assisted by Jahlil Jenkins.,Dunk,19,49
16:45,Wagner,Elijah Davis,Missed Jumper,19,49
16:45,Wagner,Devin Liggeons,Offensive Rebound,19,49
16:41,Wagner,Devin Liggeons,Missed Layup,19,49
16:41,Fairleigh Dickinson,Kaleb Bishop,Block,19,49
16:40,Wagner,Nigel Jackson,Offensive Rebound,19,49
16:38,Wagner,Nigel Jackson,Layup,21,49
16:13,Fairleigh Dickinson,Darnell Edge,Missed Jumper,21,49
16:13,Wagner,Nigel Jackson,Defensive Rebound,21,49
16:04,Wagner,Devin Liggeons,Missed Three Point Jumper,21,49
16:04,Fairleigh Dickinson,Brandon Powell,Defensive Rebound,21,49
15:47,Fairleigh Dickinson,None,None,21,49
15:46,Fairleigh Dickinson,Fairleigh Dickinson ,Turnover,21,49
15:39,Wagner,Elijah Davis,Foul,21,49
15:39,Wagner,Elijah Davis,Turnover,21,49
15:19,Fairleigh Dickinson,missed Jumper.,Missed Jumper,21,49
15:19,Fairleigh Dickinson,Kaleb Bishop,Offensive Rebound,21,49
15:18,Wagner,Nigel Jackson,Foul,21,49
14:57,Fairleigh Dickinson,Turnover.,Turnover,21,49
14:55,Wagner,Romone Saunders,Steal,21,49
14:53,Fairleigh Dickinson,Darnell Edge,Foul,21,49
14:53,Wagner,Romone Saunders,Free Throw,22,49
14:53,Wagner,Romone Saunders,Missed Free Throw,22,49
14:53,Fairleigh Dickinson,Fairleigh Dickinson,Defensive Rebound,22,49
14:37,Wagner,AJ Sumbry,Foul,22,49
14:37,Fairleigh Dickinson,missed Free Throw.,Missed Free Throw,22,49
14:37,Fairleigh Dickinson,None,Team Rebound,22,49
14:37,Fairleigh Dickinson,made Free Throw.,Free Throw,22,50
14:20,Wagner,Romone Saunders,Missed Three Point Jumper,22,50
14:20,Fairleigh Dickinson,Darnell Edge,Defensive Rebound,22,50
14:18,Wagner,Romone Saunders,Foul,22,50
14:06,Fairleigh Dickinson,Jahlil Jenkins,Missed Layup,22,50
14:06,Fairleigh Dickinson,Kaleb Bishop,Offensive Rebound,22,50
14:02,Fairleigh Dickinson,None,None,22,52
13:56,Wagner,Romone Saunders,Turnover,22,52
13:55,Fairleigh Dickinson,Darnell Edge,Steal,22,52
13:52,Wagner,Tyrone Nesby IV,Foul,22,52
13:52,Fairleigh Dickinson,Kaleb Bishop,Free Throw,22,53
13:52,Fairleigh Dickinson,Kaleb Bishop,Free Throw,22,54
13:42,Fairleigh Dickinson,Darnell Edge,Foul,22,54
13:36,Fairleigh Dickinson,Brandon Powell,Foul,22,54
13:36,Wagner,Devin Liggeons,Missed Free Throw,22,54
13:36,Wagner,None,Team Rebound,22,54
13:36,Wagner,Devin Liggeons,Free Throw,23,54
13:31,Fairleigh Dickinson,Darnell Edge,Turnover,23,54
13:24,Wagner,Romone Saunders,Turnover,23,54
13:22,Fairleigh Dickinson,Brandon Powell,Turnover,23,54
13:20,Wagner,Tyrone Nesby IV,Steal,23,54
13:19,Wagner,Elijah Davis,Missed Layup,23,54
13:19,Wagner,Wagner,Offensive Rebound,23,54
13:19,Wagner,Elijah Davis,Foul,23,54
13:19,Wagner,Elijah Davis,Foul,23,54
13:19,Fairleigh Dickinson,Darnell Edge,Free Throw,23,55
13:19,Fairleigh Dickinson,Darnell Edge,Free Throw,23,56
13:18,Wagner,Romone Saunders,Missed Three Point Jumper,23,56
13:18,Fairleigh Dickinson,Defensive Rebound.,Defensive Rebound,23,56
12:58,Fairleigh Dickinson,Tyler Jones,Missed Layup,23,56
12:58,Wagner,Tyrone Nesby IV,Block,23,56
12:58,Fairleigh Dickinson,Fairleigh Dickinson,Offensive Rebound,23,56
12:50,Fairleigh Dickinson,Elyjah Williams,Turnover,23,56
12:49,Wagner,Tyrone Nesby IV,Steal,23,56
12:46,Fairleigh Dickinson,Tyler Jones,Foul,23,56
12:42,Wagner,Elijah Davis,Three Point Jumper,26,56
12:28,Fairleigh Dickinson,made Dunk. Assisted by Tyler Jones.,Dunk,26,58
12:02,Wagner,Nigel Jackson,Missed Three Point Jumper,26,58
12:02,Fairleigh Dickinson,Brandon Powell,Defensive Rebound,26,58
11:39,Fairleigh Dickinson,Brandon Powell,Missed Three Point Jumper,26,58
11:39,Wagner,Devin Liggeons,Defensive Rebound,26,58
11:32,Wagner,Elijah Davis,Missed Three Point Jumper,26,58
11:32,Fairleigh Dickinson,Kaleb Bishop,Defensive Rebound,26,58
11:13,Fairleigh Dickinson,Kaleb Bishop,Turnover,26,58
11:12,Wagner,Tyrone Nesby IV,Steal,26,58
11:08,Fairleigh Dickinson,Kaleb Bishop,Foul,26,58
11:08,Fairleigh Dickinson,None,None,26,58
11:02,Wagner,Nigel Jackson,Turnover,26,58
11:01,Fairleigh Dickinson,Tyler Jones,Steal,26,58
10:59,Fairleigh Dickinson,Tyler Jones,Turnover,26,58
10:59,Wagner,Nigel Jackson,Steal,26,58
10:59,Fairleigh Dickinson,Tyler Jones,Foul,26,58
10:49,Wagner,Devin Liggeons,Turnover,26,58
10:48,Fairleigh Dickinson,Steal.,Steal,26,58
10:41,Fairleigh Dickinson,Tyler Jones,Turnover,26,58
10:29,Wagner,Elijah Davis,Missed Layup,26,58
10:29,Fairleigh Dickinson,Kaleb Bishop,Block,26,58
10:27,Wagner,Romone Saunders,Offensive Rebound,26,58
10:25,Wagner,Romone Saunders,Turnover,26,58
10:12,Fairleigh Dickinson, ,Foul,26,58
10:12,Fairleigh Dickinson,Turnover.,Turnover,26,58
10:02,Wagner,Romone Saunders,Jumper,28,58
9:40,Fairleigh Dickinson,Darnell Edge,Missed Three Point Jumper,28,58
9:40,Wagner,Romone Saunders,Defensive Rebound,28,58
9:32,Wagner,Romone Saunders,Missed Jumper,28,58
9:32,Fairleigh Dickinson,Fairleigh Dickinson,Defensive Rebound,28,58
9:19,Fairleigh Dickinson,made Layup. Assisted by Jahlil Jenkins.,Layup,28,60
9:11,Wagner,Elijah Davis,Missed Three Point Jumper,28,60
9:11,Fairleigh Dickinson,Defensive Rebound.,Defensive Rebound,28,60
8:55,Fairleigh Dickinson,made Dunk.,Dunk,28,62
8:52,Wagner,None,None,28,62
8:41,Fairleigh Dickinson, ,Foul,28,62
8:41,Wagner,Devin Liggeons,Free Throw,29,62
8:41,Wagner,Devin Liggeons,Free Throw,30,62
8:16,Fairleigh Dickinson,made Dunk. Assisted by Jahlil Jenkins.,Dunk,30,64
8:16,Wagner,Devin Liggeons,Foul,30,64
8:16,Fairleigh Dickinson,made Free Throw.,Free Throw,30,65
8:09,Wagner,Elijah Davis,Missed Three Point Jumper,30,65
8:09,Wagner,Wagner,Offensive Rebound,30,65
8:00,Wagner,Romone Saunders,Missed Layup,30,65
8:00,Wagner,Elijah Davis,Offensive Rebound,30,65
7:57,Wagner,Elijah Davis,Layup,32,65
7:45,Wagner,Tyrone Nesby IV,Foul,32,65
7:45,Fairleigh Dickinson,None,None,32,65
7:45,Fairleigh Dickinson,Jahlil Jenkins,Free Throw,32,66
7:45,Fairleigh Dickinson,Jahlil Jenkins,Free Throw,32,67
7:35,Wagner,Elijah Davis,Missed Jumper,32,67
7:35,Wagner,Elijah Davis,Offensive Rebound,32,67
7:29,Wagner,Devin Liggeons,Missed Layup,32,67
7:29,Fairleigh Dickinson,Elyjah Williams,Defensive Rebound,32,67
7:10,Fairleigh Dickinson,Jahlil Jenkins,Missed Layup,32,67
