TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:48,Lehigh,Pat Andree,Three Point Jumper,0,3
19:31,Army,Alex King,Missed Three Point Jumper,0,3
19:31,Lehigh,Kyle Leufroy,Defensive Rebound,0,3
19:24,Lehigh,Pat Andree,Missed Three Point Jumper,0,3
19:24,Army,Tommy Funk,Defensive Rebound,0,3
18:59,Army,Tommy Funk,Missed Three Point Jumper,0,3
18:59,Lehigh,Lance Tejada,Defensive Rebound,0,3
18:45,Lehigh,James Karnik,Layup,0,5
18:12,Lehigh,Lance Tejada,Foul,0,5
18:12,Army,Jordan Fox,Free Throw,1,5
18:12,Army,Jordan Fox,Missed Free Throw,1,5
18:12,Army,None,Team Rebound,1,5
18:12,Army,Jordan Fox,Free Throw,2,5
17:59,Lehigh,Lance Tejada,Missed Three Point Jumper,2,5
17:59,Army,Tommy Funk,Defensive Rebound,2,5
17:50,Army,Alex King,Turnover,2,5
17:37,Lehigh,Pat Andree,Missed Three Point Jumper,2,5
17:37,Army,Tommy Funk,Defensive Rebound,2,5
17:30,Army,Alex King,Layup,4,5
17:12,Lehigh,James Karnik,Layup,4,7
16:47,Army,Matt Wilson,Layup,6,7
16:33,Lehigh,James Karnik,Turnover,6,7
16:32,Army,Matt Wilson,Steal,6,7
16:21,Army,Matt Wilson,Turnover,6,7
16:09,Lehigh,Lance Tejada,Missed Layup,6,7
16:09,Army,Lonnie Grayson,Defensive Rebound,6,7
16:02,Army,Lonnie Grayson,Three Point Jumper,9,7
15:37,Lehigh,Lance Tejada,Jumper,9,9
15:21,Army,Matt Wilson,Jumper,11,9
15:01,Lehigh,James Karnik,Missed Layup,11,9
15:01,Army,John Emezie,Block,11,9
15:01,Lehigh,Lehigh,Offensive Rebound,11,9
15:00,Lehigh,None,None,11,9
14:48,Lehigh,Kyle Leufroy,Turnover,11,9
14:48,Lehigh,Kyle Leufroy,Foul,11,9
14:22,Army,Cayne Edwards,Layup,13,9
14:22,Lehigh,Jeameril Wilson,Foul,13,9
14:22,Army,Cayne Edwards,Free Throw,14,9
14:00,Lehigh,Kyle Leufroy,Missed Jumper,14,9
14:00,Army,Cayne Edwards,Defensive Rebound,14,9
13:49,Army,Lonnie Grayson,Missed Three Point Jumper,14,9
13:49,Lehigh,James Karnik,Defensive Rebound,14,9
13:39,Lehigh,James Karnik,Dunk,14,11
13:14,Army,Tommy Funk,Jumper,16,11
12:59,Lehigh,Lance Tejada,Missed Three Point Jumper,16,11
12:59,Lehigh,James Karnik,Offensive Rebound,16,11
12:55,Lehigh,James Karnik,Layup,16,13
12:34,Army,Cayne Edwards,Missed Layup,16,13
12:34,Lehigh,Lance Tejada,Defensive Rebound,16,13
12:29,Army,John Emezie,Foul,16,13
12:29,Lehigh,Lance Tejada,Free Throw,16,14
12:29,Lehigh,Lance Tejada,Free Throw,16,15
12:17,Army,Jordan Fox,Missed Layup,16,15
12:17,Army,Matt Wilson,Offensive Rebound,16,15
12:15,Army,Matt Wilson,Jumper,18,15
12:02,Lehigh,Jeameril Wilson,Missed Layup,18,15
12:02,Lehigh,Lehigh,Offensive Rebound,18,15
12:02,Army,Matt Wilson,Foul,18,15
11:51,Lehigh,Jeameril Wilson,Layup,18,17
11:38,Army,Jordan Fox,Layup,20,17
11:24,Lehigh,Pat Andree,Three Point Jumper,20,20
11:12,Lehigh,Pat Andree,Foul,20,20
11:12,Lehigh,None,None,20,20
11:06,Army,Tommy Funk,Missed Jumper,20,20
11:06,Lehigh,Pat Andree,Defensive Rebound,20,20
10:49,Lehigh,Pat Andree,Missed Three Point Jumper,20,20
