TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,Seattle,Morgan Means,Turnover,0,0
19:27,CSU Bakersfield,James Suber,Missed Layup,0,0
19:27,CSU Bakersfield,James Suber,Offensive Rebound,0,0
19:25,CSU Bakersfield,James Suber,Missed Layup,0,0
19:25,Seattle,Myles Carter,Block,0,0
19:25,Seattle,Terrell Brown,Defensive Rebound,0,0
19:08,Seattle,Terrell Brown,Missed Layup,0,0
19:05,CSU Bakersfield,James Suber,Defensive Rebound,0,0
18:47,CSU Bakersfield,Greg Lee,Missed Three Point Jumper,0,0
18:45,Seattle,Terrell Brown,Defensive Rebound,0,0
18:34,Seattle,Delante Jones,Three Point Jumper,0,3
18:10,CSU Bakersfield,Rickey Holden,Three Point Jumper,3,3
17:48,Seattle,Terrell Brown,Three Point Jumper,3,6
17:32,CSU Bakersfield,James Suber,Foul,3,6
17:32,CSU Bakersfield,James Suber,Turnover,3,6
17:19,Seattle,Terrell Brown,Missed Layup,3,6
17:15,CSU Bakersfield,Rickey Holden,Defensive Rebound,3,6
17:14,CSU Bakersfield,Jarkel Joiner,Turnover,3,6
17:14,Seattle,Morgan Means,Steal,3,6
17:07,Seattle,Terrell Brown,Missed Three Point Jumper,3,6
17:04,Seattle,Delante Jones,Offensive Rebound,3,6
17:01,Seattle,Morgan Means,Three Point Jumper,3,9
16:38,Seattle,Myles Carter,Foul,3,9
16:38,CSU Bakersfield,James Suber,Missed Free Throw,3,9
16:38,CSU Bakersfield,None,Team Rebound,3,9
16:38,CSU Bakersfield,James Suber,Free Throw,4,9
16:12,Seattle,None,None,4,9
16:12,Seattle,None,None,4,9
16:08,Seattle,Mattia Da Campo,Three Point Jumper,4,12
16:08,CSU Bakersfield,Rickey Holden,Jumper,6,12
16:04,Seattle,Myles Carter,Missed Jumper,6,12
16:04,CSU Bakersfield,James Suber,Block,6,12
15:55,Seattle,None,Team Rebound,6,12
15:41,Seattle,Morgan Means,Missed Three Point Jumper,6,12
15:38,CSU Bakersfield,Taze Moore,Defensive Rebound,6,12
15:32,CSU Bakersfield,Damiyne Durham,Missed Jumper,6,12
15:29,Seattle,Myles Carter,Defensive Rebound,6,12
15:06,Seattle,Matej Kavas,Missed Three Point Jumper,6,12
15:03,CSU Bakersfield,Darius Williams,Defensive Rebound,6,12
14:49,CSU Bakersfield,James Suber,Layup,8,12
14:23,Seattle,Morgan Means,Missed Three Point Jumper,8,12
14:20,CSU Bakersfield,James Suber,Defensive Rebound,8,12
13:58,CSU Bakersfield,James Suber,Layup,10,12
13:36,Seattle,Matej Kavas,Missed Three Point Jumper,10,12
13:33,CSU Bakersfield,Taze Moore,Defensive Rebound,10,12
13:28,CSU Bakersfield,Damiyne Durham,Jumper,12,12
13:11,Seattle,Morgan Means,Missed Jumper,12,12
13:08,CSU Bakersfield,Jarkel Joiner,Defensive Rebound,12,12
12:59,CSU Bakersfield,James Suber,Turnover,12,12
12:44,Seattle,Morgan Means,Missed Jumper,12,12
12:41,CSU Bakersfield,Kevin McNeal,Defensive Rebound,12,12
12:38,Seattle,Myles Carter,Foul,12,12
12:24,CSU Bakersfield,Rickey Holden,Missed Jumper,12,12
12:22,Seattle,Mattia Da Campo,Defensive Rebound,12,12
11:55,Seattle,Delante Jones,Missed Three Point Jumper,12,12
11:52,CSU Bakersfield,Rickey Holden,Defensive Rebound,12,12
11:41,CSU Bakersfield,Kevin McNeal,Layup,14,12
11:21,Seattle,Delante Jones,Missed Layup,14,12
11:18,CSU Bakersfield,Rickey Holden,Defensive Rebound,14,12
11:15,CSU Bakersfield,Rickey Holden,Foul,14,12
11:15,CSU Bakersfield,Rickey Holden,Turnover,14,12
11:15,Seattle,None,None,14,12
10:58,Seattle,Mattia Da Campo,Missed Layup,14,12
10:58,CSU Bakersfield,Taze Moore,Block,14,12
10:58,CSU Bakersfield,None,Team Rebound,14,12
10:42,Seattle,Anand Hundal,Foul,14,12
10:42,CSU Bakersfield,Justin Edler-Davis,Missed Free Throw,14,12
10:42,CSU Bakersfield,None,Team Rebound,14,12
10:42,CSU Bakersfield,Justin Edler-Davis,Missed Free Throw,14,12
10:40,Seattle,Riley Grigsby,Defensive Rebound,14,12
10:28,Seattle,Terrell Brown,Jumper,14,14
10:28,CSU Bakersfield,Kevin McNeal,Foul,14,14
10:28,Seattle,Terrell Brown,Free Throw,14,15
10:17,Seattle,Riley Grigsby,Foul,14,15
10:17,CSU Bakersfield,Darius Williams,Missed Free Throw,14,15
10:17,CSU Bakersfield,None,Team Rebound,14,15
10:17,CSU Bakersfield,Darius Williams,Free Throw,15,15
9:55,Seattle,Morgan Means,Missed Layup,15,15
9:53,CSU Bakersfield,None,Team Rebound,15,15
9:38,CSU Bakersfield,Taze Moore,Foul,15,15
9:38,CSU Bakersfield,Taze Moore,Turnover,15,15
9:22,Seattle,Riley Grigsby,Three Point Jumper,15,18
9:08,CSU Bakersfield,Taze Moore,Missed Jumper,15,18
9:04,CSU Bakersfield,James Suber,Offensive Rebound,15,18
8:46,CSU Bakersfield,James Suber,Layup,17,18
8:29,Seattle,Terrell Brown,Missed Jumper,17,18
8:27,CSU Bakersfield,Darius Williams,Defensive Rebound,17,18
8:27,Seattle,Anand Hundal,Foul,17,18
8:10,CSU Bakersfield,James Suber,Layup,19,18
7:46,Seattle,Riley Grigsby,Turnover,19,18
7:46,CSU Bakersfield,Taze Moore,Steal,19,18
7:21,CSU Bakersfield,James Suber,Missed Layup,19,18
7:21,Seattle,Myles Carter,Block,19,18
7:17,Seattle,Myles Carter,Defensive Rebound,19,18
7:17,CSU Bakersfield,James Suber,Foul,19,18
7:17,Seattle,None,None,19,18
6:54,CSU Bakersfield,Darius Williams,Foul,19,18
6:54,Seattle,Mattia Da Campo,Free Throw,19,19
6:54,Seattle,Mattia Da Campo,Free Throw,19,20
6:38,CSU Bakersfield,Rickey Holden,Missed Three Point Jumper,19,20
6:35,Seattle,Myles Carter,Defensive Rebound,19,20
6:21,CSU Bakersfield,Jarkel Joiner,Foul,19,20
6:21,Seattle,Delante Jones,Missed Free Throw,19,20
6:21,Seattle,Mattia Da Campo,Offensive Rebound,19,20
6:21,Seattle,Mattia Da Campo,Layup,19,22
6:16,CSU Bakersfield,Damiyne Durham,Three Point Jumper,22,22
5:57,Seattle,Riley Grigsby,Three Point Jumper,22,25
5:30,CSU Bakersfield,Rickey Holden,Missed Jumper,22,25
5:28,Seattle,None,Team Rebound,22,25
5:13,Seattle,Riley Grigsby,Missed Three Point Jumper,22,25
5:09,Seattle,Mattia Da Campo,Offensive Rebound,22,25
5:01,Seattle,Delante Jones,Missed Jumper,22,25
4:58,Seattle,Delante Jones,Offensive Rebound,22,25
4:57,Seattle,Delante Jones,Layup,22,27
4:38,CSU Bakersfield,Taze Moore,Turnover,22,27
4:38,Seattle,Myles Carter,Steal,22,27
4:23,Seattle,Terrell Brown,Missed Jumper,22,27
4:20,CSU Bakersfield,Jarkel Joiner,Defensive Rebound,22,27
4:14,CSU Bakersfield,Damiyne Durham,Turnover,22,27
3:54,Seattle,Delante Jones,Missed Three Point Jumper,22,27
3:49,CSU Bakersfield,Jarkel Joiner,Defensive Rebound,22,27
3:47,CSU Bakersfield,Damiyne Durham,Missed Three Point Jumper,22,27
3:43,Seattle,Delante Jones,Defensive Rebound,22,27
3:30,Seattle,Morgan Means,Layup,22,29
3:02,Seattle,None,None,22,29
3:02,CSU Bakersfield,Damiyne Durham,Foul,22,29
3:02,Seattle,Terrell Brown,Foul,22,29
3:02,Seattle,None,None,22,29
2:59,CSU Bakersfield,Jarkel Joiner,Missed Jumper,22,29
2:56,Seattle,Riley Grigsby,Defensive Rebound,22,29
2:32,Seattle,Terrell Brown,Missed Three Point Jumper,22,29
2:30,Seattle,Mattia Da Campo,Offensive Rebound,22,29
2:23,Seattle,Morgan Means,Turnover,22,29
2:23,CSU Bakersfield,Rickey Holden,Steal,22,29
2:02,CSU Bakersfield,Rickey Holden,Jumper,24,29
1:38,Seattle,Riley Grigsby,Missed Layup,24,29
1:34,CSU Bakersfield,Darius Williams,Defensive Rebound,24,29
1:15,CSU Bakersfield,Darius Williams,Turnover,24,29
0:47,Seattle,Morgan Means,Three Point Jumper,24,32
0:30,CSU Bakersfield,Justin Edler-Davis,Layup,26,32
0:05,Seattle,Riley Grigsby,Missed Three Point Jumper,26,32
0:01,Seattle,Ian Burke,Offensive Rebound,26,32
0:01,Seattle,Ian Burke,Missed Layup,26,32
0:01,CSU Bakersfield,Darius Williams,Block,26,32
0:01,CSU Bakersfield,None,Team Rebound,26,32
0:01,CSU Bakersfield,None,None,26,32
0:00,Seattle,None,None,26,32
19:40,Seattle,Myles Carter,Foul,26,32
19:35,CSU Bakersfield,Jarkel Joiner,Missed Three Point Jumper,26,32
19:32,Seattle,Terrell Brown,Defensive Rebound,26,32
19:17,Seattle,Terrell Brown,Turnover,26,32
18:57,CSU Bakersfield,Rickey Holden,Missed Layup,26,32
18:57,Seattle,Myles Carter,Block,26,32
18:51,Seattle,Terrell Brown,Defensive Rebound,26,32
18:49,Seattle,Delante Jones,Missed Three Point Jumper,26,32
18:46,CSU Bakersfield,Darius Williams,Defensive Rebound,26,32
18:16,CSU Bakersfield,Justin Edler-Davis,Missed Jumper,26,32
18:13,Seattle,Myles Carter,Defensive Rebound,26,32
18:00,Seattle,Terrell Brown,Missed Jumper,26,32
17:57,CSU Bakersfield,Darius Williams,Defensive Rebound,26,32
17:51,CSU Bakersfield,Rickey Holden,Missed Jumper,26,32
17:51,Seattle,Terrell Brown,Block,26,32
17:46,CSU Bakersfield,Rickey Holden,Offensive Rebound,26,32
17:39,CSU Bakersfield,Darius Williams,Missed Layup,26,32
17:36,Seattle,Terrell Brown,Defensive Rebound,26,32
17:27,Seattle,Myles Carter,Missed Three Point Jumper,26,32
17:24,CSU Bakersfield,Jarkel Joiner,Defensive Rebound,26,32
17:10,CSU Bakersfield,Taze Moore,Layup,28,32
16:47,Seattle,Delante Jones,Layup,28,34
16:33,CSU Bakersfield,Taze Moore,Missed Three Point Jumper,28,34
16:29,CSU Bakersfield,Greg Lee,Offensive Rebound,28,34
16:28,CSU Bakersfield,Kevin McNeal,Layup,30,34
16:09,Seattle,Delante Jones,Three Point Jumper,30,37
15:55,Seattle,Morgan Means,Foul,30,37
15:55,Seattle,None,None,30,37
15:54,CSU Bakersfield,Jarkel Joiner,Jumper,32,37
15:30,Seattle,Morgan Means,Missed Three Point Jumper,32,37
15:28,CSU Bakersfield,Justin McCall,Defensive Rebound,32,37
15:14,CSU Bakersfield,Kevin McNeal,Turnover,32,37
14:52,Seattle,Delante Jones,Missed Three Point Jumper,32,37
14:48,CSU Bakersfield,James Suber,Defensive Rebound,32,37
14:19,CSU Bakersfield,Rickey Holden,Missed Three Point Jumper,32,37
14:16,CSU Bakersfield,James Suber,Offensive Rebound,32,37
14:15,CSU Bakersfield,James Suber,Missed Layup,32,37
14:14,Seattle,None,Team Rebound,32,37
14:02,CSU Bakersfield,Kevin McNeal,Foul,32,37
13:44,Seattle,Myles Carter,Missed Layup,32,37
13:41,CSU Bakersfield,James Suber,Defensive Rebound,32,37
13:39,Seattle,Mattia Da Campo,Foul,32,37
13:15,CSU Bakersfield,Kevin McNeal,Missed Jumper,32,37
13:12,Seattle,Delante Jones,Defensive Rebound,32,37
12:46,Seattle,Anand Hundal,Jumper,32,39
12:19,CSU Bakersfield,Justin McCall,Jumper,34,39
11:57,Seattle,Delante Jones,Turnover,34,39
11:57,Seattle,None,None,34,39
11:44,Seattle,Anand Hundal,Foul,34,39
11:27,CSU Bakersfield,Justin McCall,Missed Layup,34,39
11:24,CSU Bakersfield,James Suber,Offensive Rebound,34,39
11:22,CSU Bakersfield,James Suber,Missed Layup,34,39
11:22,Seattle,Anand Hundal,Block,34,39
11:16,CSU Bakersfield,Justin McCall,Offensive Rebound,34,39
11:15,CSU Bakersfield,Justin McCall,Layup,36,39
10:58,CSU Bakersfield,Justin Edler-Davis,Foul,36,39
10:53,Seattle,Morgan Means,Missed Three Point Jumper,36,39
10:49,CSU Bakersfield,Jarkel Joiner,Defensive Rebound,36,39
10:40,CSU Bakersfield,Jarkel Joiner,Turnover,36,39
10:23,Seattle,Mattia Da Campo,Missed Three Point Jumper,36,39
10:18,CSU Bakersfield,Rickey Holden,Defensive Rebound,36,39
10:17,CSU Bakersfield,Justin Edler-Davis,Layup,38,39
10:17,Seattle,Terrell Brown,Foul,38,39
10:17,CSU Bakersfield,Justin Edler-Davis,Free Throw,39,39
9:49,CSU Bakersfield,Justin McCall,Foul,39,39
9:49,Seattle,Mattia Da Campo,Free Throw,39,40
9:49,Seattle,Mattia Da Campo,Free Throw,39,41
9:27,Seattle,Myles Carter,Foul,39,41
9:21,CSU Bakersfield,Rickey Holden,Missed Layup,39,41
9:18,CSU Bakersfield,Justin McCall,Offensive Rebound,39,41
9:17,Seattle,Myles Carter,Foul,39,41
9:17,CSU Bakersfield,Justin McCall,Missed Free Throw,39,41
9:17,CSU Bakersfield,None,Team Rebound,39,41
9:17,CSU Bakersfield,Justin McCall,Free Throw,40,41
9:04,Seattle,Morgan Means,Missed Three Point Jumper,40,41
9:03,CSU Bakersfield,Justin Edler-Davis,Defensive Rebound,40,41
9:03,Seattle,Mattia Da Campo,Foul,40,41
9:03,CSU Bakersfield,Justin Edler-Davis,Free Throw,41,41
9:03,CSU Bakersfield,Justin Edler-Davis,Free Throw,42,41
8:47,CSU Bakersfield,Kevin McNeal,Foul,42,41
8:47,Seattle,Terrell Brown,Free Throw,42,42
8:47,Seattle,Terrell Brown,Missed Free Throw,42,42
8:46,CSU Bakersfield,Kevin McNeal,Defensive Rebound,42,42
8:15,CSU Bakersfield,Kevin McNeal,Missed Three Point Jumper,42,42
8:10,Seattle,Terrell Brown,Defensive Rebound,42,42
8:08,Seattle,Terrell Brown,Missed Layup,42,42
8:04,CSU Bakersfield,Justin McCall,Defensive Rebound,42,42
8:00,CSU Bakersfield,James Suber,Missed Layup,42,42
8:00,Seattle,Riley Grigsby,Defensive Rebound,42,42
8:00,Seattle,Riley Grigsby,Foul,42,42
8:00,Seattle,Riley Grigsby,Turnover,42,42
8:00,Seattle,None,None,42,42
7:31,CSU Bakersfield,Justin McCall,Missed Jumper,42,42
7:28,CSU Bakersfield,Justin Edler-Davis,Offensive Rebound,42,42
7:28,CSU Bakersfield,CSU Bakersfield ,Turnover,42,42
7:12,Seattle,Mattia Da Campo,Layup,42,44
6:44,CSU Bakersfield,Justin McCall,Missed Jumper,42,44
6:41,CSU Bakersfield,Justin McCall,Offensive Rebound,42,44
6:40,CSU Bakersfield,Justin McCall,Turnover,42,44
6:28,CSU Bakersfield,Kevin McNeal,Foul,42,44
6:28,Seattle,Delante Jones,Free Throw,42,45
6:28,Seattle,Delante Jones,Missed Free Throw,42,45
6:27,CSU Bakersfield,Jarkel Joiner,Defensive Rebound,42,45
6:05,CSU Bakersfield,Rickey Holden,Missed Layup,42,45
6:01,Seattle,Mattia Da Campo,Defensive Rebound,42,45
5:54,Seattle,Terrell Brown,Missed Jumper,42,45
5:53,Seattle,Terrell Brown,Offensive Rebound,42,45
5:47,Seattle,None,None,42,47
5:47,CSU Bakersfield,James Suber,Foul,42,47
5:47,Seattle,Riley Grigsby,Missed Free Throw,42,47
5:47,CSU Bakersfield,Jarkel Joiner,Defensive Rebound,42,47
5:37,CSU Bakersfield,Jarkel Joiner,Jumper,44,47
5:20,Seattle,Delante Jones,Three Point Jumper,44,50
5:00,CSU Bakersfield,Jarkel Joiner,Missed Jumper,44,50
4:58,CSU Bakersfield,None,Team Rebound,44,50
4:53,CSU Bakersfield,Jarkel Joiner,Missed Jumper,44,50
4:49,Seattle,Mattia Da Campo,Defensive Rebound,44,50
4:29,Seattle,Riley Grigsby,Missed Layup,44,50
4:29,CSU Bakersfield,Taze Moore,Block,44,50
4:24,CSU Bakersfield,James Suber,Defensive Rebound,44,50
4:23,Seattle,Mattia Da Campo,Foul,44,50
4:23,CSU Bakersfield,Jarkel Joiner,Free Throw,45,50
4:23,CSU Bakersfield,Jarkel Joiner,Free Throw,46,50
4:08,Seattle,Morgan Means,Missed Jumper,46,50
4:05,Seattle,Riley Grigsby,Offensive Rebound,46,50
4:03,CSU Bakersfield,Justin Edler-Davis,Foul,46,50
4:03,Seattle,Morgan Means,Free Throw,46,51
4:03,Seattle,Morgan Means,Free Throw,46,52
3:50,CSU Bakersfield,Rickey Holden,Jumper,48,52
3:16,Seattle,Morgan Means,Missed Jumper,48,52
3:15,Seattle,Seattle,Offensive Rebound,48,52
3:15,Seattle,Seattle ,Turnover,48,52
3:15,Seattle,None,None,48,52
3:05,CSU Bakersfield,Jarkel Joiner,Jumper,50,52
2:42,Seattle,Delante Jones,Missed Jumper,50,52
2:41,CSU Bakersfield,None,Team Rebound,50,52
2:29,CSU Bakersfield,Jarkel Joiner,Missed Three Point Jumper,50,52
2:26,CSU Bakersfield,Taze Moore,Offensive Rebound,50,52
2:07,CSU Bakersfield,Justin Edler-Davis,Turnover,50,52
2:07,Seattle,Morgan Means,Steal,50,52
1:53,Seattle,Riley Grigsby,Missed Three Point Jumper,50,52
1:50,CSU Bakersfield,James Suber,Defensive Rebound,50,52
1:41,CSU Bakersfield,Jarkel Joiner,Missed Layup,50,52
1:41,Seattle,Riley Grigsby,Block,50,52
1:39,CSU Bakersfield,None,Team Rebound,50,52
1:30,CSU Bakersfield,Taze Moore,Missed Layup,50,52
1:26,Seattle,Terrell Brown,Defensive Rebound,50,52
1:25,Seattle,Terrell Brown,Turnover,50,52
1:25,CSU Bakersfield,Jarkel Joiner,Steal,50,52
1:25,CSU Bakersfield,None,None,50,52
1:25,Seattle,None,None,50,52
1:14,CSU Bakersfield,Rickey Holden,Jumper,52,52
0:39,Seattle,Terrell Brown,Missed Jumper,52,52
0:36,CSU Bakersfield,Jarkel Joiner,Defensive Rebound,52,52
0:21,CSU Bakersfield,None,None,52,52
0:13,CSU Bakersfield,Jarkel Joiner,Jumper,54,52
0:04,CSU Bakersfield,Justin Edler-Davis,Foul,54,52
0:04,Seattle,Terrell Brown,Free Throw,54,53
0:04,CSU Bakersfield,None,None,54,53
0:04,Seattle,Terrell Brown,Free Throw,54,54
0:00,CSU Bakersfield,Jarkel Joiner,Missed Three Point Jumper,54,54
0:00,Seattle,None,Team Rebound,54,54
0:00,Seattle,None,None,54,54
4:40,CSU Bakersfield,Taze Moore,Missed Jumper,54,54
4:37,Seattle,Terrell Brown,Defensive Rebound,54,54
4:13,Seattle,Mattia Da Campo,Missed Layup,54,54
4:13,CSU Bakersfield,James Suber,Block,54,54
4:06,CSU Bakersfield,Justin Edler-Davis,Defensive Rebound,54,54
3:49,CSU Bakersfield,Justin Edler-Davis,Missed Layup,54,54
3:44,CSU Bakersfield,James Suber,Offensive Rebound,54,54
3:43,CSU Bakersfield,Taze Moore,Missed Three Point Jumper,54,54
3:40,Seattle,Terrell Brown,Defensive Rebound,54,54
3:26,Seattle,Morgan Means,Layup,54,56
3:14,CSU Bakersfield,Jarkel Joiner,Missed Jumper,54,56
3:09,Seattle,Terrell Brown,Defensive Rebound,54,56
2:53,CSU Bakersfield,Taze Moore,Foul,54,56
2:53,Seattle,Mattia Da Campo,Free Throw,54,57
2:53,Seattle,Mattia Da Campo,Free Throw,54,58
2:40,CSU Bakersfield,Rickey Holden,Turnover,54,58
2:40,Seattle,Mattia Da Campo,Steal,54,58
2:36,Seattle,Mattia Da Campo,Turnover,54,58
2:36,CSU Bakersfield,Taze Moore,Steal,54,58
2:24,Seattle,Morgan Means,Foul,54,58
2:24,CSU Bakersfield,Taze Moore,Free Throw,55,58
2:24,CSU Bakersfield,Taze Moore,Missed Free Throw,55,58
2:24,Seattle,Mattia Da Campo,Defensive Rebound,55,58
2:11,Seattle,None,None,55,58
1:51,Seattle,Delante Jones,Missed Jumper,55,58
1:51,CSU Bakersfield,Kevin McNeal,Block,55,58
1:47,CSU Bakersfield,Kevin McNeal,Defensive Rebound,55,58
1:26,CSU Bakersfield,James Suber,Missed Layup,55,58
1:23,CSU Bakersfield,James Suber,Offensive Rebound,55,58
1:23,CSU Bakersfield,James Suber,Turnover,55,58
1:23,Seattle,Mattia Da Campo,Steal,55,58
1:03,Seattle,Terrell Brown,Layup,55,60
1:02,Seattle,None,None,55,60
0:50,CSU Bakersfield,Jarkel Joiner,Missed Three Point Jumper,55,60
0:46,Seattle,Terrell Brown,Defensive Rebound,55,60
0:28,CSU Bakersfield,Taze Moore,Foul,55,60
0:28,Seattle,Delante Jones,Free Throw,55,61
0:28,Seattle,Delante Jones,Missed Free Throw,55,61
0:27,CSU Bakersfield,James Suber,Defensive Rebound,55,61
0:23,CSU Bakersfield,Jarkel Joiner,Missed Three Point Jumper,55,61
0:19,Seattle,Morgan Means,Defensive Rebound,55,61
0:18,CSU Bakersfield,Kevin McNeal,Foul,55,61
0:18,Seattle,Morgan Means,Free Throw,55,62
0:18,Seattle,Morgan Means,Free Throw,55,63
0:08,CSU Bakersfield,Jarkel Joiner,Layup,57,63
0:00,Seattle,None,None,57,63
0:00,Seattle,None,None,57,63
