TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:35,High Point,Jahaad Proctor,Missed Three Point Jumper,0,0
19:35,Gardner-Webb,David Efianayi,Defensive Rebound,0,0
19:20,Gardner-Webb,DJ Laster,Missed Layup,0,0
19:20,High Point,Jordan Whitehead,Defensive Rebound,0,0
19:10,High Point,Curtis Holland III,Three Point Jumper,3,0
18:47,Gardner-Webb,Jaheam Cornwall,Layup,3,2
18:21,High Point,Denny Slay,Turnover,3,2
18:06,Gardner-Webb,DJ Laster,Layup,3,4
17:38,High Point,Jordan Whitehead,Missed Jumper,3,4
17:38,Gardner-Webb,DJ Laster,Defensive Rebound,3,4
17:25,Gardner-Webb,Jose Perez,Three Point Jumper,3,7
17:04,High Point,Jahaad Proctor,Turnover,3,7
17:02,Gardner-Webb,Jose Perez,Steal,3,7
17:00,Gardner-Webb,David Efianayi,Layup,3,9
16:37,High Point,Jahaad Proctor,Missed Jumper,3,9
16:37,Gardner-Webb,Gardner-Webb,Defensive Rebound,3,9
16:24,Gardner-Webb,Jose Perez,Missed Three Point Jumper,3,9
16:24,High Point,Curtis Holland III,Defensive Rebound,3,9
16:03,High Point,Curtis Holland III,Turnover,3,9
16:03,High Point,Curtis Holland III,Foul,3,9
15:55,Gardner-Webb,None,None,3,9
15:52,Gardner-Webb,David Efianayi,Turnover,3,9
15:51,High Point,Curtis Holland III,Steal,3,9
15:30,High Point,Jordan Whitehead,Missed Layup,3,9
15:30,Gardner-Webb,Gardner-Webb,Defensive Rebound,3,9
15:09,Gardner-Webb,Nate Johnson,Jumper,3,11
14:38,High Point,Jahaad Proctor,Turnover,3,11
14:37,Gardner-Webb,Eric Jamison Jr.,Steal,3,11
14:36,High Point,Curtis Holland III,Foul,3,11
14:33,Gardner-Webb,DJ Laster,Missed Layup,3,11
14:33,High Point,Ricky Madison,Defensive Rebound,3,11
14:19,High Point,Ricky Madison,Layup,5,11
14:04,Gardner-Webb,David Efianayi,Missed Jumper,5,11
14:04,High Point,Ricky Madison,Defensive Rebound,5,11
13:39,High Point,Jahaad Proctor,Missed Jumper,5,11
13:39,Gardner-Webb,Nate Johnson,Block,5,11
13:37,Gardner-Webb,Nate Johnson,Defensive Rebound,5,11
13:22,Gardner-Webb,Nate Johnson,Missed Three Point Jumper,5,11
13:22,Gardner-Webb,Gardner-Webb,Offensive Rebound,5,11
13:13,Gardner-Webb,DJ Laster,Layup,5,13
12:59,Gardner-Webb,Brandon Miller,Foul,5,13
12:53,High Point,Jahaad Proctor,Missed Jumper,5,13
12:53,Gardner-Webb,DJ Laster,Defensive Rebound,5,13
12:41,Gardner-Webb,Jose Perez,Missed Layup,5,13
12:41,High Point,Jamal Wright,Defensive Rebound,5,13
12:31,High Point,Ricky Madison,Layup,7,13
12:20,Gardner-Webb,Eric Jamison Jr.,Dunk,7,15
12:02,High Point,Ricky Madison,Layup,9,15
11:46,Gardner-Webb,David Efianayi,Turnover,9,15
11:45,Gardner-Webb,None,None,9,15
11:24,High Point,Jamal Wright,Missed Three Point Jumper,9,15
11:24,High Point,Caden Sanchez,Offensive Rebound,9,15
11:18,High Point,Caden Sanchez,Layup,11,15
10:56,Gardner-Webb,Jaheam Cornwall,Missed Layup,11,15
10:56,High Point,Jahaad Proctor,Defensive Rebound,11,15
10:35,High Point,Dexter Gooding,Missed Three Point Jumper,11,15
10:35,Gardner-Webb,Jaheam Cornwall,Defensive Rebound,11,15
10:25,Gardner-Webb,Eric Jamison Jr.,Missed Jumper,11,15
10:25,High Point,Jordan Whitehead,Defensive Rebound,11,15
9:56,High Point,Jahaad Proctor,Missed Three Point Jumper,11,15
9:56,Gardner-Webb,Jaheam Cornwall,Defensive Rebound,11,15
9:28,Gardner-Webb,Eric Jamison Jr.,Layup,11,17
8:59,High Point,Jordan Whitehead,Missed Layup,11,17
8:59,Gardner-Webb,DJ Laster,Defensive Rebound,11,17
8:49,Gardner-Webb,Nate Johnson,Missed Three Point Jumper,11,17
8:49,High Point,Jordan Whitehead,Defensive Rebound,11,17
8:18,High Point,Jahaad Proctor,Missed Layup,11,17
8:18,Gardner-Webb,Nate Johnson,Defensive Rebound,11,17
8:09,Gardner-Webb,DJ Laster,Three Point Jumper,11,20
7:51,High Point,Jordan Whitehead,Missed Three Point Jumper,11,20
7:51,Gardner-Webb,Nate Johnson,Defensive Rebound,11,20
7:36,Gardner-Webb,Eric Jamison Jr.,Missed Three Point Jumper,11,20
7:36,High Point,Dexter Gooding,Defensive Rebound,11,20
7:10,High Point,Jahaad Proctor,Jumper,13,20
7:10,Gardner-Webb,Eric Jamison Jr.,Foul,13,20
7:10,Gardner-Webb,None,None,13,20
7:10,High Point,Jahaad Proctor,Free Throw,14,20
7:05,Gardner-Webb,Jose Perez,Missed Three Point Jumper,14,20
7:05,High Point,Ricky Madison,Defensive Rebound,14,20
6:58,High Point,Jahaad Proctor,Missed Layup,14,20
6:58,Gardner-Webb,Jose Perez,Block,14,20
6:56,High Point,Ricky Madison,Offensive Rebound,14,20
6:53,High Point,Ricky Madison,Layup,16,20
6:29,Gardner-Webb,David Efianayi,Three Point Jumper,16,23
6:17,High Point,Rob Peterson III,Turnover,16,23
5:52,Gardner-Webb,Jose Perez,Missed Layup,16,23
5:52,High Point,Rob Peterson III,Block,16,23
5:47,High Point,Caden Sanchez,Defensive Rebound,16,23
5:25,High Point,Ricky Madison,Three Point Jumper,19,23
4:56,Gardner-Webb,Jaheam Cornwall,Missed Three Point Jumper,19,23
4:56,Gardner-Webb,Brandon Miller,Offensive Rebound,19,23
4:52,Gardner-Webb,Brandon Miller,Layup,19,25
4:26,High Point,Caden Sanchez,Missed Layup,19,25
4:26,Gardner-Webb,David Efianayi,Defensive Rebound,19,25
4:13,Gardner-Webb,Jose Perez,Missed Three Point Jumper,19,25
4:13,Gardner-Webb,David Efianayi,Offensive Rebound,19,25
4:04,Gardner-Webb,Nate Johnson,Layup,19,27
3:39,High Point,Ricky Madison,Missed Layup,19,27
3:39,Gardner-Webb,Jaheam Cornwall,Defensive Rebound,19,27
3:31,High Point,Jordan Whitehead,Foul,19,27
3:31,Gardner-Webb,None,None,19,27
3:31,Gardner-Webb,Jaheam Cornwall,Free Throw,19,28
3:31,Gardner-Webb,Jaheam Cornwall,Free Throw,19,29
3:08,High Point,Ricky Madison,Layup,21,29
2:39,Gardner-Webb,David Efianayi,Missed Three Point Jumper,21,29
2:39,High Point,Jahaad Proctor,Defensive Rebound,21,29
2:23,High Point,Denny Slay,Turnover,21,29
2:23,High Point,Jahaad Proctor,Foul,21,29
2:23,High Point,Jahaad Proctor,Foul,21,29
2:23,Gardner-Webb,David Efianayi,Free Throw,21,30
2:23,Gardner-Webb,David Efianayi,Missed Free Throw,21,30
2:23,Gardner-Webb,None,Team Rebound,21,30
2:00,Gardner-Webb,Nate Johnson,Layup,21,32
1:27,High Point,Ricky Madison,Missed Three Point Jumper,21,32
1:27,Gardner-Webb,Jose Perez,Defensive Rebound,21,32
1:17,Gardner-Webb,Nate Johnson,Missed Three Point Jumper,21,32
1:17,Gardner-Webb,David Efianayi,Offensive Rebound,21,32
1:12,Gardner-Webb,David Efianayi,Layup,21,34
