TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Wisconsin,None,None,0,0
19:41,Wisconsin,D'Mitrik Trice,Missed Jumper,0,0
19:41,Iowa,Jordan Bohannon,Defensive Rebound,0,0
19:20,Iowa,Jordan Bohannon,Turnover,0,0
19:20,Wisconsin,D'Mitrik Trice,Steal,0,0
18:51,Wisconsin,Khalil Iverson,Dunk,0,2
18:22,Iowa,Jordan Bohannon,Turnover,0,2
18:22,Wisconsin,Ethan Happ,Steal,0,2
18:05,Wisconsin,Khalil Iverson,Missed Jumper,0,2
18:05,Iowa,Luka Garza,Block,0,2
18:05,Iowa,Tyler Cook,Defensive Rebound,0,2
17:57,Iowa,Tyler Cook,Missed Jumper,0,2
17:57,Wisconsin,Ethan Happ,Defensive Rebound,0,2
17:57,Iowa,Luka Garza,Foul,0,2
17:37,Wisconsin,Khalil Iverson,Missed Layup,0,2
17:37,Iowa,Luka Garza,Defensive Rebound,0,2
17:14,Iowa,Tyler Cook,Missed Jumper,0,2
17:14,Wisconsin,Khalil Iverson,Defensive Rebound,0,2
16:55,Wisconsin,D'Mitrik Trice,Missed Three Point Jumper,0,2
16:55,Iowa,Joe Wieskamp,Defensive Rebound,0,2
16:47,Iowa,Jordan Bohannon,Three Point Jumper,3,2
16:19,Wisconsin,Ethan Happ,Missed Layup,3,2
16:19,Iowa,Joe Wieskamp,Block,3,2
16:19,Iowa,Isaiah Moss,Defensive Rebound,3,2
16:10,Iowa,Jordan Bohannon,Missed Three Point Jumper,3,2
16:10,Wisconsin,Wisconsin,Defensive Rebound,3,2
15:58,Wisconsin,Brad Davison,Layup,3,4
15:38,Iowa,Isaiah Moss,Jumper,5,4
15:13,Wisconsin,D'Mitrik Trice,Missed Three Point Jumper,5,4
15:13,Iowa,Tyler Cook,Defensive Rebound,5,4
15:03,Iowa,Tyler Cook,Missed Jumper,5,4
15:03,Wisconsin,Ethan Happ,Defensive Rebound,5,4
14:57,Iowa,Tyler Cook,Foul,5,4
14:57,Wisconsin,None,None,5,4
14:57,Wisconsin,Ethan Happ,Free Throw,5,5
14:57,Wisconsin,Ethan Happ,Free Throw,5,6
14:46,Iowa,Isaiah Moss,Turnover,5,6
14:46,Wisconsin,Ethan Happ,Steal,5,6
14:39,Iowa,Nicholas Baer,Foul,5,6
14:28,Wisconsin,Ethan Happ,Turnover,5,6
14:28,Iowa,Nicholas Baer,Steal,5,6
14:23,Iowa,Connor McCaffery,Missed Layup,5,6
14:23,Iowa,Nicholas Baer,Offensive Rebound,5,6
14:23,Wisconsin,Brevin Pritzl,Foul,5,6
14:23,Iowa,Nicholas Baer,Missed Free Throw,5,6
14:23,Iowa,None,Team Rebound,5,6
14:23,Iowa,Nicholas Baer,Free Throw,6,6
13:59,Wisconsin,Kobe King,Missed Layup,6,6
13:59,Iowa,Nicholas Baer,Defensive Rebound,6,6
13:35,Iowa,Ryan Kriener,Layup,8,6
13:10,Wisconsin,Brevin Pritzl,Missed Three Point Jumper,8,6
13:10,Wisconsin,Aleem Ford,Offensive Rebound,8,6
13:05,Wisconsin,Aleem Ford,Layup,8,8
12:49,Iowa,Nicholas Baer,Three Point Jumper,11,8
12:20,Wisconsin,Kobe King,Missed Three Point Jumper,11,8
12:20,Iowa,Isaiah Moss,Defensive Rebound,11,8
12:12,Iowa,Isaiah Moss,Missed Jumper,11,8
12:12,Wisconsin,Brevin Pritzl,Defensive Rebound,11,8
11:51,Wisconsin,Aleem Ford,Three Point Jumper,11,11
11:33,Iowa,Nicholas Baer,Missed Three Point Jumper,11,11
11:33,Wisconsin,Ethan Happ,Defensive Rebound,11,11
11:30,Iowa,Ryan Kriener,Foul,11,11
11:30,Wisconsin,None,None,11,11
11:06,Wisconsin,Aleem Ford,Missed Three Point Jumper,11,11
11:06,Wisconsin,Nate Reuvers,Offensive Rebound,11,11
11:01,Wisconsin,Nate Reuvers,Layup,11,13
10:55,Iowa,Joe Wieskamp,Missed Three Point Jumper,11,13
10:55,Wisconsin,Aleem Ford,Defensive Rebound,11,13
10:42,Wisconsin,Nate Reuvers,Missed Jumper,11,13
10:42,Wisconsin,Nate Reuvers,Offensive Rebound,11,13
10:38,Wisconsin,Nate Reuvers,Jumper,11,15
10:38,Iowa,Maishe Dailey,Foul,11,15
10:38,Wisconsin,Nate Reuvers,Missed Free Throw,11,15
10:38,Iowa,Tyler Cook,Defensive Rebound,11,15
10:28,Wisconsin,Nate Reuvers,Foul,11,15
10:19,Iowa,Luka Garza,Missed Three Point Jumper,11,15
10:19,Wisconsin,D'Mitrik Trice,Defensive Rebound,11,15
10:02,Wisconsin,Nate Reuvers,Missed Three Point Jumper,11,15
10:02,Iowa,Tyler Cook,Defensive Rebound,11,15
9:53,Iowa,Luka Garza,Layup,13,15
9:35,Wisconsin,Aleem Ford,Missed Three Point Jumper,13,15
9:35,Iowa,Maishe Dailey,Defensive Rebound,13,15
9:24,Iowa,Joe Wieskamp,Missed Three Point Jumper,13,15
9:24,Wisconsin,D'Mitrik Trice,Defensive Rebound,13,15
8:59,Wisconsin,Ethan Happ,Missed Layup,13,15
8:59,Wisconsin,Khalil Iverson,Offensive Rebound,13,15
8:57,Wisconsin,Khalil Iverson,Layup,13,17
8:57,Iowa,Luka Garza,Foul,13,17
8:57,Wisconsin,Khalil Iverson,Free Throw,13,18
8:31,Iowa,Ryan Kriener,Turnover,13,18
8:23,Wisconsin,D'Mitrik Trice,Turnover,13,18
8:10,Iowa,Connor McCaffery,Missed Layup,13,18
8:10,Wisconsin,Ethan Happ,Block,13,18
8:10,Wisconsin,Wisconsin,Defensive Rebound,13,18
7:56,Iowa,Ryan Kriener,Foul,13,18
7:56,Wisconsin,None,None,13,18
7:56,Wisconsin,Ethan Happ,Free Throw,13,19
7:56,Wisconsin,Ethan Happ,Missed Free Throw,13,19
7:56,Iowa,Nicholas Baer,Defensive Rebound,13,19
7:35,Iowa,Connor McCaffery,Missed Three Point Jumper,13,19
7:35,Wisconsin,Khalil Iverson,Defensive Rebound,13,19
7:00,Wisconsin,Brad Davison,Missed Three Point Jumper,13,19
7:00,Iowa,Joe Wieskamp,Defensive Rebound,13,19
6:48,Iowa,Nicholas Baer,Turnover,13,19
6:48,Wisconsin,Kobe King,Steal,13,19
6:36,Wisconsin,Ethan Happ,Missed Layup,13,19
6:36,Wisconsin,Ethan Happ,Offensive Rebound,13,19
6:30,Iowa,Nicholas Baer,Foul,13,19
6:30,Wisconsin,Ethan Happ,Missed Free Throw,13,19
6:30,Wisconsin,None,Team Rebound,13,19
6:30,Wisconsin,Ethan Happ,Free Throw,13,20
6:24,Iowa,Jordan Bohannon,Foul,13,20
6:24,Iowa,Jordan Bohannon,Turnover,13,20
6:06,Wisconsin,Brevin Pritzl,Missed Three Point Jumper,13,20
6:06,Iowa,Tyler Cook,Defensive Rebound,13,20
5:58,Iowa,Jordan Bohannon,Missed Three Point Jumper,13,20
5:58,Iowa,Jordan Bohannon,Offensive Rebound,13,20
5:51,Iowa,Maishe Dailey,Missed Jumper,13,20
5:51,Wisconsin,Khalil Iverson,Defensive Rebound,13,20
5:42,Wisconsin,Khalil Iverson,Turnover,13,20
5:42,Iowa,Maishe Dailey,Steal,13,20
5:42,Iowa,None,None,13,20
5:28,Wisconsin,Aleem Ford,Foul,13,20
5:22,Iowa,Jordan Bohannon,Jumper,15,20
4:52,Wisconsin,Nate Reuvers,Missed Jumper,15,20
4:52,Wisconsin,None,Team Rebound,15,20
4:52,Wisconsin,None,None,15,20
4:39,Wisconsin,Aleem Ford,Jumper,15,22
4:13,Iowa,Tyler Cook,Missed Jumper,15,22
4:13,Wisconsin,Kobe King,Defensive Rebound,15,22
4:10,Iowa,Isaiah Moss,Foul,15,22
4:10,Wisconsin,Kobe King,Free Throw,15,23
4:10,Wisconsin,Kobe King,Free Throw,15,24
3:53,Iowa,Isaiah Moss,Missed Jumper,15,24
3:53,Wisconsin,Aleem Ford,Defensive Rebound,15,24
3:24,Wisconsin,Brad Davison,Turnover,15,24
3:24,Iowa,Tyler Cook,Steal,15,24
3:20,Wisconsin,Aleem Ford,Foul,15,24
3:20,Wisconsin,None,None,15,24
3:16,Iowa,Jordan Bohannon,Missed Jumper,15,24
3:16,Iowa,Isaiah Moss,Offensive Rebound,15,24
3:09,Iowa,Isaiah Moss,Layup,17,24
3:01,Wisconsin,Brevin Pritzl,Turnover,17,24
3:01,Iowa,Joe Wieskamp,Steal,17,24
2:53,Iowa,Isaiah Moss,Turnover,17,24
2:53,Wisconsin,Khalil Iverson,Steal,17,24
2:33,Iowa,Joe Wieskamp,Foul,17,24
2:33,Wisconsin,Kobe King,Free Throw,17,25
2:33,Wisconsin,Kobe King,Missed Free Throw,17,25
2:33,Iowa,None,Team Rebound,17,25
2:06,Iowa,Tyler Cook,Missed Layup,17,25
2:06,Wisconsin,Ethan Happ,Block,17,25
2:06,Iowa,Connor McCaffery,Offensive Rebound,17,25
2:03,Iowa,Connor McCaffery,Missed Layup,17,25
2:03,Wisconsin,Khalil Iverson,Block,17,25
2:03,Wisconsin,None,Team Rebound,17,25
1:50,Iowa,Connor McCaffery,Foul,17,25
1:50,Wisconsin,Ethan Happ,Free Throw,17,26
1:50,Wisconsin,Ethan Happ,Missed Free Throw,17,26
1:50,Iowa,Ryan Kriener,Defensive Rebound,17,26
1:25,Wisconsin,Ethan Happ,Foul,17,26
1:25,Iowa,Connor McCaffery,Free Throw,18,26
1:25,Iowa,Connor McCaffery,Free Throw,19,26
1:10,Wisconsin,Khalil Iverson,Dunk,19,28
0:43,Iowa,Joe Wieskamp,Three Point Jumper,22,28
0:31,Wisconsin,None,None,22,28
0:10,Wisconsin,Brevin Pritzl,Three Point Jumper,22,31
0:05,Wisconsin,Brad Davison,Foul,22,31
0:05,Iowa,None,None,22,31
0:02,Iowa,Connor McCaffery,Turnover,22,31
0:02,Wisconsin,D'Mitrik Trice,Steal,22,31
0:00,Wisconsin,None,None,22,31
20:00,Iowa,None,None,22,31
19:41,Iowa,Isaiah Moss,Missed Jumper,22,31
19:41,Wisconsin,Khalil Iverson,Defensive Rebound,22,31
19:29,Wisconsin,Nate Reuvers,Dunk,22,33
19:19,Iowa,Luka Garza,Jumper,24,33
18:47,Wisconsin,Ethan Happ,Jumper,24,35
18:35,Iowa,Tyler Cook,Missed Layup,24,35
18:35,Wisconsin,Khalil Iverson,Defensive Rebound,24,35
18:14,Iowa,Tyler Cook,Foul,24,35
18:14,Wisconsin,Ethan Happ,Missed Free Throw,24,35
18:14,Wisconsin,None,Team Rebound,24,35
18:14,Wisconsin,Ethan Happ,Free Throw,24,36
17:53,Iowa,Jordan Bohannon,Missed Jumper,24,36
17:53,Wisconsin,Ethan Happ,Defensive Rebound,24,36
17:34,Wisconsin,Nate Reuvers,Missed Three Point Jumper,24,36
17:34,Wisconsin,Ethan Happ,Offensive Rebound,24,36
17:33,Wisconsin,None,None,24,36
17:15,Wisconsin,Ethan Happ,Jumper,24,38
16:53,Iowa,Joe Wieskamp,Layup,26,38
16:25,Iowa,Tyler Cook,Foul,26,38
16:18,Wisconsin,Khalil Iverson,Turnover,26,38
16:07,Iowa,Isaiah Moss,Turnover,26,38
15:54,Wisconsin,Ethan Happ,Layup,26,40
15:32,Iowa,Luka Garza,Foul,26,40
15:32,Iowa,Luka Garza,Turnover,26,40
15:32,Wisconsin,None,None,26,40
15:25,Wisconsin,Ethan Happ,Foul,26,40
