TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:34,Valparaiso,Deion Lavender,Jumper,2,0
19:11,Indiana State,Tyreke Key,Three Point Jumper,2,3
18:51,Valparaiso,John Kiser,Turnover,2,3
18:37,Indiana State,Emondre Rickman,Foul,2,3
18:37,Indiana State,Emondre Rickman,Turnover,2,3
18:26,Valparaiso,John Kiser,Foul,2,3
18:26,Valparaiso,John Kiser,Turnover,2,3
18:06,Indiana State,Emondre Rickman,Missed Jumper,2,3
18:06,Valparaiso,Markus Golder,Defensive Rebound,2,3
17:56,Valparaiso,Deion Lavender,Dunk,4,3
17:42,Indiana State,Cooper Neese,Jumper,4,5
17:17,Valparaiso,Jaume Sorolla,Turnover,4,5
17:16,Indiana State,Jordan Barnes,Steal,4,5
17:10,Indiana State,Tyreke Key,Missed Three Point Jumper,4,5
17:10,Valparaiso,Jaume Sorolla,Defensive Rebound,4,5
16:46,Valparaiso,Markus Golder,Missed Jumper,4,5
16:46,Indiana State,Christian Williams,Defensive Rebound,4,5
16:29,Indiana State,Emondre Rickman,Missed Jumper,4,5
16:29,Valparaiso,Deion Lavender,Defensive Rebound,4,5
16:21,Valparaiso,Javon Freeman,Missed Three Point Jumper,4,5
16:21,Indiana State,Cooper Neese,Defensive Rebound,4,5
16:09,Indiana State,Jordan Barnes,Missed Three Point Jumper,4,5
16:09,Valparaiso,Javon Freeman,Defensive Rebound,4,5
16:01,Valparaiso,Jaume Sorolla,Layup,6,5
15:36,Indiana State,Emondre Rickman,Turnover,6,5
15:35,Indiana State,None,None,6,5
15:08,Valparaiso,Javon Freeman,Missed Jumper,6,5
15:07,Valparaiso,Javon Freeman,Offensive Rebound,6,5
15:01,Valparaiso,None,None,8,5
14:47,Indiana State,Jordan Barnes,Missed Three Point Jumper,8,5
14:47,Valparaiso,Javon Freeman,Defensive Rebound,8,5
14:09,Valparaiso,Markus Golder,Jumper,10,5
13:47,Indiana State,Bronson Kessinger,Jumper,10,7
13:22,Valparaiso,Bakari Evelyn,Missed Three Point Jumper,10,7
13:22,Indiana State,Christian Williams,Defensive Rebound,10,7
13:10,Indiana State,Tyreke Key,Foul,10,7
13:10,Indiana State,Tyreke Key,Turnover,10,7
12:53,Indiana State,Bronson Kessinger,Foul,10,7
12:35,Valparaiso,Daniel Sackey,Missed Jumper,10,7
12:35,Indiana State,Bronson Kessinger,Defensive Rebound,10,7
12:28,Indiana State,Jordan Barnes,Missed Layup,10,7
12:28,Valparaiso,Derrik Smits,Block,10,7
12:26,Indiana State,Tyreke Key,Offensive Rebound,10,7
12:15,Indiana State,Cooper Neese,Missed Three Point Jumper,10,7
12:15,Valparaiso,Daniel Sackey,Defensive Rebound,10,7
