TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,Providence,A.J. Reeves,Missed Jumper,0,0
19:37,Butler,Paul Jorgensen,Defensive Rebound,0,0
19:12,Butler,Sean McDermott,Missed Three Point Jumper,0,0
19:12,Providence,Nate Watson,Defensive Rebound,0,0
18:53,Providence,A.J. Reeves,Three Point Jumper,0,3
18:24,Butler,Kamar Baldwin,Three Point Jumper,3,3
18:07,Providence,Nate Watson,Missed Layup,3,3
18:07,Butler,Kamar Baldwin,Defensive Rebound,3,3
17:59,Butler,Kamar Baldwin,Missed Jumper,3,3
17:59,Providence,Alpha Diallo,Defensive Rebound,3,3
17:54,Butler,Aaron Thompson,Foul,3,3
17:54,Providence,David Duke,Free Throw,3,4
17:54,Providence,David Duke,Free Throw,3,5
17:45,Butler,Nate Fowler,Missed Three Point Jumper,3,5
17:45,Providence,A.J. Reeves,Defensive Rebound,3,5
17:20,Providence,Alpha Diallo,Missed Jumper,3,5
17:20,Providence,Alpha Diallo,Offensive Rebound,3,5
17:17,Providence,Alpha Diallo,Turnover,3,5
16:56,Butler,Nate Fowler,Missed Layup,3,5
16:56,Providence,Alpha Diallo,Defensive Rebound,3,5
16:49,Providence,A.J. Reeves,Three Point Jumper,3,8
16:33,Butler,Kamar Baldwin,Layup,5,8
16:04,Providence,A.J. Reeves,Missed Three Point Jumper,5,8
16:04,Providence,Nate Watson,Offensive Rebound,5,8
16:02,Butler,Nate Fowler,Foul,5,8
15:58,Providence,Nate Watson,Jumper,5,10
15:29,Butler,Sean McDermott,Missed Three Point Jumper,5,10
15:29,Providence,David Duke,Defensive Rebound,5,10
15:22,Providence,Isaiah Jackson,Layup,5,12
15:08,Providence,Maliek White,Foul,5,12
15:08,Providence,None,None,5,12
14:48,Butler,Butler ,Turnover,5,12
14:23,Providence,Nate Watson,Missed Jumper,5,12
14:23,Butler,Joey Brunk,Defensive Rebound,5,12
14:09,Butler,Joey Brunk,Layup,7,12
14:09,Providence,Nate Watson,Foul,7,12
14:09,Butler,Joey Brunk,Free Throw,8,12
13:53,Providence,Maliek White,Missed Three Point Jumper,8,12
13:53,Providence,Kalif Young,Offensive Rebound,8,12
13:47,Providence,Maliek White,Missed Layup,8,12
13:47,Butler,Henry Baddley,Block,8,12
13:44,Butler,Henry Baddley,Defensive Rebound,8,12
13:31,Butler,Jordan Tucker,Turnover,8,12
13:31,Providence,Maliek White,Steal,8,12
13:18,Providence,Kalif Young,Jumper,8,14
13:02,Butler,Jordan Tucker,Three Point Jumper,11,14
12:39,Providence,Isaiah Jackson,Three Point Jumper,11,17
12:14,Butler,Paul Jorgensen,Missed Three Point Jumper,11,17
12:14,Providence,Drew Edwards,Defensive Rebound,11,17
12:01,Providence,Isaiah Jackson,Layup,11,19
11:57,Butler,None,None,11,19
11:57,Providence,None,None,11,19
