TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,Xavier,Kyle Castlin,Missed Three Point Jumper,0,0
19:36,Xavier,Tyrique Jones,Offensive Rebound,0,0
19:31,St. John's,Shamorie Ponds,Foul,0,0
19:31,Xavier,Tyrique Jones,Missed Free Throw,0,0
19:31,Xavier,None,Team Rebound,0,0
19:31,Xavier,Tyrique Jones,Missed Free Throw,0,0
19:31,St. John's,Justin Simon,Defensive Rebound,0,0
19:15,St. John's,Shamorie Ponds,Missed Three Point Jumper,0,0
19:15,Xavier,Tyrique Jones,Defensive Rebound,0,0
18:49,Xavier,Zach Hankins,Missed Layup,0,0
18:49,Xavier,Zach Hankins,Offensive Rebound,0,0
18:35,Xavier,Paul Scruggs,Missed Layup,0,0
18:35,Xavier,Paul Scruggs,Offensive Rebound,0,0
18:31,Xavier,Tyrique Jones,Dunk,0,2
18:12,St. John's,Marvin Clark II,Missed Three Point Jumper,0,2
18:12,Xavier,Quentin Goodin,Defensive Rebound,0,2
18:03,Xavier,Paul Scruggs,Missed Three Point Jumper,0,2
18:03,St. John's,Marvin Clark II,Defensive Rebound,0,2
17:45,Xavier,Quentin Goodin,Foul,0,2
17:36,St. John's,Mustapha Heron,Missed Jumper,0,2
17:36,Xavier,Kyle Castlin,Defensive Rebound,0,2
17:27,Xavier,Paul Scruggs,Three Point Jumper,0,5
17:09,St. John's,Shamorie Ponds,Missed Jumper,0,5
17:09,Xavier,Zach Hankins,Defensive Rebound,0,5
16:47,Xavier,Paul Scruggs,Three Point Jumper,0,8
16:44,St. John's,None,None,0,8
16:31,St. John's,LJ Figueroa,Jumper,2,8
16:11,Xavier,Quentin Goodin,Missed Three Point Jumper,2,8
16:11,Xavier,Xavier,Offensive Rebound,2,8
16:03,Xavier,Paul Scruggs,Layup,2,10
16:03,St. John's,LJ Figueroa,Foul,2,10
16:03,Xavier,Paul Scruggs,Missed Free Throw,2,10
16:03,St. John's,Marvin Clark II,Defensive Rebound,2,10
15:55,St. John's,Shamorie Ponds,Three Point Jumper,5,10
15:40,Xavier,Paul Scruggs,Turnover,5,10
15:39,St. John's,Justin Simon,Steal,5,10
15:36,St. John's,LJ Figueroa,Layup,7,10
15:17,Xavier,Kyle Castlin,Turnover,7,10
15:16,St. John's,Marvin Clark II,Steal,7,10
15:16,Xavier,None,None,7,10
14:57,St. John's,Justin Simon,Missed Jumper,7,10
