TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,La Salle,Isiah Deas,Three Point Jumper,0,3
19:15,Lafayette,Alex Petrie,Missed Jumper,0,3
19:15,Lafayette,Myles Cherry,Offensive Rebound,0,3
18:52,Lafayette,Kyle Stout,Turnover,0,3
18:51,La Salle,Traci Carter,Steal,0,3
18:49,La Salle,Traci Carter,Layup,0,5
18:39,Lafayette,Paulius Zalys,Turnover,0,5
18:27,La Salle,Pookie Powell,Three Point Jumper,0,8
18:05,Lafayette,Alex Petrie,Missed Jumper,0,8
18:05,La Salle,Jared Kimbrough,Defensive Rebound,0,8
17:53,La Salle,Pookie Powell,Three Point Jumper,0,11
17:41,Lafayette,None,None,0,11
17:19,Lafayette,Alex Petrie,Missed Three Point Jumper,34,37
17:19,Lafayette,Alex Petrie,Offensive Rebound,34,37
17:08,Lafayette,Myles Cherry,Layup,2,11
16:47,La Salle,Isiah Deas,Missed Three Point Jumper,2,11
16:47,Lafayette,Alex Petrie,Defensive Rebound,2,11
16:29,Lafayette,Myles Cherry,Layup,4,11
16:06,La Salle,Pookie Powell,Missed Jumper,4,11
16:06,Lafayette,Justin Jaworski,Defensive Rebound,4,11
15:54,Lafayette,Myles Cherry,Missed Three Point Jumper,4,11
15:54,Lafayette,Lafayette,Offensive Rebound,4,11
15:53,Lafayette,Paulius Zalys,Foul,4,11
15:53,La Salle,None,None,4,11
15:53,La Salle,Isiah Deas,Foul,4,11
15:53,Lafayette,Paulius Zalys,Free Throw,5,11
15:53,Lafayette,Paulius Zalys,Free Throw,6,11
15:35,Lafayette,Paulius Zalys,Missed Jumper,6,11
15:35,La Salle,Miles Brookins,Defensive Rebound,6,11
15:09,La Salle,Traci Carter,Missed Three Point Jumper,6,11
15:09,La Salle,Jared Kimbrough,Offensive Rebound,6,11
15:04,La Salle,Pookie Powell,Three Point Jumper,6,14
14:33,Lafayette,Alex Petrie,Turnover,6,14
14:08,La Salle,David Beatty,Missed Jumper,6,14
14:08,Lafayette,Myles Cherry,Defensive Rebound,6,14
13:54,Lafayette,Justin Jaworski,Three Point Jumper,9,14
13:29,La Salle,Miles Brookins,Layup,9,16
13:15,Lafayette,Isaac Suffren,Layup,11,16
12:54,La Salle,Isiah Deas,Missed Three Point Jumper,11,16
12:54,Lafayette,Isaac Suffren,Defensive Rebound,11,16
12:43,Lafayette,Kyle Stout,Three Point Jumper,14,16
12:43,La Salle,None,None,14,16
12:30,La Salle,Miles Brookins,Missed Three Point Jumper,14,16
12:30,Lafayette,Tyrone Perry,Defensive Rebound,14,16
12:23,Lafayette,Kyle Stout,Three Point Jumper,17,16
12:08,La Salle,Miles Brookins,Turnover,17,16
11:38,Lafayette,Tyrone Perry,Foul,17,16
11:38,Lafayette,Tyrone Perry,Turnover,17,16
11:38,La Salle,None,None,17,16
11:15,La Salle,Cheddi Mosely,Three Point Jumper,17,19
11:05,Lafayette,Isaac Suffren,Turnover,17,19
10:52,La Salle,David Beatty,Missed Layup,17,19
10:52,Lafayette,Justin Jaworski,Defensive Rebound,17,19
10:30,Lafayette,Justin Jaworski,Missed Three Point Jumper,17,19
10:30,La Salle,Cheddi Mosely,Defensive Rebound,17,19
10:20,La Salle,Cheddi Mosely,Missed Three Point Jumper,17,19
10:20,Lafayette,Dylan Hastings,Defensive Rebound,17,19
10:10,Lafayette,Kyle Stout,Three Point Jumper,20,19
9:54,La Salle,Pookie Powell,Missed Three Point Jumper,20,19
9:54,La Salle,Jared Kimbrough,Offensive Rebound,20,19
9:50,La Salle,Jared Kimbrough,Layup,20,21
9:50,Lafayette,Dylan Hastings,Foul,20,21
9:50,La Salle,Jared Kimbrough,Missed Free Throw,20,21
9:50,La Salle,Cheddi Mosely,Offensive Rebound,20,21
9:40,La Salle,Traci Carter,Turnover,20,21
9:27,Lafayette,Myles Cherry,Turnover,20,21
9:27,La Salle,Traci Carter,Steal,20,21
9:26,Lafayette,Paulius Zalys,Foul,20,21
9:04,La Salle,Cheddi Mosely,Three Point Jumper,20,24
8:43,La Salle,David Beatty,Foul,20,24
8:37,La Salle,David Beatty,Foul,20,24
8:37,Lafayette,Isaac Suffren,Missed Free Throw,20,24
8:37,Lafayette,None,Team Rebound,20,24
8:37,Lafayette,Isaac Suffren,Missed Free Throw,20,24
8:37,La Salle,Miles Brookins,Defensive Rebound,20,24
8:17,Lafayette,Lukas Jarrett,Foul,20,24
8:14,La Salle,Traci Carter,Turnover,20,24
8:13,Lafayette,Lukas Jarrett,Steal,20,24
8:12,Lafayette,Tyrone Perry,Turnover,20,24
8:00,La Salle,Cheddi Mosely,Missed Three Point Jumper,20,24
8:00,Lafayette,Lafayette,Defensive Rebound,20,24
8:00,La Salle,Miles Brookins,Foul,20,24
8:00,La Salle,None,None,20,24
7:47,Lafayette,Alex Petrie,Missed Jumper,20,24
7:47,Lafayette,Myles Cherry,Offensive Rebound,20,24
7:43,Lafayette,Justin Jaworski,Three Point Jumper,23,24
7:33,La Salle,Isiah Deas,Three Point Jumper,23,27
7:13,Lafayette,Justin Jaworski,Turnover,23,27
7:11,La Salle,Traci Carter,Steal,23,27
7:02,La Salle,Traci Carter,Turnover,23,27
6:36,Lafayette,Alex Petrie,Three Point Jumper,26,27
6:16,La Salle,Isiah Deas,Jumper,26,29
5:51,La Salle,Jamir Moultrie,Foul,26,29
5:37,Lafayette,Isaac Suffren,Missed Layup,26,29
5:37,La Salle,Pookie Powell,Defensive Rebound,26,29
5:28,Lafayette,Justin Jaworski,Foul,26,29
5:28,La Salle,Jamir Moultrie,Missed Free Throw,26,29
5:28,La Salle,None,Team Rebound,26,29
5:28,La Salle,Jamir Moultrie,Free Throw,26,30
5:12,Lafayette,Dylan Hastings,Turnover,26,30
5:10,La Salle,Isiah Deas,Steal,26,30
5:07,La Salle,Cheddi Mosely,Missed Three Point Jumper,26,30
5:07,Lafayette,Myles Cherry,Defensive Rebound,26,30
4:53,Lafayette,Alex Petrie,Missed Three Point Jumper,26,30
4:53,Lafayette,Dylan Hastings,Offensive Rebound,26,30
4:52,La Salle,Cheddi Mosely,Foul,26,30
4:52,Lafayette,Dylan Hastings,Free Throw,27,30
4:52,Lafayette,Dylan Hastings,Free Throw,28,30
4:39,Lafayette,Justin Jaworski,Missed Layup,28,30
4:39,La Salle,Traci Carter,Defensive Rebound,28,30
4:37,Lafayette,Justin Jaworski,Foul,28,30
4:37,La Salle,Traci Carter,Free Throw,28,31
4:37,La Salle,Traci Carter,Missed Free Throw,28,31
4:37,Lafayette,Myles Cherry,Defensive Rebound,28,31
4:20,Lafayette,Myles Cherry,Layup,30,31
4:00,La Salle,Pookie Powell,Jumper,30,33
3:40,Lafayette,Myles Cherry,Turnover,30,33
3:40,La Salle,None,None,30,33
3:26,Lafayette,Sean Good,Foul,30,33
3:26,La Salle,Pookie Powell,Free Throw,30,34
3:26,La Salle,Pookie Powell,Free Throw,30,35
3:06,La Salle,Isiah Deas,Foul,30,35
3:06,Lafayette,Lukas Jarrett,Free Throw,31,35
3:06,Lafayette,Lukas Jarrett,Free Throw,32,35
2:58,La Salle,Jamir Moultrie,Missed Three Point Jumper,32,35
