TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:32,Southern,Jayden Sadldler,Missed Jumper,0,0
19:32,Southern,Bryan Assie,Offensive Rebound,0,0
19:10,Southern,Bryan Assie,Missed Jumper,0,0
19:10,Baylor,Devonte Bandoo,Defensive Rebound,0,0
18:57,Baylor,Tristan Clark,Jumper,0,2
18:42,Southern,Sidney Umude,Jumper,2,2
18:12,Baylor,Mark Vital,Missed Jumper,2,2
18:12,Southern,Sidney Umude,Defensive Rebound,2,2
18:06,Southern,Jayden Sadldler,Layup,4,2
17:50,Southern,Bryan Assie,Foul,4,2
17:45,Baylor,Devonte Bandoo,Missed Three Point Jumper,4,2
17:45,Southern,Eddie Reese,Defensive Rebound,4,2
17:32,Southern,Jayden Sadldler,Foul,4,2
17:32,Southern,Jayden Sadldler,Turnover,4,2
17:05,Baylor,Tristan Clark,Jumper,4,4
16:40,Southern,Bryan Assie,Missed Jumper,4,4
16:40,Baylor,Freddie Gillespie,Defensive Rebound,4,4
16:26,Baylor,King McClure,Missed Jumper,4,4
16:26,Southern,Aaron Ray,Defensive Rebound,4,4
16:20,Southern,Eddie Reese,Turnover,4,4
16:03,Baylor,Mark Vital,Three Point Jumper,4,7
15:58,Southern,Eddie Reese,Turnover,4,7
15:58,Baylor,None,None,4,7
15:35,Baylor,King McClure,Turnover,4,7
15:34,Southern,Aaron Ray,Steal,4,7
15:34,Baylor,King McClure,Foul,4,7
15:21,Southern,Eddie Reese,Missed Layup,4,7
15:21,Baylor,Mark Vital,Defensive Rebound,4,7
15:09,Baylor,Mark Vital,Missed Jumper,4,7
15:09,Southern,Southern,Defensive Rebound,4,7
14:56,Southern,Bryan Assie,Foul,4,7
14:56,Southern,Bryan Assie,Turnover,4,7
14:40,Baylor,Devonte Bandoo,Three Point Jumper,4,10
14:25,Baylor,Mark Vital,Foul,4,10
14:25,Southern,Eddie Reese,Free Throw,5,10
14:25,Southern,Eddie Reese,Free Throw,6,10
14:25,Southern,Eddie Reese,Free Throw,7,10
14:12,Baylor,Tristan Clark,Dunk,7,12
13:56,Southern,Sidney Umude,Missed Jumper,7,12
13:56,Baylor,Tristan Clark,Block,7,12
13:54,Baylor,Flo Thamba,Defensive Rebound,7,12
13:48,Baylor,Darius Allen,Missed Three Point Jumper,7,12
13:48,Southern,Eddie Reese,Defensive Rebound,7,12
13:43,Baylor,Jared Butler,Foul,7,12
13:43,Baylor,Jared Butler,Foul,7,12
13:42,Southern,Eddie Reese,Three Point Jumper,10,12
13:20,Southern,Alex Ennis,Foul,10,12
13:16,Baylor,Tristan Clark,Turnover,10,12
13:14,Southern,Eddie Reese,Steal,10,12
13:10,Southern,Jayden Sadldler,Missed Jumper,10,12
13:10,Baylor,Jared Butler,Defensive Rebound,10,12
12:55,Baylor,Flo Thamba,Turnover,10,12
12:46,Southern,Eddie Reese,Foul,10,12
12:46,Southern,Eddie Reese,Turnover,10,12
12:35,Baylor,King McClure,Turnover,10,12
12:32,Southern,Eddie Reese,Layup,12,12
12:32,Baylor,Darius Allen,Missed Three Point Jumper,12,12
12:15,Baylor,Tristan Clark,Offensive Rebound,12,12
12:07,Baylor,Devonte Bandoo,Jumper,12,14
11:42,Southern,Sidney Umude,Missed Jumper,12,14
11:42,Baylor,King McClure,Defensive Rebound,12,14
11:35,Baylor,Tristan Clark,Layup,12,16
11:13,Baylor,None,None,12,16
11:02,Southern,Eddie Reese,Turnover,12,16
10:49,Baylor,Matthew Mayer,Missed Jumper,12,16
10:49,Southern,Sidney Umude,Defensive Rebound,12,16
10:40,Southern,Alex Ennis,Turnover,12,16
10:39,Baylor,Matthew Mayer,Steal,12,16
10:36,Southern,Aaron Ray,Foul,12,16
10:36,Baylor,Devonte Bandoo,Free Throw,12,17
10:36,Baylor,Devonte Bandoo,Free Throw,12,18
10:22,Baylor,Freddie Gillespie,Foul,12,18
10:02,Southern,Southern ,Turnover,12,18
9:41,Baylor,Matthew Mayer,Missed Three Point Jumper,12,18
9:41,Baylor,Freddie Gillespie,Offensive Rebound,12,18
