TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:56,Lipscomb,Kenny Cooper,Turnover,0,0
19:56,Tennessee State,Armani Chaney,Steal,0,0
19:44,Tennessee State,Donte Fitzpatrick-Dorsey,Turnover,0,0
19:42,Lipscomb,Garrison Mathews,Steal,0,0
19:40,Tennessee State,Donte Fitzpatrick-Dorsey,Foul,0,0
19:37,Lipscomb,Kenny Cooper,Layup,0,2
19:19,Tennessee State,Stokley Chaffee Jr.,Missed Layup,0,2
19:19,Lipscomb,Ahsan Asadullah,Block,0,2
19:17,Lipscomb,Garrison Mathews,Defensive Rebound,0,2
19:02,Lipscomb,Garrison Mathews,Missed Jumper,0,2
19:02,Tennessee State,Stokley Chaffee Jr.,Defensive Rebound,0,2
18:45,Tennessee State,Kamar McKnight,Missed Layup,0,2
18:45,Lipscomb,Ahsan Asadullah,Defensive Rebound,0,2
18:33,Lipscomb,Ahsan Asadullah,Missed Jumper,0,2
18:33,Tennessee State,Kamar McKnight,Defensive Rebound,0,2
18:24,Tennessee State,Kamar McKnight,Layup,2,2
18:11,Lipscomb,Kenny Cooper,Layup,2,4
17:50,Tennessee State,Kamar McKnight,Missed Three Point Jumper,2,4
17:50,Lipscomb,Ahsan Asadullah,Defensive Rebound,2,4
17:28,Tennessee State,Stokley Chaffee Jr.,Foul,2,4
17:28,Lipscomb,Ahsan Asadullah,Free Throw,2,5
17:28,Lipscomb,Ahsan Asadullah,Free Throw,2,6
17:06,Tennessee State,Jalen Duke,Missed Three Point Jumper,2,6
17:06,Lipscomb,Kenny Cooper,Defensive Rebound,2,6
16:56,Lipscomb,Kenny Cooper,Layup,2,8
16:46,Tennessee State,Armani Chaney,Layup,4,8
16:35,Lipscomb,Kenny Cooper,Layup,4,10
16:34,Tennessee State,DaJion Henderson,Foul,4,10
16:34,Lipscomb,Kenny Cooper,Free Throw,4,11
16:19,Tennessee State,Donte Fitzpatrick-Dorsey,Turnover,4,11
16:04,Tennessee State,DaJion Henderson,Foul,4,11
15:58,Lipscomb,Eli Pepper,Missed Dunk,4,11
15:58,Tennessee State,Tripp Davis,Defensive Rebound,4,11
15:47,Tennessee State,DaJion Henderson,Turnover,4,11
15:47,Lipscomb,None,None,4,11
15:37,Lipscomb,Garrison Mathews,Turnover,4,11
15:26,Tennessee State,Donte Fitzpatrick-Dorsey,Jumper,6,11
15:12,Lipscomb,Garrison Mathews,Foul,6,11
15:12,Lipscomb,Garrison Mathews,Turnover,6,11
15:01,Lipscomb,Nathan Moran,Foul,6,11
14:42,Tennessee State,Michael Littlejohn,Foul,6,11
14:42,Tennessee State,Michael Littlejohn,Turnover,6,11
14:25,Lipscomb,Garrison Mathews,Missed Layup,6,11
14:25,Tennessee State,Stokley Chaffee Jr.,Block,6,11
14:24,Tennessee State,Tennessee State,Defensive Rebound,6,11
14:11,Tennessee State,Dave Morris,Missed Layup,6,11
14:11,Lipscomb,Ahsan Asadullah,Block,6,11
14:09,Lipscomb,Greg Jones,Defensive Rebound,6,11
14:04,Tennessee State,Tripp Davis,Foul,6,11
13:59,Lipscomb,Kenny Cooper,Missed Layup,6,11
13:59,Tennessee State,Stokley Chaffee Jr.,Block,6,11
13:58,Tennessee State,Michael Littlejohn,Defensive Rebound,6,11
13:57,Lipscomb,Ahsan Asadullah,Foul,6,11
13:49,Tennessee State,Kamar McKnight,Missed Three Point Jumper,6,11
13:49,Lipscomb,Kenny Cooper,Defensive Rebound,6,11
13:37,Lipscomb,Kenny Cooper,Turnover,6,11
13:35,Tennessee State,Armani Chaney,Steal,6,11
13:32,Tennessee State,Kamar McKnight,Layup,8,11
13:18,Lipscomb,Eli Pepper,Jumper,8,13
13:06,Tennessee State,Kamar McKnight,Missed Jumper,8,13
13:06,Lipscomb,Eli Pepper,Defensive Rebound,8,13
12:49,Lipscomb,Eli Pepper,Dunk,8,15
12:31,Tennessee State,Michael Littlejohn,Missed Three Point Jumper,8,15
12:31,Lipscomb,Eli Pepper,Defensive Rebound,8,15
12:17,Lipscomb,Garrison Mathews,Turnover,8,15
12:16,Tennessee State,Donte Fitzpatrick-Dorsey,Steal,8,15
12:13,Lipscomb,Greg Jones,Foul,8,15
12:06,Tennessee State,Kamar McKnight,Layup,10,15
11:59,Lipscomb,Garrison Mathews,Three Point Jumper,10,18
11:44,Tennessee State,Michael Littlejohn,Jumper,12,18
11:31,Lipscomb,Kenny Cooper,Missed Jumper,12,18
11:31,Tennessee State,Armani Chaney,Defensive Rebound,12,18
11:24,Tennessee State,Kamar McKnight,Three Point Jumper,15,18
11:06,Lipscomb,Andrew Fleming,Jumper,15,20
11:05,Tennessee State,Monty Johal,Foul,15,20
11:05,Lipscomb,None,None,15,20
11:05,Lipscomb,Andrew Fleming,Free Throw,15,21
10:43,Tennessee State,Kamar McKnight,Missed Three Point Jumper,15,21
10:43,Tennessee State,Jalen Duke,Offensive Rebound,15,21
10:39,Lipscomb,Andrew Fleming,Foul,15,21
10:39,Tennessee State,Jalen Duke,Free Throw,16,21
10:39,Tennessee State,Jalen Duke,Free Throw,17,21
10:27,Lipscomb,Alex Jones,Layup,17,23
10:27,Tennessee State,Michael Littlejohn,Foul,17,23
10:27,Lipscomb,Alex Jones,Missed Free Throw,17,23
10:27,Tennessee State,Donte Fitzpatrick-Dorsey,Defensive Rebound,17,23
10:21,Tennessee State,Donte Fitzpatrick-Dorsey,Missed Layup,17,23
10:21,Lipscomb,Eli Pepper,Defensive Rebound,17,23
10:03,Lipscomb,Eli Pepper,Missed Jumper,17,23
10:03,Tennessee State,Stokley Chaffee Jr.,Block,17,23
10:02,Lipscomb,Eli Pepper,Offensive Rebound,17,23
9:59,Lipscomb,Eli Pepper,Layup,17,25
9:40,Tennessee State,Armani Chaney,Missed Three Point Jumper,17,25
9:40,Lipscomb,Andrew Fleming,Defensive Rebound,17,25
9:28,Tennessee State,Monty Johal,Foul,17,25
9:28,Lipscomb,Andrew Fleming,Free Throw,17,26
9:28,Lipscomb,Andrew Fleming,Missed Free Throw,17,26
9:28,Tennessee State,Donte Fitzpatrick-Dorsey,Defensive Rebound,17,26
9:17,Tennessee State,Stokley Chaffee Jr.,Jumper,19,26
8:51,Lipscomb,Eli Pepper,Turnover,19,26
8:38,Tennessee State,Armani Chaney,Missed Jumper,19,26
8:38,Lipscomb,Kenny Cooper,Defensive Rebound,19,26
8:20,Lipscomb,Greg Jones,Missed Layup,19,26
8:20,Tennessee State,Kamar McKnight,Defensive Rebound,19,26
8:15,Tennessee State,Tripp Davis,Three Point Jumper,22,26
8:00,Lipscomb,Ahsan Asadullah,Turnover,22,26
7:59,Tennessee State,Armani Chaney,Steal,22,26
7:54,Tennessee State,Donte Fitzpatrick-Dorsey,Layup,24,26
7:42,Lipscomb,Nathan Moran,Missed Three Point Jumper,24,26
7:42,Tennessee State,Kamar McKnight,Defensive Rebound,24,26
7:18,Tennessee State,Tripp Davis,Missed Layup,24,26
7:18,Lipscomb,Garrison Mathews,Defensive Rebound,24,26
7:12,Lipscomb,Kenny Cooper,Jumper,24,28
7:10,Tennessee State,Armani Chaney,Foul,24,28
7:10,Lipscomb,None,None,24,28
7:10,Lipscomb,Kenny Cooper,Free Throw,24,29
6:57,Tennessee State,Donte Fitzpatrick-Dorsey,Three Point Jumper,27,29
