TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Saint Louis,Carte'Are Gordon,Jumper,0,2
19:06,Troy,B.J. Miller,Missed Three Point Jumper,0,2
19:05,Troy,Troy,Offensive Rebound,0,2
19:05,Troy,Troy ,Turnover,0,2
18:50,Saint Louis,Carte'Are Gordon,Turnover,0,2
18:50,Troy,B.J. Miller,Steal,0,2
18:45,Troy,Jordon Varnado,Missed Three Point Jumper,0,2
18:41,Troy,Javan Johnson,Offensive Rebound,0,2
18:23,Troy,B.J. Miller,Layup,2,2
17:55,Saint Louis,Jordan Goodwin,Missed Three Point Jumper,2,2
17:51,Troy,Zay Williams,Defensive Rebound,2,2
17:45,Troy,Jordon Varnado,Three Point Jumper,5,2
17:23,Troy,Jordon Varnado,Foul,5,2
17:15,Saint Louis,Hasahn French,Layup,5,4
17:15,Troy,Darian Adams,Foul,5,4
17:15,Saint Louis,Hasahn French,Missed Free Throw,5,4
17:15,Troy,Troy,Defensive Rebound,5,4
16:58,Troy,Jordon Varnado,Missed Jumper,5,4
16:54,Saint Louis,Jordan Goodwin,Defensive Rebound,5,4
16:41,Saint Louis,Javon Bess,Missed Layup,5,4
16:38,Troy,Jordon Varnado,Defensive Rebound,5,4
16:34,Troy,B.J. Miller,Turnover,5,4
16:34,Saint Louis,Jordan Goodwin,Steal,5,4
16:30,Troy,Zay Williams,Foul,5,4
16:30,Saint Louis,Jordan Goodwin,Free Throw,5,5
16:30,Saint Louis,Jordan Goodwin,Missed Free Throw,5,5
16:30,Troy,Jordon Varnado,Defensive Rebound,5,5
16:18,Troy,Zay Williams,Turnover,5,5
16:18,Saint Louis,Jordan Goodwin,Steal,5,5
16:17,Saint Louis,Jordan Goodwin,Foul,5,5
16:17,Saint Louis,Jordan Goodwin,Turnover,5,5
15:58,Troy,Javan Johnson,Three Point Jumper,8,5
15:30,Saint Louis,Fred Thatch Jr.,Missed Three Point Jumper,8,5
15:25,Troy,Javan Johnson,Defensive Rebound,8,5
15:22,Troy,Javan Johnson,Missed Jumper,8,5
15:19,Saint Louis,Hasahn French,Defensive Rebound,8,5
15:11,Saint Louis,Hasahn French,Layup,8,7
14:42,Troy,B.J. Miller,Layup,10,7
14:36,Troy,B.J. Miller,Foul,10,7
14:36,Saint Louis,None,None,10,7
14:25,Saint Louis,Tramaine Isabell Jr.,Missed Jumper,10,7
14:21,Saint Louis,D.J. Foreman,Offensive Rebound,10,7
14:20,Saint Louis,D.J. Foreman,Missed Layup,10,7
14:18,Troy,Malik Burnett,Defensive Rebound,10,7
14:04,Troy,Malik Burnett,Missed Jumper,10,7
14:04,Saint Louis,Dion Wiley,Block,10,7
14:04,Troy,Javan Johnson,Offensive Rebound,10,7
13:54,Saint Louis,Dion Wiley,Foul,10,7
13:47,Troy,Jordon Varnado,Missed Jumper,10,7
13:44,Saint Louis,Dion Wiley,Defensive Rebound,10,7
13:38,Saint Louis,Tramaine Isabell Jr.,Layup,10,9
13:12,Troy,Alex Hicks,Missed Three Point Jumper,10,9
13:07,Saint Louis,Jordan Goodwin,Defensive Rebound,10,9
13:04,Saint Louis,Jordan Goodwin,Turnover,10,9
13:04,Troy,Alex Hicks,Steal,10,9
12:49,Saint Louis,Dion Wiley,Foul,10,9
12:37,Saint Louis,Fred Thatch Jr.,Foul,10,9
12:32,Troy,Javan Johnson,Missed Jumper,10,9
12:32,Saint Louis,Javon Bess,Block,10,9
12:32,Saint Louis,D.J. Foreman,Defensive Rebound,10,9
12:30,Saint Louis,None,None,10,9
12:30,Saint Louis,None,None,10,9
12:30,Troy,Devante Foster,Foul,10,9
12:29,Saint Louis,None,None,10,9
12:29,Saint Louis,None,None,10,9
12:17,Troy,Alex Hicks,Foul,10,9
12:17,Saint Louis,Carte'Are Gordon,Missed Free Throw,10,9
12:17,Saint Louis,None,Team Rebound,10,9
12:17,Saint Louis,Carte'Are Gordon,Missed Free Throw,10,9
12:15,Saint Louis,Jordan Goodwin,Offensive Rebound,10,9
12:12,Saint Louis,Carte'Are Gordon,Turnover,10,9
12:12,Troy,Devante Foster,Steal,10,9
11:49,Troy,Malik Burnett,Layup,12,9
11:25,Saint Louis,D.J. Foreman,Turnover,12,9
11:25,Troy,Darian Adams,Steal,12,9
11:22,Troy,KJ Simon,Layup,14,9
11:21,Saint Louis,None,None,14,9
11:04,Saint Louis,Javon Bess,Missed Jumper,14,9
11:01,Troy,Malik Burnett,Defensive Rebound,14,9
10:52,Troy,Devante Foster,Turnover,14,9
10:52,Saint Louis,Jordan Goodwin,Steal,14,9
10:49,Saint Louis,Jordan Goodwin,Missed Jumper,14,9
10:49,Troy,KJ Simon,Block,14,9
10:49,Troy,Troy,Defensive Rebound,14,9
10:38,Troy,Darian Adams,Turnover,14,9
10:38,Saint Louis,Jordan Goodwin,Steal,14,9
10:31,Saint Louis,Jordan Goodwin,Missed Layup,14,9
10:31,Troy,Darian Adams,Block,14,9
10:29,Saint Louis,Jordan Goodwin,Layup,14,11
10:25,Saint Louis,Jordan Goodwin,Offensive Rebound,14,11
10:14,Troy,Malik Burnett,Missed Jumper,14,11
10:11,Troy,Jordon Varnado,Offensive Rebound,14,11
10:10,Troy,Malik Burnett,Missed Jumper,14,11
10:04,Troy,Malik Burnett,Offensive Rebound,14,11
9:53,Troy,Alex Hicks,Turnover,14,11
9:53,Saint Louis,Javon Bess,Steal,14,11
9:35,Saint Louis,Hasahn French,Missed Jumper,14,11
9:30,Troy,Jordon Varnado,Defensive Rebound,14,11
9:16,Troy,B.J. Miller,Turnover,14,11
9:16,Saint Louis,Tramaine Isabell Jr.,Steal,14,11
8:59,Saint Louis,Tramaine Isabell Jr.,Missed Three Point Jumper,14,11
8:53,Troy,Jordon Varnado,Defensive Rebound,14,11
8:48,Troy,Jordon Varnado,Turnover,14,11
8:48,Saint Louis,Javon Bess,Steal,14,11
8:45,Troy,B.J. Miller,Foul,14,11
8:45,Saint Louis,Javon Bess,Free Throw,14,12
8:45,Saint Louis,Javon Bess,Free Throw,14,13
8:27,Troy,Javan Johnson,Three Point Jumper,17,13
8:04,Saint Louis,Hasahn French,Turnover,17,13
7:47,Saint Louis,Javon Bess,Foul,17,13
7:47,Saint Louis,None,None,17,13
7:35,Troy,Jordon Varnado,Missed Three Point Jumper,17,13
7:32,Saint Louis,Javon Bess,Defensive Rebound,17,13
7:29,Saint Louis,Tramaine Isabell Jr.,Missed Three Point Jumper,17,13
7:23,Saint Louis,Hasahn French,Offensive Rebound,17,13
7:13,Saint Louis,Javon Bess,Missed Three Point Jumper,17,13
7:07,Troy,Darian Adams,Defensive Rebound,17,13
7:00,Troy,Jordon Varnado,Missed Three Point Jumper,17,13
6:56,Saint Louis,Javon Bess,Defensive Rebound,17,13
6:50,Saint Louis,D.J. Foreman,Turnover,17,13
6:50,Troy,Javan Johnson,Steal,17,13
6:34,Saint Louis,Jordan Goodwin,Three Point Jumper,19,16
6:18,Troy,Alex Hicks,Foul,19,16
6:18,Troy,Alex Hicks,Turnover,19,16
6:01,Saint Louis,Hasahn French,Turnover,19,16
6:01,Troy,Malik Burnett,Steal,19,16
5:55,Troy,Zay Williams,Dunk,21,16
5:41,Troy,Zay Williams,Foul,21,16
5:41,Saint Louis,Hasahn French,Missed Free Throw,21,16
5:41,Troy,Zay Williams,Defensive Rebound,21,16
5:19,Troy,Jordon Varnado,Missed Jumper,21,16
5:15,Saint Louis,Hasahn French,Defensive Rebound,21,16
4:54,Troy,Zay Williams,Foul,21,16
4:54,Saint Louis,Hasahn French,Missed Free Throw,21,16
4:54,Saint Louis,None,Team Rebound,21,16
4:54,Saint Louis,Hasahn French,Missed Free Throw,21,16
4:52,Troy,Javan Johnson,Defensive Rebound,21,16
4:38,Troy,Charles Norman,Three Point Jumper,24,16
4:18,Saint Louis,Tramaine Isabell Jr.,Missed Jumper,24,16
4:16,Troy,Jordon Varnado,Defensive Rebound,24,16
4:07,Troy,Jordon Varnado,Three Point Jumper,27,16
3:45,Saint Louis,Tramaine Isabell Jr.,Missed Three Point Jumper,27,16
3:41,Troy,Devante Foster,Defensive Rebound,27,16
3:16,Saint Louis,Javon Bess,Three Point Jumper,29,19
2:46,Troy,Jordon Varnado,Missed Three Point Jumper,29,19
2:41,Saint Louis,Hasahn French,Defensive Rebound,29,19
2:24,Saint Louis,Jordan Goodwin,Missed Jumper,29,19
2:22,Saint Louis,Saint Louis,Offensive Rebound,29,19
2:22,Saint Louis,Javon Bess,Foul,29,19
2:22,Saint Louis,Javon Bess,Turnover,29,19
2:22,Saint Louis,None,None,29,19
2:05,Troy,Javan Johnson,Missed Layup,29,19
2:05,Saint Louis,Jordan Goodwin,Block,29,19
2:02,Saint Louis,Jordan Goodwin,Defensive Rebound,29,19
2:01,Saint Louis,Jordan Goodwin,Layup,29,21
2:01,Troy,Charles Norman,Foul,29,21
2:01,Saint Louis,Jordan Goodwin,Missed Free Throw,29,21
1:57,Saint Louis,D.J. Foreman,Offensive Rebound,29,21
1:55,Saint Louis,D.J. Foreman,Missed Layup,29,21
1:55,Troy,Javan Johnson,Block,29,21
1:51,Troy,Jordon Varnado,Defensive Rebound,29,21
1:49,Troy,Jordon Varnado,Turnover,29,21
1:17,Saint Louis,Jordan Goodwin,Missed Three Point Jumper,29,21
1:13,Troy,Jordon Varnado,Defensive Rebound,29,21
1:00,Troy,Jordon Varnado,Foul,29,21
1:00,Troy,Jordon Varnado,Turnover,29,21
0:42,Saint Louis,Dion Wiley,Missed Three Point Jumper,29,21
0:39,Troy,Atakan Sahinkaya,Defensive Rebound,29,21
0:21,Troy,Javan Johnson,Missed Three Point Jumper,29,21
0:17,Saint Louis,Jordan Goodwin,Defensive Rebound,29,21
0:11,Saint Louis,Demarius Jacobs,Missed Three Point Jumper,29,21
0:07,Saint Louis,Carte'Are Gordon,Offensive Rebound,29,21
0:02,Saint Louis,Hasahn French,Missed Layup,29,21
0:02,Saint Louis,Jordan Goodwin,Offensive Rebound,29,21
0:01,Saint Louis,Jordan Goodwin,Layup,29,23
0:00,Saint Louis,None,None,29,21
19:46,Troy,Alex Hicks,Jumper,31,23
19:25,Saint Louis,Jordan Goodwin,Layup,31,25
19:04,Troy,Jordon Varnado,Missed Jumper,31,25
19:00,Saint Louis,Javon Bess,Defensive Rebound,31,25
18:50,Saint Louis,Tramaine Isabell Jr.,Three Point Jumper,31,28
18:21,Troy,Jordon Varnado,Turnover,31,28
18:10,Troy,Alex Hicks,Foul,31,28
18:10,Saint Louis,Tramaine Isabell Jr.,Missed Free Throw,31,28
18:10,Saint Louis,None,Team Rebound,31,28
18:10,Saint Louis,Tramaine Isabell Jr.,Free Throw,31,29
18:10,Saint Louis,Hasahn French,Foul,31,29
17:44,Troy,Zay Williams,Missed Jumper,31,29
17:41,Saint Louis,Carte'Are Gordon,Defensive Rebound,31,29
17:28,Saint Louis,Carte'Are Gordon,Jumper,31,31
17:14,Saint Louis,Hasahn French,Foul,31,31
17:14,Troy,Jordon Varnado,Free Throw,32,31
17:14,Troy,Jordon Varnado,Missed Free Throw,32,31
17:12,Saint Louis,Hasahn French,Defensive Rebound,32,31
16:51,Saint Louis,Carte'Are Gordon,Turnover,32,31
16:51,Troy,B.J. Miller,Steal,32,31
16:46,Troy,B.J. Miller,Layup,34,31
16:19,Troy,Darian Adams,Foul,34,31
16:03,Saint Louis,Javon Bess,Missed Three Point Jumper,34,31
15:58,Troy,Jordon Varnado,Defensive Rebound,34,31
15:43,Troy,Jordon Varnado,Turnover,34,31
15:43,Saint Louis,None,None,34,31
15:17,Saint Louis,D.J. Foreman,Missed Layup,34,31
15:14,Saint Louis,Javon Bess,Offensive Rebound,34,31
15:14,Saint Louis,Javon Bess,Offensive Rebound,34,31
15:13,Saint Louis,Javon Bess,Missed Layup,34,31
15:13,Troy,Jordon Varnado,Block,34,31
15:09,Troy,Zay Williams,Defensive Rebound,34,31
15:07,Troy,Darian Adams,Missed Three Point Jumper,34,31
15:07,Troy,Troy,Offensive Rebound,34,31
14:53,Troy,Javan Johnson,Missed Jumper,34,31
14:51,Saint Louis,Dion Wiley,Defensive Rebound,34,31
14:40,Saint Louis,Hasahn French,Missed Jumper,34,31
14:37,Troy,Jordon Varnado,Defensive Rebound,34,31
14:19,Troy,Jordon Varnado,Layup,36,31
14:19,Saint Louis,D.J. Foreman,Foul,36,31
14:19,Troy,Jordon Varnado,Missed Free Throw,36,31
14:19,Saint Louis,D.J. Foreman,Defensive Rebound,36,31
14:01,Saint Louis,Tramaine Isabell Jr.,Missed Three Point Jumper,36,31
14:01,Troy,Troy,Defensive Rebound,36,31
13:59,Saint Louis,Tramaine Isabell Jr.,Foul,36,31
13:48,Troy,B.J. Miller,Missed Jumper,36,31
13:43,Saint Louis,D.J. Foreman,Defensive Rebound,36,31
13:31,Saint Louis,Dion Wiley,Missed Three Point Jumper,36,31
13:28,Saint Louis,D.J. Foreman,Offensive Rebound,36,31
13:24,Troy,Zay Williams,Foul,36,31
13:24,Saint Louis,Javon Bess,Free Throw,36,32
13:22,Saint Louis,Javon Bess,Missed Free Throw,36,32
13:21,Troy,Jordon Varnado,Defensive Rebound,36,32
13:01,Troy,Jordon Varnado,Missed Three Point Jumper,36,32
12:57,Saint Louis,Hasahn French,Defensive Rebound,36,32
12:45,Saint Louis,Dion Wiley,Missed Three Point Jumper,36,32
12:40,Saint Louis,Hasahn French,Offensive Rebound,36,32
12:32,Saint Louis,Dion Wiley,Missed Three Point Jumper,36,32
12:28,Troy,Alex Hicks,Defensive Rebound,36,32
12:16,Troy,Malik Burnett,Missed Three Point Jumper,36,32
12:12,Saint Louis,Tramaine Isabell Jr.,Defensive Rebound,36,32
11:57,Saint Louis,Dion Wiley,Three Point Jumper,36,35
11:52,Troy,None,None,36,35
11:52,Saint Louis,None,None,36,35
11:37,Troy,Alex Hicks,Jumper,38,35
11:23,Saint Louis,Javon Bess,Jumper,38,37
11:07,Troy,Alex Hicks,Foul,38,37
11:07,Troy,Alex Hicks,Turnover,38,37
10:47,Saint Louis,Tramaine Isabell Jr.,Turnover,38,37
10:47,Troy,Devante Foster,Steal,38,37
10:47,Saint Louis,Dion Wiley,Foul,38,37
10:26,Saint Louis,Hasahn French,Foul,38,37
10:26,Troy,Jordon Varnado,Free Throw,39,37
10:26,Troy,Jordon Varnado,Free Throw,40,37
10:03,Saint Louis,Dion Wiley,Missed Three Point Jumper,40,37
9:58,Troy,Jordon Varnado,Defensive Rebound,40,37
9:39,Troy,Jordon Varnado,Missed Layup,40,37
9:36,Saint Louis,Carte'Are Gordon,Defensive Rebound,40,37
