TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,Florida State,M.J. Walker,Missed Layup,0,0
19:46,Tulane,Caleb Daniels,Block,0,0
19:45,Tulane,Kevin Zhang,Defensive Rebound,0,0
19:38,Florida State,Christ Koumadje,Foul,0,0
19:38,Tulane,Samir Sehic,Missed Free Throw,0,0
19:38,Tulane,None,Team Rebound,0,0
19:38,Tulane,Samir Sehic,Free Throw,0,1
19:14,Tulane,Jordan Cornish,Foul,0,1
19:06,Florida State,Terance Mann,Layup,2,1
19:06,Tulane,Shakwon Barrett,Foul,2,1
19:06,Florida State,Terance Mann,Free Throw,3,1
18:57,Tulane,Samir Sehic,Turnover,3,1
18:42,Florida State,Christ Koumadje,Dunk,5,1
18:21,Tulane,Samir Sehic,Three Point Jumper,5,4
18:14,Florida State,Christ Koumadje,Foul,5,4
18:14,Florida State,Christ Koumadje,Turnover,5,4
17:57,Tulane,Caleb Daniels,Foul,5,4
17:57,Tulane,Caleb Daniels,Turnover,5,4
17:41,Florida State,PJ Savoy,Turnover,5,4
17:39,Tulane,Samir Sehic,Steal,5,4
17:37,Tulane,Caleb Daniels,Missed Three Point Jumper,5,4
17:37,Florida State,Trent Forrest,Block,5,4
17:34,Florida State,Mfiondu Kabengele,Defensive Rebound,5,4
17:27,Florida State,M.J. Walker,Turnover,5,4
17:10,Tulane,Caleb Daniels,Turnover,5,4
16:55,Florida State,Terance Mann,Missed Jumper,5,4
16:55,Tulane,Caleb Daniels,Defensive Rebound,5,4
16:40,Tulane,Shakwon Barrett,Missed Three Point Jumper,5,4
16:40,Florida State,Mfiondu Kabengele,Defensive Rebound,5,4
16:32,Tulane,Kevin Zhang,Foul,5,4
16:27,Tulane,Samir Sehic,Foul,5,4
16:09,Tulane,Jordan Cornish,Foul,5,4
16:09,Florida State,Mfiondu Kabengele,Missed Free Throw,5,4
16:09,Florida State,None,Team Rebound,5,4
16:09,Florida State,Mfiondu Kabengele,Free Throw,6,4
16:04,Florida State,David Nichols,Foul,6,4
15:50,Tulane,Moses Wood,Jumper,6,6
15:35,Florida State,M.J. Walker,Layup,8,6
15:22,Tulane,Kevin Zhang,Three Point Jumper,8,9
15:06,Florida State,M.J. Walker,Missed Jumper,8,9
15:06,Tulane,Moses Wood,Defensive Rebound,8,9
14:58,Tulane,Kevin Zhang,Three Point Jumper,8,12
14:33,Tulane,Moses Wood,Foul,8,12
14:33,Tulane,None,None,8,12
14:33,Florida State,PJ Savoy,Free Throw,9,12
14:33,Florida State,PJ Savoy,Free Throw,10,12
14:33,Florida State,PJ Savoy,Free Throw,11,12
14:14,Tulane,Shakwon Barrett,Turnover,11,12
14:13,Florida State,Mfiondu Kabengele,Steal,11,12
14:08,Florida State,Anthony Polite,Missed Three Point Jumper,11,12
14:08,Tulane,Shakwon Barrett,Defensive Rebound,11,12
13:57,Florida State,Trent Forrest,Foul,11,12
13:57,Tulane,Moses Wood,Missed Free Throw,11,12
13:57,Tulane,None,Team Rebound,11,12
13:57,Tulane,Moses Wood,Free Throw,11,13
13:41,Florida State,Raiquan Gray,Turnover,11,13
13:27,Tulane,Caleb Daniels,Turnover,11,13
13:13,Florida State,PJ Savoy,Missed Three Point Jumper,11,13
13:13,Florida State,Trent Forrest,Offensive Rebound,11,13
13:00,Florida State,Mfiondu Kabengele,Missed Jumper,11,13
13:00,Tulane,Samir Sehic,Defensive Rebound,11,13
12:34,Tulane,Moses Wood,Missed Three Point Jumper,11,13
12:31,Tulane,Tulane,Offensive Rebound,11,13
12:31,Tulane,Shakwon Barrett,Turnover,11,13
12:28,Florida State,Anthony Polite,Steal,11,13
12:25,Florida State,PJ Savoy,Three Point Jumper,14,13
11:59,Florida State,Mfiondu Kabengele,Foul,14,13
11:59,Tulane,None,None,14,13
11:59,Tulane,Samir Sehic,Free Throw,14,14
11:59,Tulane,Samir Sehic,Free Throw,14,15
11:48,Florida State,Anthony Polite,Jumper,16,15
11:20,Tulane,Blake Paul,Dunk,16,17
11:01,Florida State,Mfiondu Kabengele,Jumper,18,17
10:38,Tulane,Samir Sehic,Three Point Jumper,18,20
10:24,Florida State,Anthony Polite,Three Point Jumper,21,20
10:10,Tulane,Shakwon Barrett,Missed Layup,21,20
10:10,Florida State,Mfiondu Kabengele,Block,21,20
10:08,Florida State,Trent Forrest,Defensive Rebound,21,20
10:04,Florida State,PJ Savoy,Turnover,21,20
9:56,Florida State,Raiquan Gray,Foul,21,20
9:53,Tulane,Samir Sehic,Layup,21,22
9:37,Florida State,Terance Mann,Missed Jumper,21,22
9:37,Florida State,Terance Mann,Offensive Rebound,21,22
9:33,Florida State,Terance Mann,Layup,23,22
9:21,Tulane,Samir Sehic,Layup,23,24
9:21,Florida State,PJ Savoy,Foul,23,24
9:21,Tulane,Samir Sehic,Free Throw,23,25
9:13,Florida State,PJ Savoy,Missed Three Point Jumper,23,25
9:13,Tulane,Caleb Daniels,Defensive Rebound,23,25
9:00,Tulane,Caleb Daniels,Turnover,23,25
9:00,Florida State,Raiquan Gray,Steal,23,25
8:56,Florida State,M.J. Walker,Three Point Jumper,26,25
8:45,Tulane,Samir Sehic,Layup,26,27
8:28,Florida State,Terance Mann,Three Point Jumper,29,27
8:13,Tulane,Caleb Daniels,Turnover,29,27
7:53,Florida State,Mfiondu Kabengele,Missed Layup,29,27
7:53,Florida State,Florida State,Offensive Rebound,29,27
7:52,Tulane,None,None,29,27
7:51,Tulane,Buay Koka,Foul,29,27
7:51,Tulane,None,None,29,27
7:51,Florida State,Mfiondu Kabengele,Missed Free Throw,29,27
7:51,Florida State,None,Team Rebound,29,27
7:51,Florida State,Mfiondu Kabengele,Free Throw,30,27
7:33,Tulane,Jordan Cornish,Layup,30,29
7:15,Florida State,Mfiondu Kabengele,Missed Jumper,30,29
7:15,Tulane,Kevin Zhang,Defensive Rebound,30,29
7:02,Tulane,Caleb Daniels,Missed Three Point Jumper,30,29
7:02,Florida State,Mfiondu Kabengele,Defensive Rebound,30,29
6:53,Florida State,M.J. Walker,Missed Three Point Jumper,30,29
6:53,Florida State,Florida State,Offensive Rebound,30,29
6:44,Florida State,Mfiondu Kabengele,Layup,32,29
6:44,Tulane,Buay Koka,Foul,32,29
6:44,Florida State,Mfiondu Kabengele,Free Throw,33,29
6:31,Tulane,Jordan Cornish,Missed Three Point Jumper,33,29
6:31,Tulane,Kevin Zhang,Offensive Rebound,33,29
6:15,Tulane,Connor Crabtree,Missed Three Point Jumper,33,29
6:15,Florida State,Terance Mann,Defensive Rebound,33,29
6:07,Florida State,Mfiondu Kabengele,Foul,33,29
6:07,Florida State,Mfiondu Kabengele,Turnover,33,29
5:51,Florida State,Raiquan Gray,Foul,33,29
5:51,Tulane,Connor Crabtree,Free Throw,33,30
5:51,Tulane,Connor Crabtree,Free Throw,33,31
5:44,Florida State,Terance Mann,Missed Three Point Jumper,33,31
5:44,Florida State,David Nichols,Offensive Rebound,33,31
5:27,Florida State,Raiquan Gray,Missed Layup,33,31
5:27,Tulane,Kevin Zhang,Defensive Rebound,33,31
5:20,Tulane,Caleb Daniels,Turnover,33,31
5:05,Florida State,Raiquan Gray,Layup,35,31
4:52,Tulane,Jordan Cornish,Turnover,35,31
4:51,Florida State,Terance Mann,Steal,35,31
4:46,Florida State,Terance Mann,Missed Layup,35,31
4:46,Tulane,Connor Crabtree,Defensive Rebound,35,31
4:36,Tulane,Jordan Cornish,Foul,35,31
4:36,Tulane,Jordan Cornish,Turnover,35,31
4:17,Florida State,PJ Savoy,Turnover,35,31
4:17,Tulane,Connor Crabtree,Steal,35,31
4:17,Florida State,Raiquan Gray,Foul,35,31
4:17,Tulane,Connor Crabtree,Missed Free Throw,35,31
4:17,Tulane,None,Team Rebound,35,31
4:17,Tulane,Connor Crabtree,Free Throw,35,32
3:57,Florida State,M.J. Walker,Missed Three Point Jumper,35,32
3:57,Tulane,Caleb Daniels,Defensive Rebound,35,32
3:35,Tulane,Caleb Daniels,Foul,35,32
3:35,Tulane,Caleb Daniels,Turnover,35,32
3:35,Tulane,None,None,35,32
3:20,Tulane,Connor Crabtree,Foul,35,32
3:20,Florida State,M.J. Walker,Missed Free Throw,35,32
3:20,Florida State,None,Team Rebound,35,32
3:20,Florida State,M.J. Walker,Missed Free Throw,35,32
3:20,Tulane,Kevin Zhang,Defensive Rebound,35,32
2:52,Tulane,Shakwon Barrett,Missed Jumper,35,32
2:52,Florida State,Terance Mann,Defensive Rebound,35,32
2:36,Florida State,M.J. Walker,Turnover,35,32
2:15,Tulane,Samir Sehic,Missed Jumper,35,32
2:15,Florida State,M.J. Walker,Defensive Rebound,35,32
2:07,Florida State,Trent Forrest,Missed Three Point Jumper,35,32
2:07,Tulane,Moses Wood,Defensive Rebound,35,32
1:57,Florida State,Harrison Prieto,Foul,35,32
1:57,Tulane,Kevin Zhang,Missed Free Throw,35,32
1:57,Tulane,None,Team Rebound,35,32
1:57,Tulane,Kevin Zhang,Free Throw,35,33
1:38,Florida State,Trent Forrest,Layup,37,33
1:18,Tulane,Shakwon Barrett,Turnover,37,33
